[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
145  0x00002288 0x00402288 15  16   .text   ascii   RegCreateKeyExW
146  0x00002298 0x00402298 16  17   .text   ascii   RegQueryValueExW
147  0x000022ac 0x004022ac 17  18   .text   ascii   LookupAccountSidW
148  0x000022c0 0x004022c0 19  20   .text   ascii   GetTokenInformation
149  0x000022d4 0x004022d4 16  17   .text   ascii   OpenProcessToken
150  0x000022e8 0x004022e8 21  22   .text   ascii   AdjustTokenPrivileges
151  0x00002300 0x00402300 21  22   .text   ascii   LookupPrivilegeValueW
152  0x00002318 0x00402318 12  13   .text   ascii   GetUserNameW
153  0x00002328 0x00402328 20  21   .text   ascii   DeleteUrlCacheEntryW
154  0x00002340 0x00402340 17  18   .text   ascii   FindCloseUrlCache
155  0x00002354 0x00402354 22  23   .text   ascii   FindNextUrlCacheEntryW
156  0x0000236c 0x0040236c 23  24   .text   ascii   FindFirstUrlCacheEntryW
157  0x00002384 0x00402384 18  19   .text   ascii   InternetSetOptionA
158  0x00002398 0x00402398 25  26   .text   ascii   InternetSetStatusCallback
159  0x000023b4 0x004023b4 21  22   .text   ascii   GetUrlCacheEntryInfoW
160  0x000023cc 0x004023cc 22  23   .text   ascii   HttpAddRequestHeadersA
161  0x000023e4 0x004023e4 22  23   .text   ascii   HttpAddRequestHeadersW
162  0x000023fc 0x004023fc 20  21   .text   ascii   InternetQueryOptionA
163  0x00002414 0x00402414 24  25   .text   ascii   InternetCheckConnectionA
164  0x00002430 0x00402430 17  18   .text   ascii   InternetCrackUrlA
165  0x00002444 0x00402444 16  17   .text   ascii   HttpOpenRequestA
166  0x00002458 0x00402458 16  17   .text   ascii   InternetConnectA
167  0x0000246c 0x0040246c 16  17   .text   ascii   InternetOpenUrlA
168  0x00002480 0x00402480 13  14   .text   ascii   InternetOpenA
169  0x00002490 0x00402490 18  19   .text   ascii   InternetGetCookieA
170  0x000024a4 0x004024a4 20  21   .text   ascii   GetModuleFileNameExW
171  0x000024bc 0x004024bc 12  13   .text   ascii   SHDeleteKeyA
172  0x000024cc 0x004024cc 14  15   .text   ascii   PathMatchSpecW
173  0x000024dc 0x004024dc 19  20   .text   ascii   PathRemoveFileSpecW
174  0x000024f0 0x004024f0 15  16   .text   ascii   PathFileExistsW
175  0x00002500 0x00402500 20  21   .text   ascii   PathRemoveBackslashW
176  0x00002518 0x00402518 17  18   .text   ascii   PathAddBackslashW
177  0x0000252c 0x0040252c 17  18   .text   ascii   PathFindFileNameW
178  0x00002540 0x00402540 12  13   .text   ascii   PathCombineW
179  0x00002550 0x00402550 10  11   .text   ascii   wnsprintfA
180  0x0000255c 0x0040255c 10  11   .text   ascii   wnsprintfW
181  0x00002568 0x00402568 11  12   .text   ascii   wvnsprintfA
182  0x00002574 0x00402574 11  12   .text   ascii   wvnsprintfW
183  0x00002580 0x00402580 9   10   .text   ascii   StrCmpNIW
184  0x0000258c 0x0040258c 9   10   .text   ascii   StrCmpNIA
185  0x00002598 0x00402598 8   9    .text   ascii   StrStrIA
186  0x000025a4 0x004025a4 7   8    .text   ascii   StrStrW
187  0x000025ac 0x004025ac 19  20   .text   ascii   RtlCreateUserThread
188  0x000025c0 0x004025c0 15  16   .text   ascii   LdrGetDllHandle
189  0x000025d0 0x004025d0 25  26   .text   ascii   NtQueryInformationProcess
190  0x000025ec 0x004025ec 12  13   .text   ascii   NtCreateFile
191  0x000025fc 0x004025fc 13  14   .text   ascii   NtQueryObject
192  0x0000260c 0x0040260c 13  14   .text   ascii   ShellExecuteW
193  0x0000261c 0x0040261c 23  24   .text   ascii   SHGetSpecialFolderPathW
194  0x00002634 0x00402634 25  26   .text   ascii   ExpandEnvironmentStringsW
195  0x00002650 0x00402650 12  13   .text   ascii   GlobalUnlock
196  0x00002660 0x00402660 10  11   .text   ascii   GlobalLock
197  0x0000266c 0x0040266c 11  12   .text   ascii   GetFileTime
198  0x00002678 0x00402678 11  12   .text   ascii   SetFileTime
199  0x00002684 0x00402684 16  17   .text   ascii   GetComputerNameW
200  0x00002698 0x00402698 9   10   .text   ascii   FindClose
201  0x000026a4 0x004026a4 13  14   .text   ascii   FindNextFileW
202  0x000026b4 0x004026b4 14  15   .text   ascii   FindFirstFileW
203  0x000026c4 0x004026c4 16  17   .text   ascii   GetTempFileNameW
204  0x000026d8 0x004026d8 20  21   .text   ascii   SystemTimeToFileTime
205  0x000026f0 0x004026f0 13  14   .text   ascii   GetSystemTime
206  0x00002700 0x00402700 20  21   .text   ascii   LeaveCriticalSection
207  0x00002718 0x00402718 20  21   .text   ascii   EnterCriticalSection
208  0x00002730 0x00402730 25  26   .text   ascii   InitializeCriticalSection
209  0x0000274c 0x0040274c 17  18   .text   ascii   ReadProcessMemory
210  0x00002760 0x00402760 12  13   .text   ascii   SetLastError
211  0x00002770 0x00402770 13  14   .text   ascii   IsBadWritePtr
212  0x00002780 0x00402780 12  13   .text   ascii   IsBadReadPtr
213  0x00002790 0x00402790 12  13   .text   ascii   GetTempPathW
214  0x000027a0 0x004027a0 16  17   .text   ascii   CreateDirectoryW
215  0x000027b4 0x004027b4 11  12   .text   ascii   MoveFileExW
216  0x000027c0 0x004027c0 19  20   .text   ascii   WideCharToMultiByte
217  0x000027d4 0x004027d4 19  20   .text   ascii   MultiByteToWideChar
218  0x000027e8 0x004027e8 15  16   .text   ascii   GetProcessTimes
219  0x000027f8 0x004027f8 14  15   .text   ascii   CreateProcessW
220  0x00002808 0x00402808 18  19   .text   ascii   GetCurrentThreadId
221  0x0000281c 0x0040281c 16  17   .text   ascii   GetCurrentThread
222  0x00002830 0x00402830 17  18   .text   ascii   GetThreadPriority
223  0x00002844 0x00402844 17  18   .text   ascii   SetThreadPriority
224  0x00002858 0x00402858 19  20   .text   ascii   GetCurrentProcessId
225  0x0000286c 0x0040286c 13  14   .text   ascii   VirtualFreeEx
226  0x0000287c 0x0040287c 16  17   .text   ascii   VirtualProtectEx
227  0x00002890 0x00402890 14  15   .text   ascii   VirtualAllocEx
228  0x000028a0 0x004028a0 14  15   .text   ascii   VirtualQueryEx
229  0x000028b0 0x004028b0 11  12   .text   ascii   OpenProcess
230  0x000028bc 0x004028bc 11  12   .text   ascii   ExitProcess
231  0x000028c8 0x004028c8 10  11   .text   ascii   ExitThread
232  0x000028d4 0x004028d4 18  19   .text   ascii   GetExitCodeProcess
233  0x000028e8 0x004028e8 12  13   .text   ascii   Thread32Next
234  0x000028f8 0x004028f8 13  14   .text   ascii   Thread32First
235  0x00002908 0x00402908 13  14   .text   ascii   Module32NextW
236  0x00002918 0x00402918 14  15   .text   ascii   Module32FirstW
237  0x00002928 0x00402928 14  15   .text   ascii   Process32NextW
238  0x00002938 0x00402938 15  16   .text   ascii   Process32FirstW
239  0x00002948 0x00402948 24  25   .text   ascii   CreateToolhelp32Snapshot
240  0x00002964 0x00402964 18  19   .text   ascii   CreateRemoteThread
241  0x00002978 0x00402978 12  13   .text   ascii   CreateThread
242  0x00002988 0x00402988 18  19   .text   ascii   WriteProcessMemory
243  0x0000299c 0x0040299c 19  20   .text   ascii   DisconnectNamedPipe
244  0x000029b0 0x004029b0 12  13   .text   ascii   GetLocalTime
245  0x000029c0 0x004029c0 16  17   .text   ascii   FlushFileBuffers
246  0x000029d4 0x004029d4 11  12   .text   ascii   GetFileSize
247  0x000029e0 0x004029e0 12  13   .text   ascii   SetEndOfFile
