[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000f0 0x000000f0 4   5            ascii   Rich
2     0x000001f8 0x000001f8 5   6            ascii   .text
3     0x0000021f 0x0000021f 7   8            ascii   `.rdata
4     0x00000247 0x00000247 6   7            ascii   @.data
5     0x00000270 0x00000270 5   6            ascii   .UPX0
6     0x00000298 0x00000298 4   5            ascii   .tls
7     0x000002c0 0x000002c0 5   6            ascii   .UPX1
8     0x000002e8 0x000002e8 6   7            ascii   .reloc
9     0x0000030f 0x0000030f 6   7            ascii   @.rsrc
144   0x00002a03 0x00424403 11  13   .UPX1   utf8    kJjn6yYǈ$ww blocks=Basic Latin,Latin Extended-B
145   0x00002a22 0x00424422 8   10   .UPX1   utf8    @uԷQ&\eC\a blocks=Basic Latin,Armenian
146   0x00002a4b 0x0042444b 4   5    .UPX1   ascii   \r/;2
147   0x00002a6a 0x0042446a 4   5    .UPX1   ascii   '.N<
148   0x00002a77 0x00424477 4   7    .UPX1   utf8    x$xy
149   0x00002aaa 0x004244aa 4   5    .UPX1   ascii   7\aK,
150   0x00002ace 0x004244ce 7   9    .UPX1   utf8    z`|\aWSߕ blocks=Basic Latin,NKo
151   0x00002aec 0x004244ec 4   5    .UPX1   ascii   4fh)
152   0x00002b0a 0x0042450a 4   5    .UPX1   ascii   0>2*
153   0x00002b2d 0x0042452d 4   5    .UPX1   ascii   WF&4
154   0x00002b40 0x00424540 4   5    .UPX1   ascii   *(?B
155   0x00002bdf 0x004245df 4   6    .UPX1   utf8    -c`z
156   0x00002c13 0x00424613 4   5    .UPX1   ascii   !K[&
157   0x00002c18 0x00424618 4   6    .UPX1   utf8    nzi̬ blocks=Basic Latin,Combining Diacritical Marks
158   0x00002c23 0x00424623 4   5    .UPX1   ascii   [$CW
159   0x00002c4a 0x0042464a 4   5    .UPX1   ascii   )/un
160   0x00002c56 0x00424656 4   5    .UPX1   ascii   ILGy
161   0x00002c6d 0x0042466d 4   7    .UPX1   utf8    M㓰+f blocks=Basic Latin,CJK Unified Ideographs Extension A
162   0x00002c94 0x00424694 4   6    .UPX1   utf8    nbVǕ blocks=Basic Latin,Latin Extended-B
163   0x00002cd4 0x004246d4 4   5    .UPX1   ascii   ;p{F
164   0x00002d09 0x00424709 6   7    .UPX1   ascii   )xj<,<
165   0x00002d1f 0x0042471f 4   5    .UPX1   ascii   K>|.
166   0x00002d36 0x00424736 4   6    .UPX1   utf8    !8\bl
167   0x00002d49 0x00424749 4   5    .UPX1   ascii   C*s*
168   0x00002d52 0x00424752 4   5    .UPX1   ascii   *}c\n
169   0x00002da6 0x004247a6 4   5    .UPX1   ascii   62WA
170   0x00002db0 0x004247b0 5   7    .UPX1   utf8    ܐ$6\by blocks=Syriac,Basic Latin
171   0x00002dc4 0x004247c4 7   10   .UPX1   utf8    {论^$9J5 blocks=Basic Latin,CJK Unified Ideographs
172   0x00002dd1 0x004247d1 5   7    .UPX1   utf8    ul$v;
173   0x00002e5e 0x0042485e 6   9    .UPX1   utf8    d4ț\bƿq blocks=Basic Latin,Latin Extended-B
174   0x00002e79 0x00424879 4   5    .UPX1   ascii   jQ97
175   0x00002e87 0x00424887 5   6    .UPX1   ascii   Y97RD
176   0x00002e94 0x00424894 5   6    .UPX1   ascii   GCE\fS
177   0x00002e9d 0x0042489d 5   6    .UPX1   ascii   P`LXR
178   0x00002ebc 0x004248bc 4   6    .UPX1   utf8    ٥t,O blocks=Arabic,Basic Latin
179   0x00002ec2 0x004248c2 4   6    .UPX1   utf8    {ّox blocks=Basic Latin,Arabic
180   0x00002f0b 0x0042490b 4   5    .UPX1   ascii   +p</
181   0x00002f1b 0x0042491b 4   5    .UPX1   ascii   | \eh
182   0x00002f25 0x00424925 4   7    .UPX1   utf8    沠N\b3 blocks=CJK Unified Ideographs,Basic Latin
183   0x00002f54 0x00424954 4   5    .UPX1   ascii   Wi:\b
184   0x00002f5a 0x0042495a 6   8    .UPX1   utf8    ҆PA]@& blocks=Cyrillic,Basic Latin
185   0x00002f69 0x00424969 4   5    .UPX1   ascii   Bzb.
186   0x00002f7f 0x0042497f 6   10   .UPX1   utf8    ȴ\rեoVɔ blocks=Latin Extended-B,Basic Latin,Armenian,IPA Extensions
187   0x00002fad 0x004249ad 4   6    .UPX1   utf8    qp\tf
188   0x00002ff6 0x004249f6 4   5    .UPX1   ascii   (xBD
189   0x0000301c 0x00424a1c 4   6    .UPX1   utf8    \ڶYT blocks=Basic Latin,Arabic
190   0x0000304b 0x00424a4b 4   6    .UPX1   utf8    D͐<R blocks=Basic Latin,Combining Diacritical Marks
191   0x00003098 0x00424a98 5   6    .UPX1   ascii   cy\v(Q
192   0x000030a2 0x00424aa2 4   5    .UPX1   ascii   7z#l
193   0x000030e9 0x00424ae9 4   6    .UPX1   utf8    \vͭ;9 blocks=Basic Latin,Combining Diacritical Marks
194   0x00003110 0x00424b10 6   7    .UPX1   ascii   4.t_3\n
195   0x0000311f 0x00424b1f 6   8    .UPX1   utf8    1I/٫\N blocks=Basic Latin,Arabic
196   0x00003154 0x00424b54 5   6    .UPX1   ascii   ZTt>_
197   0x00003162 0x00424b62 4   6    .UPX1   utf8    ؕ*4; blocks=Arabic,Basic Latin
198   0x00003187 0x00424b87 4   6    .UPX1   utf8    |X6\e
199   0x000031df 0x00424bdf 6   7    .UPX1   ascii   mYs=GL
200   0x000031ed 0x00424bed 5   6    .UPX1   ascii   Ex\vL<
201   0x00003276 0x00424c76 4   5    .UPX1   ascii   Y\r:>
202   0x000032c6 0x00424cc6 6   7    .UPX1   ascii   Q57RFs
203   0x00003304 0x00424d04 5   6    .UPX1   ascii   F%Ip\a
204   0x00003355 0x00424d55 4   5    .UPX1   ascii   K-.\v
205   0x00003379 0x00424d79 7   9    .UPX1   utf8    Bmjb\tB5
206   0x000033a3 0x00424da3 8   9    .UPX1   ascii   `,$i/a{t
207   0x000033bb 0x00424dbb 4   5    .UPX1   ascii   &\aUQ
208   0x0000340d 0x00424e0d 4   5    .UPX1   ascii   |_}@
209   0x0000341c 0x00424e1c 4   5    .UPX1   ascii   ``?W
210   0x00003481 0x00424e81 5   6    .UPX1   ascii   z%;oi
211   0x0000349a 0x00424e9a 6   7    .UPX1   ascii   uUx~s/
212   0x000034ad 0x00424ead 4   5    .UPX1   ascii   \a?\I
213   0x000034ce 0x00424ece 4   6    .UPX1   utf8    *J]G
214   0x000034f5 0x00424ef5 4   5    .UPX1   ascii   ^:$!
215   0x00003566 0x00424f66 6   7    .UPX1   ascii   k#T\ek8
216   0x000035a5 0x00424fa5 4   5    .UPX1   ascii   H\e{a
217   0x000035e0 0x00424fe0 4   5    .UPX1   ascii   b\t\tE
218   0x00003eda 0x004258da 4   5    .UPX1   ascii   \e\vk-
219   0x00003ff2 0x004259f2 5   6    .UPX1   ascii   D):+-
220   0x00004000 0x00425a00 9   10   .UPX1   ascii   w>Da;Afer
221   0x00004012 0x00425a12 5   6    .UPX1   ascii   I:w81
222   0x00004018 0x00425a18 5   7    .UPX1   utf8    oj7J̀ blocks=Basic Latin,Combining Diacritical Marks
223   0x000041aa 0x00425baa 4   6    .UPX1   utf8    ՀB;j blocks=Armenian,Basic Latin
224   0x000041e9 0x00425be9 6   7    .UPX1   ascii   \f19A=\v
225   0x000042a1 0x00425ca1 4   5    .UPX1   ascii   \n!Qm
226   0x000042b8 0x00425cb8 6   9    .UPX1   utf8    $m4쯊Am blocks=Basic Latin,Hangul Syllables
227   0x00004331 0x00425d31 6   7    .UPX1   ascii   \e:cp>\t
228   0x00004349 0x00425d49 4   5    .UPX1   ascii   \r~2^
229   0x000043b8 0x00425db8 4   5    .UPX1   ascii   7gho
230   0x000043e6 0x00425de6 4   5    .UPX1   ascii   pyl-
231   0x00004414 0x00425e14 4   5    .UPX1   ascii   HM>Y
232   0x00004439 0x00425e39 5   6    .UPX1   ascii   as0MK
233   0x000044cc 0x00425ecc 7   8    .UPX1   ascii   H\f{)e:l
234   0x000044ec 0x00425eec 4   6    .UPX1   utf8    a\fƌP blocks=Basic Latin,Latin Extended-B
235   0x0000455f 0x00425f5f 4   6    .UPX1   utf8    3>աT blocks=Basic Latin,Armenian
236   0x000045d2 0x00425fd2 5   7    .UPX1   utf8    Z*l˸! blocks=Basic Latin,Spacing Modifier Letters
237   0x000045dc 0x00425fdc 5   6    .UPX1   ascii   \f6xwl
238   0x00004602 0x00426002 4   5    .UPX1   ascii   ew.p
239   0x00004614 0x00426014 5   6    .UPX1   ascii   ]5)dP
240   0x00004650 0x00426050 7   9    .UPX1   utf8    Tԏ\bpSaM blocks=Basic Latin,Cyrillic Supplement
241   0x00004670 0x00426070 5   7    .UPX1   utf8    \acߥk\a blocks=Basic Latin,NKo
242   0x000046be 0x004260be 5   6    .UPX1   ascii   >6Rj!
243   0x000046fe 0x004260fe 4   5    .UPX1   ascii   nFdX
244   0x0000474e 0x0042614e 4   6    .UPX1   utf8    ~UՏ@ blocks=Basic Latin,Armenian
245   0x00004785 0x00426185 4   6    .UPX1   utf8    L٪Lp blocks=Basic Latin,Arabic
246   0x000047cd 0x004261cd 4   5    .UPX1   ascii   }`)$
247   0x00004819 0x00426219 5   6    .UPX1   ascii   -oZb}
248   0x00004828 0x00426228 4   5    .UPX1   ascii   Vm\vA
249   0x0000486f 0x0042626f 4   6    .UPX1   utf8    *DhT
250   0x00004897 0x00426297 5   7    .UPX1   utf8    \fVӪH\f blocks=Basic Latin,Cyrillic
251   0x000048e9 0x004262e9 4   5    .UPX1   ascii   Sw\n{
252   0x00004931 0x00426331 4   5    .UPX1   ascii   C4Px
253   0x0000493a 0x0042633a 4   5    .UPX1   ascii   7pG&
254   0x00004975 0x00426375 4   5    .UPX1   ascii   =h>4
255   0x000049b2 0x004263b2 4   5    .UPX1   ascii   pt@8
256   0x00004a6f 0x0042646f 4   5    .UPX1   ascii   l2I4
257   0x00004a9a 0x0042649a 4   6    .UPX1   utf8    *XӽD blocks=Basic Latin,Cyrillic
258   0x00004ab8 0x004264b8 4   5    .UPX1   ascii   C\ntc
259   0x00004be9 0x004265e9 4   5    .UPX1   ascii   sq@K
260   0x00004bfc 0x004265fc 4   5    .UPX1   ascii   j? N
261   0x00004c98 0x00426698 4   5    .UPX1   ascii   "^R{
262   0x00004c9e 0x0042669e 6   9    .UPX1   utf8    K莬+M C blocks=Basic Latin,CJK Unified Ideographs
263   0x00004cc5 0x004266c5 5   6    .UPX1   ascii    }{+X
264   0x00004d0e 0x0042670e 4   5    .UPX1   ascii   }eKL
265   0x00004d32 0x00426732 4   5    .UPX1   ascii   Y\v{ 
266   0x00004d8a 0x0042678a 4   6    .UPX1   utf8    k˗-9 blocks=Basic Latin,Spacing Modifier Letters
267   0x00004da9 0x004267a9 4   7    .UPX1   utf8    y>ȫF blocks=Basic Latin,Latin Extended-B
268   0x00004e00 0x00426800 6   8    .UPX1   utf8    8Z@ЈdI blocks=Basic Latin,Cyrillic
269   0x00004e41 0x00426841 5   6    .UPX1   ascii   `S{wg
270   0x00004e4d 0x0042684d 4   6    .UPX1   utf8    q̻\a7 blocks=Basic Latin,Combining Diacritical Marks
271   0x00004e5d 0x0042685d 6   8    .UPX1   utf8    [%ل`!] blocks=Basic Latin,Arabic
272   0x00004e9a 0x0042689a 5   6    .UPX1   ascii   Fn\nP'
273   0x00004ef7 0x004268f7 6   7    .UPX1   ascii   )t@:ya
274   0x00004f2d 0x0042692d 4   6    .UPX1   utf8    Vcp8
275   0x00004f4a 0x0042694a 5   6    .UPX1   ascii   0@3i\v
276   0x00004f6c 0x0042696c 4   5    .UPX1   ascii   wVZ\
277   0x00004f90 0x00426990 5   6    .UPX1   ascii   T:Ga@
278   0x00004fc7 0x004269c7 4   5    .UPX1   ascii   ;q3,
279   0x0000502c 0x00426a2c 4   6    .UPX1   utf8    2Ͽ;] blocks=Basic Latin,Greek and Coptic
280   0x00005032 0x00426a32 4   5    .UPX1   ascii   qdqG
281   0x000050a2 0x00426aa2 4   5    .UPX1   ascii   `m<g
282   0x000050c2 0x00426ac2 4   5    .UPX1   ascii   'erJ
283   0x00005127 0x00426b27 4   5    .UPX1   ascii   5NS^
284   0x00005208 0x00426c08 7   10   .UPX1   utf8    5\b1b۟үN blocks=Basic Latin,Arabic,Cyrillic
285   0x00005254 0x00426c54 4   5    .UPX1   ascii   X@\bk
286   0x0000529b 0x00426c9b 4   7    .UPX1   utf8    ݍUJz blocks=Syriac,Basic Latin
287   0x000052fc 0x00426cfc 8   9    .UPX1   ascii   ,qt6ZH{d
288   0x00005313 0x00426d13 6   7    .UPX1   ascii   -/G?0#
289   0x00005368 0x00426d68 4   5    .UPX1   ascii   *6vs
290   0x00005382 0x00426d82 5   6    .UPX1   ascii   }`K@o
291   0x000053c4 0x00426dc4 5   6    .UPX1   ascii   O0DgG
292   0x0000545c 0x00426e5c 5   6    .UPX1   ascii   !HG`$
293   0x00005468 0x00426e68 4   5    .UPX1   ascii   (*yP
294   0x000054b1 0x00426eb1 5   7    .UPX1   utf8    \bۮV<} blocks=Basic Latin,Arabic
295   0x000054e8 0x00426ee8 4   5    .UPX1   ascii   \n@a 
296   0x000054ed 0x00426eed 4   5    .UPX1   ascii   $1gr
297   0x0000550a 0x00426f0a 4   5    .UPX1   ascii   xD/l
298   0x00005539 0x00426f39 4   5    .UPX1   ascii   z/\n6
299   0x0000558e 0x00426f8e 6   7    .UPX1   ascii   @\f\;X`
300   0x0000559e 0x00426f9e 4   6    .UPX1   utf8    ]C߃v blocks=Basic Latin,NKo
301   0x000055aa 0x00426faa 4   5    .UPX1   ascii   !f\fx
302   0x000055af 0x00426faf 4   5    .UPX1   ascii   t>(Q
303   0x000055fa 0x00426ffa 5   6    .UPX1   ascii   Vx4}>
304   0x00005666 0x00427066 4   5    .UPX1   ascii   '@Xv
305   0x00005676 0x00427076 8   9    .UPX1   ascii   @P]JT,u\b
306   0x0000567f 0x0042707f 7   8    .UPX1   ascii   d}v8B@&
307   0x00005694 0x00427094 4   5    .UPX1   ascii   \v\ei0
308   0x000056a1 0x004270a1 6   8    .UPX1   utf8    5v09ؗM blocks=Basic Latin,Arabic
309   0x000056d6 0x004270d6 4   5    .UPX1   ascii   (S{\f
310   0x0000575c 0x0042715c 4   7    .UPX1   utf8    zɀI; blocks=Basic Latin,Latin Extended-B
311   0x000057f5 0x004271f5 4   5    .UPX1   ascii   s"uS
312   0x0000581f 0x0042721f 4   5    .UPX1   ascii   \ak h
313   0x0000584b 0x0042724b 4   5    .UPX1   ascii   tFV#
314   0x00005870 0x00427270 4   6    .UPX1   utf8    ݬu\a? blocks=Arabic Supplement,Basic Latin
315   0x00005891 0x00427291 6   7    .UPX1   ascii   .\f3",w
316   0x000058d2 0x004272d2 6   7    .UPX1   ascii   czp\t;C
317   0x00005904 0x00427304 4   6    .UPX1   utf8     ՃB` blocks=Basic Latin,Armenian
318   0x00005961 0x00427361 4   6    .UPX1   utf8    ʔ\a(% blocks=IPA Extensions,Basic Latin
319   0x00005970 0x00427370 5   6    .UPX1   ascii   0k]T&
320   0x00005979 0x00427379 4   6    .UPX1   utf8    ٣jSb blocks=Arabic,Basic Latin
321   0x00005990 0x00427390 4   7    .UPX1   utf8    &Iʋր blocks=Basic Latin,IPA Extensions,Armenian
322   0x00005a01 0x00427401 4   5    .UPX1   ascii   #iKp
323   0x00005a75 0x00427475 4   5    .UPX1   ascii   EH[-
324   0x00005b49 0x00427549 4   5    .UPX1   ascii   Oy9c
325   0x00005cba 0x004276ba 4   5    .UPX1   ascii   YcmB
326   0x00005cc6 0x004276c6 4   5    .UPX1   ascii    \ft"
327   0x00005cd1 0x004276d1 4   5    .UPX1   ascii   \rfHx
328   0x00005d7e 0x0042777e 4   5    .UPX1   ascii   6 gw
329   0x00005da2 0x004277a2 5   6    .UPX1   ascii   l )v<
330   0x00005dcd 0x004277cd 5   6    .UPX1   ascii   {8)Yr
