[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
658  0x00004990 0x10005590 4   6    .text   utf8    ID$0
659  0x000049e1 0x100055e1 7   11   .text   utf8    ȋID$(Ǆ$ blocks=Latin Extended-B,Basic Latin
660  0x00004a1c 0x1000561c 5   7    .text   utf8    L$0#ȋ blocks=Basic Latin,Latin Extended-B
661  0x00004a2d 0x1000562d 5   8    .text   utf8    ȋID$, blocks=Latin Extended-B,Basic Latin
662  0x00004a45 0x10005645 5   8    .text   utf8    ȋKL$$ blocks=Latin Extended-B,Basic Latin
663  0x00004a4e 0x1000564e 5   8    .text   utf8    ȋID$$ blocks=Latin Extended-B,Basic Latin
664  0x00004a5f 0x1000565f 4   5    .text   ascii   D$ H
665  0x00004a64 0x10005664 4   5    .text   ascii   D$@H
666  0x00004a72 0x10005672 5   7    .text   utf8    +KL$4
667  0x00004a7a 0x1000567a 5   8    .text   utf8    ȋID$4 blocks=Latin Extended-B,Basic Latin
668  0x00004a8a 0x1000568a 5   6    .text   ascii   D$h4\r
669  0x00004a96 0x10005696 9   12   .text   utf8    L$d#ȋKL$0 blocks=Basic Latin,Latin Extended-B
670  0x00004adb 0x100056db 5   8    .text   utf8    ȋID$  blocks=Latin Extended-B,Basic Latin
671  0x00004b00 0x10005700 4   6    .text   utf8    KL$ 
672  0x00004b07 0x10005707 7   11   .text   utf8    ȋID$ Ǆ$ blocks=Latin Extended-B,Basic Latin
673  0x00004b75 0x10005775 5   6    .text   ascii   D$TE3
674  0x00004bd3 0x100057d3 4   5    .text   ascii   D$T9
675  0x00004bdc 0x100057dc 4   5    .text   ascii   D$dH
676  0x00004be1 0x100057e1 4   5    .text   ascii   D$HH
677  0x00004be6 0x100057e6 4   5    .text   ascii   D$TH
678  0x00004c0a 0x1000580a 4   5    .text   ascii   D$`H
679  0x00004c3a 0x1000583a 4   5    .text   ascii   L$\bH
680  0x00004c57 0x10005857 5   6    .text   ascii   D$,9z
681  0x00004c5f 0x1000585f 8   10   .text   utf8    |$,>uBǄ$ blocks=Basic Latin,Latin Extended-B
682  0x00004dbe 0x100059be 6   9    .text   utf8    ȋID$<H blocks=Latin Extended-B,Basic Latin
683  0x00004de5 0x100059e5 5   7    .text   utf8    L$0#ȋ blocks=Basic Latin,Latin Extended-B
684  0x00004dfc 0x100059fc 7   11   .text   utf8    ȋID$0Ǆ$ blocks=Latin Extended-B,Basic Latin
685  0x00004e35 0x10005a35 5   6    .text   ascii   D$4^O
686  0x00004e6f 0x10005a6f 4   5    .text   ascii   D$(>
687  0x00004f48 0x10005b48 4   5    .text   ascii   D$$H
688  0x00004f9d 0x10005b9d 4   5    .text   ascii   D$ H
689  0x0000504f 0x10005c4f 5   6    .text   ascii   @\bMcP
690  0x000050bc 0x10005cbc 5   6    .text   ascii   A\bLcA
691  0x00005142 0x10005d42 4   5    .text   ascii   L$\bH
692  0x00005162 0x10005d62 5   6    .text   ascii   D$XE3
693  0x0000516a 0x10005d6a 4   5    .text   ascii   T$`H
694  0x00005179 0x10005d79 4   5    .text   ascii   D$PH
695  0x0000518f 0x10005d8f 4   5    .text   ascii   D$HH
696  0x00005194 0x10005d94 4   5    .text   ascii   D$0H
697  0x00005199 0x10005d99 4   5    .text   ascii   D$@H
698  0x0000519e 0x10005d9e 4   5    .text   ascii   D$(H
699  0x000051aa 0x10005daa 4   5    .text   ascii   D$ L
700  0x000051af 0x10005daf 4   5    .text   ascii   L$PL
701  0x000051b4 0x10005db4 4   5    .text   ascii   D$XH
702  0x000051b9 0x10005db9 4   5    .text   ascii   T$`3
703  0x00005221 0x10005e21 4   5    .text   ascii   D$hH
704  0x00005592 0x10006192 11  12   .text   ascii   LoadStringW
705  0x0000559e 0x1000619e 10  11   .text   ascii   USER32.dll
706  0x000055ac 0x100061ac 16  17   .text   ascii   GetSaveFileNameA
707  0x000055be 0x100061be 12  13   .text   ascii   COMDLG32.dll
708  0x000055ce 0x100061ce 14  15   .text   ascii   CoUninitialize
709  0x000055e0 0x100061e0 19  20   .text   ascii   CoRegisterSurrogate
710  0x000055f6 0x100061f6 12  13   .text   ascii   CoInitialize
711  0x00005604 0x10006204 9   10   .text   ascii   ole32.dll
712  0x00005610 0x10006210 12  13   .text   ascii   CreateMutexA
713  0x00005620 0x10006220 22  23   .text   ascii   GetEnvironmentStringsW
714  0x0000563a 0x1000623a 21  22   .text   ascii   GetEnvironmentStrings
715  0x00005652 0x10006252 13  14   .text   ascii   GetVersionExA
716  0x00005662 0x10006262 6   7    .text   ascii   GetACP
717  0x0000566c 0x1000626c 16  17   .text   ascii   GetModuleHandleA
718  0x00005680 0x10006280 14  15   .text   ascii   VirtualAllocEx
719  0x00005692 0x10006292 14  15   .text   ascii   GetProcessHeap
720  0x000056a4 0x100062a4 19  20   .text   ascii   GetCurrentProcessId
721  0x000056ba 0x100062ba 16  17   .text   ascii   GetCurrentThread
722  0x000056ce 0x100062ce 8   9    .text   ascii   GetOEMCP
723  0x000056da 0x100062da 12  13   .text   ascii   CreateEventA
724  0x000056e8 0x100062e8 12  13   .text   ascii   KERNEL32.dll
725  0x000056f8 0x100062f8 16  17   .text   ascii   TerminateProcess
726  0x0000570c 0x1000630c 17  18   .text   ascii   GetCurrentProcess
727  0x00005720 0x10006320 24  25   .text   ascii   UnhandledExceptionFilter
728  0x0000573c 0x1000633c 27  28   .text   ascii   SetUnhandledExceptionFilter
729  0x0000575a 0x1000635a 17  18   .text   ascii   IsDebuggerPresent
730  0x0000576e 0x1000636e 16  17   .text   ascii   RtlVirtualUnwind
731  0x00005782 0x10006382 22  23   .text   ascii   RtlLookupFunctionEntry
732  0x0000579c 0x1000639c 17  18   .text   ascii   RtlCaptureContext
733  0x000057e2 0x100063e2 10  11   .text   ascii   verkar.dll
734  0x000057ed 0x100063ed 6   7    .text   ascii   verkar
735  0x00005858 0x10007058 7   8    .data   ascii   [`\b6R)\b
736  0x00005860 0x10007060 7   8    .data   ascii   [`J6R)\n
737  0x0000586b 0x1000706b 4   5    .data   ascii   6R)\f
738  0x000058a0 0x100070a0 6   7    .data   ascii   [`06R)
739  0x000058bb 0x100070bb 4   5    .data   ascii   6R) 
740  0x000058c0 0x100070c0 7   8    .data   ascii   [`@6R)"
741  0x000058cb 0x100070cb 4   5    .data   ascii   6R)$
742  0x000058d3 0x100070d3 4   5    .data   ascii   7R)&
743  0x000058db 0x100070db 4   5    .data   ascii   7R)(
744  0x000058e3 0x100070e3 4   5    .data   ascii   6R)*
745  0x000058eb 0x100070eb 4   5    .data   ascii   7R),
746  0x000058f3 0x100070f3 4   5    .data   ascii   6R).
747  0x000058fb 0x100070fb 4   5    .data   ascii   6R)0
748  0x00005900 0x10007100 7   8    .data   ascii   [`r6R)2
749  0x0000590b 0x1000710b 4   5    .data   ascii   7R)4
750  0x00005913 0x10007113 4   5    .data   ascii   6R)6
751  0x00005918 0x10007118 7   8    .data   ascii   [`86R)8
752  0x00005923 0x10007123 4   5    .data   ascii   6R):
753  0x0000592b 0x1000712b 4   5    .data   ascii   7R)<
754  0x00005933 0x10007133 4   5    .data   ascii   7R)>
755  0x0000593b 0x1000713b 4   5    .data   ascii   6R)@
756  0x00005943 0x10007143 4   5    .data   ascii   7R)B
757  0x0000594b 0x1000714b 4   5    .data   ascii   7R)D
758  0x00005950 0x10007150 7   8    .data   ascii   [` 6R)F
759  0x0000595b 0x1000715b 4   5    .data   ascii   6R)H
760  0x00005963 0x10007163 4   5    .data   ascii   7R)J
761  0x0000596b 0x1000716b 4   5    .data   ascii   6R)L
762  0x00005970 0x10007170 7   8    .data   ascii   [``6R)N
763  0x0000597b 0x1000717b 4   5    .data   ascii   6R)P
764  0x00005980 0x10007180 7   8    .data   ascii   [`r6R)R
765  0x0000598b 0x1000718b 4   5    .data   ascii   7R)T
766  0x00005993 0x10007193 4   5    .data   ascii   6R)V
767  0x0000599b 0x1000719b 4   5    .data   ascii   7R)X
768  0x000059a3 0x100071a3 4   5    .data   ascii   6R)Z
769  0x000059ab 0x100071ab 4   5    .data   ascii   7R)\
770  0x000059b3 0x100071b3 4   5    .data   ascii   6R)^
771  0x000059b8 0x100071b8 7   8    .data   ascii   [`p6R)`
772  0x000059c3 0x100071c3 4   5    .data   ascii   6R)b
773  0x000059cb 0x100071cb 4   5    .data   ascii   7R)d
774  0x000059d3 0x100071d3 4   5    .data   ascii   6R)f
775  0x000059d8 0x100071d8 7   8    .data   ascii   [``6R)h
776  0x000059e3 0x100071e3 4   5    .data   ascii   7R)j
777  0x000059eb 0x100071eb 4   5    .data   ascii   6R)l
778  0x000059f3 0x100071f3 4   5    .data   ascii   7R)n
779  0x000059fb 0x100071fb 4   5    .data   ascii   7R)p
780  0x00005a03 0x10007203 4   5    .data   ascii   6R)r
781  0x00005a0b 0x1000720b 4   5    .data   ascii   7R)t
782  0x00005a13 0x10007213 4   5    .data   ascii   7R)v
783  0x00005a1b 0x1000721b 4   5    .data   ascii   6R)x
784  0x00005a23 0x10007223 4   5    .data   ascii   7R)z
785  0x00005a2b 0x1000722b 4   5    .data   ascii   7R)|
786  0x00005a33 0x10007233 4   5    .data   ascii   6R)~
787  0x00005b33 0x10007333 6   8    .data   utf8    4R)9[`
788  0x00005b3b 0x1000733b 6   8    .data   utf8    4R)¹[` blocks=Basic Latin,Latin-1 Supplement
789  0x00005b43 0x10007343 6   8    .data   utf8    4R)Ĺ[` blocks=Basic Latin,Latin Extended-A
790  0x00005b4b 0x1000734b 6   8    .data   utf8    4R)ƹ[` blocks=Basic Latin,Latin Extended-B
791  0x00005b53 0x10007353 6   8    .data   utf8    4R)ȹ[` blocks=Basic Latin,Latin Extended-B
792  0x00005b5b 0x1000735b 6   8    .data   utf8    4R)ʹ[` blocks=Basic Latin,Spacing Modifier Letters
793  0x00005b63 0x10007363 6   8    .data   utf8    4R)̹[` blocks=Basic Latin,Combining Diacritical Marks
794  0x00005b6b 0x1000736b 6   8    .data   utf8    4R)ι[` blocks=Basic Latin,Greek and Coptic
795  0x00005b73 0x10007373 6   8    .data   utf8    4R)й[` blocks=Basic Latin,Cyrillic
796  0x00005b7b 0x1000737b 6   8    .data   utf8    4R)ҹ[` blocks=Basic Latin,Cyrillic
797  0x00005b83 0x10007383 6   8    .data   utf8    4R)Թ[` blocks=Basic Latin,Armenian
798  0x00005b8b 0x1000738b 6   8    .data   utf8    4R)ֹ[` blocks=Basic Latin,Hebrew
799  0x00005b93 0x10007393 6   8    .data   utf8    4R)ع[` blocks=Basic Latin,Arabic
800  0x00005b9b 0x1000739b 6   8    .data   utf8    4R)ڹ[` blocks=Basic Latin,Arabic
801  0x00005ba3 0x100073a3 6   8    .data   utf8    4R)ܹ[` blocks=Basic Latin,Syriac
802  0x00005bc6 0x100073c6 4   9    .data   utf8    Hޙ쉮Ǹ blocks=Basic Latin,Thaana,Hangul Syllables,Latin Extended-B
803  0x00005c63 0x10007463 4   6    .data   utf8    <[̌5 blocks=Basic Latin,Combining Diacritical Marks
804  0x00005d14 0x10007514 5   7    .data   utf8    R)и[` blocks=Basic Latin,Cyrillic
805  0x00005d1b 0x1000751b 6   8    .data   utf8    6R)Ҹ[` blocks=Basic Latin,Cyrillic
806  0x00005d23 0x10007523 6   8    .data   utf8    6R)Ը[` blocks=Basic Latin,Armenian
807  0x00005d2b 0x1000752b 6   8    .data   utf8    6R)ָ[` blocks=Basic Latin,Hebrew
808  0x00005d33 0x10007533 6   8    .data   utf8    6R)ظ[` blocks=Basic Latin,Arabic
809  0x00005d3b 0x1000753b 6   8    .data   utf8    6R)ڸ[` blocks=Basic Latin,Arabic
810  0x00005d43 0x10007543 6   8    .data   utf8    6R)ܸ[` blocks=Basic Latin,Syriac
811  0x00005d93 0x10007593 4   5    .data   ascii   6AII
812  0x00005dad 0x100075ad 5   6    .data   ascii   r\t5\va
813  0x00005db5 0x100075b5 5   6    .data   ascii   fy5\va
814  0x00005dbf 0x100075bf 6   8    .data   utf8    4۳_S[` blocks=Basic Latin,Arabic
815  0x00005deb 0x100075eb 4   5    .data   ascii   .MiI
816  0x00005dff 0x100075ff 7   8    .data   ascii   4R) '[`
817  0x00005e07 0x10007607 7   8    .data   ascii   4r)p/[`
818  0x00005e45 0x10007645 5   6    .data   ascii   r\t5\ea
819  0x00005e55 0x10007655 5   6    .data   ascii   fyw\ea
820  0x00005e6b 0x1000766b 7   8    .data   ascii   4")03[`
821  0x00005e7e 0x1000767e 4   5    .data   ascii   \t4[`
822  0x00005ebf 0x100076bf 4   5    .data   ascii   <+a`
823  0x00005efa 0x100076fa 5   6    .data   ascii   M4MiI
824  0x00005f8b 0x1000778b 6   7    .data   ascii   47i *X
825  0x00005faf 0x100077af 4   5    .data   ascii   5IiI
826  0x00005fe7 0x100077e7 7   8    .data   ascii   5R) '[`
827  0x00006003 0x10007803 4   5    .data   ascii   5HiI
828  0x0000600c 0x1000780c 6   7    .data   ascii   R) #[`
829  0x00006013 0x10007813 4   5    .data   ascii   7Tr\t
830  0x00006026 0x10007826 11  12   .data   ascii   @4B) #[`f6L
831  0x0000604c 0x1000784c 4   5    .data   ascii   [r)4
832  0x000060a6 0x100078a6 8   9    .data   ascii   \tt[`t5{`
833  0x000060af 0x100078af 4   5    .data   ascii   4MiI
834  0x000060d7 0x100078d7 4   5    .data   ascii   4MyI
835  0x00006113 0x10007913 4   5    .data   ascii   4IiI
836  0x0000611b 0x1000791b 4   5    .data   ascii   TMiI
837  0x00006137 0x10007937 7   8    .data   ascii   4R)0#[`
838  0x0000615f 0x1000795f 7   8    .data   ascii   4R)0#[`
839  0x00006197 0x10007997 7   8    .data   ascii   >R)`#[`
840  0x000061a4 0x100079a4 6   7    .data   ascii   B)`#[`
841  0x000061da 0x100079da 4   5    .data   ascii   \t5\ec
842  0x000061ef 0x100079ef 7   8    .data   ascii   5R)@'[`
843  0x0000623d 0x10007a3d 4   5    .data   ascii   t("M
844  0x00006263 0x10007a63 4   5    .data   ascii   "MiI
845  0x000062ab 0x10007aab 5   8    .data   utf8    5M㑤R) blocks=Basic Latin,CJK Unified Ideographs Extension A
846  0x000062d2 0x10007ad2 4   5    .data   ascii   S5[`
847  0x000062d7 0x10007ad7 7   8    .data   ascii   4R)P#[`
848  0x000062df 0x10007adf 7   8    .data   ascii   4r)0#[`
849  0x000062e7 0x10007ae7 7   8    .data   ascii   4B)`#[`
850  0x000062f3 0x10007af3 4   5    .data   ascii   LMiI
851  0x000062ff 0x10007aff 7   8    .data   ascii   "B)`#[`
852  0x00006312 0x10007b12 4   5    .data   ascii   r}[`
853  0x0000631f 0x10007b1f 5   6    .data   ascii   4[`f4
854  0x0000632e 0x10007b2e 4   5    .data   ascii   p}[`
855  0x00006341 0x10007b41 4   5    .data   ascii   5\ad[
856  0x00006395 0x10007b95 4   5    .data   ascii   (P&M
857  0x000063b3 0x10007bb3 7   8    .data   ascii   $Kfq}Z`
858  0x000063e7 0x10007be7 7   8    .data   ascii   |[~\b=Y`
859  0x00006411 0x10007c11 4   5    .data   ascii   ( &M
860  0x0000643e 0x10007c3e 4   5    .data   ascii   \b?Z`
861  0x00006463 0x10007c63 5   6    .data   ascii   4{~n}
862  0x00006475 0x10007c75 4   5    .data   ascii   v\t,]
863  0x000064bb 0x10007cbb 5   6    .data   ascii   4{~n}
864  0x0000651d 0x10007d1d 4   5    .data   ascii   (@&"
865  0x000065b1 0x10007db1 4   5    .data   ascii   (p&M
866  0x000065b9 0x10007db9 5   6    .data   ascii   IIDZ`
867  0x000065e2 0x10007de2 5   6    .data   ascii    TMyI
868  0x000065ff 0x10007dff 4   5    .data   ascii   |MyI
869  0x00006642 0x10007e42 4   5    .data   ascii   r}[`
870  0x00006689 0x10007e89 4   5    .data   ascii   (P"]
871  0x0000670d 0x10007f0d 4   6    .data   utf8    v\t"˞ blocks=Basic Latin,Spacing Modifier Letters
872  0x00006713 0x10007f13 4   5    .data   ascii   }IiH
873  0x00006729 0x10007f29 4   5    .data   ascii   (@"]
874  0x00006789 0x10007f89 4   5    .data   ascii   (P"]
875  0x000067bc 0x10007fbc 4   5    .data   ascii   'sv*
876  0x000067d6 0x10007fd6 7   8    .data   ascii   '}7iH*]
877  0x00006805 0x10008005 4   5    .data   ascii   (P&M
878  0x0000681d 0x1000801d 4   5    .data   ascii   (P"]
879  0x0000682d 0x1000802d 5   6    .data   ascii   (@"*q
880  0x0000684d 0x1000804d 4   5    .data   ascii   (P"]
881  0x000068e1 0x100080e1 4   6    .data   utf8    ~n}ˬ blocks=Basic Latin,Spacing Modifier Letters
882  0x000068f5 0x100080f5 4   5    .data   ascii   (P"]
883  0x00006959 0x10008159 5   6    .data   ascii   (@"Ma
884  0x000069aa 0x100081aa 4   5    .data   ascii    tR(
885  0x000069ca 0x100081ca 4   5    .data   ascii   HDY`
886  0x000069f5 0x100081f5 4   5    .data   ascii   (@"]
887  0x00006a15 0x10008215 4   5    .data   ascii   (p&M
888  0x00006a49 0x10008249 5   6    .data   ascii   (p"7s
889  0x00006a82 0x10008282 4   5    .data   ascii   \b?^`
890  0x00006aa6 0x100082a6 4   5    .data   ascii   \b?Z`
891  0x00006b32 0x10008332 4   5    .data   ascii   \e5[`
892  0x00006b39 0x10008339 5   6    .data   ascii   (p"7a
893  0x00006b95 0x10008395 5   6    .data   ascii   ~l}Kc
894  0x00006c21 0x10008421 5   6    .data   ascii   ~l}Kc
895  0x00006c67 0x10008467 6   7    .data   ascii   T+~l}M
896  0x00006ca9 0x100084a9 5   6    .data   ascii   (`6Q`
897  0x00006cbd 0x100084bd 5   6    .data   ascii   (`6Z`
898  0x00006ce5 0x100084e5 4   5    .data   ascii   (`"M
899  0x00006d25 0x10008525 5   6    .data   ascii   (p"7s
900  0x0003c466 0x10051066 15  32   .rsrc   utf16le VS_VERSION_INFO
901  0x0003c4c2 0x100510c2 14  30   .rsrc   utf16le StringFileInfo
902  0x0003c4e6 0x100510e6 8   18   .rsrc   utf16le 040904E4
903  0x0003c4fe 0x100510fe 11  24   .rsrc   utf16le CompanyName
904  0x0003c518 0x10051118 13  28   .rsrc   utf16le MinuetsOs Inc
905  0x0003c53a 0x1005113a 15  32   .rsrc   utf16le FileDescription
906  0x0003c55c 0x1005115c 13  28   .rsrc   utf16le MinuetsOs Inc
907  0x0003c57e 0x1005117e 11  24   .rsrc   utf16le FileVersion
908  0x0003c5a6 0x100511a6 12  26   .rsrc   utf16le InternalName
909  0x0003c5c0 0x100511c0 13  28   .rsrc   utf16le MinuetsOs Inc
910  0x0003c5e2 0x100511e2 16  34   .rsrc   utf16le OriginalFilename
911  0x0003c604 0x10051204 13  28   .rsrc   utf16le MinuetsOs.dll
912  0x0003c626 0x10051226 14  30   .rsrc   utf16le ProductVersion
913  0x0003c644 0x10051244 4   10   .rsrc   utf16le 1, 0
914  0x0003c656 0x10051256 11  24   .rsrc   utf16le ProductName
915  0x0003c670 0x10051270 13  28   .rsrc   utf16le MinuetsOs Inc
916  0x0003c694 0x10051294 10  22   .rsrc   utf16le arFileInfo
917  0x0003c6b2 0x100512b2 11  24   .rsrc   utf16le Translation
918  0x0003ca08 0x10051608 41  84           utf16le \Users\J\AppData\Local\Temp\AFFA0BDC.tmp\f
919  0x0003ca5c 0x1005165c 13  28           utf16le AFFA0BDC.tmp\
920  0x0003ca78 0x10051678 92  186          utf16le C:\Users\J\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.MSO\AFFA0BDC.tmp
921  0x0003cd15 0x10051915 59  120          utf16le \p\r䄀浤湩獩牴瑡牯††††††††††††††††††††††††††††††††††††††††††††††††B blocks=Basic Latin,CJK Unified Ideographs Extension A,CJK Unified Ideographs,General Punctuation
922  0x0003ce21 0x10051a21 8   18           utf16le Calibri1
923  0x0003ce43 0x10051a43 8   18           utf16le Calibri1
924  0x0003ce65 0x10051a65 8   18           utf16le Calibri1
925  0x0003ce87 0x10051a87 8   18           utf16le Calibri1
926  0x0003cea9 0x10051aa9 8   18           utf16le Calibri1
927  0x0003cecb 0x10051acb 8   18           utf16le Calibri1
928  0x0003ceed 0x10051aed 8   18           utf16le Calibri1
929  0x0003cf0f 0x10051b0f 8   18           utf16le Calibri1
930  0x0003cf31 0x10051b31 8   18           utf16le Calibri1
931  0x0003cf53 0x10051b53 8   18           utf16le Calibri1
932  0x0003cf75 0x10051b75 8   18           utf16le Calibri1
933  0x0003cf97 0x10051b97 8   18           utf16le Calibri1
934  0x0003cfb9 0x10051bb9 8   18           utf16le Calibri1
935  0x0003cfdb 0x10051bdb 8   18           utf16le Calibri1
936  0x0003cffd 0x10051bfd 8   18           utf16le Calibri1
937  0x0003d01f 0x10051c1f 8   18           utf16le Calibri1
938  0x0003d041 0x10051c41 8   18           utf16le Calibri1
939  0x0003d063 0x10051c63 8   18           utf16le Calibri1
940  0x0003d085 0x10051c85 8   18           utf16le Calibri1
941  0x0003d0a7 0x10051ca7 8   18           utf16le Calibri1
942  0x0003d0c9 0x10051cc9 8   18           utf16le Calibri1
943  0x0003d0eb 0x10051ceb 9   19           utf16le Calibri1*
944  0x0003d10d 0x10051d0d 14  30           utf16le Calibri Light1
945  0x0003d13b 0x10051d3b 8   18           utf16le Calibri1
946  0x0003d15d 0x10051d5d 7   15           utf16le Calibri
947  0x0003d174 0x10051d74 23  24           ascii   "$"#,##0_);\("$"#,##0\)
948  0x0003d194 0x10051d94 28  29           ascii   "$"#,##0_);[Red]\("$"#,##0\)
949  0x0003d1b9 0x10051db9 29  30           ascii   "$"#,##0.00_);\("$"#,##0.00\)
950  0x0003d1df 0x10051ddf 34  35           ascii   "$"#,##0.00_);[Red]\("$"#,##0.00\)
951  0x0003d20a 0x10051e0a 50  51           ascii   _("$"* #,##0_);_("$"* \(#,##0\);_("$"* "-"_);_(@_)
952  0x0003d245 0x10051e45 41  42           ascii   _(* #,##0_);_(* \(#,##0\);_(* "-"_);_(@_)
953  0x0003d277 0x10051e77 58  59           ascii   _("$"* #,##0.00_);_("$"* \(#,##0.00\);_("$"* "-"??_);_(@_)
954  0x0003d2ba 0x10051eba 49  50           ascii   _(* #,##0.00_);_(* \(#,##0.00\);_(* "-"??_);_(@_)
955  0x0003d2f4 0x10051ef4 6   13           utf16le #,##0"
956  0x0003d302 0x10051f02 11  23           utf16le .";\-#,##0"
957  0x0003d327 0x10051f27 6   13           utf16le #,##0"
958  0x0003d335 0x10051f35 16  33           utf16le .";[Red]\-#,##0"
959  0x0003d364 0x10051f64 9   19           utf16le #,##0.00"
960  0x0003d378 0x10051f78 14  29           utf16le .";\-#,##0.00"
961  0x0003d3a3 0x10051fa3 9   19           utf16le #,##0.00"
962  0x0003d3b7 0x10051fb7 19  39           utf16le .";[Red]\-#,##0.00"
963  0x0003d3ec 0x10051fec 10  21           utf16le _-* #,##0"
964  0x0003d402 0x10052002 15  31           utf16le ."_-;\-* #,##0"
965  0x0003d422 0x10052022 13  27           utf16le ."_-;_-* "-""
966  0x0003d43e 0x1005203e 10  21           utf16le ."_-;_-@_-
967  0x0003d45b 0x1005205b 10  21           utf16le _-* #,##0_
968  0x0003d471 0x10052071 15  31           utf16le _._-;\-* #,##0_
969  0x0003d491 0x10052091 13  27           utf16le _._-;_-* "-"_
970  0x0003d4ad 0x100520ad 10  21           utf16le _._-;_-@_-
971  0x0003d549 0x10052149 13  27           utf16le _-* #,##0.00_
972  0x0003d565 0x10052165 18  37           utf16le _._-;\-* #,##0.00_
973  0x0003d58b 0x1005218b 15  31           utf16le _._-;_-* "-"??_
974  0x0003d5ab 0x100521ab 10  21           utf16le _._-;_-@_-
975  0x0003e3e7 0x10052fe7 5   12           utf16le ,000\b
976  0x0003e47c 0x1005307c 5   12           utf16le ,000\b
977  0x0003e687 0x10053287 5   12           utf16le ,000\b
978  0x0003e92a 0x1005352a 13  14           ascii   20% - Accent1
979  0x0003e94b 0x1005354b 14  30           utf16le \r20% - Accent1
980  0x0003e991 0x10053591 13  14           ascii   20% - Accent2
981  0x0003e9b2 0x100535b2 14  30           utf16le \r20% - Accent2
982  0x0003e9f8 0x100535f8 13  14           ascii   20% - Accent3
983  0x0003ea19 0x10053619 14  30           utf16le \r20% - Accent3
984  0x0003ea5f 0x1005365f 13  14           ascii   20% - Accent4
985  0x0003ea80 0x10053680 14  30           utf16le \r20% - Accent4
986  0x0003eaa4 0x100536a4 4   5            ascii   \a\aef
987  0x0003eac6 0x100536c6 13  14           ascii   20% - Accent5
988  0x0003eae7 0x100536e7 14  30           utf16le \r20% - Accent5
989  0x0003eb0b 0x1005370b 4   5            ascii   \a\bef
990  0x0003eb2d 0x1005372d 13  14           ascii   20% - Accent6
991  0x0003eb4e 0x1005374e 14  30           utf16le \r20% - Accent6
992  0x0003eb72 0x10053772 4   5            ascii   \a\tef
993  0x0003eb94 0x10053794 13  14           ascii   40% - Accent1
994  0x0003ebb5 0x100537b5 14  30           utf16le \r40% - Accent1
995  0x0003ebfb 0x100537fb 13  14           ascii   40% - Accent2
996  0x0003ec1c 0x1005381c 14  30           utf16le \r40% - Accent2
997  0x0003ec62 0x10053862 13  14           ascii   40% - Accent3
998  0x0003ec83 0x10053883 14  30           utf16le \r40% - Accent3
999  0x0003ecc9 0x100538c9 13  14           ascii   40% - Accent4
1000 0x0003ecea 0x100538ea 14  30           utf16le \r40% - Accent4
1001 0x0003ed30 0x10053930 13  14           ascii   40% - Accent5
1002 0x0003ed51 0x10053951 14  30           utf16le \r40% - Accent5
1003 0x0003ed97 0x10053997 13  14           ascii   40% - Accent6
1004 0x0003edb8 0x100539b8 14  30           utf16le \r40% - Accent6
1005 0x0003edfe 0x100539fe 13  14           ascii   60% - Accent1
1006 0x0003ee1f 0x10053a1f 14  30           utf16le \r60% - Accent1
1007 0x0003ee65 0x10053a65 13  14           ascii   60% - Accent2
1008 0x0003ee86 0x10053a86 14  30           utf16le \r60% - Accent2
1009 0x0003eecc 0x10053acc 13  14           ascii   60% - Accent3
1010 0x0003eeed 0x10053aed 14  30           utf16le \r60% - Accent3
1011 0x0003ef33 0x10053b33 13  14           ascii   60% - Accent4
1012 0x0003ef54 0x10053b54 14  30           utf16le \r60% - Accent4
1013 0x0003ef78 0x10053b78 4   5            ascii   \a\a23
1014 0x0003ef9a 0x10053b9a 13  14           ascii   60% - Accent5
1015 0x0003efbb 0x10053bbb 14  30           utf16le \r60% - Accent5
1016 0x0003efdf 0x10053bdf 4   5            ascii   \a\b23
1017 0x0003f001 0x10053c01 13  14           ascii   60% - Accent6
1018 0x0003f022 0x10053c22 14  30           utf16le \r60% - Accent6
1019 0x0003f046 0x10053c46 4   5            ascii   \a\t23
1020 0x0003f068 0x10053c68 7   8            ascii   Accent1
1021 0x0003f083 0x10053c83 8   18           utf16le \aAccent1
1022 0x0003f0bd 0x10053cbd 7   8            ascii   Accent2
1023 0x0003f0d8 0x10053cd8 8   18           utf16le \aAccent2
1024 0x0003f112 0x10053d12 7   8            ascii   Accent3
1025 0x0003f12d 0x10053d2d 8   18           utf16le \aAccent3
1026 0x0003f167 0x10053d67 7   8            ascii   Accent4
1027 0x0003f182 0x10053d82 8   18           utf16le \aAccent4
1028 0x0003f1bc 0x10053dbc 7   8            ascii   Accent5
1029 0x0003f1d7 0x10053dd7 8   18           utf16le \aAccent5
1030 0x0003f211 0x10053e11 7   8            ascii   Accent6
1031 0x0003f22c 0x10053e2c 8   18           utf16le \aAccent6
1032 0x0003f2af 0x10053eaf 11  12           ascii   Calculation
1033 0x0003f2ce 0x10053ece 12  26           utf16le \vCalculation
1034 0x0003f348 0x10053f48 10  11           ascii   Check Cell
1035 0x0003f366 0x10053f66 11  24           utf16le \nCheck Cell
1036 0x0003f3f3 0x10053ff3 5   12           utf16le Comma
1037 0x0003f41d 0x1005401d 10  22           utf16le \tComma [0]
