[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
231  0x0000190d 0x1000250d 11  16   .text   utf8    ȋKL$ +ȋID$  blocks=Latin Extended-B,Basic Latin
232  0x0000194b 0x1000254b 4   5    .text   ascii   L$\bH
233  0x0000195e 0x1000255e 4   5    .text   ascii   |$ b
234  0x00001969 0x10002569 4   5    .text   ascii   D$ H
235  0x0000196e 0x1000256e 4   5    .text   ascii   D$(H
236  0x0000197d 0x1000257d 5   8    .text   utf8    ȋKL$  blocks=Latin Extended-B,Basic Latin
237  0x00001985 0x10002585 5   8    .text   utf8    ȋID$  blocks=Latin Extended-B,Basic Latin
238  0x000019a5 0x100025a5 9   12   .text   utf8    L$0+ȋID$0 blocks=Basic Latin,Latin Extended-B
239  0x000019d7 0x100025d7 4   5    .text   ascii   D$<H
240  0x000019e0 0x100025e0 4   5    .text   ascii   D$<%
241  0x000019f1 0x100025f1 12  17   .text   utf8    ȋKL$<+ȋID$<H blocks=Latin Extended-B,Basic Latin
242  0x00001a10 0x10002610 4   5    .text   ascii   D$T#
243  0x00001a21 0x10002621 4   5    .text   ascii   D$DH
244  0x00001a2a 0x1000262a 4   5    .text   ascii   D$@L
245  0x00001a36 0x10002636 5   7    .text   utf8    L$T\vȋ blocks=Basic Latin,Latin Extended-B
246  0x00001a4a 0x1000264a 11  15   .text   utf8    +KL$D+ȋID$D blocks=Basic Latin,Latin Extended-B
247  0x00001a64 0x10002664 4   5    .text   ascii   D$@H
248  0x00001a69 0x10002669 4   5    .text   ascii   D$`H
249  0x00001a7c 0x1000267c 5   8    .text   utf8    ȋID$D blocks=Latin Extended-B,Basic Latin
250  0x00001a84 0x10002684 5   7    .text   utf8    D$T\rԽ blocks=Basic Latin,Armenian
251  0x00001a92 0x10002692 5   8    .text   utf8    ȋKL$D blocks=Latin Extended-B,Basic Latin
252  0x00001a9b 0x1000269b 6   9    .text   utf8    ȋID$D3 blocks=Latin Extended-B,Basic Latin
253  0x00001aab 0x100026ab 5   6    .text   ascii   D$P@B
254  0x00001ac1 0x100026c1 4   6    .text   utf8    \tD$8
255  0x00001ac7 0x100026c7 7   8    .text   ascii   D$P9D$8
256  0x00001add 0x100026dd 4   5    .text   ascii   |$pl
257  0x00001b15 0x10002715 4   5    .text   ascii   D$pH
258  0x00001b45 0x10002745 7   8    .text   ascii   |$p:t2H
259  0x00001b90 0x10002790 6   9    .text   utf8    L$p#ȋK blocks=Basic Latin,Latin Extended-B
260  0x00001c03 0x10002803 4   5    .text   ascii   D$p%
261  0x00001c3b 0x1000283b 4   5    .text   ascii   D$t3
262  0x00001c47 0x10002847 9   12   .text   utf8    L$l#ȋKL$l blocks=Basic Latin,Latin Extended-B
263  0x00001c67 0x10002867 4   5    .text   ascii   D$xH
264  0x00001c75 0x10002875 5   7    .text   utf8    +KL$l
265  0x00001c7d 0x1000287d 5   8    .text   utf8    ȋID$l blocks=Latin Extended-B,Basic Latin
