[Strings]
nth  paddr      vaddr      len  size section    type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
203  0x00006877 0x00406877 12   13   .Themida   ascii   A_A^A]A\_^[]
204  0x00006951 0x00406951 4    5    .Themida   ascii   \$@H
205  0x00006956 0x00406956 4    5    .Themida   ascii   t$PH
206  0x00006974 0x00406974 13   14   .Themida   ascii   t$ WATAUAVAWH
207  0x000069f6 0x004069f6 4    5    .Themida   ascii   L$`D
208  0x00006a0b 0x00406a0b 4    5    .Themida   ascii   L$`H
209  0x00006a10 0x00406a10 4    5    .Themida   ascii   D$hH
210  0x00006a8a 0x00406a8a 4    5    .Themida   ascii   l$XL
211  0x00006a92 0x00406a92 4    5    .Themida   ascii   L$PA
212  0x00006a9d 0x00406a9d 5    6    .Themida   ascii   l$HE3
213  0x00006aa5 0x00406aa5 4    5    .Themida   ascii   l$@3
214  0x00006ab0 0x00406ab0 4    5    .Themida   ascii   |$0D
215  0x00006ab5 0x00406ab5 4    5    .Themida   ascii   d$(D
216  0x00006af7 0x00406af7 4    5    .Themida   ascii   l$XA
217  0x00006b02 0x00406b02 5    6    .Themida   ascii   L$PE3
218  0x00006b0a 0x00406b0a 4    5    .Themida   ascii   l$H3
219  0x00006b11 0x00406b11 4    5    .Themida   ascii   l$@D
220  0x00006b1a 0x00406b1a 4    5    .Themida   ascii   |$0D
221  0x00006b1f 0x00406b1f 4    5    .Themida   ascii   d$(D
222  0x00006bd4 0x00406bd4 9    10   .Themida   ascii   A_A^A]A\_
223  0x00006c86 0x00406c86 4    5    .Themida   ascii   T$ \e
224  0x00006c94 0x00406c94 4    6    .Themida   utf8    ɉD$, blocks=Latin Extended-B,Basic Latin
225  0x00006cbf 0x00406cbf 10   11   .Themida   ascii   WATAUAVAWH
226  0x00006d4b 0x00406d4b 4    5    .Themida   ascii   l$PA
227  0x00006d5f 0x00406d5f 4    5    .Themida   ascii   t$@D
228  0x00006d64 0x00406d64 4    5    .Themida   ascii   l$8D
229  0x00006d69 0x00406d69 4    5    .Themida   ascii   d$0A
230  0x00006d72 0x00406d72 4    5    .Themida   ascii   |$(D
