[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
184  0x00005179 0x00405d79 4   5    .text   ascii   f90u
185  0x00005185 0x00405d85 4   5    .text   ascii   VVV+
186  0x0000518d 0x00405d8d 5   6    .text   ascii   @PSVV
187  0x000051aa 0x00405daa 4   5    .text   ascii   t*VV
188  0x000053b2 0x00405fb2 4   5    .text   ascii   Et\a@
189  0x00005495 0x00406095 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
190  0x000054a8 0x004060a8 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
191  0x000054eb 0x004060eb 4   5    .text   ascii   9M\bv
192  0x000054f0 0x004060f0 4   5    .text   ascii   9M\f~
193  0x000054fe 0x004060fe 6   7    .text   ascii   \t9E\bw\t
194  0x0000551e 0x0040611e 4   6    .text   utf8    3Ƀ:- blocks=Basic Latin,Latin Extended-B
195  0x0000559b 0x0040619b 4   5    .text   ascii   80t/
196  0x00005602 0x00406202 5   6    .text   ascii   PPPPP
197  0x00005620 0x00406220 4   5    .text   ascii   E\bSV
198  0x00005888 0x00406488 4   5    .text   ascii   E\f9U
199  0x00005952 0x00406552 4   5    .text   ascii   ;E\ft
200  0x000059ec 0x004065ec 4   5    .text   ascii   SQRP
201  0x00005a12 0x00406612 4   5    .text   ascii   jdRP
202  0x00005a38 0x00406638 4   5    .text   ascii   j\nRP
203  0x00005abb 0x004066bb 4   5    .text   ascii   ;u\fu
204  0x00005aed 0x004066ed 4   5    .text   ascii   @PVS
205  0x00005b11 0x00406711 4   5    .text   ascii   @PVS
206  0x00005b3b 0x0040673b 4   5    .text   ascii   9}\f|
207  0x00005b4d 0x0040674d 4   5    .text   ascii   Wj0S
208  0x00005b80 0x00406780 4   5    .text   ascii   E\bVW
209  0x00005bd1 0x004067d1 5   7    .text   utf8    t\r3Ƀ} blocks=Basic Latin,Latin Extended-B
210  0x00005c45 0x00406845 4   5    .text   ascii   u\fWj
211  0x00005cc1 0x004068c1 4   5    .text   ascii   |-;E
212  0x00005e03 0x00406a03 7   8    .text   ascii   t\nVVVVV
213  0x00005e4c 0x00406a4c 17  18   .text   ascii   tRHtCHt4Ht%HtFHHt
214  0x00005eed 0x00406aed 4   5    .text   ascii   N\bQP
215  0x00005f1b 0x00406b1b 5   6    .text   ascii   >\bYYt
216  0x000060dd 0x00406cdd 4   5    .text   ascii   u\bW3
217  0x000063e5 0x00406fe5 6   7    .text   ascii   t)j\rXP
218  0x00006558 0x00407158 4   5    .text   ascii   j\r[f
219  0x0000662d 0x0040722d 4   5    .text   ascii   j\r[f
220  0x00006654 0x00407254 5   6    .text   ascii   VVhU\r
221  0x00006884 0x00407484 4   6    .text   utf8    Ë]\bS blocks=Latin-1 Supplement,Basic Latin
222  0x0000693d 0x0040753d 5   6    .text   ascii   \rt\fHt
223  0x00006b52 0x00407752 4   5    .text   ascii   j\fh\b
224  0x00006b7a 0x0040777a 4   5    .text   ascii   u\bj 
225  0x00006d1f 0x0040791f 4   5    .text   ascii   s\f9U
226  0x00006e10 0x00407a10 5   6    .text   ascii   \b\b@Iu
227  0x00006e86 0x00407a86 4   5    .text   ascii   E\b;C
228  0x0000709d 0x00407c9d 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
229  0x00007150 0x00407d50 4   5    .text   ascii   to=x
230  0x00007280 0x00407e80 6   8    .text   utf8    Y_^[]Ë blocks=Basic Latin,Latin-1 Supplement
231  0x000072d3 0x00407ed3 4   5    .text   ascii   j\fhH
232  0x000072ec 0x00407eec 4   5    .text   ascii   Fpt"
233  0x00007300 0x00407f00 4   5    .text   ascii   u\bj 
234  0x0000734f 0x00407f4f 4   6    .text   utf8    ̋T$\f blocks=Combining Diacritical Marks,Basic Latin
235  0x0000735a 0x00407f5a 7   9    .text   utf8    ti3\nD$\b
236  0x00007389 0x00407f89 5   7    .text   utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
237  0x000073c0 0x00407fc0 7   9    .text   utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
238  0x0000740b 0x0040800b 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
239  0x00007457 0x00408057 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
240  0x00007475 0x00408075 8   9    .text   ascii   u,9E\ft'9
241  0x000074a5 0x004080a5 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
242  0x0000757f 0x0040817f 4   5    .text   ascii   hXkA
243  0x00007685 0x00408285 5   7    .text   utf8    @_^Ã$ blocks=Basic Latin,Latin-1 Supplement
244  0x000077f5 0x004083f5 4   6    .text   utf8    ^]Ã% blocks=Basic Latin,Latin-1 Supplement
245  0x00007814 0x00408414 4   6    .text   utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
246  0x0000781a 0x0040841a 4   6    .text   utf8    A8PE
247  0x0000787f 0x0040847f 4   5    .text   ascii   _^[]
248  0x000078aa 0x004084aa 4   5    .text   ascii   \bSVW
249  0x00007913 0x00408513 4   5    .text   ascii   Y_^[
250  0x0000791f 0x0040851f 4   6    .text   utf8    \b3ҁ9 blocks=Basic Latin,Cyrillic
251  0x00007944 0x00408544 4   5    .text   ascii   Y_^[
252  0x00007a7e 0x0040867e 4   5    .text   ascii   D$\f3
253  0x00007a86 0x00408686 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
254  0x00007acf 0x004086cf 7   8    .text   ascii   ;T$\fw\br
255  0x00007ad7 0x004086d7 10  11   .text   ascii   ;D$\bv\tN+D$
256  0x00007ae8 0x004086e8 8   9    .text   ascii   +D$\b\eT$\f
257  0x00007af8 0x004086f8 4   9    .text   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
258  0x00007b7f 0x0040877f 8   9    .text   ascii   tCHt(Ht 
259  0x00007c23 0x00408823 4   5    .text   ascii   3t(;
260  0x00007d28 0x00408928 4   5    .text   ascii   =DQA
261  0x000080cc 0x00408ccc 4   5    .text   ascii   u\eWj
262  0x0000822e 0x00408e2e 5   6    .text   ascii   SSSSS
263  0x0000828b 0x00408e8b 4   6    .text   utf8    @tʉ} blocks=Basic Latin,IPA Extensions
264  0x000082d2 0x00408ed2 4   5    .text   ascii   t(9}
265  0x0000834e 0x00408f4e 5   6    .text   ascii   9X\bu&
266  0x00008379 0x00408f79 5   6    .text   ascii   9]\bu&
267  0x000083ea 0x00408fea 4   5    .text   ascii   te9]
268  0x00008431 0x00409031 5   6    .text   ascii   r\ff;p
269  0x0000843e 0x0040903e 4   5    .text   ascii   1f;p
270  0x00008443 0x00409043 5   6    .text   ascii   r+f;p
271  0x0000847f 0x0040907f 4   5    .text   ascii   tG9]
272  0x000084a8 0x004090a8 5   6    .text   ascii   r\ff;H
273  0x000084b5 0x004090b5 4   5    .text   ascii   1f;H
274  0x000084ba 0x004090ba 5   6    .text   ascii   r+f;H
275  0x000084ea 0x004090ea 4   5    .text   ascii   u!f;
276  0x000084ef 0x004090ef 4   5    .text   ascii   t\t9]
277  0x000086b3 0x004092b3 5   6    .text   ascii   SVWUj
278  0x000086c8 0x004092c8 4   5    .text   ascii   ]_^[
279  0x000086ce 0x004092ce 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
280  0x00008754 0x00409354 6   7    .text   ascii   ;t$,v-
281  0x000087af 0x004093af 6   7    .text   ascii   R\f9Q\bu
282  0x000087d7 0x004093d7 10  11   .text   ascii   k\fUQPXY]Y[
283  0x000087ee 0x004093ee 4   6    .text   utf8    (3\tE
284  0x0000894d 0x0040954d 11  12   .text   ascii   tWItHIt9It 
285  0x00008ab9 0x004096b9 4   5    .text   ascii   E\bVW
286  0x00008af7 0x004096f7 5   6    .text   ascii   Ht\bHu
287  0x00008b30 0x00409730 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
288  0x00008b3a 0x0040973a 4   5    .text   ascii   M\bS3
289  0x00008b43 0x00409743 4   5    .text   ascii   |[;\r
290  0x00008b7d 0x0040977d 5   6    .text   ascii   It\bIu
291  0x00008bb5 0x004097b5 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
292  0x00008c4f 0x0040984f 7   8    .text   ascii   9^\bu5j\n
293  0x00008c5f 0x0040985f 4   5    .text   ascii   9^\bu
294  0x00008ca1 0x004098a1 4   5    .text   ascii   D8\fP
295  0x00008cb4 0x004098b4 6   8    .text   utf8    3ۋ}\bj\n blocks=Basic Latin,Arabic
296  0x00008d59 0x00409959 4   5    .text   ascii   u8j\n
297  0x00008db2 0x004099b2 5   9    .text   utf8    @냋}؋u blocks=Basic Latin,Hangul Syllables,Arabic
298  0x00008df1 0x004099f1 4   5    .text   ascii   j@j 
299  0x00008ec7 0x00409ac7 4   5    .text   ascii   M\b^;
300  0x00008ee4 0x00409ae4 4   5    .text   ascii   j h0
301  0x00008ef6 0x00409af6 4   6    .text   utf8    }؋]\b blocks=Basic Latin,Arabic
302  0x00008f55 0x00409b55 4   5    .text   ascii   t!Ht
303  0x00008fc2 0x00409bc2 4   6    .text   utf8    Y3\tE
304  0x00008fdb 0x00409bdb 4   6    .text   utf8    MԉG` blocks=Basic Latin,Cyrillic Supplement
305  0x0000906f 0x00409c6f 4   6    .text   utf8    EԉG` blocks=Basic Latin,Cyrillic Supplement
306  0x0000907a 0x00409c7a 5   7    .text   utf8    EЉGd3 blocks=Basic Latin,Cyrillic
307  0x00009154 0x00409d54 4   6    .text   utf8    Ë]\bS blocks=Latin-1 Supplement,Basic Latin
308  0x0000925b 0x00409e5b 4   6    .text   utf8    X^Ã& blocks=Basic Latin,Latin-1 Supplement
309  0x00009265 0x00409e65 4   5    .text   ascii   j\fhp
310  0x000092b4 0x00409eb4 4   6    .text   utf8    YH]Ë blocks=Basic Latin,Latin-1 Supplement
311  0x000092d2 0x00409ed2 4   5    .text   ascii   E\fVW
312  0x00009304 0x00409f04 4   5    .text   ascii   =`PA
313  0x0000937b 0x00409f7b 4   5    .text   ascii   tG9\r
314  0x0000944a 0x0040a04a 5   7    .text   utf8    _^]ËM blocks=Basic Latin,Latin-1 Supplement
315  0x000094af 0x0040a0af 4   5    .text   ascii   9U\fu
316  0x000094b6 0x0040a0b6 5   7    .text   utf8    _^[]Å blocks=Basic Latin,Latin-1 Supplement
317  0x0000950a 0x0040a10a 4   5    .text   ascii   t'Ou
318  0x00009543 0x0040a143 5   6    .text   ascii   M\fjPf
319  0x000095a7 0x0040a1a7 5   7    .text   utf8    _^]ËE blocks=Basic Latin,Latin-1 Supplement
320  0x00009694 0x0040a294 4   5    .text   ascii   U\bVW
321  0x00009798 0x0040a398 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
322  0x0000989d 0x0040a49d 4   6    .text   utf8    \b\v@}
323  0x000098d9 0x0040a4d9 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
324  0x00009909 0x0040a509 5   6    .text   ascii   SSSSW
325  0x000099b1 0x0040a5b1 5   6    .text   ascii   SSSSW
326  0x00009bb1 0x0040a7b1 4   5    .text   ascii   E\b^_
327  0x00009bbd 0x0040a7bd 4   5    .text   ascii   E\b^_
328  0x00009bcf 0x0040a7cf 4   5    .text   ascii   E\b^_
329  0x00009be9 0x0040a7e9 4   5    .text   ascii   E\b^_
330  0x00009d4d 0x0040a94d 4   5    .text   ascii   E\b^_
331  0x00009d5b 0x0040a95b 4   5    .text   ascii   E\b^_
332  0x00009d71 0x0040a971 4   5    .text   ascii   E\b^_
333  0x00009d8b 0x0040a98b 4   5    .text   ascii   E\b^_
334  0x00009dbd 0x0040a9bd 4   5    .text   ascii   9E\fv
335  0x00009dcd 0x0040a9cd 5   6    .text   ascii   @9E\fw
336  0x00009e10 0x0040aa10 4   5    .text   ascii   ;5|\r
337  0x00009e31 0x0040aa31 4   5    .text   ascii   @PWV
338  0x00009e3f 0x0040aa3f 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
339  0x00009f3e 0x0040ab3e 4   6    .text   utf8    u܉C\b blocks=Basic Latin,Syriac
340  0x00009f7a 0x0040ab7a 6   9    .text   utf8    PPPPP跅 blocks=Basic Latin,CJK Unified Ideographs
341  0x00009f90 0x0040ab90 4   5    .text   ascii   WVU3
342  0x0000a036 0x0040ac36 6   7    .text   ascii   v\tN+D$
343  0x0000a056 0x0040ac56 4   9    .text   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
344  0x0000a102 0x0040ad02 4   5    .text   ascii   SVW3
345  0x0000a10b 0x0040ad0b 6   8    .text   utf8    E\b3ۉx\b blocks=Basic Latin,Arabic
346  0x0000a11f 0x0040ad1f 4   5    .text   ascii   E\b\tX
347  0x0000a19a 0x0040ad9a 4   5    .text   ascii   \b1H\b
348  0x0000a1cd 0x0040adcd 4   5    .text   ascii   3H\b#
349  0x0000a20b 0x0040ae0b 5   6    .text   ascii   E\b\tX\f
350  0x0000a2a2 0x0040aea2 8   9    .text   ascii   E\b\tX 9} 
351  0x0000a2c2 0x0040aec2 5   6    .text   ascii   E\b\tX`
352  0x0000a2f0 0x0040aef0 5   6    .text   ascii   E\b\tX`
353  0x0000a312 0x0040af12 5   6    .text   ascii   E\bPSj
354  0x0000a32e 0x0040af2e 4   5    .text   ascii   A\b\bt
355  0x0000a35e 0x0040af5e 4   5    .text   ascii   t/Ht
356  0x0000a363 0x0040af63 6   7    .text   ascii   Ht\vHu(
357  0x0000a39d 0x0040af9d 5   6    .text   ascii   Ht\aHu
