[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
152  0x00007ab3 0x100086b3 6   7    .text   ascii   G]\fSPV
153  0x00007ad6 0x100086d6 4   5    .text   ascii   Gx_^
154  0x00007af4 0x100086f4 4   5    .text   ascii   u\fSP
155  0x00007b67 0x10008767 6   7    .text   ascii   t\e;Ftt
156  0x00007b82 0x10008782 4   6    .text   utf8    ^ËFt blocks=Basic Latin,Latin-1 Supplement
157  0x00007bd4 0x100087d4 4   6    .text   utf8    3҉WH blocks=Basic Latin,Cyrillic
158  0x00007cd3 0x100088d3 4   5    .text   ascii   QSVW
159  0x00007cfa 0x100088fa 4   5    .text   ascii   t#VS
160  0x00007e2e 0x10008a2e 5   7    .text   utf8    /u\aƅg blocks=Basic Latin,Latin Extended-B
161  0x0000814a 0x10008d4a 4   5    .text   ascii   \axV4
162  0x000081a3 0x10008da3 4   7    .text   utf8    \f|p blocks=Basic Latin,Private Use Area
163  0x00008246 0x10008e46 5   7    .text   utf8    D\rωw\b blocks=Basic Latin,Greek and Coptic
164  0x00008289 0x10008e89 4   5    .text   ascii   9;t\t
165  0x00008347 0x10008f47 4   5    .text   ascii   9;t\r
166  0x00008505 0x10009105 4   5    .text   ascii   \fSVW
167  0x0000850b 0x1000910b 4   6    .text   utf8    3ҋwD blocks=Basic Latin,Cyrillic
168  0x0000853a 0x1000913a 4   6    .text   utf8    EًN$ blocks=Basic Latin,Arabic
169  0x000085b3 0x100091b3 5   6    .text   ascii   t\t_^3
170  0x000085e0 0x100091e0 4   5    .text   ascii   PQVW
171  0x00008747 0x10009347 4   6    .text   utf8    Y]Ã9 blocks=Basic Latin,Latin-1 Supplement
172  0x000087c2 0x100093c2 4   5    .text   ascii   Bpu\a
173  0x000087e1 0x100093e1 4   5    .text   ascii   Apu\b
174  0x00008874 0x10009474 4   6    .text   utf8    ]Ã}\f blocks=Basic Latin,Latin-1 Supplement
175  0x000088d7 0x100094d7 4   5    .text   ascii   u\rSW
176  0x00008942 0x10009542 4   5    .text   ascii   }\bww
177  0x00008a3c 0x1000963c 4   8    .text   utf8    뽋}\b3 blocks=Hangul Syllables,Basic Latin
178  0x00008a95 0x10009695 6   9    .text   utf8    _^]Ë׀: blocks=Basic Latin,Latin-1 Supplement,Hebrew
179  0x00008b5f 0x1000975f 5   6    .text   ascii   YYu\bj
180  0x00008d5b 0x1000995b 4   6    .text   utf8    3\v}\b
181  0x00008d7c 0x1000997c 5   7    .text   utf8    ~3\v]\f
182  0x00008f68 0x10009b68 5   6    .text   ascii   M\fSVW
183  0x000090a8 0x10009ca8 4   5    .text   ascii   N\f +
184  0x00009145 0x10009d45 5   6    .text   ascii   E\fSVW
185  0x0000921f 0x10009e1f 4   6    .text   utf8    t"3ҁ blocks=Basic Latin,Cyrillic
186  0x000092e3 0x10009ee3 4   5    .text   ascii   N\f +
187  0x00009315 0x10009f15 4   5    .text   ascii   j\fh0
188  0x00009329 0x10009f29 4   5    .text   ascii   t19}
189  0x000093c2 0x10009fc2 4   6    .text   utf8    ]Ë@\f blocks=Basic Latin,Latin-1 Supplement
190  0x00009438 0x1000a038 4   5    .text   ascii   j\fhP
191  0x0000944a 0x1000a04a 4   6    .text   utf8    3\vu\b
192  0x00009471 0x1000a071 4   5    .text   ascii   F\f@t
193  0x000094c9 0x1000a0c9 5   6    .text   ascii   u\e95$
194  0x00009507 0x1000a107 4   5    .text   ascii   <8=u
195  0x00009528 0x1000a128 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
196  0x00009533 0x1000a133 4   5    .text   ascii   j\fhp
197  0x0000953f 0x1000a13f 4   6    .text   utf8    3\vu\b
198  0x000095d2 0x1000a1d2 4   5    .text   ascii   9E\ft
199  0x0000960f 0x1000a20f 4   6    .text   utf8    xփ}\f blocks=Basic Latin,Armenian
200  0x00009626 0x1000a226 6   7    .text   ascii   F\f@upV
201  0x000096a0 0x1000a2a0 4   5    .text   ascii   M\ft7
202  0x000096c2 0x1000a2c2 6   7    .text   ascii   u\f;]\bu
203  0x000096fe 0x1000a2fe 6   8    .text   utf8    YËL$\fW blocks=Basic Latin,Latin-1 Supplement
204  0x000097a0 0x1000a3a0 5   7    .text   utf8    D$\b_É blocks=Basic Latin,Latin-1 Supplement
205  0x00009805 0x1000a405 5   7    .text   utf8    t\f3\t\a
206  0x0000984e 0x1000a44e 6   7    .text   ascii   u\fWj\a3
207  0x000098df 0x1000a4df 4   5    .text   ascii   Wj\a3
208  0x00009a25 0x1000a625 4   5    .text   ascii   PVh\e
209  0x00009a3f 0x1000a63f 4   5    .text   ascii   8"uk
210  0x00009a4e 0x1000a64e 4   5    .text   ascii   SVh\e
211  0x00009a75 0x1000a675 4   5    .text   ascii   8"u5
212  0x00009aec 0x1000a6ec 5   6    .text   ascii   u\fVh\e
213  0x00009b83 0x1000a783 4   5    .text   ascii   woSW
214  0x00009bc6 0x1000a7c6 6   7    .text   ascii   u&j\f[9
215  0x00009c33 0x1000a833 4   6    .text   utf8    ]ËM\f blocks=Basic Latin,Latin-1 Supplement
216  0x00009c3c 0x1000a83c 9   10   .text   ascii   SVWjA_jZ+
217  0x00009c4e 0x1000a84e 4   5    .text   ascii   r\rf;
218  0x00009c65 0x1000a865 4   5    .text   ascii   r\vf;
219  0x00009ce4 0x1000a8e4 8   9    .text   ascii   uBjAYjZ+
220  0x00009cf5 0x1000a8f5 4   5    .text   ascii   r\rf;
221  0x00009d0c 0x1000a90c 4   5    .text   ascii   r\vf;
222  0x00009d1f 0x1000a91f 4   5    .text   ascii   t:f;
223  0x00009d68 0x1000a968 4   5    .text   ascii   ^[t\a
224  0x00009e95 0x1000aa95 4   6    .text   utf8    3\vu\b
225  0x00009f0b 0x1000ab0b 5   6    .text   ascii   QQSV3
226  0x00009f27 0x1000ab27 4   5    .text   ascii   FSSj
227  0x00009f49 0x1000ab49 4   5    .text   ascii   u\fPV
228  0x0000a01a 0x1000ac1a 4   5    .text   ascii   9q\bu
229  0x0000a0c6 0x1000acc6 4   5    .text   ascii   U\fte
230  0x0000a13e 0x1000ad3e 4   5    .text   ascii   U\ft\v
231  0x0000a223 0x1000ae23 4   5    .text   ascii   j\bh 
232  0x0000a3b2 0x1000afb2 4   5    .text   ascii   j\fh@
233  0x0000a3c6 0x1000afc6 4   5    .text   ascii   u\f95
234  0x0000a430 0x1000b030 4   5    .text   ascii   u$SP
235  0x0000a44d 0x1000b04d 4   5    .text   ascii   t\aSW
236  0x0000a45d 0x1000b05d 4   5    .text   ascii   u*SV
237  0x0000a47b 0x1000b07b 4   5    .text   ascii   t\fSV
238  0x0000a642 0x1000b242 5   6    .text   ascii   PPPPP
239  0x0000a706 0x1000b306 4   5    .text   ascii   _^[]
240  0x0000a711 0x1000b311 4   6    .text   utf8    u\b3ۋ blocks=Basic Latin,Arabic
241  0x0000a71e 0x1000b31e 4   5    .text   ascii   tf=(
242  0x0000a85f 0x1000b45f 5   6    .text   ascii   Y_^[]
243  0x0000a900 0x1000b500 4   5    .text   ascii   j\fh`
244  0x0000a91a 0x1000b51a 4   5    .text   ascii   Npt"
245  0x0000a92e 0x1000b52e 4   5    .text   ascii   u\bj 
246  0x0000a9c4 0x1000b5c4 4   6    .text   utf8    _]Ã= blocks=Basic Latin,Latin-1 Supplement
247  0x0000aa90 0x1000b690 5   6    .text   ascii   ]\bVWh
248  0x0000aabb 0x1000b6bb 4   6    .text   utf8    \vM{\f
249  0x0000aaef 0x1000b6ef 4   5    .text   ascii   _^[]
250  0x0000acab 0x1000b8ab 4   5    .text   ascii   u\bj 
251  0x0000ad52 0x1000b952 4   5    .text   ascii   E\b;F
252  0x0000ae1b 0x1000ba1b 4   5    .text   ascii   DK\ff
253  0x0000ae9d 0x1000ba9d 4   5    .text   ascii   }\bj\r
254  0x0000afc1 0x1000bbc1 5   6    .text   ascii   \b\b@Iu
255  0x0000afea 0x1000bbea 4   6    .text   utf8    \vM~\f
256  0x0000b1f5 0x1000bdf5 4   6    .text   utf8    \b\vЀ} blocks=Basic Latin,Cyrillic
257  0x0000b2f2 0x1000bef2 4   5    .text   ascii   Y;=\
258  0x0000b32b 0x1000bf2b 4   5    .text   ascii   u\bj\r
259  0x0000b334 0x1000bf34 6   8    .text   utf8    YËu\bj\f blocks=Basic Latin,Latin-1 Supplement
260  0x0000b420 0x1000c020 6   7    .text   ascii   ~pjCXf
261  0x0000b497 0x1000c097 4   5    .text   ascii   u\bj\r
262  0x0000b5a4 0x1000c1a4 5   7    .text   utf8    j\rX]Í blocks=Basic Latin,Latin-1 Supplement
263  0x0000b5dd 0x1000c1dd 4   5    .text   ascii   t*j\f
264  0x0000b6e5 0x1000c2e5 6   7    .text   ascii   Genuu_
265  0x0000b6ee 0x1000c2ee 6   7    .text   ascii   ineIuV
266  0x0000b6f7 0x1000c2f7 7   8    .text   ascii   nteluM3
267  0x0000b71c 0x1000c31c 4   5    .text   ascii   t#=`
268  0x0000b738 0x1000c338 4   5    .text   ascii   t\a=p
269  0x0000b765 0x1000c365 4   5    .text   ascii   u\fWV
270  0x0000b888 0x1000c488 4   5    .text   ascii   E\bPW
271  0x0000b8a6 0x1000c4a6 5   6    .text   ascii   E\b[_^
272  0x0000ba65 0x1000c665 4   6    .text   utf8    ]ËE\f blocks=Basic Latin,Latin-1 Supplement
273  0x0000bb59 0x1000c759 4   5    .text   ascii   t\fPW
274  0x0000bb62 0x1000c762 4   7    .text   utf8    YYG떋 blocks=Basic Latin,Hangul Syllables
275  0x0000bbf8 0x1000c7f8 4   5    .text   ascii   QQS3
276  0x0000bc1a 0x1000c81a 11  12   .text   ascii   <at-<rt"<wt
277  0x0000bc89 0x1000c889 6   7    .text   ascii   \vtRHtC
278  0x0000bd0e 0x1000c90e 5   6    .text   ascii   t;Ht+
279  0x0000bdd7 0x1000c9d7 4   5    .text   ascii   Cj\bh
280  0x0000bdf6 0x1000c9f6 4   5    .text   ascii   $j\ah
281  0x0000bebf 0x1000cabf 5   6    .text   ascii   Y__^[
282  0x0000bed8 0x1000cad8 4   5    .text   ascii   ]\fVW
283  0x0000bedd 0x1000cadd 5   6    .text   ascii   {\b3=P
284  0x0000bf73 0x1000cb73 4   5    .text   ascii   8csm
285  0x0000bfb3 0x1000cbb3 4   5    .text   ascii   9P\ft
286  0x0000bff8 0x1000cbf8 4   5    .text   ascii   t6hP
287  0x0000c07f 0x1000cc7f 6   7    .text   ascii   URPQQh
288  0x0000c095 0x1000cc95 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
289  0x0000c0aa 0x1000ccaa 4   5    .text   ascii   L$,3
290  0x0000c0fc 0x1000ccfc 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
291  0x0000c162 0x1000cd62 4   5    .text   ascii   UVWS
292  0x0000c174 0x1000cd74 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
293  0x0000c195 0x1000cd95 4   5    .text   ascii   SVWj
294  0x0000c1a6 0x1000cda6 4   5    .text   ascii   _^[]
295  0x0000c1ad 0x1000cdad 5   6    .text   ascii   l$\bRQ
296  0x0000c1c2 0x1000cdc2 4   5    .text   ascii   j\bhx
297  0x0000c1e9 0x1000cde9 4   5    .text   ascii   u0j\n
298  0x0000c241 0x1000ce41 5   7    .text   utf8    Ë}\bj\n blocks=Latin-1 Supplement,Basic Latin
299  0x0000c2cb 0x1000cecb 4   5    .text   ascii   u0j\n
300  0x0000c333 0x1000cf33 4   7    .text   utf8    YËE܅ blocks=Basic Latin,Latin-1 Supplement,Syriac
301  0x0000c364 0x1000cf64 4   5    .text   ascii   j@j 
302  0x0000c401 0x1000d001 4   5    .text   ascii   E\bVW
303  0x0000c441 0x1000d041 5   6    .text   ascii   Ht\bHu
304  0x0000c4af 0x1000d0af 4   5    .text   ascii   x&;5
305  0x0000c4f9 0x1000d0f9 4   5    .text   ascii   M\bSW
306  0x0000c4ff 0x1000d0ff 4   5    .text   ascii   x\;\r
307  0x0000c535 0x1000d135 5   6    .text   ascii   It\bIu
308  0x0000c6f9 0x1000d2f9 4   5    .text   ascii   _[^]
309  0x0000c74c 0x1000d34c 4   6    .text   utf8    Y3ۉ] blocks=Basic Latin,Arabic
310  0x0000c778 0x1000d378 6   7    .text   ascii   j@j _W
311  0x0000c7d3 0x1000d3d3 4   5    .text   ascii   A%\n\n
312  0x0000c834 0x1000d434 5   6    .text   ascii   } j@W
313  0x0000c859 0x1000d459 5   8    .text   utf8    }ԋE؋U blocks=Basic Latin,Cyrillic Supplement,Arabic
314  0x0000c90a 0x1000d50a 4   5    .text   ascii   A%\n\n
315  0x0000cb2a 0x1000d72a 4   5    .text   ascii   oF f
316  0x0000cb86 0x1000d786 4   5    .text   ascii   oF f
317  0x0000cbde 0x1000d7de 4   5    .text   ascii   oF f
318  0x0000cda9 0x1000d9a9 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
319  0x0000cdb5 0x1000d9b5 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
320  0x0000cdc7 0x1000d9c7 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
321  0x0000cde1 0x1000d9e1 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
322  0x0000cf45 0x1000db45 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
323  0x0000cf53 0x1000db53 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
324  0x0000cf69 0x1000db69 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
