[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
247  0x0000696b 0x0040756b 4   5    .text   ascii   Szu@
248  0x000069fb 0x004075fb 4   5    .text   ascii   )HfR
249  0x00006a1f 0x0040761f 4   5    .text   ascii   SDv@
250  0x00006a50 0x00407650 4   5    .text   ascii   Sbv@
251  0x00006a88 0x00407688 4   5    .text   ascii   S\f^@
252  0x00006ac6 0x004076c6 5   6    .text   ascii   H>}>/
253  0x00006b07 0x00407707 4   5    .text   ascii   S-w@
254  0x00006b34 0x00407734 4   5    .text   ascii   SAw@
255  0x00006b4e 0x0040774e 4   5    .text   ascii   Ssw@
256  0x00006be6 0x004077e6 4   5    .text   ascii   SHx@
257  0x00006c49 0x00407849 4   5    .text   ascii   Sd^@
258  0x00006c7e 0x0040787e 4   5    .text   ascii   d$ U
259  0x00006d80 0x00407980 4   5    .text   ascii   T$\af
260  0x00006d96 0x00407996 4   5    .text   ascii   SMFB
261  0x00006daf 0x004079af 4   5    .text   ascii   S3z@
262  0x00006dc2 0x004079c2 4   5    .text   ascii   SB]@
263  0x00006e3b 0x00407a3b 4   5    .text   ascii   SFz@
264  0x00006e4c 0x00407a4c 4   5    .text   ascii   Sd^@
265  0x00006eb5 0x00407ab5 4   5    .text   ascii   d$\bj
266  0x00006f16 0x00407b16 4   5    .text   ascii   SpFB
267  0x00006f1c 0x00407b1c 4   5    .text   ascii   Su{@
268  0x00006f45 0x00407b45 4   5    .text   ascii   \$\ff
269  0x00006f5d 0x00407b5d 4   7    .text   utf8    hB@膟 blocks=Basic Latin,CJK Unified Ideographs
270  0x00006fa2 0x00407ba2 5   7    .text   utf8    &Q@ֱ@ blocks=Basic Latin,Hebrew
271  0x00006fbe 0x00407bbe 4   5    .text   ascii   SJ|@
272  0x0000702c 0x00407c2c 4   5    .text   ascii   /6!`
273  0x0000705d 0x00407c5d 5   6    .text   ascii   qpfVf
274  0x0000708c 0x00407c8c 4   6    .text   utf8    AÍd$ blocks=Basic Latin,Latin-1 Supplement
