[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
741  0x00013548 0x0041b948 5   6    .data_1 ascii   ~IZSa
742  0x000135fa 0x0041b9fa 4   6    .data_1 utf8    HѥS\t blocks=Basic Latin,Cyrillic
743  0x000136e0 0x0041bae0 5   6    .data_1 ascii   &QZS@
744  0x00013763 0x0041bb63 4   5    .data_1 ascii   ZA~5
745  0x0001385b 0x0041bc5b 4   6    .data_1 utf8    MїSL blocks=Basic Latin,Cyrillic
746  0x000138a4 0x0041bca4 4   5    .data_1 ascii   HMoS
747  0x0001394d 0x0041bd4d 5   6    .data_1 ascii   oSKQ'
748  0x00013981 0x0041bd81 4   7    .data_1 utf8    ֊їSX blocks=Armenian,Cyrillic,Basic Latin
749  0x0001398e 0x0041bd8e 6   7    .data_1 ascii   S\v4P./
750  0x00013a6e 0x0041be6e 4   5    .data_1 ascii   Z>FM
751  0x00013a94 0x0041be94 4   5    .data_1 ascii   103h
752  0x00013acf 0x0041becf 5   6    .data_1 ascii   2-<Z/
753  0x00013c21 0x0041c021 4   6    .data_1 utf8    ̭A~Z blocks=Combining Diacritical Marks,Basic Latin
754  0x00013c6d 0x0041c06d 4   5    .data_1 ascii   S*BA
755  0x00013cce 0x0041c0ce 5   6    .data_1 ascii   qpsjZ
756  0x00013cdc 0x0041c0dc 4   5    .data_1 ascii   4'Nh
757  0x00013d0d 0x0041c10d 4   5    .data_1 ascii   >8/\f
758  0x00013d2b 0x0041c12b 4   5    .data_1 ascii   S*BA
759  0x00013d64 0x0041c164 5   6    .data_1 ascii   Erm|O
760  0x00013e20 0x0041c220 4   5    .data_1 ascii   ZMF>
761  0x00013f0e 0x0041c30e 4   5    .data_1 ascii   S*BA
762  0x00013f44 0x0041c344 4   5    .data_1 ascii   S*BA
763  0x00013f71 0x0041c371 4   6    .data_1 utf8    Z̭A~ blocks=Basic Latin,Combining Diacritical Marks
764  0x00013fa5 0x0041c3a5 4   6    .data_1 utf8    &Z̭A blocks=Basic Latin,Combining Diacritical Marks
765  0x00013fe1 0x0041c3e1 4   5    .data_1 ascii   |$$T
766  0x0001401a 0x0041c41a 4   6    .data_1 utf8    ̭A~Z blocks=Combining Diacritical Marks,Basic Latin
767  0x000140b8 0x0041c4b8 4   5    .data_1 ascii   S*BA
768  0x000140fb 0x0041c4fb 4   5    .data_1 ascii   H>o/
769  0x00014136 0x0041c536 4   6    .data_1 utf8    ̭A~Z blocks=Combining Diacritical Marks,Basic Latin
770  0x00014171 0x0041c571 4   5    .data_1 ascii   S*BA
771  0x000141c5 0x0041c5c5 4   5    .data_1 ascii   Z/\fS
772  0x0001423e 0x0041c63e 4   5    .data_1 ascii   IZ/ 
773  0x00014328 0x0041c728 4   5    .data_1 ascii   S*BA
774  0x000143a0 0x0041c7a0 5   6    .data_1 ascii   103*Z
775  0x000144be 0x0041c8be 5   7    .data_1 utf8    HFA̋k blocks=Basic Latin,Combining Diacritical Marks
776  0x00014516 0x0041c916 6   7    .data_1 ascii   HFS*BA
777  0x00014531 0x0041c931 6   8    .data_1 utf8    H>A̋kr blocks=Basic Latin,Combining Diacritical Marks
778  0x00014580 0x0041c980 6   7    .data_1 ascii   H>S*BA
779  0x00014588 0x0041c988 5   7    .data_1 utf8    H>A̋k blocks=Basic Latin,Combining Diacritical Marks
780  0x0001459e 0x0041c99e 4   5    .data_1 ascii   F>S\v
781  0x000145eb 0x0041c9eb 4   5    .data_1 ascii   HF/X
782  0x000145f0 0x0041c9f0 5   8    .data_1 utf8    HѪA̋k blocks=Basic Latin,Cyrillic,Combining Diacritical Marks
783  0x00014627 0x0041ca27 4   5    .data_1 ascii   '~h\f
784  0x0001463b 0x0041ca3b 4   5    .data_1 ascii   /\vS\v
785  0x0001464e 0x0041ca4e 5   6    .data_1 ascii   qpsjh
786  0x00014693 0x0041ca93 6   7    .data_1 ascii   HFS*BA
787  0x0001469b 0x0041ca9b 6   8    .data_1 utf8    HZA̋kr blocks=Basic Latin,Combining Diacritical Marks
788  0x000146a9 0x0041caa9 4   5    .data_1 ascii   H>/X
789  0x000146c0 0x0041cac0 4   5    .data_1 ascii   FA/0
790  0x00014706 0x0041cb06 4   5    .data_1 ascii   =\fhW
791  0x00014781 0x0041cb81 4   6    .data_1 utf8    A̋k8 blocks=Basic Latin,Combining Diacritical Marks
792  0x000147a3 0x0041cba3 6   7    .data_1 ascii   HFS*BA
793  0x000147ab 0x0041cbab 6   8    .data_1 utf8    HZA̋k8 blocks=Basic Latin,Combining Diacritical Marks
794  0x000147e2 0x0041cbe2 5   7    .data_1 utf8    H>A̋k blocks=Basic Latin,Combining Diacritical Marks
795  0x000148a0 0x0041cca0 4   6    .data_1 utf8    A̋kr blocks=Basic Latin,Combining Diacritical Marks
796  0x0001490f 0x0041cd0f 5   7    .data_1 utf8    HљS\bI blocks=Basic Latin,Cyrillic
797  0x000149bd 0x0041cdbd 5   6    .data_1 ascii   FFASx
798  0x000149c6 0x0041cdc6 4   5    .data_1 ascii   HZoS
799  0x000149e0 0x0041cde0 4   7    .data_1 utf8    ߮A̋k blocks=NKo,Basic Latin,Combining Diacritical Marks
800  0x000149f6 0x0041cdf6 4   6    .data_1 utf8    H>A̋ blocks=Basic Latin,Combining Diacritical Marks
801  0x00014a75 0x0041ce75 4   6    .data_1 utf8    A̭SS blocks=Basic Latin,Combining Diacritical Marks
802  0x00014a7e 0x0041ce7e 6   7    .data_1 ascii   /6!`h?
803  0x00014ac5 0x0041cec5 7   8    .data_1 ascii   Sh!9L/\f
804  0x00014ade 0x0041cede 6   8    .data_1 utf8    HFA̋k8 blocks=Basic Latin,Combining Diacritical Marks
805  0x00014b2b 0x0041cf2b 6   8    .data_1 utf8    H>A̋kr blocks=Basic Latin,Combining Diacritical Marks
806  0x00014b69 0x0041cf69 4   5    .data_1 ascii   ZASh
807  0x00014b71 0x0041cf71 4   5    .data_1 ascii   HZoS
808  0x00014b77 0x0041cf77 4   5    .data_1 ascii   \nP/\f
809  0x00014b8d 0x0041cf8d 6   8    .data_1 utf8    HFA̋kr blocks=Basic Latin,Combining Diacritical Marks
810  0x00014c24 0x0041d024 4   5    .data_1 ascii   F>AS
811  0x00014c33 0x0041d033 4   5    .data_1 ascii   \bS/\f
812  0x00014c73 0x0041d073 5   6    .data_1 ascii   Lrm|O
813  0x00014c7b 0x0041d07b 5   8    .data_1 utf8    讗H>oS blocks=CJK Unified Ideographs,Basic Latin
814  0x00014d79 0x0041d179 4   6    .data_1 utf8    A̋k8 blocks=Basic Latin,Combining Diacritical Marks
815  0x00014dc1 0x0041d1c1 4   5    .data_1 ascii   >FAS
816  0x00014de6 0x0041d1e6 5   7    .data_1 utf8    HZA̋k blocks=Basic Latin,Combining Diacritical Marks
817  0x00014ed0 0x0041d2d0 4   6    .data_1 utf8    'ݮAS blocks=Basic Latin,Arabic Supplement
818  0x00014f2f 0x0041d32f 5   7    .data_1 utf8    HZA̋k blocks=Basic Latin,Combining Diacritical Marks
819  0x00014faf 0x0041d3af 4   6    .data_1 utf8    &QЮ/ blocks=Basic Latin,Cyrillic
820  0x00014fc7 0x0041d3c7 5   7    .data_1 utf8    H>A̋k blocks=Basic Latin,Combining Diacritical Marks
821  0x00015023 0x0041d423 4   5    .data_1 ascii   \vQ+/
822  0x00015038 0x0041d438 4   5    .data_1 ascii   /6!`
823  0x0001506d 0x0041d46d 4   6    .data_1 utf8    A̋k8 blocks=Basic Latin,Combining Diacritical Marks
824  0x0001508b 0x0041d48b 4   5    .data_1 ascii   5$h\a
825  0x00015098 0x0041d498 4   6    .data_1 utf8    ZA̋k blocks=Basic Latin,Combining Diacritical Marks
826  0x000150bb 0x0041d4bb 6   8    .data_1 utf8    HљS?+e blocks=Basic Latin,Cyrillic
827  0x000150d9 0x0041d4d9 4   6    .data_1 utf8    A̋k8 blocks=Basic Latin,Combining Diacritical Marks
828  0x0001514a 0x0041d54a 5   7    .data_1 utf8    HZA̭S blocks=Basic Latin,Combining Diacritical Marks
829  0x00015221 0x0041d621 4   5    .data_1 ascii   HZoS
830  0x0001534b 0x0041d74b 4   5    .data_1 ascii   HZoS
831  0x00015367 0x0041d767 6   8    .data_1 utf8    HZA̋k8 blocks=Basic Latin,Combining Diacritical Marks
832  0x000153ce 0x0041d7ce 5   7    .data_1 utf8    HZA̋k blocks=Basic Latin,Combining Diacritical Marks
833  0x00015439 0x0041d839 5   7    .data_1 utf8    H>A̋k blocks=Basic Latin,Combining Diacritical Marks
834  0x00015468 0x0041d868 5   7    .data_1 utf8    HFA̋k blocks=Basic Latin,Combining Diacritical Marks
835  0x00015479 0x0041d879 4   7    .data_1 utf8    'லAS blocks=Basic Latin,Tamil
836  0x000154d4 0x0041d8d4 6   8    .data_1 utf8    'ݮFZAS blocks=Basic Latin,Arabic Supplement
837  0x00015556 0x0041d956 4   5    .data_1 ascii   H>oS
838  0x00015641 0x0041da41 4   6    .data_1 utf8    A̋kr blocks=Basic Latin,Combining Diacritical Marks
839  0x0001568a 0x0041da8a 4   6    .data_1 utf8    FA̋k blocks=Basic Latin,Combining Diacritical Marks
840  0x000156d8 0x0041dad8 6   8    .data_1 utf8    \erm|O֮ blocks=Basic Latin,Hebrew
841  0x000156f0 0x0041daf0 4   5    .data_1 ascii   H>oS
842  0x0001570c 0x0041db0c 5   7    .data_1 utf8    HZA̋k blocks=Basic Latin,Combining Diacritical Marks
843  0x00015771 0x0041db71 4   6    .data_1 utf8    A̋k8 blocks=Basic Latin,Combining Diacritical Marks
844  0x0001579c 0x0041db9c 4   5    .data_1 ascii   ZAS\b
845  0x000157a4 0x0041dba4 6   7    .data_1 ascii   HFoS.>
846  0x00015810 0x0041dc10 4   6    .data_1 utf8    A̋kr blocks=Basic Latin,Combining Diacritical Marks
847  0x00015863 0x0041dc63 6   8    .data_1 utf8    H>A̋kr blocks=Basic Latin,Combining Diacritical Marks
848  0x0001593b 0x0041dd3b 6   8    .data_1 utf8    H>A̋kr blocks=Basic Latin,Combining Diacritical Marks
849  0x00015955 0x0041dd55 5   7    .data_1 utf8    H>A̋k blocks=Basic Latin,Combining Diacritical Marks
850  0x000159cd 0x0041ddcd 6   8    .data_1 utf8    HZoS=מ blocks=Basic Latin,Hebrew
851  0x000159eb 0x0041ddeb 4   6    .data_1 utf8    A̋kr blocks=Basic Latin,Combining Diacritical Marks
852  0x000159f9 0x0041ddf9 4   6    .data_1 utf8    HѥSr blocks=Basic Latin,Cyrillic
853  0x00015a1d 0x0041de1d 4   5    .data_1 ascii   HFoS
854  0x00015a38 0x0041de38 5   7    .data_1 utf8    HZA̋k blocks=Basic Latin,Combining Diacritical Marks
855  0x00015a6e 0x0041de6e 6   7    .data_1 ascii   /6!`h\n
856  0x00015b22 0x0041df22 4   5    .data_1 ascii   j\fX/
857  0x00015b67 0x0041df67 4   5    .data_1 ascii   FAS(
858  0x00015b98 0x0041df98 4   5    .data_1 ascii   >AS,
859  0x00015ba3 0x0041dfa3 5   7    .data_1 utf8    SޣK[/ blocks=Basic Latin,Thaana
860  0x00015c4d 0x0041e04d 5   6    .data_1 ascii   Z>AS4
861  0x00015cb0 0x0041e0b0 5   7    .data_1 utf8    H>A̋k blocks=Basic Latin,Combining Diacritical Marks
862  0x00015cfb 0x0041e0fb 5   6    .data_1 ascii   Z>AS<
863  0x00015d18 0x0041e118 4   5    .data_1 ascii   |Y/ 
864  0x00015d4b 0x0041e14b 4   5    .data_1 ascii   '~/ 
865  0x00015d85 0x0041e185 5   7    .data_1 utf8    H>A̋k blocks=Basic Latin,Combining Diacritical Marks
866  0x00015dcb 0x0041e1cb 4   5    .data_1 ascii   >ASD
867  0x00015e24 0x0041e224 4   5    .data_1 ascii   >ASH
868  0x00015ec1 0x0041e2c1 5   6    .data_1 ascii   F>ASP
869  0x00015ef2 0x0041e2f2 5   7    .data_1 utf8    H>A̋k blocks=Basic Latin,Combining Diacritical Marks
870  0x00015f93 0x0041e393 4   6    .data_1 utf8    HѪS\ blocks=Basic Latin,Cyrillic
871  0x00015fa4 0x0041e3a4 6   8    .data_1 utf8    HFA̋k8 blocks=Basic Latin,Combining Diacritical Marks
872  0x00015fb2 0x0041e3b2 4   5    .data_1 ascii   HFoS
873  0x00015fb7 0x0041e3b7 4   6    .data_1 utf8    Dދ/$ blocks=Basic Latin,Thaana
874  0x00015fc8 0x0041e3c8 5   6    .data_1 ascii   >FAS\
875  0x0001604e 0x0041e44e 5   7    .data_1 utf8    HFA̋k blocks=Basic Latin,Combining Diacritical Marks
876  0x0001607d 0x0041e47d 4   5    .data_1 ascii   >AS`
877  0x000160b9 0x0041e4b9 4   6    .data_1 utf8    ѻASd blocks=Cyrillic,Basic Latin
878  0x000160ec 0x0041e4ec 4   6    .data_1 utf8    m|O֮ blocks=Basic Latin,Hebrew
879  0x000161b0 0x0041e5b0 5   7    .data_1 utf8    H>A̋k blocks=Basic Latin,Combining Diacritical Marks
880  0x000162a4 0x0041e6a4 4   5    .data_1 ascii   FASp
881  0x000162f4 0x0041e6f4 5   6    .data_1 ascii   Z>ASt
882  0x000162fd 0x0041e6fd 4   5    .data_1 ascii   HFoS
883  0x0001631b 0x0041e71b 4   6    .data_1 utf8    A̋k8 blocks=Basic Latin,Combining Diacritical Marks
884  0x00016363 0x0041e763 4   6    .data_1 utf8    HѥS% blocks=Basic Latin,Cyrillic
885  0x0001639c 0x0041e79c 5   7    .data_1 utf8    HFA̋k blocks=Basic Latin,Combining Diacritical Marks
886  0x000163e2 0x0041e7e2 4   5    .data_1 ascii   SOXI
887  0x000163fe 0x0041e7fe 5   7    .data_1 utf8    HFA̋k blocks=Basic Latin,Combining Diacritical Marks
888  0x00016498 0x0041e898 4   6    .data_1 utf8    A̋kr blocks=Basic Latin,Combining Diacritical Marks
889  0x00016517 0x0041e917 4   6    .data_1 utf8    A̋k8 blocks=Basic Latin,Combining Diacritical Marks
890  0x00016576 0x0041e976 4   5    .data_1 ascii   /6!`
891  0x000165dd 0x0041e9dd 4   6    .data_1 utf8    A̭S3 blocks=Basic Latin,Combining Diacritical Marks
892  0x00016621 0x0041ea21 4   5    .data_1 ascii   H>/p
893  0x000166c8 0x0041eac8 4   5    .data_1 ascii   d$\fh
894  0x000166ea 0x0041eaea 4   5    .data_1 ascii   d$\fj
895  0x00016701 0x0041eb01 4   5    .data_1 ascii   fRfS
896  0x0001674c 0x0041eb4c 4   5    .data_1 ascii   Eova
897  0x00016809 0x0041ec09 4   5    .data_1 ascii   2-<h
898  0x00016876 0x0041ec76 4   6    .data_1 utf8    A̋kr blocks=Basic Latin,Combining Diacritical Marks
899  0x00016894 0x0041ec94 4   6    .data_1 utf8    PӍd$ blocks=Basic Latin,Cyrillic
900  0x000168ea 0x0041ecea 5   7    .data_1 utf8    HZA̋k blocks=Basic Latin,Combining Diacritical Marks
901  0x00016a23 0x0041ee23 5   6    .data_1 ascii   }\b0fU
902  0x00016a4f 0x0041ee4f 4   5    .data_1 ascii   d$ W
903  0x00016a68 0x0041ee68 4   5    .data_1 ascii   Vpsj
904  0x00016a7f 0x0041ee7f 5   6    .data_1 ascii   e03*E
905  0x00016a99 0x0041ee99 4   6    .data_1 utf8    S'Nٍ blocks=Basic Latin,Arabic
906  0x00016afd 0x0041eefd 4   5    .data_1 ascii   1032
907  0x00016b47 0x0041ef47 5   6    .data_1 ascii   "]rm|
908  0x00016b8a 0x0041ef8a 4   5    .data_1 ascii   nyXD
909  0x00016c13 0x0041f013 4   7    .data_1 utf8    9d$ blocks=Basic Latin,Private Use Area
910  0x00016f8e 0x0041f38e 4   5    .data_1 ascii   d$ P
911  0x00017033 0x0041f433 4   5    .data_1 ascii   d$ h
912  0x000171ab 0x0041f5ab 4   5    .data_1 ascii   d$\bh
913  0x0001725d 0x0041f65d 4   5    .data_1 ascii   8\erm
914  0x00017696 0x0041fa96 5   6    .data_1 ascii   E\bWfS
915  0x00017ab3 0x0041feb3 5   6    .data_1 ascii   d$$jd
916  0x00017b52 0x0041ff52 4   5    .data_1 ascii   E\ffS
917  0x00017d4e 0x0042014e 4   5    .data_1 ascii   d$\ff
918  0x00017df7 0x004201f7 4   5    .data_1 ascii   ovh<
919  0x00017e52 0x00420252 4   5    .data_1 ascii   d$\bf
920  0x00017e69 0x00420269 5   8    .data_1 utf8    6⿆103 blocks=Basic Latin,Kangxi Radicals
921  0x00017f94 0x00420394 5   6    .data_1 ascii   VPfUT
922  0x00017f9d 0x0042039d 5   6    .data_1 ascii   d$\bh<
923  0x0001807d 0x0042047d 4   6    .data_1 utf8    rm|O
924  0x000180fb 0x004204fb 4   6    .data_1 utf8    Íd$  blocks=Latin-1 Supplement,Basic Latin
925  0x000181fd 0x004205fd 4   5    .data_1 ascii   d$ 3
926  0x0001826a 0x0042066a 4   5    .data_1 ascii   d$\bh
927  0x000182ff 0x004206ff 4   5    .data_1 ascii   d$ j
928  0x00018541 0x00420941 4   5    .data_1 ascii   S03*
929  0x00018707 0x00420b07 4   5    .data_1 ascii   qpsf
930  0x0001883e 0x00420c3e 5   7    .data_1 utf8    \nTǍd$ blocks=Basic Latin,Latin Extended-B
931  0x000189e1 0x00420de1 5   6    .data_1 ascii   /6!`j
932  0x00018a03 0x00420e03 4   5    .data_1 ascii   d$\bh
933  0x00018c13 0x00421013 4   5    .data_1 ascii   VPPf
934  0x00018c53 0x00421053 4   7    .data_1 utf8    뷍d$\b blocks=Hangul Syllables,Basic Latin
935  0x00018d59 0x00421159 4   6    .data_1 utf8    ލd$\f blocks=Thaana,Basic Latin
936  0x00018de8 0x004211e8 4   5    .data_1 ascii   @ova
937  0x00018e52 0x00421252 4   5    .data_1 ascii   X03j
938  0x00018f22 0x00421322 4   5    .data_1 ascii   }\fAW
939  0x00018fdb 0x004213db 4   5    .data_1 ascii   8\erm
940  0x00019045 0x00421445 7   9    .data_1 utf8    %TǍd$\bU blocks=Basic Latin,Latin Extended-B
941  0x00019126 0x00421526 6   7    .data_1 ascii   d$ j4j
942  0x00019146 0x00421546 4   5    .data_1 ascii   d$ j
943  0x000191bf 0x004215bf 4   5    .data_1 ascii   /6!`
944  0x000191e0 0x004215e0 4   5    .data_1 ascii   d$ h
945  0x000195eb 0x004219eb 4   5    .data_1 ascii   qpsj
946  0x00019647 0x00421a47 5   6    .data_1 ascii   Z\erm|
947  0x0001969a 0x00421a9a 4   6    .data_1 utf8    ٍd$$ blocks=Arabic,Basic Latin
948  0x00019752 0x00421b52 4   6    .data_1 utf8    Fˋ\$ blocks=Basic Latin,Spacing Modifier Letters
949  0x0001981e 0x00421c1e 4   5    .data_1 ascii   j@j\b
950  0x000198ad 0x00421cad 4   6    .data_1 utf8    ۍd$\b blocks=Arabic,Basic Latin
951  0x000198b3 0x00421cb3 4   5    .data_1 ascii   W4fS
952  0x000198f1 0x00421cf1 4   5    .data_1 ascii   /6!`
953  0x00019a9a 0x00421e9a 4   5    .data_1 ascii   W`fS
954  0x00019bda 0x00421fda 4   6    .data_1 utf8    Սd$\f blocks=Armenian,Basic Latin
955  0x00019cdd 0x004220dd 5   6    .data_1 ascii   qpsjf
956  0x00019d11 0x00422111 5   6    .data_1 ascii   8\ermV
957  0x00019dc6 0x004221c6 4   6    .data_1 utf8    \eҍd$ blocks=Basic Latin,Cyrillic
958  0x00019e0c 0x0042220c 4   5    .data_1 ascii   d$ R
959  0x00019e4d 0x0042224d 6   9    .data_1 utf8    u\f뮍d$\b blocks=Basic Latin,Hangul Syllables
960  0x00019e6f 0x0042226f 4   5    .data_1 ascii   ~IYf
961  0x00019e7a 0x0042227a 6   9    .data_1 utf8    H8릉<$f blocks=Basic Latin,Hangul Syllables
962  0x00019fe9 0x004223e9 4   5    .data_1 ascii   d$\bh
963  0x0001a063 0x00422463 4   5    .data_1 ascii   d$@j
964  0x0001a0bd 0x004224bd 5   7    .data_1 utf8    V@UMM
965  0x0001a148 0x00422548 4   5    .data_1 ascii   u\b``
966  0x0001a21f 0x0042261f 4   5    .data_1 ascii   j\rfR
967  0x0001a450 0x00422850 4   5    .data_1 ascii   qpsj
968  0x0001a47c 0x0042287c 4   5    .data_1 ascii   d$\bj
969  0x0001a49c 0x0042289c 4   6    .data_1 utf8    Ym|O
970  0x0001a55b 0x0042295b 5   6    .data_1 ascii   nyX;M
971  0x0001a68f 0x00422a8f 4   7    .data_1 utf8    \b뵍d$ blocks=Basic Latin,Hangul Syllables
972  0x0001a768 0x00422b68 6   9    .data_1 utf8    <ҵDÉ(K blocks=Basic Latin,Cyrillic,Latin-1 Supplement
973  0x0001a934 0x00422d34 8   12   .data_1 utf8    f\tɍ@`뛍d$ blocks=Basic Latin,Latin Extended-B,Hangul Syllables
974  0x0001a97c 0x00422d7c 6   7    .data_1 ascii   d$ ;E\f
975  0x0001a9c1 0x00422dc1 4   5    .data_1 ascii   X+p 
976  0x0001aab0 0x00422eb0 5   6    .data_1 ascii   \f\eSfY
977  0x0001aaef 0x00422eef 6   8    .data_1 utf8    ˍd$\f;M blocks=Spacing Modifier Letters,Basic Latin
978  0x0001ab15 0x00422f15 4   5    .data_1 ascii   qpsf
979  0x0001ab72 0x00422f72 5   7    .data_1 utf8    AÍd$\b blocks=Basic Latin,Latin-1 Supplement
980  0x0001ab7e 0x00422f7e 4   6    .data_1 utf8    OD$\b
981  0x0001abe5 0x00422fe5 5   7    .data_1 utf8    %TǍd$ blocks=Basic Latin,Latin Extended-B
982  0x0001ac11 0x00423011 4   5    .data_1 ascii   S-0B
983  0x0001ac34 0x00423034 4   5    .data_1 ascii   S]0B
984  0x0001ad21 0x00423121 4   5    .data_1 ascii   S|1B
985  0x0001ad54 0x00423154 4   5    .data_1 ascii   S52B
986  0x0001ad7d 0x0042317d 4   5    .data_1 ascii   SL1B
987  0x0001ada9 0x004231a9 6   7    .data_1 ascii   03*EfQ
988  0x0001ae3f 0x0042323f 4   5    .data_1 ascii   S^2B
989  0x0001aefd 0x004232fd 5   8    .data_1 utf8    岭S03B blocks=CJK Unified Ideographs,Basic Latin
990  0x0001af14 0x00423314 6   9    .data_1 utf8    S믍d$ 3 blocks=Basic Latin,Hangul Syllables
991  0x0001af31 0x00423331 4   5    .data_1 ascii   S_3B
992  0x0001af67 0x00423367 4   5    .data_1 ascii   Su4B
993  0x0001aff6 0x004233f6 4   5    .data_1 ascii   S44B
994  0x0001b011 0x00423411 6   7    .data_1 ascii   8\erm|`
995  0x0001b039 0x00423439 4   5    .data_1 ascii   ST4B
996  0x0001b055 0x00423455 5   7    .data_1 utf8    ѭSp4B blocks=Cyrillic,Basic Latin
997  0x0001b0c9 0x004234c9 4   5    .data_1 ascii   S\r5B
998  0x0001b167 0x00423567 6   9    .data_1 utf8    뱍d$ ,  blocks=Hangul Syllables,Basic Latin
999  0x0001b187 0x00423587 5   6    .data_1 ascii   d$$<a
1000 0x0001b1a4 0x004235a4 4   5    .data_1 ascii   SQAA
1001 0x0001b211 0x00423611 4   5    .data_1 ascii   S"6B
1002 0x0001b32a 0x0042372a 4   5    .data_1 ascii   /6!`
1003 0x0001b361 0x00423761 6   8    .data_1 utf8    H֭S{7B blocks=Basic Latin,Hebrew
1004 0x0001b3ff 0x004237ff 4   5    .data_1 ascii   SN8B
1005 0x0001b450 0x00423850 4   5    .data_1 ascii   H>o/
1006 0x0001b4e3 0x004238e3 4   5    .data_1 ascii   S\b9B
1007 0x0001b509 0x00423909 4   5    .data_1 ascii   /:/4
1008 0x0001b511 0x00423911 4   5    .data_1 ascii   Sf9B
1009 0x0001b555 0x00423955 5   8    .data_1 utf8    땍d$,j blocks=Hangul Syllables,Basic Latin
1010 0x0001b55f 0x0042395f 4   5    .data_1 ascii   d$ j
1011 0x0001b5c5 0x004239c5 4   5    .data_1 ascii   S%:B
1012 0x0001b629 0x00423a29 4   5    .data_1 ascii   S\t@A
1013 0x0001b62f 0x00423a2f 4   5    .data_1 ascii   SN:B
1014 0x0001b652 0x00423a52 4   5    .data_1 ascii   Sr:B
1015 0x0001b65d 0x00423a5d 4   6    .data_1 utf8    ފ\f$f blocks=Thaana,Basic Latin
1016 0x0001b718 0x00423b18 4   5    .data_1 ascii   S9;B
1017 0x0001b727 0x00423b27 4   5    .data_1 ascii   d$\bj
1018 0x0001b73c 0x00423b3c 4   5    .data_1 ascii   Sn;B
1019 0x0001b771 0x00423b71 4   5    .data_1 ascii   S\bGB
1020 0x0001b7e4 0x00423be4 4   5    .data_1 ascii   S4<B
1021 0x0001b822 0x00423c22 4   5    .data_1 ascii   d$\bj
1022 0x0001b838 0x00423c38 4   5    .data_1 ascii   SJ<B
1023 0x0001b84d 0x00423c4d 4   5    .data_1 ascii   SQAA
1024 0x0001b853 0x00423c53 4   5    .data_1 ascii   Ss<B
1025 0x0001b8a4 0x00423ca4 7   10   .data_1 utf8    fRfV볍d$ blocks=Basic Latin,Hangul Syllables
1026 0x0001b8ff 0x00423cff 4   5    .data_1 ascii   SW=B
1027 0x0001b961 0x00423d61 4   5    .data_1 ascii   rm|O
1028 0x0001b97b 0x00423d7b 4   5    .data_1 ascii   d$Lj
1029 0x0001b9ca 0x00423dca 4   5    .data_1 ascii   d$\bI
1030 0x0001ba1d 0x00423e1d 4   5    .data_1 ascii   Sl>B
1031 0x0001bae2 0x00423ee2 5   7    .data_1 utf8    ѭS*?B blocks=Cyrillic,Basic Latin
1032 0x0001bb09 0x00423f09 4   5    .data_1 ascii   D$\tf
1033 0x0001bb97 0x00423f97 5   7    .data_1 utf8    ܉^(fV blocks=Syriac,Basic Latin
1034 0x0001bbda 0x00423fda 5   7    .data_1 utf8    ̭S-@B blocks=Combining Diacritical Marks,Basic Latin
1035 0x0001bbe7 0x00423fe7 4   5    .data_1 ascii   U\ff;
1036 0x0001bc33 0x00424033 4   5    .data_1 ascii   SM@B
1037 0x0001bc51 0x00424051 4   5    .data_1 ascii   Sg@B
1038 0x0001bc73 0x00424073 5   7    .data_1 utf8    &QЍd$ blocks=Basic Latin,Cyrillic
1039 0x0001bd1e 0x0042411e 4   5    .data_1 ascii   SXAB
1040 0x0001bd59 0x00424159 4   5    .data_1 ascii   HM}_
1041 0x0001bdfc 0x004241fc 4   5    .data_1 ascii   )H;}
1042 0x0001be0a 0x0042420a 4   5    .data_1 ascii   S+BB
1043 0x0001be24 0x00424224 5   6    .data_1 ascii   WfVf^
1044 0x0001be2d 0x0042422d 4   5    .data_1 ascii   SrBB
1045 0x0001be7a 0x0042427a 4   5    .data_1 ascii   SCDB
1046 0x0001bf01 0x00424301 4   5    .data_1 ascii   S(CB
1047 0x0001bf2d 0x0042432d 4   5    .data_1 ascii   SaCB
1048 0x0001c01b 0x0042441b 5   8    .data_1 utf8    銭S?DB blocks=CJK Unified Ideographs,Basic Latin
1049 0x0001c05c 0x0042445c 5   8    .data_1 utf8    u\b뱍d$ blocks=Basic Latin,Hangul Syllables
1050 0x0001c0c3 0x004244c3 4   5    .data_1 ascii   S\rEB
1051 0x0001c119 0x00424519 4   5    .data_1 ascii   SHEB
1052 0x0001c1fa 0x004245fa 4   5    .data_1 ascii   SzGB
1053 0x0001c200 0x00424600 4   5    .data_1 ascii   S)FB
1054 0x0001c22d 0x0042462d 4   5    .data_1 ascii   SWFB
1055 0x0001c25f 0x0042465f 4   5    .data_1 ascii   SrFB
1056 0x0001c282 0x00424682 8   9    .data_1 ascii   \erm|h5s@
1057 0x0001c29e 0x0042469e 4   5    .data_1 ascii   h2g@
1058 0x0001c2be 0x004246be 4   5    .data_1 ascii   hz|@
1059 0x0001c2cb 0x004246cb 4   5    .data_1 ascii   SSGB
1060 0x0001c308 0x00424708 4   5    .data_1 ascii   hu<B
1061 0x0001c320 0x00424720 4   5    .data_1 ascii   h6GB
1062 0x0001c340 0x00424740 4   5    .data_1 ascii   >>AA
