[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
159  0x00002636 0x00403236 4   6    CODE    utf8    )ȋtG blocks=Basic Latin,Latin Extended-B
160  0x000026ae 0x004032ae 4   6    CODE    utf8    ÐRQS blocks=Latin-1 Supplement,Basic Latin
161  0x000026ba 0x004032ba 4   6    CODE    utf8    1ҍL$ blocks=Basic Latin,Cyrillic
162  0x000026d4 0x004032d4 4   5    CODE    ascii   \n[YZ
163  0x0000274d 0x0040334d 5   6    CODE    ascii   PPRTj
164  0x00002762 0x00403362 4   6    CODE    utf8    \bXÍ@ blocks=Basic Latin,Latin-1 Supplement
165  0x00002787 0x00403387 4   5    CODE    ascii   v\aPS
166  0x000027d6 0x004033d6 5   7    CODE    utf8    YYZXÐ blocks=Basic Latin,Latin-1 Supplement
167  0x00002813 0x00403413 6   9    CODE    utf8    ZXË\vD$ blocks=Basic Latin,Latin-1 Supplement
168  0x000028b9 0x004034b9 6   7    CODE    ascii   D$\bRQP
169  0x000028c7 0x004034c7 5   6    CODE    ascii   YZXtp
170  0x000028d3 0x004034d3 4   5    CODE    ascii   VWUd
171  0x000028d8 0x004034d8 5   6    CODE    ascii   \eSPRQ
172  0x000028de 0x004034de 4   5    CODE    ascii   T$(j
173  0x00002941 0x00403541 4   7    CODE    utf8    Ë\vD$ blocks=Latin-1 Supplement,Basic Latin
174  0x0000295f 0x0040355f 4   5    CODE    ascii   SVWU
175  0x00002970 0x00403570 4   5    CODE    ascii   ]_^[
176  0x00002979 0x00403579 4   7    CODE    utf8    Ë\vD$ blocks=Latin-1 Supplement,Basic Latin
177  0x00002a26 0x00403626 7   9    CODE    utf8    1\vd$\bYd
178  0x00002a4e 0x0040364e 12  13   CODE    ascii   ZTUWVSPRTj\aj
179  0x00002a67 0x00403667 4   6    CODE    utf8    ËD$0 blocks=Latin-1 Supplement,Basic Latin
180  0x00002aaf 0x004036af 4   5    CODE    ascii   ]_^[
181  0x00002ad9 0x004036d9 4   5    CODE    ascii   d$,1
182  0x00002aec 0x004036ec 5   7    CODE    utf8    1ҋL$\b blocks=Basic Latin,Cyrillic
183  0x00002b12 0x00403712 4   5    CODE    ascii   ,t\=
184  0x00002b2a 0x0040372a 5   6    CODE    ascii   t=HtN
185  0x00002b39 0x00403739 4   5    CODE    ascii   r6t0
186  0x00002b4d 0x0040374d 4   5    CODE    ascii   t.Ht
187  0x00002bd8 0x004037d8 4   5    CODE    ascii   T$\bj
188  0x00002cca 0x004038ca 4   5    CODE    ascii   ZYYd
189  0x00002ce6 0x004038e6 6   8    CODE    utf8    _^[]ÐU blocks=Basic Latin,Latin-1 Supplement
