[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
146   0x00002151 0x00402d51 4   6    .text   utf8    ^ËF0 blocks=Basic Latin,Latin-1 Supplement
147   0x0000216f 0x00402d6f 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
148   0x0000217b 0x00402d7b 4   5    .text   ascii   T$\bj
149   0x0000219f 0x00402d9f 6   7    .text   ascii   t$\f~wS
150   0x000021cc 0x00402dcc 5   8    .text   utf8    VQRS莐 blocks=Basic Latin,CJK Unified Ideographs
151   0x000021d6 0x00402dd6 4   5    .text   ascii   G0)0
152   0x0000223f 0x00402e3f 6   7    .text   ascii   t$\f~uS
153   0x00002272 0x00402e72 4   5    .text   ascii   G4)0
154   0x000022db 0x00402edb 5   7    .text   utf8    \b3ɉH\b blocks=Basic Latin,Latin Extended-B
155   0x000022fb 0x00402efb 5   7    .text   utf8    \b3ɉH\b blocks=Basic Latin,Latin Extended-B
156   0x00002343 0x00402f43 4   5    .text   ascii   (SVW
157   0x000023b7 0x00402fb7 4   5    .text   ascii   ;{\bv
158   0x000023d0 0x00402fd0 7   11   .text   utf8    U؉u܉EЉ} blocks=Basic Latin,Arabic,Syriac,Cyrillic
159   0x000023e8 0x00402fe8 9   12   .text   utf8    4\bt\fPWPQ蹏 blocks=Basic Latin,CJK Unified Ideographs
160   0x0000240e 0x0040300e 4   5    .text   ascii   Y_^[
161   0x00002435 0x00403035 4   5    .text   ascii   Y_^[
162   0x00002445 0x00403045 4   7    .text   utf8    t\tP葎 blocks=Basic Latin,CJK Unified Ideographs
163   0x000024a0 0x004030a0 4   5    .text   ascii   \fSVW
164   0x000024b7 0x004030b7 7   9    .text   utf8    t$,3ۉ\$ blocks=Basic Latin,Arabic
165   0x000024ee 0x004030ee 4   5    .text   ascii   ~\fWV
166   0x00002540 0x00403140 4   5    .text   ascii   Y_^[
167   0x00002569 0x00403169 4   5    .text   ascii   D$\fd
168   0x000025a6 0x004031a6 4   5    .text   ascii   L$\fd
169   0x000025da 0x004031da 4   5    .text   ascii   D$\fd
170   0x000025f5 0x004031f5 4   6    .text   utf8    3\tD$
171   0x00002628 0x00403228 4   5    .text   ascii   L$\fd
172   0x00002659 0x00403259 4   5    .text   ascii   D$\fd
173   0x000026db 0x004032db 4   5    .text   ascii   L$\fd
174   0x000026f5 0x004032f5 6   7    .text   ascii   F@\bWt 
175   0x00002714 0x00403314 4   6    .text   utf8    +KN4
176   0x00002722 0x00403322 5   6    .text   ascii   u\b_^3
177   0x0000275d 0x0040335d 4   5    .text   ascii   t\t_^
178   0x000027be 0x004033be 6   9    .text   utf8    \bUQSW蛊 blocks=Basic Latin,CJK Unified Ideographs
179   0x00002803 0x00403403 4   5    .text   ascii   V uI
180   0x00002871 0x00403471 4   6    .text   utf8    V +ȉ blocks=Basic Latin,Latin Extended-B
181   0x000028b7 0x004034b7 4   5    .text   ascii   t\v:P
182   0x000028ef 0x004034ef 4   6    .text   utf8    ̋Q V blocks=Combining Diacritical Marks,Basic Latin
183   0x00002928 0x00403528 4   5    .text   ascii   9q<v
184   0x0000292d 0x0040352d 4   5    .text   ascii   9A<s
185   0x00002967 0x00403567 6   7    .text   ascii   t\b9A<s
186   0x000029ee 0x004035ee 4   6    .text   utf8    +Ƌq0 blocks=Basic Latin,Latin Extended-B
187   0x00002a21 0x00403621 4   6    .text   utf8    I4+Ɖ blocks=Basic Latin,Latin Extended-B
188   0x00002a83 0x00403683 4   6    .text   utf8    +Ƌq4 blocks=Basic Latin,Latin Extended-B
189   0x00002abf 0x004036bf 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
190   0x00002ad3 0x004036d3 6   7    .text   ascii   t\b9A<s
191   0x00002b10 0x00403710 5   7    .text   utf8    `+Ƌq0 blocks=Basic Latin,Latin Extended-B
192   0x00002b3c 0x0040373c 4   6    .text   utf8    I4+Ɖ blocks=Basic Latin,Latin Extended-B
193   0x00002b76 0x00403776 4   5    .text   ascii   D$\f3
194   0x00002bd9 0x004037d9 4   5    .text   ascii   D$\fd
195   0x00002c16 0x00403816 5   7    .text   utf8    ƋL$\fd blocks=Latin Extended-B,Basic Latin
196   0x00002c3f 0x0040383f 4   7    .text   utf8    t\tV藆 blocks=Basic Latin,CJK Unified Ideographs
197   0x00002d08 0x00403908 4   5    .text   ascii   D$\bd
198   0x00002d44 0x00403944 4   5    .text   ascii   L$\bd
199   0x00002de9 0x004039e9 4   5    .text   ascii   D$\fd
200   0x00002dff 0x004039ff 4   6    .text   utf8    ƉD$\b blocks=Latin Extended-B,Basic Latin
201   0x00002e22 0x00403a22 4   5    .text   ascii   L$\fd
202   0x00002e42 0x00403a42 4   5    .text   ascii   \$\bU
203   0x00002f6d 0x00403b6d 5   6    .text   ascii   v\rWSj
204   0x000030cc 0x00403ccc 4   5    .text   ascii   JHu\t
205   0x00003133 0x00403d33 4   5    .text   ascii   Y_^[
206   0x00003160 0x00403d60 4   5    .text   ascii   Y_^[
207   0x00003281 0x00403e81 5   6    .text   ascii   D$$PV
208   0x000032f9 0x00403ef9 4   5    .text   ascii   D$\fd
209   0x00003359 0x00403f59 5   7    .text   utf8    ǋL$\fd blocks=Latin Extended-B,Basic Latin
210   0x00003389 0x00403f89 4   5    .text   ascii   D$\fd
211   0x000033ce 0x00403fce 4   5    .text   ascii   L$\fd
212   0x000033f6 0x00403ff6 9   11   .text   utf8    3ĉD$LSUVW blocks=Basic Latin,Latin Extended-A
213   0x00003409 0x00404009 4   5    .text   ascii   D$dd
214   0x00003479 0x00404079 4   5    .text   ascii   |$lP
215   0x000034f5 0x004040f5 4   5    .text   ascii   T$ R
216   0x00003525 0x00404125 4   5    .text   ascii   L$ Q
217   0x00003588 0x00404188 4   5    .text   ascii   D$DP
218   0x000035bb 0x004041bb 4   5    .text   ascii   L$Hs
219   0x000035c1 0x004041c1 4   5    .text   ascii   L$HQ
220   0x000035d3 0x004041d3 4   5    .text   ascii   L$HQ
221   0x00003620 0x00404220 4   5    .text   ascii   D$HP
222   0x0000362c 0x0040422c 5   7    .text   utf8    3\tD$X
223   0x00003643 0x00404243 4   5    .text   ascii   L$dd
224   0x0000364d 0x0040424d 5   6    .text   ascii   Y_^][
225   0x00003653 0x00404253 4   5    .text   ascii   L$L3
226   0x00003678 0x00404278 5   7    .text   utf8    3ĉD$H blocks=Basic Latin,Latin Extended-A
227   0x0000367f 0x0040427f 4   5    .text   ascii   D$hV
228   0x00003708 0x00404308 5   7    .text   utf8    3ĉD$H blocks=Basic Latin,Latin Extended-A
229   0x0000370f 0x0040430f 4   5    .text   ascii   D$hV
230   0x0000379e 0x0040439e 5   7    .text   utf8    3ĉD$L blocks=Basic Latin,Latin Extended-A
231   0x0000382e 0x0040442e 5   7    .text   utf8    3ĉD$L blocks=Basic Latin,Latin Extended-A
232   0x0000399d 0x0040459d 4   6    .text   utf8    ـ|$; blocks=Arabic,Basic Latin
233   0x000039b6 0x004045b6 4   5    .text   ascii   D$@%
234   0x000039bb 0x004045bb 5   6    .text   ascii   D$At\t
235   0x000039c1 0x004045c1 4   5    .text   ascii   D$A+
236   0x000039fa 0x004045fa 4   6    .text   utf8    ML\te
237   0x00003a09 0x00404609 4   5    .text   ascii   L$LQ
238   0x00003a0e 0x0040460e 6   7    .text   ascii   T$XjlR
239   0x00003a29 0x00404629 4   5    .text   ascii   u\bWS
240   0x00003a2e 0x0040462e 5   6    .text   ascii   D$XPQ
241   0x00003a44 0x00404644 4   5    .text   ascii   L$`V
242   0x00003b5d 0x0040475d 4   6    .text   utf8    ـ|$; blocks=Arabic,Basic Latin
243   0x00003b76 0x00404776 4   5    .text   ascii   D$@%
244   0x00003b7b 0x0040477b 5   6    .text   ascii   D$At\t
245   0x00003b81 0x00404781 4   5    .text   ascii   D$A+
246   0x00003bc0 0x004047c0 4   6    .text   utf8    ML\te
247   0x00003bcf 0x004047cf 4   5    .text   ascii   L$LQ
248   0x00003bd4 0x004047d4 6   7    .text   ascii   T$XjlR
249   0x00003bef 0x004047ef 4   5    .text   ascii   u\bWS
250   0x00003bf4 0x004047f4 5   6    .text   ascii   D$XPQ
251   0x00003c0a 0x0040480a 4   5    .text   ascii   L$`V
252   0x00003c48 0x00404848 5   7    .text   utf8    3ĉD$@ blocks=Basic Latin,Latin Extended-A
253   0x00003c4f 0x0040484f 7   8    .text   ascii   D$`VPh8
254   0x00003c5a 0x0040485a 6   7    .text   ascii   D$\fj@P
255   0x00003cc6 0x004048c6 9   11   .text   utf8    3ĉD$TSUVW blocks=Basic Latin,Latin Extended-A
256   0x00003cd9 0x004048d9 4   5    .text   ascii   D$ld
257   0x00003d24 0x00404924 6   8    .text   utf8    3ۉ\$tP blocks=Basic Latin,Arabic
258   0x00003d7a 0x0040497a 4   5    .text   ascii   L$HQ
259   0x00003d8d 0x0040498d 4   6    .text   utf8    ōt$4 blocks=Latin Extended-A,Basic Latin
260   0x00003da1 0x004049a1 6   7    .text   ascii   9l$`r\r
261   0x00003da8 0x004049a8 4   5    .text   ascii   T$LR
262   0x00003dd1 0x004049d1 4   5    .text   ascii   D$HP
263   0x00003df4 0x004049f4 6   7    .text   ascii   9l$`r\r
264   0x00003dfb 0x004049fb 4   5    .text   ascii   L$LQ
265   0x00003e07 0x00404a07 4   5    .text   ascii   9l$D
266   0x00003e1d 0x00404a1d 4   5    .text   ascii   \$Ls
267   0x00003e23 0x00404a23 4   5    .text   ascii   D$0P
268   0x00003e4a 0x00404a4a 6   7    .text   ascii   9l$Dr\r
269   0x00003e51 0x00404a51 4   5    .text   ascii   D$0P
270   0x00003e73 0x00404a73 9   12   .text   utf8    L$$Q3ۋΉ\$ blocks=Basic Latin,Arabic,Greek and Coptic
271   0x00003e9e 0x00404a9e 4   5    .text   ascii   T$TR
272   0x00003eb3 0x00404ab3 4   5    .text   ascii   D$$P
273   0x00003eb8 0x00404ab8 4   5    .text   ascii   L$TQ
274   0x00003ecb 0x00404acb 4   5    .text   ascii   L$$;
275   0x00003ee4 0x00404ae4 7   9    .text   utf8    ЍL$H9L$ blocks=Cyrillic,Basic Latin
276   0x00003eed 0x00404aed 5   6    .text   ascii   t\r9\$
277   0x00003f4e 0x00404b4e 4   5    .text   ascii   L$ld
278   0x00003f58 0x00404b58 5   6    .text   ascii   Y_^][
279   0x00003f5e 0x00404b5e 4   5    .text   ascii   L$T3
280   0x00003f86 0x00404b86 9   11   .text   utf8    3ĉD$4SUVW blocks=Basic Latin,Latin Extended-A
281   0x00003f99 0x00404b99 4   5    .text   ascii   D$Ld
282   0x00003fba 0x00404bba 4   5    .text   ascii   L$$3
283   0x00003fc1 0x00404bc1 4   6    .text   utf8    ΉD$$ blocks=Greek and Coptic,Basic Latin
284   0x00003fd8 0x00404bd8 4   5    .text   ascii   D$pP
285   0x00003fdd 0x00404bdd 4   5    .text   ascii   T$0R
286   0x00004011 0x00404c11 7   9    .text   utf8    Ѐ|$(-u\n blocks=Cyrillic,Basic Latin
287   0x00004036 0x00404c36 5   6    .text   ascii   L$$QR
288   0x00004073 0x00404c73 5   6    .text   ascii   |$(-u
289   0x0000407c 0x00404c7c 4   5    .text   ascii   L$$f
290   0x000040a0 0x00404ca0 4   5    .text   ascii   L$Ld
291   0x000040aa 0x00404caa 5   6    .text   ascii   Y_^][
292   0x000040b0 0x00404cb0 4   5    .text   ascii   L$43
293   0x000040d6 0x00404cd6 9   11   .text   utf8    3ĉD$4SUVW blocks=Basic Latin,Latin Extended-A
294   0x000040e9 0x00404ce9 4   5    .text   ascii   D$Ld
295   0x0000410a 0x00404d0a 4   5    .text   ascii   L$$3
296   0x00004111 0x00404d11 4   6    .text   utf8    ΉD$$ blocks=Greek and Coptic,Basic Latin
297   0x00004128 0x00404d28 4   5    .text   ascii   D$pP
298   0x0000412d 0x00404d2d 4   5    .text   ascii   T$0R
299   0x00004161 0x00404d61 7   9    .text   utf8    Ѐ|$(-u\n blocks=Cyrillic,Basic Latin
300   0x00004186 0x00404d86 5   6    .text   ascii   L$$QR
301   0x000041c0 0x00404dc0 5   6    .text   ascii   |$(-u
302   0x000041ec 0x00404dec 4   5    .text   ascii   L$Ld
303   0x000041f6 0x00404df6 5   6    .text   ascii   Y_^][
304   0x000041fc 0x00404dfc 4   5    .text   ascii   L$43
305   0x00004226 0x00404e26 9   11   .text   utf8    3ĉD$4SUVW blocks=Basic Latin,Latin Extended-A
306   0x00004239 0x00404e39 4   5    .text   ascii   D$Ld
307   0x00004256 0x00404e56 5   6    .text   ascii   L$$Q3
308   0x0000425d 0x00404e5d 4   6    .text   utf8    ΉD$$ blocks=Greek and Coptic,Basic Latin
309   0x00004279 0x00404e79 4   5    .text   ascii   D$tP
310   0x0000427e 0x00404e7e 4   5    .text   ascii   T$4R
311   0x00004290 0x00404e90 4   5    .text   ascii   D$ P
312   0x00004295 0x00404e95 4   5    .text   ascii   L$4Q
313   0x000042ae 0x00404eae 4   5    .text   ascii   L$$;
314   0x000042c7 0x00404ec7 4   6    .text   utf8    Ѝ|$l blocks=Cyrillic,Basic Latin
315   0x000042dd 0x00404edd 6   7    .text   ascii   L$(9L$
316   0x00004312 0x00404f12 5   7    .text   utf8    ŋL$Ld blocks=Latin Extended-A,Basic Latin
317   0x0000431e 0x00404f1e 5   6    .text   ascii   Y_^][
318   0x00004324 0x00404f24 4   5    .text   ascii   L$43
319   0x00004356 0x00404f56 9   11   .text   utf8    3ĉD$4SUVW blocks=Basic Latin,Latin Extended-A
320   0x00004369 0x00404f69 4   5    .text   ascii   D$Ld
321   0x00004386 0x00404f86 5   6    .text   ascii   L$$Q3
322   0x0000438d 0x00404f8d 4   6    .text   utf8    ΉD$$ blocks=Greek and Coptic,Basic Latin
323   0x000043a9 0x00404fa9 4   5    .text   ascii   D$tP
324   0x000043ae 0x00404fae 4   5    .text   ascii   T$4R
325   0x000043c0 0x00404fc0 4   5    .text   ascii   D$ P
326   0x000043c5 0x00404fc5 4   5    .text   ascii   L$4Q
327   0x000043de 0x00404fde 4   5    .text   ascii   L$$;
328   0x000043f7 0x00404ff7 4   6    .text   utf8    Ѝ|$l blocks=Cyrillic,Basic Latin
329   0x0000440d 0x0040500d 6   7    .text   ascii   L$(9L$
330   0x00004442 0x00405042 5   7    .text   utf8    ŋL$Ld blocks=Latin Extended-A,Basic Latin
331   0x0000444e 0x0040504e 5   6    .text   ascii   Y_^][
332   0x00004454 0x00405054 4   5    .text   ascii   L$43
333   0x0000448c 0x0040508c 8   10   .text   utf8    3ĉD$8SVW blocks=Basic Latin,Latin Extended-A
334   0x0000449e 0x0040509e 4   5    .text   ascii   D$Pd
335   0x000044d8 0x004050d8 4   5    .text   ascii   T$0R
336   0x000044ee 0x004050ee 4   5    .text   ascii   L$0Q
337   0x00004538 0x00405138 6   7    .text   ascii   L$(9L$
338   0x0000456d 0x0040516d 4   5    .text   ascii   L$Pd
339   0x00004577 0x00405177 4   5    .text   ascii   Y_^[
340   0x0000457c 0x0040517c 4   5    .text   ascii   L$83
341   0x000045ac 0x004051ac 8   10   .text   utf8    3ĉD$8SVW blocks=Basic Latin,Latin Extended-A
342   0x000045be 0x004051be 4   5    .text   ascii   D$Pd
343   0x000045f8 0x004051f8 4   5    .text   ascii   T$0R
344   0x0000460e 0x0040520e 4   5    .text   ascii   L$0Q
345   0x00004658 0x00405258 6   7    .text   ascii   L$(9L$
346   0x0000468d 0x0040528d 4   5    .text   ascii   L$Pd
347   0x00004697 0x00405297 4   5    .text   ascii   Y_^[
348   0x0000469c 0x0040529c 4   5    .text   ascii   L$83
349   0x000046c6 0x004052c6 9   11   .text   utf8    3ĉD$PSUVW blocks=Basic Latin,Latin Extended-A
350   0x000046d9 0x004052d9 4   5    .text   ascii   D$hd
351   0x000046fc 0x004052fc 4   5    .text   ascii   T$$3
352   0x0000471a 0x0040531a 4   5    .text   ascii   T$0R
353   0x00004736 0x00405336 4   5    .text   ascii   D$ P
354   0x0000473b 0x0040533b 4   5    .text   ascii   L$4Q
355   0x00004754 0x00405354 4   5    .text   ascii   L$$;
356   0x00004786 0x00405386 6   7    .text   ascii   L$(9L$
357   0x000047c1 0x004053c1 5   7    .text   utf8    ŋL$hd blocks=Latin Extended-A,Basic Latin
358   0x000047cd 0x004053cd 5   6    .text   ascii   Y_^][
