[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
7955  0x0007c623 0x0047de23 7   8    .data   ascii   ;wwj!" 
7956  0x0007c640 0x0047de40 9   10   .data   ascii   nnnaaaaaj
7957  0x0007c65d 0x0047de5d 7   8    .data   ascii   jjbbbbb
7958  0x0007c689 0x0047de89 5   6    .data   ascii   rrrrr
7959  0x0007c6d3 0x0047ded3 5   6    .data   ascii   zzzzz
7960  0x0007c702 0x0047df02 5   6    .data   ascii   xxxxx
7961  0x0007c719 0x0047df19 5   6    .data   ascii   xxxxx
7962  0x0007c735 0x0047df35 7   8    .data   ascii   kkkkkeN
7963  0x0007c75f 0x0047df5f 6   7    .data   ascii   nnnnne
7964  0x0007c78b 0x0047df8b 5   6    .data   ascii   7(mmm
7965  0x0007c797 0x0047df97 9   12   .data   utf8    muuuuuu䫖u blocks=Basic Latin,CJK Unified Ideographs Extension A
7966  0x0007c7a5 0x0047dfa5 10  11   .data   ascii   Huuunnnnnx
7967  0x0007c7b1 0x0047dfb1 5   6    .data   ascii   hx6B2
7968  0x0007c7bd 0x0047dfbd 7   8    .data   ascii   xxbbbbb
7969  0x0007c7d8 0x0047dfd8 8   9    .data   ascii   nnnnnx_G
7970  0x0007c80b 0x0047e00b 5   6    .data   ascii   ccccc
7971  0x0007c820 0x0047e020 7   9    .data   utf8    gggggtۍ blocks=Basic Latin,Arabic
7972  0x0007c832 0x0047e032 9   10   .data   ascii   tttiiiiid
7973  0x0007c849 0x0047e049 10  12   .data   utf8    &\vCddwwwww
7974  0x0007c8cb 0x0047e0cb 5   6    .data   ascii   \e(,sF
7975  0x0007c8e1 0x0047e0e1 5   6    .data   ascii   sssss
7976  0x0007c944 0x0047e144 5   6    .data   ascii   xxxxx
7977  0x0007c94e 0x0047e14e 4   5    .data   ascii   yCwQ
7978  0x0007c97c 0x0047e17c 7   9    .data   utf8    ff<\nvّf blocks=Basic Latin,Arabic
7979  0x0007c9da 0x0047e1da 4   5    .data   ascii   fNoN
7980  0x0007c9e9 0x0047e1e9 5   6    .data   ascii   \biop9
7981  0x0007c9f9 0x0047e1f9 4   5    .data   ascii   oorr
7982  0x0007ca85 0x0047e285 4   5    .data   ascii   rrrh
7983  0x0007ca97 0x0047e297 4   5    .data   ascii   DhhA
7984  0x0007caab 0x0047e2ab 4   5    .data   ascii   uR\v|
7985  0x0007cab0 0x0047e2b0 11  12   .data   ascii   uuupppppePc
7986  0x0007cae1 0x0047e2e1 7   8    .data   ascii   jbbbbbq
7987  0x0007caf6 0x0047e2f6 9   10   .data   ascii   qqqaaaaap
7988  0x0007cb13 0x0047e313 7   8    .data   ascii   ppfffff
7989  0x0007cb2a 0x0047e32a 5   6    .data   ascii   zzzzz
7990  0x0007cb75 0x0047e375 8   9    .data   ascii   Mudfffff
7991  0x0007cb89 0x0047e389 6   7    .data   ascii   eeeeel
7992  0x0007cb97 0x0047e397 7   9    .data   utf8    lÂ43!ll blocks=Basic Latin,Latin-1 Supplement
7993  0x0007cbb8 0x0047e3b8 5   6    .data   ascii   `````
7994  0x0007cbcf 0x0047e3cf 6   7    .data   ascii   sssssh
7995  0x0007cbe8 0x0047e3e8 8   9    .data   ascii   \fhh`````
7996  0x0007cc1c 0x0047e41c 4   5    .data   ascii   ?.[d
7997  0x0007cc21 0x0047e421 5   6    .data   ascii   av,Id
7998  0x0007cc2d 0x0047e42d 8   9    .data   ascii   ddtttttf
7999  0x0007cc44 0x0047e444 5   6    .data   ascii   ff3K;
8000  0x0007cc4a 0x0047e44a 4   5    .data   ascii   wQ-f
8001  0x0007cc94 0x0047e494 4   6    .data   utf8    ֶ!mt blocks=Hebrew,Basic Latin
8002  0x0007cce4 0x0047e4e4 4   5    .data   ascii    ]5+
8003  0x0007cceb 0x0047e4eb 5   6    .data   ascii   rrrrr
8004  0x0007cd05 0x0047e505 5   6    .data   ascii   ttttt
8005  0x0007cd24 0x0047e524 5   6    .data   ascii   ppppp
8006  0x0007cd3c 0x0047e53c 4   5    .data   ascii   m=n{
8007  0x0007cd51 0x0047e551 5   7    .data   utf8    М8@c| blocks=Cyrillic,Basic Latin
8008  0x0007cd78 0x0047e578 9   10   .data   ascii   rrrbbbbbj
8009  0x0007cdac 0x0047e5ac 9   10   .data   ascii   tttttigf^
8010  0x0007cdb6 0x0047e5b6 4   6    .data   utf8    Ji݂/ blocks=Basic Latin,Syriac
8011  0x0007cdd1 0x0047e5d1 4   5    .data   ascii   n)AA
8012  0x0007cdf9 0x0047e5f9 6   7    .data   ascii   kwwwww
8013  0x0007ce0b 0x0047e60b 5   6    .data   ascii   rrrrr
8014  0x0007ce61 0x0047e661 4   5    .data   ascii   _b@d
8015  0x0007ce6b 0x0047e66b 10  11   .data   ascii   kkkkkkkxCI
8016  0x0007ce7b 0x0047e67b 4   5    .data   ascii   xxU_
8017  0x0007ce80 0x0047e680 9   10   .data   ascii   {xkkkkkzD
8018  0x0007ce93 0x0047e693 4   5    .data   ascii   Azzz
8019  0x0007ce9e 0x0047e69e 6   8    .data   utf8    juMp\nݑ blocks=Basic Latin,Arabic Supplement
8020  0x0007ceab 0x0047e6ab 11  12   .data   ascii   KW%pppaaaaa
8021  0x0007ced0 0x0047e6d0 5   6    .data   ascii   iiiii
8022  0x0007cee1 0x0047e6e1 5   6    .data   ascii   sssss
8023  0x0007cefe 0x0047e6fe 4   5    .data   ascii   @(&U
8024  0x0007cf1d 0x0047e71d 16  19   .data   utf8    m-T͊+Tmmmllllll» blocks=Basic Latin,Combining Diacritical Marks,Latin-1 Supplement
8025  0x0007cf50 0x0047e750 4   5    .data   ascii   @yyi
8026  0x0007cffd 0x0047e7fd 9   11   .data   utf8    aaaaalWSD
8027  0x0007d017 0x0047e817 7   8    .data   ascii   llaaaaa
8028  0x0007d043 0x0047e843 8   9    .data   ascii   nnnnnn3|
8029  0x0007d055 0x0047e855 13  15   .data   utf8     #֬*3nnbbbbba blocks=Basic Latin,Hebrew
8030  0x0007d09b 0x0047e89b 7   9    .data   utf8    ac_\bžaa blocks=Basic Latin,Latin Extended-A
8031  0x0007d0a9 0x0047e8a9 4   5    .data   ascii   Ju/1
8032  0x0007d0bc 0x0047e8bc 5   6    .data   ascii   sssss
8033  0x0007d0d3 0x0047e8d3 6   7    .data   ascii   aaaaak
8034  0x0007d0eb 0x0047e8eb 4   5    .data   ascii   n:kk
8035  0x0007d1a1 0x0047e9a1 6   7    .data   ascii   bbbbbl
8036  0x0007d1b3 0x0047e9b3 8   9    .data   ascii   lllyyyyy
8037  0x0007d1d0 0x0047e9d0 7   8    .data   ascii   gggggq@
8038  0x0007d1d9 0x0047e9d9 5   6    .data   ascii   &nrq>
8039  0x0007d1e2 0x0047e9e2 5   6    .data   ascii   f23qq
8040  0x0007d200 0x0047ea00 6   7    .data   ascii   ooooop
8041  0x0007d250 0x0047ea50 5   6    .data   ascii   B*H[v
8042  0x0007d25e 0x0047ea5e 4   5    .data   ascii   G{vv
8043  0x0007d267 0x0047ea67 11  13   .data   utf8    iS¤Ni9ahiie blocks=Basic Latin,Latin-1 Supplement
8044  0x0007d294 0x0047ea94 6   8    .data   utf8    Ζr$,yk blocks=Greek and Coptic,Basic Latin
8045  0x0007d2a0 0x0047eaa0 6   7    .data   ascii   D-l|rr
8046  0x0007d2b6 0x0047eab6 4   5    .data   ascii   LdS.
8047  0x0007d2d3 0x0047ead3 8   9    .data   ascii   nnnbbbbb
8048  0x0007d2ec 0x0047eaec 6   7    .data   ascii   ttttte
8049  0x0007d2fc 0x0047eafc 6   7    .data   ascii   <eeUg>
8050  0x0007d338 0x0047eb38 5   6    .data   ascii   ggggg
8051  0x0007d35e 0x0047eb5e 9   10   .data   ascii   fcccaaaaa
8052  0x0007d3ac 0x0047ebac 6   7    .data   ascii   aaaaat
8053  0x0007d3bd 0x0047ebbd 4   6    .data   utf8    \aʒtt blocks=Basic Latin,IPA Extensions
8054  0x0007d3d2 0x0047ebd2 4   5    .data   ascii   Kcc{
8055  0x0007d3e7 0x0047ebe7 5   6    .data   ascii   Gz&*0
8056  0x0007d3ef 0x0047ebef 10  11   .data   ascii   zzznnnnnd^
8057  0x0007d423 0x0047ec23 5   6    .data   ascii   aaaaa
8058  0x0007d438 0x0047ec38 7   8    .data   ascii   hhhhhh0
8059  0x0007d450 0x0047ec50 11  12   .data   ascii   hhtttttf{3m
8060  0x0007d470 0x0047ec70 6   7    .data   ascii   fkkkkk
8061  0x0007d498 0x0047ec98 6   7    .data   ascii   aaaaao
8062  0x0007d4bd 0x0047ecbd 7   8    .data   ascii   8z4yIBs
8063  0x0007d4c5 0x0047ecc5 9   10   .data   ascii   zzzyyyyyj
8064  0x0007d4da 0x0047ecda 5   6    .data   ascii   b2"Wj
8065  0x0007d4e1 0x0047ece1 8   9    .data   ascii   %jjnnnnn
8066  0x0007d4f9 0x0047ecf9 5   6    .data   ascii   kkkkk
8067  0x0007d506 0x0047ed06 5   6    .data   ascii   ?uewb
8068  0x0007d50e 0x0047ed0e 5   6    .data   ascii   ggggg
8069  0x0007d57e 0x0047ed7e 5   7    .data   utf8    |wwЬ= blocks=Basic Latin,Cyrillic
8070  0x0007d59e 0x0047ed9e 5   6    .data   ascii   jjjjj
8071  0x0007d5ba 0x0047edba 6   7    .data   ascii   mmmmmo
8072  0x0007d5ce 0x0047edce 7   8    .data   ascii   opppppt
8073  0x0007d5dd 0x0047eddd 12  13   .data   ascii   .WRetttccccc
8074  0x0007d5fe 0x0047edfe 8   9    .data   ascii   hhhhhl_)
8075  0x0007d607 0x0047ee07 5   6    .data   ascii   o\n,lv
8076  0x0007d610 0x0047ee10 5   8    .data   utf8    롋ll+Y blocks=Hangul Syllables,Basic Latin
8077  0x0007d61c 0x0047ee1c 6   7    .data   ascii   lqqqqq
8078  0x0007d63f 0x0047ee3f 10  11   .data   ascii   4nbttaaaaa
8079  0x0007d68e 0x0047ee8e 9   10   .data   ascii   ooccccco\r
8080  0x0007d69e 0x0047ee9e 4   5    .data   ascii   oo.J
8081  0x0007d6ba 0x0047eeba 5   6    .data   ascii   ttttt
8082  0x0007d6d4 0x0047eed4 5   6    .data   ascii   nnnnn
8083  0x0007d6f3 0x0047eef3 5   6    .data   ascii   sssss
8084  0x0007d71a 0x0047ef1a 6   7    .data   ascii   ooooo`
8085  0x0007d729 0x0047ef29 5   6    .data   ascii   !w``!
8086  0x0007d731 0x0047ef31 7   8    .data   ascii   ,`sssss
8087  0x0007d752 0x0047ef52 4   5    .data   ascii   FA6Q
8088  0x0007d766 0x0047ef66 6   7    .data   ascii   nnnnnn
8089  0x0007d778 0x0047ef78 9   10   .data   ascii    Vnmmmmmz
8090  0x0007d78d 0x0047ef8d 12  13   .data   ascii   zzzrrrrrwAo@
8091  0x0007d7a8 0x0047efa8 7   8    .data   ascii   wwddddd
8092  0x0007d7c3 0x0047efc3 5   6    .data   ascii   (1\tMY
8093  0x0007d7e9 0x0047efe9 5   6    .data   ascii   27:p!
8094  0x0007d7f6 0x0047eff6 4   6    .data   utf8    ũeTQ blocks=Latin Extended-A,Basic Latin
8095  0x0007d809 0x0047f009 8   9    .data   ascii   lllllc"q
8096  0x0007d834 0x0047f034 7   9    .data   utf8    fOwBʅww blocks=Basic Latin,IPA Extensions
8097  0x0007d866 0x0047f066 8   9    .data   ascii   cccccsZH
8098  0x0007d86f 0x0047f06f 4   5    .data   ascii   Vs"S
8099  0x0007d879 0x0047f079 13  14   .data   ascii   gs]w3ssnnnnnh
8100  0x0007d894 0x0047f094 4   5    .data   ascii   QhhZ
8101  0x0007d89c 0x0047f09c 9   10   .data   ascii   DIhuuuuug
8102  0x0007d8ad 0x0047f0ad 8   9    .data   ascii   gggbbbbb
8103  0x0007d8c6 0x0047f0c6 7   8    .data   ascii   xxxxxxx
8104  0x0007d912 0x0047f112 5   6    .data   ascii   ddddd
8105  0x0007d9c1 0x0047f1c1 5   6    .data   ascii   aaaaa
8106  0x0007d9c7 0x0047f1c7 5   6    .data   ascii   fN/xs
8107  0x0007d9e9 0x0047f1e9 5   6    .data   ascii   \r)kjt
8108  0x0007d9f0 0x0047f1f0 5   6    .data   ascii   ooooo
8109  0x0007da20 0x0047f220 6   7    .data   ascii   uuuuuv
8110  0x0007da2d 0x0047f22d 6   7    .data   ascii   dvD\v0Q
8111  0x0007da47 0x0047f247 4   5    .data   ascii   ttw\e
8112  0x0007da82 0x0047f282 7   8    .data   ascii   vvvvvlq
8113  0x0007daa8 0x0047f2a8 4   5    .data   ascii   iyyy
8114  0x0007dab7 0x0047f2b7 5   6    .data   ascii   q|h&=
8115  0x0007dac6 0x0047f2c6 6   7    .data   ascii   hhhhhj
8116  0x0007dad2 0x0047f2d2 5   6    .data   ascii   jt-$i
8117  0x0007dadf 0x0047f2df 6   7    .data   ascii   j  AXj
8118  0x0007db09 0x0047f309 9   10   .data   ascii   Eccfffffb
8119  0x0007db31 0x0047f331 15  17   .data   utf8    LlpƊsFUlllrrrrr blocks=Basic Latin,Latin Extended-B
8120  0x0007db6b 0x0047f36b 9   10   .data   ascii   4nfffffuV
8121  0x0007dba9 0x0047f3a9 5   6    .data   ascii   sFv&v
8122  0x0007dbcc 0x0047f3cc 6   7    .data   ascii   sssssf
8123  0x0007dbfb 0x0047f3fb 5   6    .data   ascii   wwwww
8124  0x0007dc19 0x0047f419 4   5    .data   ascii   ZC2\e
8125  0x0007dc43 0x0047f443 5   6    .data   ascii   ooooo
8126  0x0007dc58 0x0047f458 8   9    .data   ascii   kkkkkkjB
8127  0x0007dc82 0x0047f482 5   6    .data   ascii   O+ Rc
8128  0x0007dc9d 0x0047f49d 5   6    .data   ascii   _:```
8129  0x0007dce4 0x0047f4e4 9   10   .data   ascii   :cccxxxxx
8130  0x0007dd14 0x0047f514 4   5    .data   ascii   RZQ2
8131  0x0007dd19 0x0047f519 8   9    .data   ascii   pppppvhl
8132  0x0007dd2b 0x0047f52b 8   9    .data   ascii   vvvhhhhh
8133  0x0007dd53 0x0047f553 5   8    .data   utf8    LwÕbҔ blocks=Basic Latin,Latin-1 Supplement,Cyrillic
8134  0x0007dd60 0x0047f560 4   5    .data   ascii   Z<JG
8135  0x0007dd65 0x0047f565 7   8    .data   ascii   kwlllll
8136  0x0007dd86 0x0047f586 13  14   .data   ascii   ciyd\b9ccttttt
8137  0x0007dda7 0x0047f5a7 6   7    .data   ascii   cccccr
8138  0x0007ddba 0x0047f5ba 4   5    .data   ascii   Srrr
8139  0x0007ddd8 0x0047f5d8 8   9    .data   ascii   ppnnnnni
8140  0x0007ddfc 0x0047f5fc 8   9    .data   ascii   ,-gn\rppp
8141  0x0007de2a 0x0047f62a 4   6    .data   utf8    ozBȮ blocks=Basic Latin,Latin Extended-B
8142  0x0007de32 0x0047f632 6   9    .data   utf8    Kooصnק blocks=Basic Latin,Arabic,Hebrew
8143  0x0007de3c 0x0047f63c 6   7    .data   ascii   oddddd
8144  0x0007de62 0x0047f662 7   8    .data   ascii   bblllll
8145  0x0007de94 0x0047f694 7   8    .data   ascii   pppppp\t
8146  0x0007dea2 0x0047f6a2 5   6    .data   ascii   piq\t5
8147  0x0007dead 0x0047f6ad 8   9    .data   ascii   0ppyyyyy
8148  0x0007dec5 0x0047f6c5 5   6    .data   ascii   kkkkk
8149  0x0007deda 0x0047f6da 5   6    .data   ascii   ggggg
8150  0x0007def4 0x0047f6f4 5   6    .data   ascii   iiiii
8151  0x0007df2b 0x0047f72b 4   5    .data   ascii   ]~ic
8152  0x0007df5c 0x0047f75c 6   7    .data   ascii   dm##p\v
8153  0x0007df64 0x0047f764 11  12   .data   ascii   \eA7pppjjjjj
8154  0x0007df86 0x0047f786 8   9    .data   ascii   sssssr)N
8155  0x0007dfb0 0x0047f7b0 5   6    .data   ascii   ppppp
8156  0x0007dfb6 0x0047f7b6 4   5    .data   ascii   y?+8
8157  0x0007dfbc 0x0047f7bc 4   5    .data   ascii   xJd\b
8158  0x0007dfca 0x0047f7ca 7   8    .data   ascii   zzzzzxr
8159  0x0007dfe3 0x0047f7e3 5   7    .data   utf8    NeDڠx blocks=Basic Latin,Arabic
8160  0x0007dfee 0x0047f7ee 7   8    .data   ascii   x\\=x(W
8161  0x0007dff7 0x0047f7f7 9   10   .data   ascii   xxxeeeeer
8162  0x0007e00e 0x0047f80e 7   8    .data   ascii   rruuuuu
8163  0x0007e029 0x0047f829 7   8    .data   ascii   `````bG
8164  0x0007e03b 0x0047f83b 10  11   .data   ascii   F#bbbttttt
8165  0x0007e05c 0x0047f85c 5   6    .data   ascii   wwwww
8166  0x0007e071 0x0047f871 5   6    .data   ascii   zzzzz
8167  0x0007e0b4 0x0047f8b4 5   7    .data   utf8    Ljj?ݗ blocks=Basic Latin,Arabic Supplement
8168  0x0007e0bc 0x0047f8bc 9   10   .data   ascii   1:jvvvvvv
8169  0x0007e0ca 0x0047f8ca 11  12   .data   ascii   {Xrvvvnnnnn
8170  0x0007e17b 0x0047f97b 6   7    .data   ascii   BUr'ha
8171  0x0007e1a3 0x0047f9a3 7   8    .data   ascii   zzzzzaL
8172  0x0007e1ab 0x0047f9ab 4   5    .data   ascii   -VNa
8173  0x0007e1b3 0x0047f9b3 10  11   .data   ascii   7taaavvvvv
8174  0x0007e1d2 0x0047f9d2 6   7    .data   ascii   hhhhha
8175  0x0007e1e6 0x0047f9e6 4   5    .data   ascii   ?aaG
8176  0x0007e202 0x0047fa02 7   8    .data   ascii   jjjjjzw
8177  0x0007e220 0x0047fa20 4   5    .data   ascii   F[fR
8178  0x0007e248 0x0047fa48 5   6    .data   ascii   ppppp
8179  0x0007e279 0x0047fa79 5   6    .data   ascii   `````
8180  0x0007e2a4 0x0047faa4 4   5    .data   ascii   F|``
8181  0x0007e2bc 0x0047fabc 6   8    .data   utf8    "cc)xл blocks=Basic Latin,Cyrillic
8182  0x0007e2c6 0x0047fac6 8   9    .data   ascii   cvvvvvvA
8183  0x0007e2fe 0x0047fafe 5   6    .data   ascii   +uu:S
8184  0x0007e391 0x0047fb91 5   6    .data   ascii   \nkzzE
8185  0x0007e397 0x0047fb97 9   12   .data   utf8    3묤5zuuuuu blocks=Basic Latin,Hangul Syllables
8186  0x0007e3c4 0x0047fbc4 5   6    .data   ascii   ttttt
8187  0x0007e3dd 0x0047fbdd 6   7    .data   ascii   qqqqqw
8188  0x0007e3f1 0x0047fbf1 8   9    .data   ascii   wwwvvvvv
8189  0x0007e3fc 0x0047fbfc 4   5    .data   ascii   vB|>
8190  0x0007e425 0x0047fc25 7   8    .data   ascii   mmmmml]
8191  0x0007e490 0x0047fc90 5   6    .data   ascii   Zqg3p
8192  0x0007e496 0x0047fc96 4   5    .data   ascii   M\egg
8193  0x0007e4c7 0x0047fcc7 8   9    .data   ascii   gggbbbbb
8194  0x0007e52a 0x0047fd2a 5   6    .data   ascii   ttttt
8195  0x0007e557 0x0047fd57 11  12   .data   ascii   wwwqqqqqs+:
8196  0x0007e588 0x0047fd88 6   7    .data   ascii   pxxxxx
8197  0x0007e636 0x0047fe36 6   7    .data   ascii   waaaaa
8198  0x0007e64c 0x0047fe4c 5   6    .data   ascii   mmmmm
8199  0x0007e666 0x0047fe66 5   6    .data   ascii   kkkkk
8200  0x0007e6c5 0x0047fec5 6   7    .data   ascii   uuuuun
8201  0x0007e6d8 0x0047fed8 9   10   .data   ascii   =nnnggggg
8202  0x0007e6e2 0x0047fee2 4   5    .data   ascii   v\r)X
8203  0x0007e71e 0x0047ff1e 4   5    .data   ascii   &rrr
8204  0x0007e75b 0x0047ff5b 6   7    .data   ascii   `````l
8205  0x0007e780 0x0047ff80 7   8    .data   ascii   rrvvvvv
8206  0x0007e788 0x0047ff88 4   5    .data   ascii   syT(
8207  0x0007e7a8 0x0047ffa8 4   7    .data   utf8    sᅫR: blocks=Basic Latin,Hangul Jamo
8208  0x0007e7bb 0x0047ffbb 4   6    .data   utf8    <ĵXd blocks=Basic Latin,Latin Extended-A
8209  0x0007e7ce 0x0047ffce 6   7    .data   ascii   jjjjjq
8210  0x0007e7e2 0x0047ffe2 6   7    .data   ascii   qccccc
8211  0x0007e831 0x00480031 7   8    .data   ascii   jjjjjyY
8212  0x0007e83c 0x0048003c 12  13   .data   ascii   qP\byyywwwwwj
8213  0x0007e855 0x00480055 9   10   .data   ascii   \rjjxxxxxa
8214  0x0007e863 0x00480063 4   5    .data   ascii   ja^C
8215  0x0007e87b 0x0048007b 4   5    .data   ascii   SFWc
8216  0x0007e884 0x00480084 4   5    .data   ascii   Kccc
8217  0x0007e89b 0x0048009b 5   6    .data   ascii   w]teT
8218  0x0007e8b9 0x004800b9 5   6    .data   ascii   lllll
8219  0x0007e8e8 0x004800e8 7   8    .data   ascii   hhhhhtL
8220  0x0007e8f2 0x004800f2 4   5    .data   ascii   [ut@
8221  0x0007e8fc 0x004800fc 6   7    .data   ascii   ftt1AV
8222  0x0007e90f 0x0048010f 5   6    .data   ascii   vs&{o
8223  0x0007e915 0x00480115 10  12   .data   utf8    sssrrrrrr£ blocks=Basic Latin,Latin-1 Supplement
8224  0x0007e946 0x00480146 6   7    .data   ascii   myyyyy
8225  0x0007e987 0x00480187 4   5    .data   ascii   bii9
8226  0x0007e98e 0x0048018e 8   9    .data   ascii   iwwwwwzn
8227  0x0007e997 0x00480197 5   6    .data   ascii   O\frzJ
8228  0x0007e99e 0x0048019e 6   7    .data   ascii   t\,zzz
8229  0x0007e9b0 0x004801b0 4   5    .data   ascii   {);&
8230  0x0007e9be 0x004801be 6   7    .data   ascii   cccccs
8231  0x0007e9ca 0x004801ca 5   6    .data   ascii   s2NTz
8232  0x0007ea31 0x00480231 8   9    .data   ascii   gggyyyyy
8233  0x0007ea65 0x00480265 6   7    .data   ascii   eeeeei
8234  0x0007ea75 0x00480275 5   6    .data   ascii   sNiii
8235  0x0007ea94 0x00480294 5   6    .data   ascii   fffff
8236  0x0007eab3 0x004802b3 6   7    .data   ascii   zzzzzh
8237  0x0007eabb 0x004802bb 5   6    .data   ascii   mhImi
8238  0x0007ead8 0x004802d8 9   10   .data   ascii   wwllllloq
8239  0x0007eaeb 0x004802eb 4   5    .data   ascii   ooc\r
8240  0x0007eb9a 0x0048039a 13  14   .data   ascii   5wwwbbbbbt*8_
8241  0x0007ebab 0x004803ab 5   6    .data   ascii   \tXfW
8242  0x0007ebb8 0x004803b8 7   8    .data   ascii   tteeeee
8243  0x0007ebd8 0x004803d8 6   7    .data   ascii   \fYd0O$
8244  0x0007ebe1 0x004803e1 9   10   .data   ascii   dddyyyyyh
8245  0x0007ebf3 0x004803f3 4   5    .data   ascii   \bh!;
8246  0x0007ec2e 0x0048042e 8   9    .data   ascii   rrrrrlS9
8247  0x0007ec58 0x00480458 4   5    .data   ascii   ,DB:
8248  0x0007ec89 0x00480489 4   5    .data   ascii   \njwM
8249  0x0007ecba 0x004804ba 6   7    .data   ascii   nnnnnt
8250  0x0007ecc9 0x004804c9 5   7    .data   utf8    Ttucɩ blocks=Basic Latin,IPA Extensions
8251  0x0007ecd2 0x004804d2 7   8    .data   ascii   ttooooo
8252  0x0007ecff 0x004804ff 10  11   .data   ascii   E!pppttttt
8253  0x0007ed1a 0x0048051a 5   6    .data   ascii   aaaaa
8254  0x0007ed33 0x00480533 7   8    .data   ascii   cccccn%
8255  0x0007ed47 0x00480547 9   10   .data   ascii   nnnvvvvvn
8256  0x0007ed72 0x00480572 4   5    .data   ascii   Qlff
8257  0x0007ed79 0x00480579 7   8    .data   ascii   cfvvvvv
8258  0x0007edaa 0x004805aa 5   6    .data   ascii   rrrrr
8259  0x0007edb7 0x004805b7 4   5    .data   ascii   J7T.
8260  0x0007edc9 0x004805c9 5   6    .data   ascii   bbbbb
8261  0x0007edf0 0x004805f0 6   7    .data   ascii   sssssx
8262  0x0007edfb 0x004805fb 4   5    .data   ascii   0x5.
8263  0x0007ee00 0x00480600 6   7    .data   ascii   \nxxqe'
8264  0x0007ee08 0x00480608 6   7    .data   ascii   xsssss
8265  0x0007ee17 0x00480617 5   6    .data   ascii   hv?#!
8266  0x0007ee41 0x00480641 4   5    .data   ascii   q&h\f
8267  0x0007ee80 0x00480680 5   6    .data   ascii   lllll
8268  0x0007ee97 0x00480697 4   5    .data   ascii   QG&E
8269  0x0007ee9f 0x0048069f 7   8    .data   ascii   zzzzzb\
8270  0x0007eeac 0x004806ac 4   5    .data   ascii   ]bbb
8271  0x0007eebc 0x004806bc 4   5    .data   ascii   pSr$
8272  0x0007eec4 0x004806c4 7   8    .data   ascii   rrnnnnn
8273  0x0007eef6 0x004806f6 5   6    .data   ascii   hhhhh
8274  0x0007ef12 0x00480712 6   7    .data   ascii   iiiiii
8275  0x0007ef26 0x00480726 8   9    .data   ascii   iaaaaas(
8276  0x0007ef39 0x00480739 9   10   .data   ascii   ssswwwwwm
8277  0x0007ef52 0x00480752 4   5    .data   ascii   Z9mm
8278  0x0007ef70 0x00480770 4   5    .data   ascii   O[3a
8279  0x0007ef75 0x00480775 5   6    .data   ascii   nnnnn
8280  0x0007efa8 0x004807a8 4   5    .data   ascii   u~Wz
8281  0x0007efb3 0x004807b3 7   8    .data   ascii   Ku`````
8282  0x0007efcc 0x004807cc 6   7    .data   ascii   lllllg
8283  0x0007efe6 0x004807e6 7   8    .data   ascii   ggzzzzz
8284  0x0007effd 0x004807fd 6   7    .data   ascii   ccccc`
8285  0x0007f058 0x00480858 4   5    .data   ascii   xmmm
8286  0x0007f072 0x00480872 6   7    .data   ascii   mmmmme
8287  0x0007f083 0x00480883 5   6    .data   ascii   eeH(D
8288  0x0007f0b5 0x004808b5 4   5    .data   ascii   U;\f`
8289  0x0007f0bc 0x004808bc 7   8    .data   ascii   ``vvvvv
8290  0x0007f0d3 0x004808d3 6   7    .data   ascii   pppppm
8291  0x0007f0e1 0x004808e1 12  13   .data   ascii   fq?{mmmccccc
8292  0x0007f11a 0x0048091a 4   5    .data   ascii   LkwS
8293  0x0007f121 0x00480921 5   6    .data   ascii   wwwww
8294  0x0007f132 0x00480932 5   6    .data   ascii   fffff
8295  0x0007f13c 0x0048093c 4   5    .data   ascii   I&?t
8296  0x0007f148 0x00480948 5   6    .data   ascii   ppppp
8297  0x0007f18a 0x0048098a 5   6    .data   ascii   N';3o
8298  0x0007f1b2 0x004809b2 4   5    .data   ascii   a4q8
8299  0x0007f1c3 0x004809c3 9   11   .data   utf8    pъ0upz\fiV blocks=Basic Latin,Cyrillic
8300  0x0007f1d6 0x004809d6 7   8    .data   ascii   ppttttt
8301  0x0007f1f7 0x004809f7 8   9    .data   ascii   `````e:\n
8302  0x0007f26a 0x00480a6a 5   6    .data   ascii   iiiii
8303  0x0007f27f 0x00480a7f 5   6    .data   ascii   wwwww
8304  0x0007f339 0x00480b39 5   6    .data   ascii   ccccc
8305  0x0007f365 0x00480b65 10  11   .data   ascii   Zsss`````d
8306  0x0007f38b 0x00480b8b 7   8    .data   ascii   s \f<Gss
8307  0x0007f396 0x00480b96 7   8    .data   ascii   Iszzzzz
8308  0x0007f3c5 0x00480bc5 12  13   .data   ascii   rD >rrpppppj
8309  0x0007f3df 0x00480bdf 6   7    .data   ascii   juuuuu
8310  0x0007f3f5 0x00480bf5 8   10   .data   utf8    nnnnn`%ɞ blocks=Basic Latin,IPA Extensions
8311  0x0007f404 0x00480c04 5   7    .data   utf8    ]`}ć{ blocks=Basic Latin,Latin Extended-A
8312  0x0007f423 0x00480c23 4   5    .data   ascii   |nn\f
8313  0x0007f45d 0x00480c5d 4   5    .data   ascii   d3"#
8314  0x0007f46e 0x00480c6e 6   7    .data   ascii   mmmmmq
8315  0x0007f479 0x00480c79 4   5    .data   ascii   \anqo
8316  0x0007f4b1 0x00480cb1 4   5    .data   ascii   TM$u
