[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
139  0x000032f7 0x10003ef7 4   5    .text   ascii   FYf;
140  0x00003390 0x10003f90 4   5    .text   ascii   T$\bf
141  0x00003416 0x10004016 4   5    .text   ascii   QQvI
142  0x00003448 0x10004048 4   5    .text   ascii   XD$(
143  0x0000345a 0x1000405a 4   5    .text   ascii   XL$\b
144  0x000034ba 0x100040ba 4   5    .text   ascii   XD$0
145  0x000034d4 0x100040d4 4   6    .text   utf8    ]ËD$ blocks=Basic Latin,Latin-1 Supplement
146  0x0000350b 0x1000410b 5   6    .text   ascii   QQSVW
147  0x000035c1 0x100041c1 5   6    .text   ascii   D$\f_^
148  0x000035f3 0x100041f3 4   6    .text   utf8    u\fhŝ blocks=Basic Latin,Latin Extended-A
149  0x0000361c 0x1000421c 4   5    .text   ascii   G\f;4
150  0x0000362e 0x1000422e 4   5    .text   ascii   ;F\bu
151  0x0000369c 0x1000429c 4   6    .text   utf8    <ًB\f blocks=Basic Latin,Arabic
152  0x0000375f 0x1000435f 4   5    .text   ascii   /\vvE
153  0x00003785 0x10004385 4   5    .text   ascii   t!VW
154  0x000037a6 0x100043a6 5   6    .text   ascii   _^[YY
155  0x000037c4 0x100043c4 5   6    .text   ascii   D$\bVW
156  0x00003806 0x10004406 4   5    .text   ascii   QSVW
157  0x0000385e 0x1000445e 5   6    .text   ascii   t$\fWj
158  0x00003867 0x10004467 5   7    .text   utf8    F\bPhŝ blocks=Basic Latin,Latin Extended-A
159  0x000038b9 0x100044b9 5   6    .text   ascii   D$\f_^
160  0x000038c6 0x100044c6 4   6    .text   utf8    ËD$\f blocks=Latin-1 Supplement,Basic Latin
161  0x000039ee 0x100045ee 6   7    .text   ascii   Yt\nj\fV
162  0x00003a77 0x10004677 6   7    .text   ascii   Yt\nj\fV
163  0x00003c12 0x10004812 4   5    .text   ascii   w\e9~
164  0x00003c35 0x10004835 4   5    .text   ascii   j>Y3
165  0x00003c6c 0x1000486c 4   5    .text   ascii   PhaH
166  0x00003ccd 0x100048cd 4   5    .text   ascii   w+9F
167  0x00003d12 0x10004912 5   6    .text   ascii   t$\b+A
168  0x00003d65 0x10004965 5   6    .text   ascii   7@PVW
169  0x00003dc5 0x100049c5 4   5    .text   ascii   t$\fW
170  0x00003e15 0x10004a15 4   6    .text   utf8    s7+͋ blocks=Basic Latin,Combining Diacritical Marks
171  0x00003e50 0x10004a50 4   6    .text   utf8    +ŉD$ blocks=Basic Latin,Latin Extended-A
172  0x00003e6a 0x10004a6a 4   6    .text   utf8    I|$$
173  0x00003e93 0x10004a93 4   5    .text   ascii   +;D$
174  0x00003ed8 0x10004ad8 5   6    .text   ascii   D$8SP
175  0x00003f0b 0x10004b0b 5   6    .text   ascii   ][_^Y
176  0x00003f1b 0x10004b1b 4   5    .text   ascii   \$\fU
177  0x00003f28 0x10004b28 4   5    .text   ascii   WUSV
178  0x00003f35 0x10004b35 4   5    .text   ascii   t$8V
179  0x00003f3a 0x10004b3a 4   5    .text   ascii   t$8W
180  0x00003f44 0x10004b44 4   5    .text   ascii   D$4+
181  0x00003f49 0x10004b49 6   7    .text   ascii   +D$<@P
182  0x00003f53 0x10004b53 4   5    .text   ascii   D$@P
183  0x00003f62 0x10004b62 5   6    .text   ascii   $_^][
184  0x00003f72 0x10004b72 4   5    .text   ascii   }\b;~
185  0x00003f86 0x10004b86 5   6    .text   ascii   E\fWPS
186  0x00003fe1 0x10004be1 5   6    .text   ascii   E\fSPV
187  0x0000402b 0x10004c2b 4   6    .text   utf8    +IL$
188  0x000040f9 0x10004cf9 4   5    .text   ascii   D$0f
189  0x0000413c 0x10004d3c 6   7    .text   ascii   _^][YY
190  0x0000415b 0x10004d5b 4   6    .text   utf8    +IL$
191  0x000041d1 0x10004dd1 4   5    .text   ascii   QQSU
192  0x00004256 0x10004e56 6   7    .text   ascii   _^][YY
193  0x0000426f 0x10004e6f 4   5    .text   ascii   L$\fU
194  0x000042b7 0x10004eb7 4   5    .text   ascii   t$,U
195  0x000042f6 0x10004ef6 4   5    .text   ascii   \$\bW
196  0x00004341 0x10004f41 4   5    .text   ascii   r\v@P
197  0x00004369 0x10004f69 4   5    .text   ascii   L$\fU
198  0x000043a3 0x10004fa3 4   5    .text   ascii   t$(Y
199  0x000043b2 0x10004fb2 6   7    .text   ascii   t$$Ur-
200  0x000043c2 0x10004fc2 4   5    .text   ascii   l$,U
201  0x000043c7 0x10004fc7 4   5    .text   ascii   t$4W
202  0x000043d1 0x10004fd1 4   5    .text   ascii   D$0@
203  0x000043ed 0x10004fed 6   7    .text   ascii   l$,UVW
204  0x0000445b 0x1000505b 4   5    .text   ascii   CE\bP
205  0x00004603 0x10005203 4   5    .text   ascii   _^[d
206  0x0000463e 0x1000523e 4   5    .text   ascii   L$(;
207  0x000046a6 0x100052a6 5   6    .text   ascii   t$ t\v
208  0x0000475f 0x1000535f 4   5    .text   ascii   t$(t
209  0x00004791 0x10005391 4   5    .text   ascii   _^][
210  0x000047df 0x100053df 5   7    .text   utf8    ËD$\bV blocks=Latin-1 Supplement,Basic Latin
211  0x000047fe 0x100053fe 5   7    .text   utf8    ^Ã|$\b blocks=Basic Latin,Latin-1 Supplement
212  0x00004816 0x10005416 5   8    .text   utf8    t$\fQ豾 blocks=Basic Latin,CJK Unified Ideographs
213  0x00004830 0x10005430 4   5    .text   ascii   QSVW
214  0x0000493c 0x1000553c 4   5    .text   ascii   l$$V
215  0x00004949 0x10005549 4   5    .text   ascii   |$(f
216  0x000049a1 0x100055a1 4   6    .text   utf8    Ӌ\$( blocks=Cyrillic,Basic Latin
217  0x00004a08 0x10005608 5   6    .text   ascii   T$(+D
218  0x00004a1d 0x1000561d 4   5    .text   ascii   _^][
219  0x00004a51 0x10005651 4   6    .text   utf8    ȉT$\f blocks=Latin Extended-B,Basic Latin
220  0x00004a63 0x10005663 6   7    .text   ascii   I\bSVjx
221  0x00004a88 0x10005688 6   7    .text   ascii   Wj|Xf;
222  0x00004aa8 0x100056a8 4   5    .text   ascii   QSVW
223  0x00004ac6 0x100056c6 4   5    .text   ascii   f9\>
224  0x00004ade 0x100056de 5   6    .text   ascii   0SUVW
225  0x00004b02 0x10005702 6   7    .text   ascii   9l$0vN
226  0x00004b50 0x10005750 5   6    .text   ascii   ;l$0r
227  0x00004b58 0x10005758 4   5    .text   ascii   _^][
228  0x00004b70 0x10005770 5   6    .text   ascii   @\fSUV
229  0x00004b8f 0x1000578f 4   5    .text   ascii   L$ ;
230  0x00004c32 0x10005832 4   5    .text   ascii   _^][
231  0x00004c78 0x10005878 5   6    .text   ascii   QVPWj
232  0x00004c8a 0x1000588a 5   6    .text   ascii   tlVj@
233  0x00004c96 0x10005896 5   7    .text   utf8    ؍D$PP blocks=Arabic,Basic Latin
234  0x00004cb0 0x100058b0 4   5    .text   ascii   L$^Q
235  0x00004cb6 0x100058b6 6   7    .text   ascii   L$`QhP
236  0x00004d09 0x10005909 5   6    .text   ascii   T\bTRQ
237  0x00004d54 0x10005954 4   5    .text   ascii   L$(;
238  0x00004dbc 0x100059bc 5   6    .text   ascii   t$0t\v
239  0x00004de4 0x100059e4 5   6    .text   ascii   L$$Qj
240  0x00004df2 0x100059f2 5   6    .text   ascii   L$HQj
241  0x00004df9 0x100059f9 4   6    .text   utf8    Ћ\$, blocks=Cyrillic,Basic Latin
242  0x00004e03 0x10005a03 6   8    .text   utf8    s\b3Ƀd$ blocks=Basic Latin,Latin Extended-B
243  0x00004e0d 0x10005a0d 6   7    .text   ascii   F<f;L0
244  0x00004e1f 0x10005a1f 5   7    .text   utf8    3҉T$0 blocks=Basic Latin,Cyrillic
245  0x00004e30 0x10005a30 4   6    .text   utf8    ID$<
246  0x00004e3f 0x10005a3f 5   6    .text   ascii   U$\vT$
247  0x00004e7e 0x10005a7e 6   7    .text   ascii   D$49L$
248  0x00004e8c 0x10005a8c 4   5    .text   ascii   t1L3
249  0x00004e94 0x10005a94 4   6    .text   utf8    ʉL$L blocks=IPA Extensions,Basic Latin
250  0x00004e9f 0x10005a9f 4   5    .text   ascii   t0P3
251  0x00004eaf 0x10005aaf 4   5    .text   ascii   t$(+
252  0x00004ec6 0x10005ac6 4   5    .text   ascii   D$H;
253  0x00004f2d 0x10005b2d 4   5    .text   ascii   L$4;
254  0x00004f95 0x10005b95 5   6    .text   ascii   t$<t\v
255  0x00004fbd 0x10005bbd 4   5    .text   ascii   L$@Q
256  0x00004fcd 0x10005bcd 5   6    .text   ascii   L$TQj
257  0x00004fd4 0x10005bd4 4   6    .text   utf8    Ћ\$, blocks=Cyrillic,Basic Latin
258  0x00004fff 0x10005bff 4   5    .text   ascii   _^][
259  0x00005017 0x10005c17 5   7    .text   utf8    ؍D$`P blocks=Arabic,Basic Latin
260  0x00005031 0x10005c31 4   5    .text   ascii   L$nQ
261  0x00005037 0x10005c37 6   7    .text   ascii   L$pQhP
262  0x00005058 0x10005c58 4   5    .text   ascii   t$0j
263  0x000050a7 0x10005ca7 4   5    .text   ascii   L$$;
264  0x00005170 0x10005d70 4   5    .text   ascii   U\fVW
265  0x0000518e 0x10005d8e 4   5    .text   ascii   D08f
266  0x000051cd 0x10005dcd 4   5    .text   ascii   D\b8f
267  0x00005215 0x10005e15 5   6    .text   ascii   @\fSUV
