Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
225  0x000035fa 0x000153fa 4   6    .data   utf8    "GЗ\b blocks=Basic Latin,Cyrillic
226  0x00003650 0x00015450 5   6    .data   ascii   RXEh'
227  0x0000365d 0x0001545d 4   5    .data   ascii   O8\eS
228  0x00003685 0x00015485 4   5    .data   ascii   EZ:F
229  0x0000369d 0x0001549d 5   6    .data   ascii   BM4[o
230  0x000036de 0x000154de 4   5    .data   ascii   N$o*
231  0x000036e3 0x000154e3 5   7    .data   utf8    Ğ\\\t* blocks=Latin Extended-A,Basic Latin
232  0x000036f9 0x000154f9 7   9    .data   utf8    UqA5gԓ) blocks=Basic Latin,Cyrillic Supplement
233  0x00003706 0x00015506 5   6    .data   ascii   yD49V
234  0x00003722 0x00015522 4   6    .data   utf8    3Η~x blocks=Basic Latin,Greek and Coptic
235  0x00003767 0x00015567 7   11   .data   utf8    2빲C,rwԑ blocks=Basic Latin,Hangul Syllables,Cyrillic Supplement
236  0x00003772 0x00015572 4   6    .data   utf8    *ߌ"L blocks=Basic Latin,NKo
237  0x00003799 0x00015599 8   10   .data   utf8    @inߝ/m[\e blocks=Basic Latin,NKo
238  0x000037b3 0x000155b3 4   5    .data   ascii   )& &
239  0x000037ea 0x000155ea 5   6    .data   ascii   ]<2<V
240  0x000037f0 0x000155f0 4   5    .data   ascii   "'k[
241  0x00003835 0x00015635 4   5    .data   ascii   ^'&\n
242  0x0000388d 0x0001568d 4   7    .data   utf8    Kܶړ\e blocks=Basic Latin,Syriac,Arabic
243  0x00003918 0x00015718 4   5    .data   ascii   =Mp@
244  0x00003942 0x00015742 4   5    .data   ascii   >7XG
245  0x0000394b 0x0001574b 4   5    .data   ascii   eWD,
246  0x00003983 0x00015783 5   6    .data   ascii   85w\es
247  0x0000398a 0x0001578a 4   5    .data   ascii   Ghn%
248  0x0000399d 0x0001579d 4   5    .data   ascii   }GvM
249  0x000039ae 0x000157ae 4   5    .data   ascii   'nFn
250  0x000039b5 0x000157b5 4   6    .data   utf8    s'ؾ\a blocks=Basic Latin,Arabic
251  0x000039d1 0x000157d1 4   5    .data   ascii   Y51|
252  0x00003a0a 0x0001580a 4   5    .data   ascii   PL&%
253  0x00003a46 0x00015846 5   6    .data   ascii   HW@8/
254  0x00003a6f 0x0001586f 6   9    .data   utf8    h\v9Hӛٽ blocks=Basic Latin,Cyrillic,Arabic
255  0x00003a8b 0x0001588b 4   5    .data   ascii   BMb@
256  0x00003a9c 0x0001589c 5   7    .data   utf8    $ņ?'+ blocks=Basic Latin,Latin Extended-A
257  0x00003b32 0x00015932 4   5    .data   ascii   EILy
258  0x00003b42 0x00015942 5   6    .data   ascii   ffp_s
259  0x00003b65 0x00015965 8   12   .data   utf8    i7*綖8@Ƈc blocks=Basic Latin,CJK Unified Ideographs,Latin Extended-B
260  0x00003b7b 0x0001597b 4   5    .data   ascii   k{u(
261  0x00003ba1 0x000159a1 5   7    .data   utf8    #ϣ]sj blocks=Basic Latin,Greek and Coptic
262  0x00003bb1 0x000159b1 4   6    .data   utf8    6߲R9 blocks=Basic Latin,NKo
263  0x00003bfc 0x000159fc 6   7    .data   ascii   /Et9K?
264  0x00003c1e 0x00015a1e 6   7    .data   ascii   $8qW\t
265  0x00003c32 0x00015a32 4   5    .data   ascii   \n>E0
266  0x00003c3a 0x00015a3a 4   7    .data   utf8    <\a,ꇍ blocks=Basic Latin,Yi Syllables
267  0x00003c53 0x00015a53 4   6    .data   utf8    6Sұ^ blocks=Basic Latin,Cyrillic
268  0x00003c6b 0x00015a6b 5   7    .data   utf8    ؈\e_V8 blocks=Arabic,Basic Latin
269  0x00003c77 0x00015a77 4   5    .data   ascii   :O_`
270  0x00003cc1 0x00015ac1 5   6    .data   ascii   ?lqg}
271  0x00003d08 0x00015b08 5   7    .data   utf8    ǩLa*# blocks=Latin Extended-B,Basic Latin
272  0x00003d11 0x00015b11 4   5    .data   ascii   \vO\r6
273  0x00003d26 0x00015b26 5   6    .data   ascii   RG[O*
274  0x00003d71 0x00015b71 4   5    .data   ascii   IE$\a
275  0x00003d88 0x00015b88 4   5    .data   ascii   /?_Q
276  0x00003da7 0x00015ba7 5   6    .data   ascii   i#D,M
277  0x00003dd1 0x00015bd1 4   5    .data   ascii   j~O\r
278  0x00003e41 0x00015c41 4   5    .data   ascii   c/U!
279  0x00003e54 0x00015c54 5   6    .data   ascii   \e*ES;
280  0x00003edd 0x00015cdd 4   5    .data   ascii   ;J|5
281  0x00003eff 0x00015cff 4   5    .data   ascii   'lUv
282  0x00003f20 0x00015d20 4   5    .data   ascii   +DNY
283  0x00003f31 0x00015d31 5   6    .data   ascii   "0-oF
284  0x00003f51 0x00015d51 5   6    .data   ascii   V,O\nk
285  0x00003f99 0x00015d99 4   5    .data   ascii   3@A}
286  0x00003fb6 0x00015db6 7   8    .data   ascii   !*-7t#y
287  0x00004022 0x00015e22 4   6    .data   utf8    n[Hպ blocks=Basic Latin,Armenian
288  0x0000405e 0x00015e5e 6   9    .data   utf8    ㇗{dmR~ blocks=CJK Strokes,Basic Latin
289  0x000040b9 0x00015eb9 4   5    .data   ascii   \n59\a
290  0x000040d5 0x00015ed5 8   13   .data   utf8    #iꄙnBy< blocks=Basic Latin,Yi Syllables,Private Use Area
291  0x000040fb 0x00015efb 4   7    .data   utf8    离tZ: blocks=CJK Unified Ideographs,Basic Latin
292  0x0000411c 0x00015f1c 7   9    .data   utf8    \ʼGAD]\e blocks=Basic Latin,Spacing Modifier Letters
293  0x0000415d 0x00015f5d 4   5    .data   ascii   2u\r0
294  0x00004162 0x00015f62 8   9    .data   ascii   \Bv2\elEW
295  0x000041de 0x00015fde 5   6    .data   ascii   \fh"tR
296  0x000041f5 0x00015ff5 6   8    .data   utf8    !7\Ǩq8 blocks=Basic Latin,Latin Extended-B
297  0x00004202 0x00016002 5   6    .data   ascii   $=Pf\r
298  0x00004258 0x00016058 4   5    .data   ascii   O!Fg
