[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
234  0x00003959 0x00404559 4   5    .text   ascii   l$(L
235  0x0000395e 0x0040455e 4   5    .text   ascii   d$ H
236  0x000039a2 0x004045a2 4   5    .text   ascii   D$<H
237  0x000039c9 0x004045c9 4   5    .text   ascii   d$@L
238  0x00003a13 0x00404613 4   5    .text   ascii   L$@H
239  0x00003a66 0x00404666 4   5    .text   ascii   L$@H
240  0x00003a7c 0x0040467c 4   5    .text   ascii   L$@A
241  0x00003ab3 0x004046b3 4   5    .text   ascii   D$@H
242  0x00003ac9 0x004046c9 4   5    .text   ascii   D$@A
243  0x00003b0e 0x0040470e 5   6    .text   ascii   )D$@L
244  0x00003b39 0x00404739 4   5    .text   ascii   D$@H
245  0x00003b3e 0x0040473e 4   5    .text   ascii   D$@H
246  0x00003c26 0x00404826 4   5    .text   ascii   D$@H
247  0x00003c3d 0x0040483d 4   5    .text   ascii   |$`H
248  0x00003c67 0x00404867 5   6    .text   ascii   )D$@L
249  0x00003c97 0x00404897 4   5    .text   ascii   \$xH
250  0x00003cdd 0x004048dd 12  13   .text   ascii   []_^A\A]A^A_
251  0x00003cea 0x004048ea 12  13   .text   ascii   AWAVAUATVWUS
252  0x00003f00 0x00404b00 4   5    .text   ascii   |$8H
253  0x00003f05 0x00404b05 4   5    .text   ascii   t$0f
254  0x00003f0a 0x00404b0a 4   5    .text   ascii   l$(H
255  0x0000400c 0x00404c0c 5   8    .text   utf8    4숄$r\b blocks=Basic Latin,Hangul Syllables
256  0x0000401d 0x00404c1d 4   5    .text   ascii   \$0H
257  0x00004025 0x00404c25 4   5    .text   ascii   l$8L
258  0x0000403f 0x00404c3f 6   7    .text   ascii   l$(t\rL
259  0x00004071 0x00404c71 4   6    .text   utf8    b"1ȉ blocks=Basic Latin,Latin Extended-B
260  0x0000411d 0x00404d1d 4   6    .text   utf8    KH1ы blocks=Basic Latin,Cyrillic
261  0x00004178 0x00404d78 5   7    .text   utf8    HǄ$p\b blocks=Basic Latin,Latin Extended-B
262  0x0000418d 0x00404d8d 5   6    .text   ascii   T9\bH3
263  0x000041ff 0x00404dff 4   5    .text   ascii   <`H1
264  0x0000425d 0x00404e5d 4   5    .text   ascii   l$(H
265  0x000042d4 0x00404ed4 5   7    .text   utf8    HǄ$p\b blocks=Basic Latin,Latin Extended-B
266  0x000043f6 0x00404ff6 4   5    .text   ascii   D$0H
267  0x00004423 0x00405023 4   5    .text   ascii   d$81
268  0x000044c9 0x004050c9 6   7    .text   ascii   |$8t\eH
269  0x00004583 0x00405183 4   5    .text   ascii   l$(H
270  0x00004601 0x00405201 4   6    .text   utf8    Ǆ$p\b blocks=Latin Extended-B,Basic Latin
271  0x0000462f 0x0040522f 4   5    .text   ascii   .u\tf
272  0x00004654 0x00405254 4   5    .text   ascii   D$0H
273  0x0000466e 0x0040526e 4   5    .text   ascii   )D$`
274  0x00004673 0x00405273 4   5    .text   ascii   )L$p
275  0x000046a4 0x004052a4 4   5    .text   ascii   l$*f
276  0x000046a9 0x004052a9 4   5    .text   ascii   \$.f
277  0x000046ae 0x004052ae 4   5    .text   ascii   |$,L
278  0x0000475e 0x0040535e 4   5    .text   ascii   .u\vf
279  0x000047a5 0x004053a5 4   6    .text   utf8    Ǆ$p\b blocks=Latin Extended-B,Basic Latin
280  0x000047ce 0x004053ce 5   7    .text   utf8    HǄ$0\r blocks=Basic Latin,Latin Extended-B
281  0x000049b7 0x004055b7 4   5    .text   ascii   l$(L
282  0x000049dc 0x004055dc 4   5    .text   ascii   D$ H
283  0x000049e1 0x004055e1 4   5    .text   ascii   L$HH
284  0x00004a2f 0x0040562f 4   6    .text   utf8    HǄ$X blocks=Basic Latin,Latin Extended-B
285  0x00004a3b 0x0040563b 4   6    .text   utf8    HǄ$@ blocks=Basic Latin,Latin Extended-B
286  0x00004ac4 0x004056c4 5   6    .text   ascii   )D$`H
287  0x00004b24 0x00405724 4   5    .text   ascii   s\tH9
288  0x00004b32 0x00405732 4   5    .text   ascii   u\eH9
289  0x00004b81 0x00405781 4   5    .text   ascii   @\b<-
290  0x00004bb3 0x004057b3 4   5    .text   ascii   \fu/H
291  0x00004cee 0x004058ee 4   5    .text   ascii   )L$p
292  0x00004cf3 0x004058f3 5   6    .text   ascii   )D$`H
293  0x00004e19 0x00405a19 4   5    .text   ascii   (D$`
294  0x00004e1e 0x00405a1e 4   5    .text   ascii   (L$p
295  0x00004ef8 0x00405af8 4   5    .text   ascii   )D$`
296  0x00004efd 0x00405afd 5   6    .text   ascii   )L$pI
297  0x00004f64 0x00405b64 4   6    .text   utf8    HǄ$X blocks=Basic Latin,Latin Extended-B
298  0x00004f70 0x00405b70 4   6    .text   utf8    HǄ$@ blocks=Basic Latin,Latin Extended-B
299  0x00005001 0x00405c01 5   6    .text   ascii   )D$`H
300  0x00005077 0x00405c77 4   5    .text   ascii   L$`H
301  0x00005094 0x00405c94 4   5    .text   ascii   l$(u
302  0x000050aa 0x00405caa 4   5    .text   ascii   t$hL
303  0x000050dd 0x00405cdd 5   7    .text   utf8    \aHǄ$@ blocks=Basic Latin,Latin Extended-B
304  0x0000514b 0x00405d4b 4   5    .text   ascii   D$XH
305  0x000051e0 0x00405de0 4   5    .text   ascii   D$0H
306  0x000051f3 0x00405df3 4   5    .text   ascii   )D$`
307  0x000051f8 0x00405df8 4   5    .text   ascii   )L$p
308  0x0000524b 0x00405e4b 4   5    .text   ascii   |$,H
309  0x00005253 0x00405e53 5   7    .text   utf8    \tD$8L
310  0x00005262 0x00405e62 4   5    .text   ascii   l$(D
311  0x00005268 0x00405e68 4   5    .text   ascii   |$FD
312  0x0000526e 0x00405e6e 5   6    .text   ascii   d$DuC
313  0x00005282 0x00405e82 4   5    .text   ascii   (D$`
