[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
292  0x00005eb1 0x00405eb1 4   5    .text   ascii   D$(%
293  0x00005ed1 0x00405ed1 5   6    .text   ascii   L$;5\t
294  0x00005ef0 0x00405ef0 5   7    .text   utf8    fiȎGf blocks=Basic Latin,Latin Extended-B
295  0x00005efd 0x00405efd 7   9    .text   utf8    ^_[]ËD$ blocks=Basic Latin,Latin-1 Supplement
296  0x00005f08 0x00405f08 4   5    .text   ascii   D$"G
297  0x00005f15 0x00405f15 4   5    .text   ascii   D$\fu
298  0x00005f1f 0x00405f1f 4   6    .text   utf8    1\vL$
299  0x00006098 0x00406098 4   5    .text   ascii   ^_[]
300  0x000060b6 0x004060b6 5   7    .text   utf8    D$DǄ$ blocks=Basic Latin,Latin Extended-B
301  0x00006141 0x00406141 5   7    .text   utf8    !IL$d
302  0x000061c7 0x004061c7 8   11   .text   utf8    ٬\rp\tIT$` blocks=Arabic,Basic Latin
303  0x000061de 0x004061de 4   5    .text   ascii   D$hf
304  0x000061fc 0x004061fc 4   5    .text   ascii   t$Hf
305  0x00006230 0x00406230 4   5    .text   ascii   \fX[c
306  0x00006250 0x00406250 8   10   .text   utf8    D$ )\vt$4
307  0x00006388 0x00406388 4   5    .text   ascii   <$f)
308  0x00006397 0x00406397 4   5    .text   ascii   ^_[]
309  0x000063b7 0x004063b7 5   6    .text   ascii   D$rP'
310  0x000063be 0x004063be 4   5    .text   ascii   L$tf
311  0x00006409 0x00406409 4   5    .text   ascii   t$rf
312  0x00006413 0x00406413 4   5    .text   ascii   t$Zf
313  0x00006418 0x00406418 5   6    .text   ascii   |$Zpb
314  0x0000641e 0x0040641e 4   5    .text   ascii   L$ f
315  0x0000647c 0x0040647c 5   6    .text   ascii   L$d-l
316  0x00006491 0x00406491 4   7    .text   utf8    뛋D$L blocks=Hangul Syllables,Basic Latin
317  0x0000649a 0x0040649a 5   7    .text   utf8    ^_[]ð blocks=Basic Latin,Latin-1 Supplement
318  0x000064a2 0x004064a2 5   7    .text   utf8    L$ \tɉ blocks=Basic Latin,Latin Extended-B
319  0x000064af 0x004064af 4   5    .text   ascii   L$ i
320  0x000064ca 0x004064ca 4   5    .text   ascii   8D$'
321  0x000064d6 0x004064d6 5   7    .text   utf8    1\vL$P
322  0x000064e4 0x004064e4 5   7    .text   utf8    K܋t$l blocks=Basic Latin,Syriac
323  0x00006501 0x00406501 7   9    .text   utf8    O:L܋\$l blocks=Basic Latin,Syriac
324  0x000065e0 0x004065e0 4   5    .text   ascii   |$:f
325  0x00006627 0x00406627 8   9    .text   ascii   |$:f+|$:
326  0x00006647 0x00406647 7   8    .text   ascii   t$4#t$4
327  0x00006682 0x00406682 5   6    .text   ascii   <$2\f>
328  0x00006692 0x00406692 7   9    .text   utf8    L$$9ω|$ blocks=Basic Latin,Greek and Coptic
329  0x000066b4 0x004066b4 4   6    .text   utf8    щL$, blocks=Cyrillic,Basic Latin
330  0x000066c0 0x004066c0 4   5    .text   ascii   ^_[]
331  0x000066ef 0x004066ef 5   7    .text   utf8    M\bfǄ$ blocks=Basic Latin,Latin Extended-B
332  0x00006759 0x00406759 4   6    .text   utf8    \tD$,
333  0x00006763 0x00406763 4   6    .text   utf8    \tD$(
334  0x000067b1 0x004067b1 7   9    .text   utf8    f)ȋT$Hf blocks=Basic Latin,Latin Extended-B
335  0x000067c5 0x004067c5 6   8    .text   utf8    ^_[]ðl blocks=Basic Latin,Latin-1 Supplement
336  0x000067cf 0x004067cf 4   5    .text   ascii   T$Lf
337  0x00006808 0x00406808 5   7    .text   utf8    L$WǄ$ blocks=Basic Latin,Latin Extended-B
338  0x00006878 0x00406878 5   7    .text   utf8    (߈|\f` blocks=Basic Latin,NKo
339  0x000068a2 0x004068a2 6   10   .text   utf8    듍D$XǄ$ blocks=Hangul Syllables,Basic Latin,Latin Extended-B
340  0x000068b4 0x004068b4 4   5    .text   ascii   D$@f
341  0x000068d8 0x004068d8 5   7    .text   utf8    D$\Ǆ$ blocks=Basic Latin,Latin Extended-B
342  0x00006951 0x00406951 4   6    .text   utf8    ҋ\$4 blocks=Cyrillic,Basic Latin
343  0x000069f8 0x004069f8 4   6    .text   utf8    ҋt$0 blocks=Cyrillic,Basic Latin
344  0x00006a2f 0x00406a2f 4   6    .text   utf8    ǉD$\b blocks=Latin Extended-B,Basic Latin
345  0x00006a47 0x00406a47 4   5    .text   ascii   L$8f
346  0x00006a8b 0x00406a8b 4   5    .text   ascii   t$Xf
347  0x00006a90 0x00406a90 4   5    .text   ascii   t$Z!
348  0x00006afc 0x00406afc 4   6    .text   utf8    <i)ω blocks=Basic Latin,Greek and Coptic
349  0x00006b3d 0x00406b3d 4   5    .text   ascii   D$*f
350  0x00006b5f 0x00406b5f 4   5    .text   ascii   G$pu
351  0x00006b6c 0x00406b6c 4   5    .text   ascii   L$\ff
352  0x00006b79 0x00406b79 4   5    .text   ascii   ^_[]
