Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
181  0x00004e31 0x00404e31 4   8    .text   utf8    dĨ̥̐ blocks=Basic Latin,Latin Extended-A,Combining Diacritical Marks
182  0x00004e4f 0x00404e4f 4   5    .text   ascii   Y]T(
183  0x00004f86 0x00404f86 4   5    .text   ascii   u\aWA
184  0x00004fc8 0x00404fc8 4   5    .text   ascii   Q\eR
185  0x00004fd2 0x00404fd2 6   8    .text   utf8    PI!ÐV4 blocks=Basic Latin,Latin-1 Supplement
186  0x00004fda 0x00404fda 4   5    .text   ascii   5y'+
187  0x0000501c 0x0040501c 9   11   .text   utf8    B'Aұ&-nv2 blocks=Basic Latin,Cyrillic
188  0x00005077 0x00405077 5   6    .text   ascii   3nb\tv
189  0x000050b7 0x004050b7 5   6    .text   ascii   YgWg6
190  0x000050f8 0x004050f8 4   6    .text   utf8    ǀ"A9 blocks=Latin Extended-B,Basic Latin
191  0x00005109 0x00405109 4   5    .text   ascii   y&R~
192  0x0000510e 0x0040510e 5   6    .text   ascii   3.{~v
193  0x00005148 0x00405148 4   6    .text   utf8    YnĤH blocks=Basic Latin,Latin Extended-A
194  0x0000515d 0x0040515d 5   6    .text   ascii   Vm#\r(
195  0x0000519b 0x0040519b 4   5    .text   ascii   03n]
196  0x000051e3 0x004051e3 4   7    .text   utf8    䅓TQs blocks=CJK Unified Ideographs Extension A,Basic Latin
197  0x00005257 0x00405257 4   5    .text   ascii   2F\fy
198  0x00005276 0x00405276 4   5    .text   ascii   '=XG
199  0x000052c1 0x004052c1 8   9    .text   ascii   f-[u\rhD5
200  0x00005317 0x00405317 4   5    .text   ascii   ^t4\a
201  0x000053b1 0x004053b1 4   5    .text   ascii   >^!(
202  0x000053ed 0x004053ed 4   6    .text   utf8    uWv#
203  0x00005458 0x00405458 4   5    .text   ascii   'ho!
204  0x00005499 0x00405499 5   6    .text   ascii   V8\b.3
205  0x000054ac 0x004054ac 6   7    .text   ascii   \bhhrh\f
206  0x000054ec 0x004054ec 6   7    .text   ascii   b2x4r 
207  0x00005504 0x00405504 4   5    .text   ascii   eW^:
208  0x0000556c 0x0040556c 4   5    .text   ascii   ]0sF
209  0x000055fc 0x004055fc 4   7    .text   utf8    购`g) blocks=CJK Unified Ideographs,Basic Latin
210  0x0000560b 0x0040560b 4   5    .text   ascii   \b.|/
211  0x0000568a 0x0040568a 4   6    .text   utf8    ̂\t|= blocks=Combining Diacritical Marks,Basic Latin
212  0x000056f1 0x004056f1 4   5    .text   ascii   :]b\
213  0x000056fa 0x004056fa 5   7    .text   utf8    [Q?ḅ blocks=Basic Latin,Combining Diacritical Marks
214  0x00005722 0x00405722 6   7    .text   ascii   Wish"G
215  0x000057f5 0x004057f5 6   8    .text   utf8    h|1՛77 blocks=Basic Latin,Armenian
216  0x00005814 0x00405814 4   5    .text   ascii   TEF\t
217  0x0000582f 0x0040582f 4   5    .text   ascii   WEP3
218  0x00005870 0x00405870 6   7    .text   ascii   [V}@EP
219  0x000058e6 0x004058e6 4   8    .text   utf8    @b̐萐 blocks=Basic Latin,Combining Diacritical Marks,CJK Unified Ideographs
220  0x00005940 0x00405940 4   5    .text   ascii   V$c*
