Metadata Signature: 0x5248 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 1580
Stream name: #~ 4
DirectoryAddress: 15ec Size: 1920
Stream name: #Strings 12
DirectoryAddress: 2f0c Size: c10
Stream name: #US 4
DirectoryAddress: 3b1c Size: 10
Stream name: #GUID 8
DirectoryAddress: 3b2c Size: 93c
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
306 0x00006fbb 0x00408dbb 19  20   .text   ascii   DelegateAsyncResult
307 0x00006fcf 0x00408dcf 6   7    .text   ascii   Invoke
308 0x00006fd6 0x00408dd6 21  22   .text   ascii   System.ComponentModel
309 0x00006fec 0x00408dec 24  25   .text   ascii   EditorBrowsableAttribute
310 0x00007005 0x00408e05 20  21   .text   ascii   EditorBrowsableState
311 0x0000701a 0x00408e1a 23  24   .text   ascii   System.CodeDom.Compiler
312 0x00007032 0x00408e32 22  23   .text   ascii   GeneratedCodeAttribute
313 0x00007049 0x00408e49 23  24   .text   ascii   DebuggerHiddenAttribute
314 0x00007061 0x00408e61 38  39   .text   ascii   Microsoft.VisualBasic.CompilerServices
315 0x00007088 0x00408e88 23  24   .text   ascii   StandardModuleAttribute
316 0x000070a0 0x00408ea0 23  24   .text   ascii   HideModuleNameAttribute
317 0x000070b8 0x00408eb8 28  29   .text   ascii   System.ComponentModel.Design
318 0x000070d5 0x00408ed5 20  21   .text   ascii   HelpKeywordAttribute
319 0x000070ea 0x00408eea 31  32   .text   ascii   System.Runtime.CompilerServices
320 0x0000710a 0x00408f0a 14  15   .text   ascii   RuntimeHelpers
321 0x00007119 0x00408f19 14  15   .text   ascii   GetObjectValue
322 0x00007128 0x00408f28 17  18   .text   ascii   RuntimeTypeHandle
323 0x0000713a 0x00408f3a 17  18   .text   ascii   GetTypeFromHandle
324 0x0000714c 0x00408f4c 9   10   .text   ascii   Activator
325 0x00007156 0x00408f56 14  15   .text   ascii   CreateInstance
326 0x00007165 0x00408f65 26  27   .text   ascii   MyGroupCollectionAttribute
327 0x00007180 0x00408f80 30  31   .text   ascii   System.Runtime.InteropServices
328 0x0000719f 0x00408f9f 19  20   .text   ascii   ComVisibleAttribute
329 0x000071b3 0x00408fb3 21  22   .text   ascii   ThreadStaticAttribute
330 0x000071c9 0x00408fc9 26  27   .text   ascii   CompilerGeneratedAttribute
331 0x000071e4 0x00408fe4 20  21   .text   ascii   System.Windows.Forms
332 0x000071f9 0x00408ff9 18  19   .text   ascii   get_ExecutablePath
333 0x0000720c 0x0040900c 6   7    .text   ascii   Thread
334 0x00007213 0x00409013 5   6    .text   ascii   Sleep
335 0x00007219 0x00409019 11  12   .text   ascii   ProjectData
336 0x00007225 0x00409025 6   7    .text   ascii   EndApp
337 0x0000722c 0x0040902c 19  20   .text   ascii   ElapsedEventHandler
338 0x00007240 0x00409040 11  12   .text   ascii   add_Elapsed
339 0x0000724c 0x0040904c 11  12   .text   ascii   ThreadStart
340 0x00007258 0x00409058 5   6    .text   ascii   Start
341 0x0000725e 0x0040905e 18  19   .text   ascii   STAThreadAttribute
342 0x00007271 0x00409071 22  23   .text   ascii   VB$AnonymousDelegate_0
343 0x00007288 0x00409088 11  12   .text   ascii   _Lambda$__1
344 0x00007294 0x00409094 11  12   .text   ascii   _Lambda$__2
345 0x000072a3 0x004090a3 24  25   .text   ascii   DebuggerDisplayAttribute
346 0x000072bc 0x004090bc 28  29   .text   ascii   DebuggerStepThroughAttribute
347 0x000072d9 0x004090d9 9   10   .text   ascii   Exception
348 0x000072e6 0x004090e6 7   8    .text   ascii   Collect
349 0x000072ee 0x004090ee 15  16   .text   ascii   SetProjectError
350 0x000072fe 0x004090fe 17  18   .text   ascii   ClearProjectError
351 0x00007310 0x00409110 12  13   .text   ascii   ComputerInfo
352 0x0000731d 0x0040911d 11  12   .text   ascii   Environment
353 0x00007329 0x00409129 12  13   .text   ascii   get_UserName
354 0x00007336 0x00409136 14  15   .text   ascii   get_OSFullName
355 0x00007345 0x00409145 6   7    .text   ascii   String
356 0x0000734c 0x0040914c 7   8    .text   ascii   Replace
357 0x00007354 0x00409154 15  16   .text   ascii   OperatingSystem
358 0x00007364 0x00409164 13  14   .text   ascii   get_OSVersion
359 0x00007372 0x00409172 15  16   .text   ascii   get_ServicePack
360 0x00007382 0x00409182 6   7    .text   ascii   Concat
361 0x00007389 0x00409189 26  27   .text   ascii   get_Is64BitOperatingSystem
362 0x000073a4 0x004091a4 7   8    .text   ascii   Boolean
363 0x000073ac 0x004091ac 10  11   .text   ascii   EndReceive
364 0x000073b7 0x004091b7 7   8    .text   ascii   ToArray
365 0x000073bf 0x004091bf 11  12   .text   ascii   Conversions
366 0x000073cb 0x004091cb 6   7    .text   ascii   ToLong
367 0x000073d2 0x004091d2 6   7    .text   ascii   Stream
368 0x000073d9 0x004091d9 7   8    .text   ascii   Dispose
369 0x000073e1 0x004091e1 11  12   .text   ascii   SocketFlags
370 0x000073ed 0x004091ed 4   5    .text   ascii   Byte
371 0x000073f2 0x004091f2 9   10   .text   ascii   WriteByte
372 0x000073fc 0x004091fc 5   6    .text   ascii   Write
373 0x00007402 0x00409202 10  11   .text   ascii   get_Length
374 0x0000740d 0x0040920d 12  13   .text   ascii   WaitCallback
375 0x0000741a 0x0040921a 10  11   .text   ascii   ThreadPool
376 0x00007425 0x00409225 17  18   .text   ascii   QueueUserWorkItem
377 0x00007437 0x00409237 10  11   .text   ascii   SelectMode
378 0x00007442 0x00409242 4   5    .text   ascii   Poll
379 0x00007447 0x00409247 11  12   .text   ascii   IDisposable
380 0x00007453 0x00409253 5   6    .text   ascii   Close
381 0x00007459 0x00409259 13  14   .text   ascii   get_Connected
382 0x00007467 0x00409267 24  25   .text   ascii   WaitForPendingFinalizers
383 0x00007480 0x00409280 13  14   .text   ascii   AddressFamily
384 0x0000748e 0x0040928e 10  11   .text   ascii   SocketType
385 0x00007499 0x00409299 12  13   .text   ascii   ProtocolType
386 0x000074a6 0x004092a6 21  22   .text   ascii   set_ReceiveBufferSize
387 0x000074bc 0x004092bc 18  19   .text   ascii   set_SendBufferSize
388 0x000074cf 0x004092cf 9   10   .text   ascii   ToInteger
389 0x000074d9 0x004092d9 7   8    .text   ascii   Connect
390 0x000074e1 0x004092e1 12  13   .text   ascii   _Closure$__1
391 0x000074ee 0x004092ee 11  12   .text   ascii   $VB$Local_A
