[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
131  0x00006c90 0x10007890 5   6    .text   ascii   t1\b.v
132  0x00006d1d 0x1000791d 5   6    .text   ascii   2\b*t&
133  0x00006d7e 0x1000797e 4   5    .text   ascii   \b,t9
134  0x00006d8b 0x1000798b 5   6    .text   ascii   <t\at/
135  0x00006d99 0x10007999 4   5    .text   ascii   *t7\
136  0x00006db4 0x100079b4 4   6    .text   utf8    :tҫB blocks=Basic Latin,Cyrillic
137  0x00006dee 0x100079ee 4   5    .text   ascii   \b*t*
138  0x00006e37 0x10007a37 4   6    .text   utf8    <vҫB blocks=Basic Latin,Cyrillic
139  0x00006ee7 0x10007ae7 4   5    .text   ascii   t'>?
140  0x00006f26 0x10007b26 4   6    .text   utf8    5t§B blocks=Basic Latin,Latin-1 Supplement
141  0x00006f31 0x10007b31 5   7    .text   utf8    t1\b.̳ blocks=Basic Latin,Combining Diacritical Marks
142  0x00006f42 0x10007b42 4   6    .text   utf8    1tʯB blocks=Basic Latin,IPA Extensions
143  0x00006f74 0x10007b74 4   5    .text   ascii   t<>0
144  0x00006f9c 0x10007b9c 5   6    .text   ascii   t8t)v
145  0x00007004 0x10007c04 5   6    .text   ascii   t8.4>
146  0x0000701d 0x10007c1d 4   5    .text   ascii   \b)t9
147  0x000070b2 0x10007cb2 5   6    .text   ascii   4t8>4
148  0x000070fd 0x10007cfd 5   6    .text   ascii   8t\at=
149  0x00007122 0x10007d22 4   5    .text   ascii   .5t:
150  0x0000717a 0x10007d7a 4   5    .text   ascii   1t:t
151  0x000071c2 0x10007dc2 5   6    .text   ascii   1t:>1
152  0x00007237 0x10007e37 4   5    .text   ascii   !t8>
153  0x0000726a 0x10007e6a 4   5    .text   ascii   7\b,t
154  0x000072a7 0x10007ea7 4   5    .text   ascii   t9>6
155  0x000072d9 0x10007ed9 4   5    .text   ascii   t.>2
156  0x0000733d 0x10007f3d 4   5    .text   ascii   4t<>
157  0x000073da 0x10007fda 5   6    .text   ascii   t8t)v
158  0x00007428 0x10008028 4   5    .text   ascii   t<>5
159  0x0000743e 0x1000803e 5   6    .text   ascii   t8.4>
160  0x00007459 0x10008059 4   5    .text   ascii   \b)t9
161  0x00007539 0x10008139 5   6    .text   ascii   8t\at=
162  0x0000755e 0x1000815e 4   5    .text   ascii   .5t:
163  0x0000757a 0x1000817a 4   5    .text   ascii   \rt0t
164  0x000075b6 0x100081b6 4   5    .text   ascii   1t:t
165  0x000075fe 0x100081fe 5   6    .text   ascii   1t:>1
166  0x00007670 0x10008270 5   6    .text   ascii   t8.4>
167  0x000076e3 0x100082e3 4   5    .text   ascii   t9>6
168  0x00007715 0x10008315 4   5    .text   ascii   \b/>2
169  0x0000772e 0x1000832e 4   5    .text   ascii   t:t0
170  0x00007779 0x10008379 4   5    .text   ascii   4t<>
171  0x000077b6 0x100083b6 4   6    .text   utf8    1tʯC blocks=Basic Latin,IPA Extensions
172  0x000077c6 0x100083c6 4   6    .text   utf8    0t§C blocks=Basic Latin,Latin-1 Supplement
173  0x000077ea 0x100083ea 4   5    .text   ascii   t:>1
174  0x0000781a 0x1000841a 4   5    .text   ascii   t)\b-
175  0x00007864 0x10008464 4   5    .text   ascii   t<>5
176  0x0000787a 0x1000847a 5   6    .text   ascii   .4t8>
177  0x00007895 0x10008495 4   5    .text   ascii   \b)t9
178  0x0000791a 0x1000851a 4   5    .text   ascii   t8>6
179  0x0000792a 0x1000852a 5   6    .text   ascii   4t8>4
180  0x00007975 0x10008575 5   6    .text   ascii   8t\at=
181  0x0000799a 0x1000859a 4   5    .text   ascii   .5t:
182  0x000079b6 0x100085b6 4   5    .text   ascii   \rt0t
183  0x000079f2 0x100085f2 4   5    .text   ascii   1t:t
184  0x00007ac2 0x100086c2 4   5    .text   ascii   t.>0
185  0x00007ae2 0x100086e2 4   5    .text   ascii   7\b,t
186  0x00007b1f 0x1000871f 4   5    .text   ascii   t9>6
187  0x00007b3a 0x1000873a 4   5    .text   ascii   t>.1
188  0x00007b57 0x10008757 4   5    .text   ascii   \b/>2
189  0x00007b70 0x10008770 4   5    .text   ascii   t:t0
190  0x00007bb5 0x100087b5 4   5    .text   ascii   4t<>
191  0x00007ca0 0x100088a0 4   5    .text   ascii   t<>0
192  0x00007cb4 0x100088b4 4   5    .text   ascii   *t8>
193  0x00007cd1 0x100088d1 4   5    .text   ascii   \b)t9
194  0x00007d52 0x10008952 4   5    .text   ascii   t8>6
195  0x00007d85 0x10008985 4   5    .text   ascii   &t8t
196  0x00007db1 0x100089b1 5   6    .text   ascii   8t\at=
197  0x00007dd9 0x100089d9 4   5    .text   ascii   (t:>
198  0x00007eea 0x10008aea 4   5    .text   ascii   .2t8
199  0x00007efd 0x10008afd 4   5    .text   ascii   t.>1
200  0x00007f02 0x10008b02 4   5    .text   ascii   t&>0
201  0x00007f5c 0x10008b5c 5   6    .text   ascii   't9>6
202  0x00007f6d 0x10008b6d 4   6    .text   utf8    '.1̣ blocks=Basic Latin,Combining Diacritical Marks
203  0x00007f8c 0x10008b8c 5   6    .text   ascii   1\b/t.
204  0x00007fd6 0x10008bd6 4   5    .text   ascii   t>>7
205  0x00007ff5 0x10008bf5 4   5    .text   ascii   t9>7
206  0x00008006 0x10008c06 4   5    .text   ascii   t8>7
207  0x00008063 0x10008c63 13  14   .text   ascii   <333333333333
208  0x000080b7 0x10008cb7 9   10   .text   ascii   <33333333
209  0x00008100 0x10008d00 16  17   .text   ascii   <333333333333333
210  0x0000818b 0x10008d8b 5   6    .text   ascii   33333
211  0x00008254 0x10008e54 12  13   .text   ascii   333333333333
212  0x00008296 0x10008e96 10  11   .text   ascii   <333333333
213  0x000082a4 0x10008ea4 14  15   .text   ascii   <33333333333|7
214  0x000082bf 0x10008ebf 17  18   .text   ascii   ><333333333333333
215  0x000082eb 0x10008eeb 6   7    .text   ascii   33333t
216  0x00008308 0x10008f08 9   10   .text   ascii   <3333333t
217  0x00008324 0x10008f24 5   6    .text   ascii   t><|?
218  0x0000832a 0x10008f2a 6   7    .text   ascii   <33333
219  0x00008388 0x10008f88 8   9    .text   ascii   33333333
220  0x000083d3 0x10008fd3 13  14   .text   ascii   3333333333333
221  0x000083f8 0x10008ff8 8   9    .text   ascii   33333333
222  0x00008443 0x10009043 13  14   .text   ascii   3333333333333
223  0x0000845a 0x1000905a 6   7    .text   ascii   333333
224  0x0000848a 0x1000908a 6   7    .text   ascii   333333
225  0x00008503 0x10009103 13  14   .text   ascii   3333333333333
226  0x00008522 0x10009122 14  15   .text   ascii   33333333333333
227  0x0000856c 0x1000916c 4   5    .text   ascii   3333
228  0x00008597 0x10009197 9   10   .text   ascii   333333333
229  0x000085d2 0x100091d2 14  15   .text   ascii   <3333333333333
230  0x00008650 0x10009250 5   6    .text   ascii   t.t9.
231  0x00008928 0x10009528 8   9    .text   ascii   33333333
232  0x00008933 0x10009533 4   5    .text   ascii   |\e\a|
233  0x00008a90 0x10009690 16  17   .text   ascii   3333333333333333
234  0x00008afc 0x100096fc 4   5    .text   ascii   3333
235  0x00008b12 0x10009712 5   6    .text   ascii   t/t\rv
236  0x00008b75 0x10009775 4   5    .text   ascii   t!|4
237  0x00008c4b 0x1000984b 6   7    .text   ascii   33333G
238  0x00008c55 0x10009855 11  12   .text   ascii   <3333333333
239  0x00008c95 0x10009895 4   8    .text   utf8    tUꗟ* blocks=Basic Latin,Vai
240  0x00008db3 0x100099b3 4   5    .text   ascii   |\e\a|
241  0x00008f09 0x10009b09 7   8    .text   ascii   3333333
242  0x00008f13 0x10009b13 4   5    .text   ascii   |\e\at
243  0x00008f87 0x10009b87 9   10   .text   ascii   333333333
244  0x00008fd2 0x10009bd2 14  15   .text   ascii   <3333333333333
245  0x0000915a 0x10009d5a 6   7    .text   ascii   333333
246  0x00009198 0x10009d98 8   9    .text   ascii   33333333
247  0x000091a8 0x10009da8 4   5    .text   ascii   t\rt&
248  0x000091bd 0x10009dbd 4   5    .text   ascii   t7z6
249  0x0000927c 0x10009e7c 4   5    .text   ascii   \tt7z
250  0x00009371 0x10009f71 4   5    .text   ascii   t/z-
251  0x00009407 0x1000a007 9   10   .text   ascii   <33333333
252  0x00009413 0x1000a013 4   5    .text   ascii   |\e\a|
253  0x000094f7 0x1000a0f7 9   10   .text   ascii   <33333333
254  0x000096bf 0x1000a2bf 4   5    .text   ascii   t=|7
255  0x0000970b 0x1000a30b 5   6    .text   ascii   33333
256  0x00009713 0x1000a313 4   5    .text   ascii   |\e\a|
257  0x000097d6 0x1000a3d6 10  11   .text   ascii   3333333333
258  0x000097e3 0x1000a3e3 4   5    .text   ascii   |\e\a|
259  0x0000981e 0x1000a41e 4   6    .text   utf8    |;Ϡt blocks=Basic Latin,Greek and Coptic
260  0x00009828 0x1000a428 8   9    .text   ascii   33333333
261  0x00009833 0x1000a433 4   5    .text   ascii   |\e\a|
262  0x000098da 0x1000a4da 4   5    .text   ascii   GvJ\a
263  0x00009919 0x1000a519 4   5    .text   ascii   t1t=
264  0x00009b13 0x1000a713 4   6    .text   utf8    Ͻt>~ blocks=Greek and Coptic,Basic Latin
265  0x00009b53 0x1000a753 4   5    .text   ascii   |\e\a|
266  0x00009bfa 0x1000a7fa 4   5    .text   ascii   GvJ\a
267  0x00009c39 0x1000a839 4   5    .text   ascii   t1t=
268  0x00009e2c 0x1000aa2c 4   6    .text   utf8    Ͻt>~ blocks=Greek and Coptic,Basic Latin
269  0x00009e66 0x1000aa66 10  11   .text   ascii   3333333333
270  0x00009e73 0x1000aa73 4   5    .text   ascii   |\e\a|
271  0x00009ed3 0x1000aad3 4   5    .text   ascii   |\e\a|
272  0x00009f33 0x1000ab33 4   5    .text   ascii   |\e\a|
273  0x00009f8c 0x1000ab8c 4   5    .text   ascii   3333
274  0x00009f93 0x1000ab93 4   5    .text   ascii   |\e\a|
275  0x00009fec 0x1000abec 4   5    .text   ascii   3333
276  0x00009ff3 0x1000abf3 4   5    .text   ascii   |\e\a|
277  0x0000a04d 0x1000ac4d 4   5    .text   ascii   t'z\t
278  0x0000a0a7 0x1000aca7 4   6    .text   utf8    Ͻt>~ blocks=Greek and Coptic,Basic Latin
279  0x0000a0e6 0x1000ace6 4   6    .text   utf8    Ͻt>~ blocks=Greek and Coptic,Basic Latin
280  0x0000a20b 0x1000ae0b 5   6    .text   ascii   33333
281  0x0000a21c 0x1000ae1c 4   5    .text   ascii   t=|7
282  0x0000a232 0x1000ae32 14  15   .text   ascii   33333333333333
283  0x0000a264 0x1000ae64 12  13   .text   ascii   333333333333
284  0x0000a2dd 0x1000aedd 4   5    .text   ascii   t!|4
285  0x0000a3b3 0x1000afb3 13  14   .text   ascii   3333333333333
286  0x0000a42d 0x1000b02d 4   5    .text   ascii   t!|4
287  0x0000a503 0x1000b103 13  14   .text   ascii   3333333333333
288  0x0000a57d 0x1000b17d 4   5    .text   ascii   t!|4
289  0x0000a653 0x1000b253 14  15   .text   ascii   3333333333333u
290  0x0000a663 0x1000b263 14  15   .text   ascii   <333333333333u
291  0x0000a673 0x1000b273 13  14   .text   ascii   <333333333333
292  0x0000a6e7 0x1000b2e7 9   10   .text   ascii   <33333333
293  0x0000a737 0x1000b337 4   5    .text   ascii   I>t1
294  0x0000a760 0x1000b360 16  17   .text   ascii   <333333333333333
295  0x0000a773 0x1000b373 4   5    .text   ascii   |\e\at
296  0x0000a84c 0x1000b44c 4   5    .text   ascii   t |4
297  0x0000aa03 0x1000b603 4   5    .text   ascii   <t'u
298  0x0000ab65 0x1000b765 4   6    .text   utf8    ǽt>~ blocks=Latin Extended-B,Basic Latin
299  0x0000abea 0x1000b7ea 6   7    .text   ascii   333333
300  0x0000ac78 0x1000b878 8   9    .text   ascii   <3333333
301  0x0000ac83 0x1000b883 4   5    .text   ascii   |\e\at
302  0x0000ad17 0x1000b917 4   5    .text   ascii   t\a|;
303  0x0000ad9d 0x1000b99d 4   5    .text   ascii   t!|4
304  0x0000add7 0x1000b9d7 4   5    .text   ascii   t7|;
305  0x0000ae6b 0x1000ba6b 4   5    .text   ascii   t'z6
306  0x0000aeed 0x1000baed 4   5    .text   ascii   A7t8
307  0x0000af73 0x1000bb73 4   5    .text   ascii   <t'u
308  0x0000b122 0x1000bd22 4   6    .text   utf8    Ͻt>~ blocks=Greek and Coptic,Basic Latin
309  0x0000b160 0x1000bd60 16  17   .text   ascii   3333333333333333
310  0x0000b25c 0x1000be5c 5   8    .text   utf8    |\aȽt= blocks=Basic Latin,Latin Extended-B
311  0x0000b2a8 0x1000bea8 8   9    .text   ascii   33333333
312  0x0000b328 0x1000bf28 8   9    .text   ascii   <3333333
313  0x0000b375 0x1000bf75 11  12   .text   ascii   33333333333
314  0x0000b3da 0x1000bfda 6   7    .text   ascii   333333
315  0x0000b502 0x1000c102 14  15   .text   ascii   <3333333333333
316  0x0000b6a5 0x1000c2a5 4   5    .text   ascii   t=|7
317  0x0000b805 0x1000c405 11  12   .text   ascii   <3333333333
318  0x0000b907 0x1000c507 4   6    .text   utf8    |;۾~ blocks=Basic Latin,Arabic
319  0x0000b91e 0x1000c51e 5   8    .text   utf8    |\aȭt\r blocks=Basic Latin,Latin Extended-B
320  0x0000b97a 0x1000c57a 6   7    .text   ascii   333333
321  0x0000b9b3 0x1000c5b3 14  15   .text   ascii   3333333333333t
322  0x0000b9cc 0x1000c5cc 4   5    .text   ascii   <333
323  0x0000baf7 0x1000c6f7 9   10   .text   ascii   333333333
324  0x0000bb1c 0x1000c71c 4   5    .text   ascii   3333
325  0x0000bb42 0x1000c742 4   5    .text   ascii   t/|;
326  0x0000bb6c 0x1000c76c 4   5    .text   ascii   3333
327  0x0000bbd4 0x1000c7d4 12  13   .text   ascii   <33333333333
328  0x0000bc4c 0x1000c84c 4   5    .text   ascii   <t.G
329  0x0000bc63 0x1000c863 4   6    .text   utf8    ߦrEw blocks=NKo,Basic Latin
330  0x0000bc6b 0x1000c86b 4   5    .text   ascii   \fTrE
331  0x0000bceb 0x1000c8eb 4   5    .text   ascii   j?<t
332  0x0000bd75 0x1000c975 4   5    .text   ascii   \at>z
333  0x0000c02b 0x1000cc2b 4   5    .text   ascii   t>>\a
334  0x0000c04c 0x1000cc4c 4   5    .text   ascii   t2|1
335  0x0000c089 0x1000cc89 4   5    .text   ascii   t2|1
336  0x0000c10a 0x1000cd0a 4   6    .text   utf8    t2rÇ blocks=Basic Latin,Latin-1 Supplement
337  0x0000c1b5 0x1000cdb5 4   5    .text   ascii   t0z?
338  0x0000c393 0x1000cf93 6   7    .text   ascii   \fTt5rA
339  0x0000c39d 0x1000cf9d 7   9    .text   utf8    \fTt5rAӞ blocks=Basic Latin,Cyrillic
340  0x0000c3a7 0x1000cfa7 6   7    .text   ascii   \fTt5rA
341  0x0000c3b5 0x1000cfb5 5   6    .text   ascii   t5rAs
342  0x0000c3c6 0x1000cfc6 4   5    .text   ascii   \fTrA
343  0x0000c3e9 0x1000cfe9 5   6    .text   ascii   \fTrqw
344  0x0000c40a 0x1000d00a 4   5    .text   ascii   |\e\a|
345  0x0000c444 0x1000d044 4   5    .text   ascii   t7z6
346  0x0000c63d 0x1000d23d 4   5    .text   ascii   u'u,
347  0x0000c655 0x1000d255 4   5    .text   ascii   t0z?
348  0x0000c868 0x1000d468 5   8    .text   utf8    rӗ\b'ܸ blocks=Basic Latin,Cyrillic,Syriac
349  0x0000ca11 0x1000d611 4   5    .text   ascii   $t0w
350  0x0000cb9a 0x1000d79a 4   5    .text   ascii   t,u}
351  0x0000cc62 0x1000d862 4   5    .text   ascii   t7z6
352  0x0000ccaf 0x1000d8af 4   5    .text   ascii   I?\b'
353  0x0000d195 0x1000dd95 4   5    .text   ascii   \tt0v
354  0x0000d749 0x1000e349 5   7    .text   utf8    1|> v blocks=Basic Latin,Latin-1 Supplement
355  0x0000d7a4 0x1000e3a4 4   5    .text   ascii   t'\b$
356  0x0000de54 0x1000ea54 5   6    .text   ascii   )t'|7
357  0x0000e04b 0x1000ec4b 4   5    .text   ascii   )t7|
358  0x0000e2b0 0x1000eeb0 4   5    .text   ascii   )t\az
359  0x0000e5d5 0x1000f1d5 4   5    .text   ascii   )t\az
360  0x0000e638 0x1000f238 4   5    .text   ascii   v}{[
361  0x0000e668 0x1000f268 4   5    .text   ascii   \rG/=
362  0x0000e74e 0x1000f34e 4   5    .text   ascii   t<>\a
363  0x0000e826 0x1000f426 5   6    .text   ascii   t)t9>
364  0x0000e8bf 0x1000f4bf 4   5    .text   ascii   t<>\a
365  0x0000edaf 0x1000f9af 4   5    .text   ascii   \tt!x
366  0x0000ee1d 0x1000fa1d 4   5    .text   ascii   t7z\t
367  0x0000ee2b 0x1000fa2b 4   5    .text   ascii   t7|\a
368  0x0000f0d1 0x1000fcd1 4   5    .text   ascii   t#z$
