[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
178   0x00006c3d 0x00406c3d 5   6    .text   ascii   ggnvm
179   0x00006c51 0x00406c51 6   7    .text   ascii   222QQQ
180   0x00006c60 0x00406c60 13  14   .text   ascii   n2%DGK++'###;
181   0x00006c7b 0x00406c7b 18  19   .text   ascii   \f\f\f\b\b\bWWWe%%q33\n\n\n
182   0x00006c9f 0x00406c9f 6   7    .text   ascii   uuuEEE
183   0x00006cae 0x00406cae 6   7    .text   ascii   :::888
184   0x00006ccf 0x00406ccf 12  13   .text   ascii   <<<www===000
185   0x00006cde 0x00406cde 6   7    .text   ascii   lll^^^
186   0x00006cf6 0x00406cf6 6   7    .text   ascii   IIINNN
187   0x00006d23 0x00406d23 9   10   .text   ascii   yyy|||ttt
188   0x00006d2f 0x00406d2f 9   10   .text   ascii   BBB   CCC
189   0x00006d41 0x00406d41 6   7    .text   ascii   dddvvv
190   0x00006d74 0x00406d74 6   7    .text   ascii   KKK\a\a\a
191   0x00006d86 0x00406d86 12  13   .text   ascii   $$$zzz555III
192   0x00006dad 0x00406dad 12  13   .text   ascii      \r\r\rGGGVVV
193   0x00006dc2 0x00406dc2 9   10   .text   ascii   ???oooUUU
194   0x00006dd7 0x00406dd7 6   7    .text   ascii   RRR666
195   0x00006df8 0x00406df8 9   10   .text   ascii   ***jjjfff
196   0x00006e0d 0x00406e0d 9   10   .text   ascii   '''rrrMMM
197   0x00006e3d 0x00406e3d 6   7    .text   ascii   LLLFFF
198   0x00006e6a 0x00406e6a 6   7    .text   ascii   TTT---
199   0x00006e8b 0x00406e8b 6   7    .text   ascii   777AAA
200   0x00006e94 0x00406e94 6   7    .text   ascii   DDD___
201   0x00006ee5 0x00406ee5 9   10   .text   ascii   \v\v\vOOO>>>
202   0x00006efa 0x00406efa 6   7    .text   ascii   ///YYY
203   0x00006f1e 0x00406f1e 21  22   .text   ascii   ___\r\r\r}}},,,aaa~~~kkk
204   0x00006f39 0x00406f39 9   10   .text   ascii   AAAgggnnn
205   0x00006f51 0x00406f51 6   7    .text   ascii   222QQQ
206   0x00006f60 0x00406f60 15  16   .text   ascii   @@@(((+++###;;;
207   0x00006f7b 0x00406f7b 18  19   .text   ascii   \f\f\f\b\b\bWWW%%%333\n\n\n
208   0x00006f9f 0x00406f9f 6   7    .text   ascii   uuuEEE
209   0x00006fae 0x00406fae 6   7    .text   ascii   :::888
210   0x00006fcf 0x00406fcf 12  13   .text   ascii   <<<www===000
211   0x00006fde 0x00406fde 6   7    .text   ascii   lll^^^
212   0x00006ff6 0x00406ff6 6   7    .text   ascii   IIINNN
213   0x00007023 0x00407023 9   10   .text   ascii   yyy|||ttt
214   0x0000702f 0x0040702f 9   10   .text   ascii   BBB   CCC
215   0x00007041 0x00407041 6   7    .text   ascii   dddvvv
216   0x00007074 0x00407074 6   7    .text   ascii   KKK\a\a\a
217   0x00007086 0x00407086 12  13   .text   ascii   $$$zzz555III
218   0x000070ad 0x004070ad 12  13   .text   ascii      \r\r\rGGGVVV
219   0x000070c2 0x004070c2 9   10   .text   ascii   ???oooUUU
220   0x000070d7 0x004070d7 6   7    .text   ascii   RRR666
221   0x000070f8 0x004070f8 9   10   .text   ascii   ***jjjfff
222   0x0000710d 0x0040710d 9   10   .text   ascii   '''rrrMMM
223   0x0000713d 0x0040713d 6   7    .text   ascii   LLLFFF
224   0x0000716a 0x0040716a 6   7    .text   ascii   TTT---
225   0x0000718b 0x0040718b 6   7    .text   ascii   777AAA
226   0x00007194 0x00407194 6   7    .text   ascii   DDD___
227   0x000071e5 0x004071e5 9   10   .text   ascii   \v\v\vOOO>>>
228   0x000071fa 0x004071fa 6   7    .text   ascii   ///YYY
229   0x0000721e 0x0040721e 21  22   .text   ascii   ___\r\r\r}}},,,aaa~~~kkk
230   0x00007239 0x00407239 9   10   .text   ascii   AAAgggnnn
231   0x00007251 0x00407251 6   7    .text   ascii   222QQQ
232   0x00007260 0x00407260 15  16   .text   ascii   @@@(((+++###;;;
233   0x000072b4 0x004072b4 6   7    .text   ascii   rrrrrr
234   0x000072bd 0x004072bd 6   7    .text   ascii   """```
235   0x000072ea 0x004072ea 12  13   .text   ascii   ***GGG444nnn
236   0x000072fc 0x004072fc 9   10   .text   ascii   000777fff
237   0x00007308 0x00407308 9   10   .text   ascii   |||\r\r\r[[[
238   0x0000731d 0x0040731d 6   7    .text   ascii   mmm\t\t\t
239   0x00007353 0x00407353 6   7    .text   ascii   ttt&&&
240   0x00007368 0x00407368 6   7    .text   ascii   %%%XXX
241   0x0000739e 0x0040739e 6   7    .text   ascii   555'''
242   0x000073d1 0x004073d1 6   7    .text   ascii   \b\b\bkkk
243   0x000073e3 0x004073e3 15  16   .text   ascii   BBBEEE===UUU\v\v\v
244   0x00007401 0x00407401 12  13   .text   ascii   ---???MMM$$$
245   0x00007422 0x00407422 9   10   .text   ascii   \e\e\e222vvv
246   0x00007458 0x00407458 6   7    .text   ascii   JJJ,,,
247   0x00007476 0x00407476 6   7    .text   ascii      hhh
248   0x000074b2 0x004074b2 6   7    .text   ascii   :::]]]
249   0x000074bb 0x004074bb 9   10   .text   ascii   333///~~~
250   0x000074d9 0x004074d9 6   7    .text   ascii   ooozzz
251   0x000074f4 0x004074f4 6   7    .text   ascii   !!!!!!
252   0x0000750c 0x0040750c 6   7    .text   ascii   \v\v\vccc
253   0x00007557 0x00407557 6   7    .text   ascii   (((PPP
254   0x000075b4 0x004075b4 6   7    .text   ascii   rrrrrr
255   0x000075bd 0x004075bd 6   7    .text   ascii   """```
256   0x000075e4 0x004075e4 12  13   .text   ascii      \r\r\rGGGVVV
257   0x000075f9 0x004075f9 9   10   .text   ascii   ???oooUUU
258   0x0000760e 0x0040760e 6   7    .text   ascii   RRR666
259   0x0000762f 0x0040762f 9   10   .text   ascii   ***jjjfff
260   0x00007644 0x00407644 9   10   .text   ascii   '''rrrMMM
261   0x00007674 0x00407674 6   7    .text   ascii   LLLFFF
262   0x000076a1 0x004076a1 6   7    .text   ascii   TTT---
263   0x000076c2 0x004076c2 6   7    .text   ascii   777AAA
264   0x000076cb 0x004076cb 6   7    .text   ascii   DDD___
265   0x0000771c 0x0040771c 9   10   .text   ascii   \v\v\vOOO>>>
266   0x00007731 0x00407731 6   7    .text   ascii   ///YYY
267   0x00007755 0x00407755 21  22   .text   ascii   ___\r\r\r}}},,,aaa~~~kkk
268   0x00007770 0x00407770 9   10   .text   ascii   AAAgggnnn
269   0x00007788 0x00407788 6   7    .text   ascii   222QQQ
270   0x00007797 0x00407797 15  16   .text   ascii   @@@(((+++###;;;
271   0x000077b2 0x004077b2 18  19   .text   ascii   \f\f\f\b\b\bWWW%%%333\n\n\n
272   0x000077d6 0x004077d6 6   7    .text   ascii   uuuEEE
273   0x000077e5 0x004077e5 6   7    .text   ascii   :::888
274   0x00007806 0x00407806 12  13   .text   ascii   <<<www===000
275   0x00007815 0x00407815 6   7    .text   ascii   lll^^^
276   0x0000782d 0x0040782d 6   7    .text   ascii   IIINNN
277   0x0000785a 0x0040785a 9   10   .text   ascii   yyy|||ttt
278   0x00007866 0x00407866 9   10   .text   ascii   BBB   CCC
279   0x00007878 0x00407878 6   7    .text   ascii   dddvvv
280   0x000078ab 0x004078ab 6   7    .text   ascii   KKK\a\a\a
281   0x000078bd 0x004078bd 12  13   .text   ascii   $$$zzz555III
282   0x000078e4 0x004078e4 12  13   .text   ascii      \r\r\rGGGVVV
283   0x000078f9 0x004078f9 9   10   .text   ascii   ???oooUUU
284   0x0000790e 0x0040790e 6   7    .text   ascii   RRR666
285   0x0000792f 0x0040792f 9   10   .text   ascii   ***jjjfff
286   0x00007944 0x00407944 9   10   .text   ascii   '''rrrMMM
287   0x00007974 0x00407974 6   7    .text   ascii   LLLFFF
288   0x000079a1 0x004079a1 6   7    .text   ascii   TTT---
289   0x000079c2 0x004079c2 6   7    .text   ascii   777AAA
290   0x000079cb 0x004079cb 6   7    .text   ascii   DDD___
291   0x00007a1c 0x00407a1c 9   10   .text   ascii   \v\v\vOOO>>>
292   0x00007a31 0x00407a31 6   7    .text   ascii   ///YYY
293   0x00007a55 0x00407a55 21  22   .text   ascii   ___\r\r\r}}},,,aaa~~~kkk
294   0x00007a70 0x00407a70 9   10   .text   ascii   AAAgggnnn
295   0x00007a88 0x00407a88 6   7    .text   ascii   222QQQ
296   0x00007a99 0x00407a99 13  14   .text   ascii   </((+++k##;9;
297   0x00007abe 0x00407abe 6   7    .text   ascii   533\n\n\n
298   0x00007ad6 0x00407ad6 6   7    .text   ascii   uuuEEE
299   0x00007ae5 0x00407ae5 5   6    .text   ascii   :::&:
300   0x00007b09 0x00407b09 9   10   .text   ascii   uww9N500:
301   0x00007b2d 0x00407b2d 6   7    .text   ascii   IIX0ON
302   0x00007b5a 0x00407b5a 9   10   .text   ascii   SyjL}|{tt
303   0x00007b66 0x00407b66 9   10   .text   ascii   BS<#  G,O
304   0x00007b78 0x00407b78 6   7    .text   ascii   wTevyv
305   0x00007bab 0x00407bab 4   5    .text   ascii   AA`\a
306   0x00007bbd 0x00407bbd 12  13   .text   ascii   $$5xRi55?CbI
307   0x00007be1 0x00407be1 7   8    .text   ascii   \t\t( &\n\r
308   0x00007be9 0x00407be9 7   8    .text   ascii   =FGLVVV
309   0x00007bfc 0x00407bfc 6   7    .text   ascii   oiEUFe
310   0x00007c0e 0x00407c0e 7   8    .text   ascii   SRR-\e<*
311   0x00007c2f 0x00407c2f 4   5    .text   ascii   ;)8j
312   0x00007c44 0x00407c44 9   10   .text   ascii   ''-XaBLMm
313   0x00007c74 0x00407c74 6   7    .text   ascii   RNdQFF
314   0x00007c7d 0x00407c7d 4   5    .text   ascii   EwuY
315   0x00007ca2 0x00407ca2 6   7    .text   ascii   CT-)^H
316   0x00007cc1 0x00407cc1 7   8    .text   ascii   &,77E2_
317   0x00007ccc 0x00407ccc 5   6    .text   ascii   XD_[,
318   0x00007d15 0x00407d15 4   5    .text   ascii   #hhl
319   0x00007d1d 0x00407d1d 8   9    .text   ascii   ;\nOEO>>2
320   0x00007d32 0x00407d32 5   6    .text   ascii   //JiZ
321   0x00007d38 0x00407d38 4   6    .text   utf8    ֗!!! blocks=Hebrew,Basic Latin
322   0x00007d55 0x00407d55 4   5    .text   ascii   __Yb
323   0x00007d5f 0x00407d5f 4   5    .text   ascii   :,ae
324   0x00007d64 0x00407d64 7   9    .text   utf8    h~~oG}۳ blocks=Basic Latin,Arabic
325   0x00007d71 0x00407d71 5   6    .text   ascii   G`gga
326   0x00007d89 0x00407d89 5   6    .text   ascii   32QQQ
327   0x00007d97 0x00407d97 10  11   .text   ascii   3b@("[\b++)
328   0x00007da2 0x00407da2 4   5    .text   ascii   %;;?
329   0x00007dec 0x00407dec 5   6    .text   ascii   Vrrxf
330   0x00007e03 0x00407e03 4   6    .text   utf8    \\Xʽ blocks=Basic Latin,Spacing Modifier Letters
331   0x00007e22 0x00407e22 9   10   .text   ascii    *GC9>44j
332   0x00007e33 0x00407e33 5   6    .text   ascii   /001D
333   0x00007e43 0x00407e43 5   6    .text   ascii   \r\r_%P
334   0x00007e4e 0x00407e4e 4   5    .text   ascii   ysm_
335   0x00007e54 0x00407e54 6   7    .text   ascii   mmkz+\t
336   0x00007e8a 0x00407e8a 6   7    .text   ascii   p\eP&&,
337   0x00007ea2 0x00407ea2 6   7    .text   ascii   VXX\a}\r
338   0x00007eb3 0x00407eb3 4   6    .text   utf8    !ssu
339   0x00007ec9 0x00407ec9 5   6    .text   ascii   @DVi#
340   0x00007f08 0x00407f08 4   5    .text   ascii   +\b\ba
341   0x00007f1d 0x00407f1d 9   10   .text   ascii   ClE=;NwUU
342   0x00007f38 0x00407f38 4   5    .text   ascii   --'+
343   0x00007f3d 0x00407f3d 6   7    .text   ascii   9fMM"W
344   0x00007f4c 0x00407f4c 4   5    .text   ascii   Edww
345   0x00007f51 0x00407f51 5   8    .text   utf8    `\r))-
346   0x00007f5b 0x00407f5b 5   6    .text   ascii   3 22p
347   0x00007f8f 0x00407f8f 6   7    .text   ascii   JL`,,*
348   0x00007fab 0x00407fab 7   9    .text   utf8    ʲ7  l\aX blocks=Spacing Modifier Letters,Basic Latin
349   0x00007ff2 0x00407ff2 6   7    .text   ascii   *M$//+
350   0x000080eb 0x004080eb 6   7    .text   ascii   rxd\e\f
351   0x000080f4 0x004080f4 5   6    .text   ascii   &P'a`
352   0x0000811d 0x0040811d 10  11   .text   ascii   \b>\r\rMTB~bV
353   0x00008145 0x00408145 4   5    .text   ascii   RRS%
354   0x00008160 0x00408160 13  18   .text   utf8    g_cꎔ*.(B_jfl毵 blocks=Basic Latin,Yi Syllables,CJK Unified Ideographs
355   0x0000817c 0x0040817c 8   9    .text   ascii   ''xd\\b3W
356   0x000081ab 0x004081ab 6   7    .text   ascii   2VLFBP
357   0x000081d8 0x004081d8 7   8    .text   ascii   ^*J--))
358   0x000081e0 0x004081e0 4   5    .text   ascii   1B*u
359   0x000081ea 0x004081ea 9   10   .text   ascii   Z*N\t\t\tXXX
360   0x000081f9 0x004081f9 6   7    .text   ascii   777GkA
361   0x00008202 0x00408202 6   7    .text   ascii   MDU^__
362   0x00008258 0x00408258 4   5    .text   ascii   e>>?
363   0x0000825f 0x0040825f 4   5    .text   ascii   -="\v
