[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
5692  0x00045909 0x00445909 4   5    .text   ascii   ot}/
5693  0x00045945 0x00445945 6   9    .text   utf8    Yز+R֭W blocks=Basic Latin,Arabic,Hebrew
5694  0x0004594f 0x0044594f 4   5    .text   ascii   N(&B
5695  0x0004596d 0x0044596d 5   6    .text   ascii   rRVZW
5696  0x00045977 0x00445977 4   6    .text   utf8    *Κ\f+ blocks=Basic Latin,Greek and Coptic
5697  0x00045985 0x00445985 5   6    .text   ascii   ]:MEP
5698  0x0004598e 0x0044598e 4   5    .text   ascii   ~m&@
5699  0x000459de 0x004459de 7   8    .text   ascii   36!/D;e
5700  0x00045a00 0x00445a00 4   5    .text   ascii   BMZe
5701  0x00045a0a 0x00445a0a 6   7    .text   ascii   5iRHPI
5702  0x00045a57 0x00445a57 5   7    .text   utf8    d'ÁDK blocks=Basic Latin,Latin-1 Supplement
5703  0x00045add 0x00445add 4   6    .text   utf8    ۼq,7 blocks=Arabic,Basic Latin
5704  0x00045b1b 0x00445b1b 6   10   .text   utf8    f-<ĕݳ̵ blocks=Basic Latin,Latin Extended-A,Arabic Supplement,Combining Diacritical Marks
5705  0x00045b3f 0x00445b3f 4   6    .text   utf8    :FܟI blocks=Basic Latin,Syriac
5706  0x00045b4a 0x00445b4a 5   6    .text   ascii   -)`/Q
5707  0x00045b83 0x00445b83 6   7    .text   ascii   Hz-Jy_
5708  0x00045b8e 0x00445b8e 4   5    .text   ascii   CWV<
5709  0x00045ba5 0x00445ba5 5   6    .text   ascii   5x<6F
5710  0x00045bb5 0x00445bb5 6   7    .text   ascii   -h4n\bW
5711  0x00045bf5 0x00445bf5 4   5    .text   ascii   l0,k
5712  0x00045c71 0x00445c71 7   10   .text   utf8    7\v^֣ˤWg blocks=Basic Latin,Hebrew,Spacing Modifier Letters
5713  0x00045cad 0x00445cad 5   8    .text   utf8    o+y2\a
5714  0x00045cec 0x00445cec 7   10   .text   utf8    xuCT퐍;s blocks=Basic Latin,Hangul Syllables
5715  0x00045d24 0x00445d24 5   6    .text   ascii   sEQ;K
5716  0x00045d2b 0x00445d2b 5   6    .text   ascii   5Tf:u
5717  0x00045d73 0x00445d73 5   7    .text   utf8    ؛7J{  blocks=Arabic,Basic Latin
5718  0x00045d8a 0x00445d8a 6   7    .text   ascii   7-E\rVl
5719  0x00045dc6 0x00445dc6 5   7    .text   utf8    ,L6ĐY blocks=Basic Latin,Latin Extended-A
5720  0x00045dde 0x00445dde 4   5    .text   ascii   f4kh
5721  0x00045e22 0x00445e22 5   8    .text   utf8    响\nCiF blocks=CJK Unified Ideographs,Basic Latin
5722  0x00045e44 0x00445e44 4   5    .text   ascii   yDs1
5723  0x00045e5c 0x00445e5c 6   7    .text   ascii   >K>.nd
5724  0x00045e9d 0x00445e9d 4   5    .text   ascii   F^\e$
5725  0x00045eec 0x00445eec 6   7    .text   ascii   S\aXw+U
5726  0x00045f0d 0x00445f0d 4   5    .text   ascii   %Nu8
5727  0x00045f19 0x00445f19 4   5    .text   ascii   kFQm
5728  0x00045f4a 0x00445f4a 4   5    .text   ascii   Tfz/
5729  0x00045f71 0x00445f71 6   7    .text   ascii   ? =({R
5730  0x00045fce 0x00445fce 4   5    .text   ascii   =Cw*
5731  0x00045ff0 0x00445ff0 6   9    .text   utf8    #㊳?&q_ blocks=Basic Latin,Enclosed CJK Letters and Months
5732  0x00046046 0x00446046 6   8    .text   utf8    Bг5BI[ blocks=Basic Latin,Cyrillic
5733  0x0004605b 0x0044605b 4   6    .text   utf8    <ЅEK blocks=Basic Latin,Cyrillic
5734  0x0004606c 0x0044606c 4   5    .text   ascii   IXC\r
5735  0x000460ad 0x004460ad 4   5    .text   ascii   \tssW
5736  0x000460e4 0x004460e4 6   7    .text   ascii   .J\b{|\
5737  0x0004610a 0x0044610a 5   8    .text   utf8    ̙mȮK" blocks=Combining Diacritical Marks,Basic Latin,Latin Extended-B
5738  0x00046127 0x00446127 4   5    .text   ascii   ~, i
5739  0x00046138 0x00446138 4   6    .text   utf8    PÙ\b, blocks=Basic Latin,Latin-1 Supplement
5740  0x00046174 0x00446174 4   6    .text   utf8    ު9b[ blocks=Thaana,Basic Latin
5741  0x000461d8 0x004461d8 5   6    .text   ascii   8<PGV
5742  0x00046232 0x00446232 4   6    .text   utf8    $tDٰ blocks=Basic Latin,Arabic
5743  0x0004623a 0x0044623a 6   7    .text   ascii   n,d<\e<
5744  0x00046295 0x00446295 4   5    .text   ascii   ?>5`
5745  0x000462cf 0x004462cf 5   8    .text   utf8    鸖\bE9Y blocks=CJK Unified Ideographs,Basic Latin
5746  0x000462eb 0x004462eb 5   6    .text   ascii   'lma\t
5747  0x00046327 0x00446327 4   5    .text   ascii   {p[3
5748  0x00046338 0x00446338 6   8    .text   utf8    dґKojo blocks=Basic Latin,Cyrillic
5749  0x00046346 0x00446346 4   5    .text   ascii   N\a\b\n
5750  0x00046365 0x00446365 5   6    .text   ascii   K|\a-5
5751  0x00046373 0x00446373 4   5    .text   ascii   74[|
5752  0x00046391 0x00446391 4   5    .text   ascii   \b|ik
5753  0x000463af 0x004463af 4   5    .text   ascii   n>UV
5754  0x00046409 0x00446409 4   5    .text   ascii   Zz^`
5755  0x0004642e 0x0044642e 5   6    .text   ascii   JaW2y
5756  0x0004645a 0x0044645a 4   5    .text   ascii   4~\e>
5757  0x000464a9 0x004464a9 5   7    .text   utf8    Ձ^w u blocks=Armenian,Basic Latin
5758  0x000464b1 0x004464b1 6   7    .text   ascii   mvF]F>
5759  0x000464b8 0x004464b8 5   6    .text   ascii   &b/-c
5760  0x000464f4 0x004464f4 5   6    .text   ascii   K4 3h
5761  0x00046518 0x00446518 4   5    .text   ascii   Rd2U
5762  0x0004653f 0x0044653f 6   8    .text   utf8    k˷|{hh blocks=Basic Latin,Spacing Modifier Letters
5763  0x0004654b 0x0044654b 4   5    .text   ascii   I3[t
5764  0x00046576 0x00446576 4   5    .text   ascii   3'm}
5765  0x00046587 0x00446587 4   5    .text   ascii   e>bT
5766  0x000465b2 0x004465b2 4   5    .text   ascii   {+\tJ
5767  0x000465eb 0x004465eb 4   5    .text   ascii   DO/P
5768  0x00046678 0x00446678 6   7    .text   ascii   GE1;cU
5769  0x00046685 0x00446685 6   8    .text   utf8    dnTӗgn blocks=Basic Latin,Cyrillic
5770  0x0004669b 0x0044669b 4   5    .text   ascii    6\aK
5771  0x000466be 0x004466be 5   6    .text   ascii   r9hpP
5772  0x000466d2 0x004466d2 4   5    .text   ascii   B\twf
5773  0x00046713 0x00446713 4   5    .text   ascii   +9*_
5774  0x000467c9 0x004467c9 4   5    .text   ascii   g@(%
5775  0x000467dc 0x004467dc 9   12   .text   utf8    {Ć0uͶ[\{\a blocks=Basic Latin,Latin Extended-A,Greek and Coptic
5776  0x000467f5 0x004467f5 5   6    .text   ascii   "6Dw.
5777  0x00046801 0x00446801 4   5    .text   ascii   t0%?
5778  0x00046878 0x00446878 4   5    .text   ascii   y{6|
5779  0x0004687e 0x0044687e 5   6    .text   ascii   \+.\@
5780  0x000468e0 0x004468e0 4   6    .text   utf8    ߗQ`\b blocks=NKo,Basic Latin
5781  0x0004691f 0x0044691f 7   8    .text   ascii   MlT5*\bw
5782  0x00046962 0x00446962 6   7    .text   ascii   A;D;67
5783  0x00046978 0x00446978 5   6    .text   ascii   \f5iKK
5784  0x00046983 0x00446983 5   7    .text   utf8    n 9Ġ{ blocks=Basic Latin,Latin Extended-A
5785  0x0004698c 0x0044698c 5   6    .text   ascii   \f3c'p
5786  0x000469e0 0x004469e0 4   5    .text   ascii   `Qop
5787  0x00046a94 0x00446a94 5   8    .text   utf8    Ry\[ blocks=Basic Latin,Private Use Area
5788  0x00046abf 0x00446abf 5   7    .text   utf8    =(ʲ)T blocks=Basic Latin,Spacing Modifier Letters
5789  0x00046ac8 0x00446ac8 4   5    .text   ascii   gdjY
5790  0x00046afa 0x00446afa 4   5    .text   ascii   Y@\b`
5791  0x00046b07 0x00446b07 4   6    .text   utf8    Ҧv?h blocks=Cyrillic,Basic Latin
5792  0x00046b13 0x00446b13 4   5    .text   ascii   tvFX
5793  0x00046bb7 0x00446bb7 4   7    .text   utf8    lӽÆa blocks=Basic Latin,Cyrillic,Latin-1 Supplement
5794  0x00046bc4 0x00446bc4 4   5    .text   ascii   8DI;
5795  0x00046bd4 0x00446bd4 5   6    .text   ascii   "j60P
5796  0x00046bfa 0x00446bfa 6   8    .text   utf8    t"'Geؾ blocks=Basic Latin,Arabic
5797  0x00046c71 0x00446c71 4   6    .text   utf8    eUeͣ blocks=Basic Latin,Combining Diacritical Marks
5798  0x00046c8a 0x00446c8a 4   5    .text   ascii   hh-E
5799  0x00046cca 0x00446cca 4   5    .text   ascii   zWPd
5800  0x00046d1d 0x00446d1d 4   5    .text   ascii   R\e\bn
5801  0x00046d4b 0x00446d4b 4   5    .text   ascii   MSWC
5802  0x00046ddc 0x00446ddc 5   6    .text   ascii   PUr X
5803  0x00046e5e 0x00446e5e 5   8    .text   utf8    헭\rzFZ blocks=Hangul Syllables,Basic Latin
5804  0x00046e85 0x00446e85 4   5    .text   ascii   HW5{
5805  0x00046ed4 0x00446ed4 4   5    .text   ascii   $%'\v
5806  0x00046ef7 0x00446ef7 4   5    .text   ascii   lG%\
5807  0x00046f0b 0x00446f0b 8   9    .text   ascii   9L$'bA1Z
5808  0x00046f34 0x00446f34 6   7    .text   ascii   G[4Jmt
5809  0x00047000 0x00447000 5   8    .text   utf8    78㢏y3 blocks=Basic Latin,CJK Unified Ideographs Extension A
5810  0x00047019 0x00447019 4   5    .text   ascii   3!_n
5811  0x00047038 0x00447038 6   7    .text   ascii   )3|.Y\r
5812  0x00047098 0x00447098 4   6    .text   utf8    ԛ4Q\ blocks=Cyrillic Supplement,Basic Latin
5813  0x0004712d 0x0044712d 4   5    .text   ascii   g\f}]
5814  0x00047132 0x00447132 6   8    .text   utf8    -\sWj|
5815  0x00047149 0x00447149 5   6    .text   ascii   A#8}5
5816  0x00047171 0x00447171 4   5    .text   ascii   Vu[H
5817  0x000471bc 0x004471bc 4   5    .text   ascii   \tX\aE
5818  0x000471d4 0x004471d4 4   5    .text   ascii   O\nnc
5819  0x000471fd 0x004471fd 4   6    .text   utf8    :̟`] blocks=Basic Latin,Combining Diacritical Marks
5820  0x00047247 0x00447247 5   6    .text   ascii   eV?~N
5821  0x000472aa 0x004472aa 6   8    .text   utf8    g$9\vPϙ blocks=Basic Latin,Greek and Coptic
5822  0x000472d6 0x004472d6 5   6    .text   ascii   ]yy\c
5823  0x000472e4 0x004472e4 5   8    .text   utf8    ۴w\ыs blocks=Arabic,Basic Latin,Cyrillic
5824  0x0004732b 0x0044732b 5   8    .text   utf8     \bꇯ]c blocks=Basic Latin,Yi Syllables
5825  0x0004734c 0x0044734c 5   7    .text   utf8    Soٞ9B blocks=Basic Latin,Arabic
5826  0x00047364 0x00447364 4   6    .text   utf8    H%bp
5827  0x00047374 0x00447374 5   8    .text   utf8    KIX聶^ blocks=Basic Latin,CJK Unified Ideographs
5828  0x00047397 0x00447397 4   5    .text   ascii   lCE'
5829  0x000473cf 0x004473cf 5   6    .text   ascii   $(94T
5830  0x000473f8 0x004473f8 4   7    .text   utf8    ӄǨQw blocks=Cyrillic,Latin Extended-B,Basic Latin
5831  0x00047407 0x00447407 6   7    .text   ascii   $(s';O
5832  0x00047435 0x00447435 4   5    .text   ascii   kXh(
5833  0x00047506 0x00447506 5   6    .text   ascii   i,,P+
5834  0x00047539 0x00447539 4   5    .text   ascii   \b\e+[
5835  0x00047597 0x00447597 5   6    .text   ascii   e1M7,
5836  0x000475a2 0x004475a2 4   5    .text   ascii   az3E
5837  0x000475ef 0x004475ef 5   8    .text   utf8    S,^ޗш blocks=Basic Latin,Thaana,Cyrillic
5838  0x0004763a 0x0044763a 5   6    .text   ascii   S#"xv
5839  0x00047645 0x00447645 4   6    .text   utf8    ӥf%c blocks=Cyrillic,Basic Latin
5840  0x00047664 0x00447664 4   5    .text   ascii   |a\rT
5841  0x00047697 0x00447697 4   5    .text   ascii   Xpkc
5842  0x000476a0 0x004476a0 7   8    .text   ascii   n:]#f\e_
5843  0x000476b7 0x004476b7 5   6    .text   ascii   bm:bY
5844  0x000476c0 0x004476c0 4   5    .text   ascii   s2kJ
5845  0x0004771c 0x0044771c 5   6    .text   ascii   J$\nR)
5846  0x0004772d 0x0044772d 4   5    .text   ascii   \v<Fp
5847  0x00047748 0x00447748 9   12   .text   utf8    QJ\aje=ՉFҨ blocks=Basic Latin,Armenian,Cyrillic
5848  0x000477a1 0x004477a1 5   7    .text   utf8    +r[YÜ blocks=Basic Latin,Latin-1 Supplement
5849  0x000477c5 0x004477c5 5   6    .text   ascii   `\r!TH
5850  0x000477e8 0x004477e8 5   6    .text   ascii   ucC5B
5851  0x000477f4 0x004477f4 5   6    .text   ascii   %T3Iv
5852  0x0004782b 0x0044782b 4   5    .text   ascii   'VO5
5853  0x00047832 0x00447832 4   5    .text   ascii   \bP<'
5854  0x0004785f 0x0044785f 5   7    .text   utf8    4aծ7X blocks=Basic Latin,Armenian
5855  0x00047878 0x00447878 4   5    .text   ascii   c&>J
5856  0x000478f7 0x004478f7 4   8    .text   utf8    L߄6 blocks=Basic Latin,Private Use Area,NKo
5857  0x00047906 0x00447906 5   6    .text   ascii   We(D\v
5858  0x00047920 0x00447920 4   5    .text   ascii   tR|#
5859  0x0004792f 0x0044792f 4   5    .text   ascii   ,~|E
5860  0x00047966 0x00447966 5   6    .text   ascii   -y~,b
5861  0x00047991 0x00447991 4   5    .text   ascii   $<yU
5862  0x000479c2 0x004479c2 4   6    .text   utf8    )$=ȩ blocks=Basic Latin,Latin Extended-B
5863  0x00047a03 0x00447a03 5   7    .text   utf8    \f+&dn
5864  0x00047a1f 0x00447a1f 5   6    .text   ascii   n$G<\b
5865  0x00047a3f 0x00447a3f 6   7    .text   ascii   jhd\rBd
5866  0x00047a82 0x00447a82 4   5    .text   ascii   ,\n-P
5867  0x00047a9d 0x00447a9d 6   7    .text   ascii   P4ir+9
5868  0x00047aaf 0x00447aaf 5   8    .text   utf8    w(\vǔΜ blocks=Basic Latin,Latin Extended-B,Greek and Coptic
5869  0x00047ab8 0x00447ab8 5   8    .text   utf8    ̉\f˚`[ blocks=Combining Diacritical Marks,Basic Latin,Spacing Modifier Letters
5870  0x00047b08 0x00447b08 4   5    .text   ascii   ]:#w
5871  0x00047b1a 0x00447b1a 4   5    .text   ascii   #gkc
5872  0x00047b25 0x00447b25 4   5    .text   ascii   S$9U
5873  0x00047b68 0x00447b68 4   5    .text   ascii   0jS^
5874  0x00047b71 0x00447b71 5   7    .text   utf8    Kƿk7D blocks=Basic Latin,Latin Extended-B
5875  0x00047bd2 0x00447bd2 4   6    .text   utf8    IhăK blocks=Basic Latin,Latin Extended-A
5876  0x00047bf4 0x00447bf4 4   7    .text   utf8    Ț\bҰR blocks=Latin Extended-B,Basic Latin,Cyrillic
5877  0x00047c46 0x00447c46 4   6    .text   utf8    ܸljr blocks=Syriac,Basic Latin
5878  0x00047cc7 0x00447cc7 4   6    .text   utf8    1اoz blocks=Basic Latin,Arabic
5879  0x00047d15 0x00447d15 5   6    .text   ascii   vO/\ei
5880  0x00047d39 0x00447d39 4   5    .text   ascii   \t,Ec
5881  0x00047d48 0x00447d48 5   6    .text   ascii   UjBH 
5882  0x00047d7e 0x00447d7e 6   7    .text   ascii   \npM\a^N
5883  0x00047df5 0x00447df5 4   5    .text   ascii   rK\ry
5884  0x00047ea0 0x00447ea0 6   8    .text   utf8    ?d8MѢ5 blocks=Basic Latin,Cyrillic
5885  0x00047eac 0x00447eac 4   6    .text   utf8    \noǜ\e blocks=Basic Latin,Latin Extended-B
5886  0x00047ec7 0x00447ec7 4   5    .text   ascii   \e7u\n
5887  0x00047efb 0x00447efb 4   5    .text   ascii   MC\np
5888  0x00047f2c 0x00447f2c 4   5    .text   ascii   [eOx
5889  0x00047f47 0x00447f47 4   7    .text   utf8    Z@9ᯌ blocks=Basic Latin,Batak
5890  0x00047f8c 0x00447f8c 4   5    .text   ascii   fNhc
5891  0x00047ff0 0x00447ff0 4   7    .text   utf8    닥#rC blocks=Hangul Syllables,Basic Latin
5892  0x00047ff8 0x00447ff8 5   6    .text   ascii   i~P]\b
5893  0x0004800c 0x0044800c 4   5    .text   ascii   (Cvf
5894  0x0004801d 0x0044801d 4   5    .text   ascii   7\aB<
5895  0x00048043 0x00448043 4   5    .text   ascii   K-Xl
5896  0x0004804c 0x0044804c 6   7    .text   ascii   sw326&
5897  0x00048060 0x00448060 6   7    .text   ascii   \e\fgh%%
5898  0x00048107 0x00448107 4   6    .text   utf8    ^tȷ- blocks=Basic Latin,Latin Extended-B
5899  0x0004814b 0x0044814b 4   5    .text   ascii   5V*D
5900  0x00048176 0x00448176 6   8    .text   utf8    eMD/Ȃ\e blocks=Basic Latin,Latin Extended-B
5901  0x00048197 0x00448197 4   6    .text   utf8    {8ޭ\e blocks=Basic Latin,Thaana
5902  0x000481b9 0x004481b9 4   5    .text   ascii   v<nw
5903  0x000481d0 0x004481d0 4   5    .text   ascii   /)9$
5904  0x00048240 0x00448240 5   6    .text   ascii   $\nsn1
5905  0x00048257 0x00448257 4   5    .text   ascii   =pT\e
5906  0x000482b9 0x004482b9 4   6    .text   utf8    J)Pg
5907  0x000482bf 0x004482bf 7   8    .text   ascii   ~v MUgq
5908  0x000482cf 0x004482cf 6   7    .text   ascii    ]'-`\e
5909  0x000482e3 0x004482e3 7   10   .text   utf8    (]_uŽѳQ blocks=Basic Latin,Latin Extended-A,Cyrillic
5910  0x000482f6 0x004482f6 5   7    .text   utf8    ηKi/\n blocks=Greek and Coptic,Basic Latin
5911  0x0004833e 0x0044833e 4   5    .text   ascii   UD]c
5912  0x00048360 0x00448360 5   6    .text   ascii   LT!K\b
5913  0x00048393 0x00448393 4   5    .text   ascii   UHCR
5914  0x000483a5 0x004483a5 4   6    .text   utf8    Pѿ-H blocks=Basic Latin,Cyrillic
5915  0x000483d5 0x004483d5 4   5    .text   ascii    0{b
5916  0x000483de 0x004483de 4   5    .text   ascii   \v\afE
5917  0x000483ff 0x004483ff 4   5    .text   ascii   qSUQ
5918  0x00048422 0x00448422 6   7    .text   ascii   x"MMe\r
5919  0x0004842e 0x0044842e 4   6    .text   utf8    `̫h' blocks=Basic Latin,Combining Diacritical Marks
5920  0x00048439 0x00448439 8   9    .text   ascii   Ub\7&YS8
5921  0x00048469 0x00448469 4   6    .text   utf8    lϭcw blocks=Basic Latin,Greek and Coptic
5922  0x000484a5 0x004484a5 4   6    .text   utf8    /٨1s blocks=Basic Latin,Arabic
5923  0x000484ac 0x004484ac 4   7    .text   utf8    \e}Ꮄ: blocks=Basic Latin,Cherokee
5924  0x000484f2 0x004484f2 4   5    .text   ascii   ]^Np
5925  0x00048517 0x00448517 7   8    .text   ascii   t8|Y\r|7
5926  0x0004853a 0x0044853a 4   6    .text   utf8    Uе-s blocks=Basic Latin,Cyrillic
5927  0x00048550 0x00448550 5   7    .text   utf8    ?',M݊ blocks=Basic Latin,Syriac
5928  0x00048593 0x00448593 4   6    .text   utf8    1KY֤ blocks=Basic Latin,Hebrew
5929  0x000485eb 0x004485eb 4   6    .text   utf8    6N̈́L blocks=Basic Latin,Combining Diacritical Marks
5930  0x00048603 0x00448603 4   5    .text   ascii   \v`~t
5931  0x00048639 0x00448639 4   5    .text   ascii   tx;-
5932  0x00048656 0x00448656 5   7    .text   utf8    \!mdɼ blocks=Basic Latin,IPA Extensions
5933  0x000487b3 0x004487b3 8   9    .text   ascii   @=^%:5\bI
5934  0x0004880c 0x0044880c 4   5    .text   ascii   MyC"
5935  0x00048817 0x00448817 4   9    .text   utf8    ۵8N㗺 blocks=Arabic,Basic Latin,CJK Unified Ideographs Extension A
5936  0x00048873 0x00448873 4   5    .text   ascii   G~%>
5937  0x000488dc 0x004488dc 4   5    .text   ascii   iG{T
5938  0x000488e6 0x004488e6 5   6    .text   ascii   |d/[S
5939  0x0004892a 0x0044892a 4   5    .text   ascii   Q\v%[
5940  0x0004892f 0x0044892f 4   5    .text   ascii   [|[4
5941  0x00048965 0x00448965 5   6    .text   ascii   _\e0ga
5942  0x000489aa 0x004489aa 4   6    .text   utf8    \n߹2; blocks=Basic Latin,NKo
5943  0x000489d5 0x004489d5 5   6    .text   ascii   .FIB_
5944  0x000489de 0x004489de 4   5    .text   ascii   S&_4
5945  0x00048a20 0x00448a20 6   7    .text   ascii   1VGd+L
5946  0x00048a30 0x00448a30 5   6    .text   ascii   \t<(qS
5947  0x00048a7c 0x00448a7c 8   10   .text   utf8    `Qe҂{5P@ blocks=Basic Latin,Cyrillic
5948  0x00048aa8 0x00448aa8 4   5    .text   ascii   V?\a5
5949  0x00048ac9 0x00448ac9 4   5    .text   ascii   |+X`
5950  0x00048aff 0x00448aff 5   6    .text   ascii   %D`ow
5951  0x00048b30 0x00448b30 4   5    .text   ascii   (\e39
5952  0x00048b90 0x00448b90 10  13   .text   utf8    @J{뺙u\tzvT\v blocks=Basic Latin,Hangul Syllables
5953  0x00048ba8 0x00448ba8 4   5    .text   ascii   NUwC
5954  0x00048bd9 0x00448bd9 4   5    .text   ascii   IM\nd
5955  0x00048be0 0x00448be0 4   5    .text   ascii   #fJ>
5956  0x00048c38 0x00448c38 4   5    .text   ascii   O&{P
5957  0x00048c4e 0x00448c4e 5   6    .text   ascii   Yx[y_
5958  0x00048c66 0x00448c66 6   8    .text   utf8    \n9-t݀& blocks=Basic Latin,Syriac
5959  0x00048c84 0x00448c84 4   5    .text   ascii   zw}+
5960  0x00048c8e 0x00448c8e 4   5    .text   ascii   k]Q\b
5961  0x00048ce8 0x00448ce8 6   7    .text   ascii   d]W),V
5962  0x00048d08 0x00448d08 5   6    .text   ascii   kzy\n
5963  0x00048d15 0x00448d15 4   5    .text   ascii   :>4a
5964  0x00048d45 0x00448d45 8   9    .text   ascii   L_"!q)A-
5965  0x00048d87 0x00448d87 5   6    .text   ascii   {yNj#
5966  0x00048da6 0x00448da6 4   5    .text   ascii   F)\k
5967  0x00048ddd 0x00448ddd 4   5    .text   ascii   !Y\f
5968  0x00048e2a 0x00448e2a 4   5    .text   ascii   n\e\ey
5969  0x00048e8f 0x00448e8f 4   5    .text   ascii   \nFxl
5970  0x00048ea2 0x00448ea2 5   6    .text   ascii   g;,>=
5971  0x00048eef 0x00448eef 4   6    .text   utf8    ݍ8\a@ blocks=Syriac,Basic Latin
5972  0x00048ef9 0x00448ef9 7   10   .text   utf8    XfÛ\rdڽ\r blocks=Basic Latin,Latin-1 Supplement,Arabic
5973  0x00048f3a 0x00448f3a 4   5    .text   ascii   \bH{2
5974  0x00048f40 0x00448f40 5   6    .text   ascii   (WBzz
5975  0x00048f52 0x00448f52 4   5    .text   ascii   1\nBd
5976  0x00048f74 0x00448f74 7   8    .text   ascii   #6`\eDJR
5977  0x00048f85 0x00448f85 4   5    .text   ascii   q$vk
5978  0x00048f96 0x00448f96 4   5    .text   ascii   jkS+
5979  0x00048fa0 0x00448fa0 4   5    .text   ascii   yWw[
5980  0x00048ff1 0x00448ff1 4   6    .text   utf8    J\v(/
5981  0x0004900a 0x0044900a 5   7    .text   utf8    f@vҲi blocks=Basic Latin,Cyrillic
5982  0x00049048 0x00449048 4   6    .text   utf8    \roAā blocks=Basic Latin,Latin Extended-A
5983  0x0004905a 0x0044905a 8   10   .text   utf8    ?^+F'<Lο blocks=Basic Latin,Greek and Coptic
5984  0x00049078 0x00449078 4   5    .text   ascii   }ZGT
5985  0x000490a4 0x004490a4 4   5    .text   ascii   \RR~
5986  0x000490a9 0x004490a9 4   5    .text   ascii   C>B 
5987  0x000490b9 0x004490b9 10  11   .text   ascii   P\v9&b&YpMW
5988  0x000490ce 0x004490ce 4   6    .text   utf8    IS\aݵ blocks=Basic Latin,Arabic Supplement
5989  0x000490fc 0x004490fc 4   5    .text   ascii   \bzSD
5990  0x00049126 0x00449126 4   5    .text   ascii   GGvA
5991  0x00049137 0x00449137 4   5    .text   ascii   @rl#
5992  0x00049151 0x00449151 5   7    .text   utf8    @Ⱥ<S' blocks=Basic Latin,Latin Extended-B
5993  0x0004916d 0x0044916d 5   6    .text   ascii   %'Sc[
5994  0x000491ea 0x004491ea 4   7    .text   utf8    RDv襼 blocks=Basic Latin,CJK Unified Ideographs
5995  0x00049223 0x00449223 4   5    .text   ascii   0qBu
5996  0x0004928a 0x0044928a 4   5    .text   ascii   yphd
5997  0x00049297 0x00449297 4   5    .text   ascii   ?kg.
5998  0x000492f7 0x004492f7 5   7    .text   utf8    \vl2̐k blocks=Basic Latin,Combining Diacritical Marks
5999  0x00049313 0x00449313 7   8    .text   ascii   dc>| -2
6000  0x00049391 0x00449391 6   8    .text   utf8    ).FcTł blocks=Basic Latin,Latin Extended-A
6001  0x000493bd 0x004493bd 4   6    .text   utf8    8dZڌ blocks=Basic Latin,Arabic
6002  0x000493cb 0x004493cb 4   5    .text   ascii   <nu\t
6003  0x000493f5 0x004493f5 4   5    .text   ascii   _Cc1
6004  0x000493fd 0x004493fd 4   5    .text   ascii   L.G5
6005  0x00049422 0x00449422 6   8    .text   utf8    ͚<37G= blocks=Combining Diacritical Marks,Basic Latin
6006  0x00049432 0x00449432 6   8    .text   utf8    W,Jbcȏ blocks=Basic Latin,Latin Extended-B
6007  0x0004944d 0x0044944d 4   5    .text   ascii   pC\!
6008  0x00049458 0x00449458 4   6    .text   utf8    y<Jښ blocks=Basic Latin,Arabic
6009  0x000494ac 0x004494ac 4   5    .text   ascii   0>%Z
6010  0x000494da 0x004494da 4   5    .text   ascii   &1Y0
6011  0x0004951a 0x0044951a 4   5    .text   ascii   ^f~q
6012  0x0004955b 0x0044955b 7   9    .text   utf8    v\jV6Ĕk blocks=Basic Latin,Latin Extended-A
6013  0x000495b7 0x004495b7 4   5    .text   ascii   d8G:
6014  0x000495bc 0x004495bc 4   5    .text   ascii   qu{@
6015  0x000495d5 0x004495d5 4   6    .text   utf8    /6̬q blocks=Basic Latin,Combining Diacritical Marks
6016  0x000495f3 0x004495f3 5   6    .text   ascii   9GsoK
6017  0x00049614 0x00449614 7   8    .text   ascii   slM]T#p
6018  0x00049675 0x00449675 5   7    .text   utf8    ɖtP>[ blocks=IPA Extensions,Basic Latin
6019  0x000496a8 0x004496a8 4   5    .text   ascii   @PGA
6020  0x000497a6 0x004497a6 5   6    .text   ascii   lD#[0
6021  0x000497ac 0x004497ac 5   6    .text   ascii   @\b=2[
6022  0x000497d7 0x004497d7 4   5    .text   ascii   [,4U
6023  0x00049889 0x00449889 4   5    .text   ascii   \aglr
6024  0x00049895 0x00449895 4   5    .text   ascii   WJz{
6025  0x000498a0 0x004498a0 4   5    .text   ascii   hp\rW
6026  0x000498ae 0x004498ae 5   6    .text   ascii   o]*\e_
6027  0x000498c6 0x004498c6 5   6    .text   ascii   Za>t.
6028  0x000498d7 0x004498d7 6   7    .text   ascii   VaBg%v
6029  0x00049908 0x00449908 4   5    .text   ascii   @\tXA
6030  0x0004993f 0x0044993f 8   11   .text   utf8    ğՁ}Z6?hg blocks=Latin Extended-A,Armenian,Basic Latin
6031  0x00049987 0x00449987 5   7    .text   utf8    Uޞ9O; blocks=Basic Latin,Thaana
6032  0x00049a05 0x00449a05 6   7    .text   ascii    f796.
6033  0x00049a2e 0x00449a2e 4   6    .text   utf8    -/ڙv blocks=Basic Latin,Arabic
6034  0x00049a3b 0x00449a3b 4   5    .text   ascii   \fbsT
6035  0x00049a56 0x00449a56 5   7    .text   utf8    Â->=` blocks=Latin-1 Supplement,Basic Latin
6036  0x00049a79 0x00449a79 4   5    .text   ascii   ZXh;
