[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1781 0x0001e757 0x0041f357 4   5    CODE    ascii   ZYYd
1782 0x0001e76d 0x0041f36d 4   5    CODE    ascii   ZYYd
1783 0x0001e7ad 0x0041f3ad 4   5    CODE    ascii   ZYYd
1784 0x0001e7c5 0x0041f3c5 4   5    CODE    ascii   -\zC
1785 0x0001e814 0x0041f414 4   5    CODE    ascii   ZYYd
1786 0x0001e82d 0x0041f42d 4   5    CODE    ascii   -`zC
1787 0x0001e881 0x0041f481 18  19   CODE    ascii   ERegistryException
1788 0x0001e8f2 0x0041f4f2 11  12   CODE    ascii   \tTRegistryS
1789 0x0001e9d4 0x0041f5d4 6   8    CODE    utf8    ^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
1790 0x0001ea75 0x0041f675 4   6    CODE    utf8    ؋C\b; blocks=Arabic,Basic Latin
1791 0x0001eab9 0x0041f6b9 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
1792 0x0001eada 0x0041f6da 5   7    CODE    utf8    SV3ۉ] blocks=Basic Latin,Arabic
1793 0x0001ebc5 0x0041f7c5 4   5    CODE    ascii   ZYYd
1794 0x0001ebf8 0x0041f7f8 5   6    CODE    ascii   SVWUQ
1795 0x0001ec18 0x0041f818 5   6    CODE    ascii   D$\bPj
1796 0x0001ec41 0x0041f841 8   10   CODE    utf8    Z]_^[ÐSV blocks=Basic Latin,Latin-1 Supplement
1797 0x0001ec69 0x0041f869 5   7    CODE    utf8    YZ^[Ë blocks=Basic Latin,Latin-1 Supplement
1798 0x0001ec96 0x0041f896 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
1799 0x0001ec9c 0x0041f89c 5   6    CODE    ascii   SVWUQ
1800 0x0001ed0c 0x0041f90c 6   8    CODE    utf8    Z]_^[Ë blocks=Basic Latin,Latin-1 Supplement
1801 0x0001ed5c 0x0041f95c 4   5    CODE    ascii   \r|eC
1802 0x0001ed91 0x0041f991 4   5    CODE    ascii   E\fPW
1803 0x0001ee38 0x0041fa38 4   5    CODE    ascii   ZYYd
1804 0x0001ee51 0x0041fa51 4   5    CODE    ascii   -dzC
1805 0x0001ee71 0x0041fa71 4   5    CODE    ascii   ZYYd
1806 0x0001ef18 0x0041fb18 43  44   CODE    ascii   \Software\Microsoft\Windows\CurrentVersion\
1807 0x0001ef4c 0x0041fb4c 11  12   CODE    ascii   WinXpMemory
1808 0x0001ef60 0x0041fb60 9   10   CODE    ascii   Darklover
1809 0x0001efdb 0x0041fbdb 4   5    CODE    ascii   ZYYd
1810 0x0001f004 0x0041fc04 43  44   CODE    ascii   \Software\Microsoft\Windows\CurrentVersion\
1811 0x0001f038 0x0041fc38 11  12   CODE    ascii   WinXpMemory
1812 0x0001f05d 0x0041fc5d 4   5    CODE    ascii   ZYYd
1813 0x0001f0c6 0x0041fcc6 5   6    CODE    ascii   YZ_^[
1814 0x0001f0d2 0x0041fcd2 5   7    CODE    utf8    SV3ۉ] blocks=Basic Latin,Arabic
1815 0x0001f180 0x0041fd80 4   5    CODE    ascii   ZYYd
1816 0x0001f1c0 0x0041fdc0 6   7    CODE    ascii   D$\f+D$
1817 0x0001f1dc 0x0041fddc 4   5    CODE    ascii   D$\b+
1818 0x0001f1ee 0x0041fdee 5   7    CODE    utf8    SV3҉U blocks=Basic Latin,Cyrillic
1819 0x0001f23d 0x0041fe3d 4   7    CODE    utf8    3\nK]
1820 0x0001f27c 0x0041fe7c 4   5    CODE    ascii   ZYYd
1821 0x0001f29e 0x0041fe9e 5   6    CODE    ascii   ^[YY]
1822 0x0001f2bd 0x0041febd 4   5    CODE    ascii   ZYYd
1823 0x0001f343 0x0041ff43 4   5    CODE    ascii   t\vHt
1824 0x0001f457 0x00420057 4   5    CODE    ascii   ZYYd
1825 0x0001f488 0x00420088 11  12   CODE    ascii   Desconocido
1826 0x0001f49c 0x0042009c 14  15   CODE    ascii   Windows NT 4.0
1827 0x0001f4b4 0x004200b4 12  13   CODE    ascii   Windows 2000
1828 0x0001f4cc 0x004200cc 10  11   CODE    ascii   Windows XP
1829 0x0001f4e0 0x004200e0 19  20   CODE    ascii   Windows Server 2003
1830 0x0001f4fc 0x004200fc 13  14   CODE    ascii   Windows Vista
1831 0x0001f514 0x00420114 9   10   CODE    ascii   Windows 7
1832 0x0001f528 0x00420128 10  11   CODE    ascii   Windows 95
1833 0x0001f53c 0x0042013c 10  11   CODE    ascii   Windows 98
1834 0x0001f550 0x00420150 10  11   CODE    ascii   Windows Me
1835 0x0001f5a2 0x004201a2 4   5    CODE    ascii   ZYYd
1836 0x0001f5cc 0x004201cc 19  20   CODE    ascii   ProcessorNameString
1837 0x0001f5e8 0x004201e8 46  47   CODE    ascii   HARDWARE\DESCRIPTION\System\CentralProcessor\0
1838 0x0001f61c 0x0042021c 7   10   CODE    utf8    ĴSVW3҉U blocks=Latin Extended-A,Basic Latin,Cyrillic
1839 0x0001f62d 0x0042022d 9   14   CODE    utf8    U\tUĉUЉUԉU blocks=Basic Latin,Latin Extended-A,Cyrillic,Cyrillic Supplement
1840 0x0001f84f 0x0042044f 4   5    CODE    ascii   ZYYd
1841 0x0001f8dd 0x004204dd 7   8    CODE    ascii   QQQQSVW
1842 0x0001f924 0x00420524 4   7    CODE    utf8    +ȋy` blocks=Basic Latin,Latin Extended-B
1843 0x0001f984 0x00420584 4   5    CODE    ascii   ZYYd
1844 0x0001f9df 0x004205df 4   5    CODE    ascii   QSVW
1845 0x0001f9e7 0x004205e7 5   6    CODE    ascii   UhO\aB
1846 0x0001fa63 0x00420663 5   6    CODE    ascii   3hh\aB
1847 0x0001faa0 0x004206a0 5   6    CODE    ascii   3ht\aB
1848 0x0001fae7 0x004206e7 5   6    CODE    ascii   3ht\aB
1849 0x0001fb36 0x00420736 4   5    CODE    ascii   ZYYd
1850 0x0001fb3c 0x0042073c 4   5    CODE    ascii   hV\aB
1851 0x0001fb8c 0x0042078c 11  12   CODE    ascii    (hh:mm:ss)
1852 0x0001fbc5 0x004207c5 5   7    CODE    utf8    Z^[Í@ blocks=Basic Latin,Latin-1 Supplement
1853 0x0001fc10 0x00420810 5   6    CODE    ascii   Uhh\bB
1854 0x0001fc2c 0x0042082c 4   5    CODE    ascii   h|\bB
1855 0x0001fc4f 0x0042084f 4   5    CODE    ascii   ZYYd
1856 0x0001fc55 0x00420855 4   5    CODE    ascii   ho\bB
1857 0x0001fc6f 0x0042086f 4   5    CODE    ascii   [YY]
1858 0x0001fc86 0x00420886 4   6    CODE    utf8    S3҉U blocks=Basic Latin,Cyrillic
1859 0x0001fcb6 0x004208b6 4   5    CODE    ascii   ZYYd
1860 0x0001fcf1 0x004208f1 4   5    CODE    ascii   ZYYd
1861 0x0001fd1f 0x0042091f 4   5    CODE    ascii   hl\nB
1862 0x0001fd34 0x00420934 4   5    CODE    ascii   h|\nB
1863 0x0001fdc4 0x004209c4 4   5    CODE    ascii   h\f\vB
1864 0x0001fde8 0x004209e8 4   5    CODE    ascii   h,\vB
1865 0x0001fdfa 0x004209fa 4   5    CODE    ascii   h<\vB
1866 0x0001fe0c 0x00420a0c 4   5    CODE    ascii   hL\vB
1867 0x0001fe1e 0x00420a1e 4   5    CODE    ascii   h\\vB
1868 0x0001fe30 0x00420a30 4   5    CODE    ascii   hl\vB
1869 0x0001fe42 0x00420a42 4   5    CODE    ascii   h|\vB
1870 0x0001fe6c 0x00420a6c 12  13   CODE    ascii   kernel32.dll
1871 0x0001fe7c 0x00420a7c 24  25   CODE    ascii   CreateToolhelp32Snapshot
1872 0x0001fe98 0x00420a98 15  16   CODE    ascii   Heap32ListFirst
1873 0x0001fea8 0x00420aa8 14  15   CODE    ascii   Heap32ListNext
1874 0x0001feb8 0x00420ab8 11  12   CODE    ascii   Heap32First
1875 0x0001fec4 0x00420ac4 10  11   CODE    ascii   Heap32Next
1876 0x0001fed0 0x00420ad0 27  28   CODE    ascii   Toolhelp32ReadProcessMemory
1877 0x0001feec 0x00420aec 14  15   CODE    ascii   Process32First
1878 0x0001fefc 0x00420afc 13  14   CODE    ascii   Process32Next
1879 0x0001ff0c 0x00420b0c 15  16   CODE    ascii   Process32FirstW
1880 0x0001ff1c 0x00420b1c 14  15   CODE    ascii   Process32NextW
1881 0x0001ff2c 0x00420b2c 13  14   CODE    ascii   Thread32First
1882 0x0001ff3c 0x00420b3c 12  13   CODE    ascii   Thread32Next
1883 0x0001ff4c 0x00420b4c 13  14   CODE    ascii   Module32First
1884 0x0001ff5c 0x00420b5c 12  13   CODE    ascii   Module32Next
1885 0x0001ff6c 0x00420b6c 14  15   CODE    ascii   Module32FirstW
1886 0x0001ff7c 0x00420b7c 13  14   CODE    ascii   Module32NextW
1887 0x0001ff99 0x00420b99 4   5    CODE    ascii   t\vVS
1888 0x0001ffa8 0x00420ba8 5   7    CODE    utf8    ^[ÐSV blocks=Basic Latin,Latin-1 Supplement
1889 0x0001ffb9 0x00420bb9 4   5    CODE    ascii   t\vVS
1890 0x0001ffc8 0x00420bc8 5   7    CODE    utf8    ^[ÐSV blocks=Basic Latin,Latin-1 Supplement
1891 0x0001ffd9 0x00420bd9 4   5    CODE    ascii   t\vVS
1892 0x0001ffe8 0x00420be8 4   6    CODE    utf8    ^[ÐU blocks=Basic Latin,Latin-1 Supplement
1893 0x00020005 0x00420c05 4   5    CODE    ascii   ZYYd
1894 0x0002002c 0x00420c2c 11  12   CODE    ascii   exe.psidhsa
1895 0x00020040 0x00420c40 9   10   CODE    ascii   exe.ccgva
1896 0x00020054 0x00420c54 10  11   CODE    ascii   ExE.redips
1897 0x00020068 0x00420c68 7   8    CODE    ascii   exe.pva
1898 0x00020078 0x00420c78 12  13   CODE    ascii   exe.nrk23don
1899 0x00020090 0x00420c90 10  11   CODE    ascii   exe.ipapvd
1900 0x000200a4 0x00420ca4 12  13   CODE    ascii   exe.dleihscm
1901 0x000200bc 0x00420cbc 9   10   CODE    ascii   exe.nomla
1902 0x000200d0 0x00420cd0 9   10   CODE    ascii   exe.ppacc
1903 0x000200e4 0x00420ce4 10  11   CODE    ascii   exe.23mssf
1904 0x000200f8 0x00420cf8 8   9    CODE    ascii   exe.iuge
1905 0x0002010c 0x00420d0c 15  16   CODE    ascii   Avast AntiviruS
1906 0x00020124 0x00420d24 13  14   CODE    ascii   AVG Antivirus
1907 0x0002013c 0x00420d3c 6   7    CODE    ascii   Dr.Web
1908 0x0002014c 0x00420d4c 19  20   CODE    ascii   Kaspersky Antivirus
1909 0x00020168 0x00420d68 19  20   CODE    ascii   Nod32 Antivirus 2.x
1910 0x00020184 0x00420d84 20  21   CODE    ascii   Authentium Antivirus
1911 0x000201a4 0x00420da4 16  17   CODE    ascii   McAfee VirusScan
1912 0x000201c0 0x00420dc0 6   7    CODE    ascii   Sophos
1913 0x000201d0 0x00420dd0 15  16   CODE    ascii   Symantec/Norton
1914 0x000201e8 0x00420de8 8   9    CODE    ascii   F-Secure
1915 0x000201fc 0x00420dfc 19  20   CODE    ascii   NOD32 Antivirus 3.x
1916 0x00020218 0x00420e18 9   10   CODE    ascii   exe.nomsv
1917 0x0002022c 0x00420e2c 7   8    CODE    ascii   exe.fpc
1918 0x0002023c 0x00420e3c 6   7    CODE    ascii   exe.ac
1919 0x0002024c 0x00420e4c 11  12   CODE    ascii   exe.litubnt
1920 0x00020260 0x00420e60 10  11   CODE    ascii   exe.gsmfpn
1921 0x00020274 0x00420e74 11  12   CODE    ascii   exe.tsoptuo
1922 0x00020288 0x00420e88 9   10   CODE    ascii   exe.vrspt
1923 0x0002029c 0x00420e9c 12  13   CODE    ascii   exe.serifvap
1924 0x000202b4 0x00420eb4 10  11   CODE    ascii   exe.ss4fpk
1925 0x000202c8 0x00420ec8 10  11   CODE    ascii   exe.wfsrep
1926 0x000202dc 0x00420edc 10  11   CODE    ascii   exe.vressv
1927 0x000202f0 0x00420ef0 7   8    CODE    ascii   exe.cms
1928 0x00020300 0x00420f00 7   8    CODE    ascii   exe.wfp
1929 0x00020310 0x00420f10 10  11   CODE    ascii   exe.vrswfr
1930 0x00020324 0x00420f24 11  12   CODE    ascii   exe.praitna
1931 0x00020338 0x00420f38 9   10   CODE    ascii   ZoneAlarm
1932 0x0002034c 0x00420f4c 15  16   CODE    ascii   Comodo Firewall
1933 0x00020364 0x00420f64 18  19   CODE    ascii   eTrust EZ Firewall
1934 0x00020380 0x00420f80 26  27   CODE    ascii   F-Secure Internet Security
1935 0x000203a4 0x00420fa4 24  25   CODE    ascii   McAfee Personal Firewall
1936 0x000203c8 0x00420fc8 24  25   CODE    ascii   Norman Personal Firewall
1937 0x000203ec 0x00420fec 25  26   CODE    ascii   Outpost Personal Firewall
1938 0x00020410 0x00421010 29  30   CODE    ascii   Panda Internet Seciruty Suite
1939 0x00020438 0x00421038 25  26   CODE    ascii   Panda Anti-Virus/Firewall
1940 0x0002045c 0x0042105c 23  24   CODE    ascii   Kerio Personal Firewall
1941 0x0002047c 0x0042107c 22  23   CODE    ascii   Tiny Personal Firewall
1942 0x0002049c 0x0042109c 34  35   CODE    ascii   BitDefender / Bull Guard Antivirus
1943 0x000204c8 0x004210c8 24  25   CODE    ascii   Sygate Personal Firewall
1944 0x000204ec 0x004210ec 20  21   CODE    ascii   Athena 2006 Firewall
1945 0x0002050c 0x0042110c 15  16   CODE    ascii   Rising Firewall
1946 0x00020524 0x00421124 15  16   CODE    ascii   360Safe AntiArp
1947 0x0002053c 0x0042113c 17  18   CODE    ascii   ExE.ecivreserawmv
1948 0x00020558 0x00421158 10  11   CODE    ascii   exe.peinur
1949 0x0002056c 0x0042116c 11  12   CODE    ascii   exe.yart063
1950 0x00020580 0x00421180 15  16   CODE    ascii   exe.yartxobefas
1951 0x00020598 0x00421198 18  19   CODE    ascii   VMware Workstation
1952 0x000205b4 0x004211b4 18  19   CODE    ascii   Rising AntiSpyware
1953 0x000205d0 0x004211d0 7   8    CODE    ascii   360Safe
1954 0x000205e0 0x004211e0 10  11   CODE    ascii   360Safebox
1955 0x0002090e 0x0042150e 4   5    CODE    ascii   ZYYd
1956 0x00020a81 0x00421681 4   5    CODE    ascii   ZYYd
1957 0x00020abc 0x004216bc 6   8    CODE    utf8    ; s\b3\t
1958 0x00020c6c 0x0042186c 9   10   CODE    ascii   PSAPI.dll
1959 0x00020c78 0x00421878 13  14   CODE    ascii   EnumProcesses
1960 0x00020c88 0x00421888 18  19   CODE    ascii   EnumProcessModules
1961 0x00020c9c 0x0042189c 18  19   CODE    ascii   GetModuleBaseNameA
1962 0x00020cb0 0x004218b0 20  21   CODE    ascii   GetModuleFileNameExA
1963 0x00020cc8 0x004218c8 18  19   CODE    ascii   GetModuleBaseNameW
1964 0x00020cdc 0x004218dc 20  21   CODE    ascii   GetModuleFileNameExW
1965 0x00020cf4 0x004218f4 20  21   CODE    ascii   GetModuleInformation
1966 0x00020d0c 0x0042190c 15  16   CODE    ascii   EmptyWorkingSet
1967 0x00020d1c 0x0042191c 15  16   CODE    ascii   QueryWorkingSet
1968 0x00020d2c 0x0042192c 27  28   CODE    ascii   InitializeProcessForWsWatch
1969 0x00020d48 0x00421948 18  19   CODE    ascii   GetMappedFileNameA
1970 0x00020d5c 0x0042195c 24  25   CODE    ascii   GetDeviceDriverBaseNameA
1971 0x00020d78 0x00421978 24  25   CODE    ascii   GetDeviceDriverFileNameA
1972 0x00020d94 0x00421994 18  19   CODE    ascii   GetMappedFileNameW
1973 0x00020da8 0x004219a8 24  25   CODE    ascii   GetDeviceDriverBaseNameW
1974 0x00020dc4 0x004219c4 24  25   CODE    ascii   GetDeviceDriverFileNameW
1975 0x00020de0 0x004219e0 17  18   CODE    ascii   EnumDeviceDrivers
1976 0x00020df4 0x004219f4 20  21   CODE    ascii   GetProcessMemoryInfo
1977 0x00020e22 0x00421a22 6   7    CODE    ascii   E\bPWVS
1978 0x00020e32 0x00421a32 4   5    CODE    ascii   _^[]
1979 0x00020e55 0x00421a55 4   5    CODE    ascii   ZYYd
1980 0x00020e7d 0x00421a7d 5   7    CODE    utf8    SVW3҉ blocks=Basic Latin,Cyrillic
1981 0x00020fde 0x00421bde 4   5    CODE    ascii   ZYYd
1982 0x00021017 0x00421c17 4   5    CODE    ascii   QSVW
1983 0x00021069 0x00421c69 4   5    CODE    ascii   ZYYd
1984 0x0002107f 0x00421c7f 4   5    CODE    ascii   ZYYd
1985 0x0002109c 0x00421c9c 6   8    CODE    utf8    _^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
1986 0x0002112b 0x00421d2b 4   5    CODE    ascii   ZYYd
1987 0x00021147 0x00421d47 4   5    CODE    ascii   ^[Y]
1988 0x00021171 0x00421d71 4   5    CODE    ascii   ZYYd
1989 0x00021196 0x00421d96 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
1990 0x000211c2 0x00421dc2 4   5    CODE    ascii   Pj\bj
1991 0x0002128a 0x00421e8a 4   5    CODE    ascii   ZYYd
1992 0x000212d8 0x00421ed8 7   10   CODE    utf8    ļSVW3ɉM blocks=Latin Extended-A,Basic Latin,Latin Extended-B
1993 0x000212e3 0x00421ee3 9   14   CODE    utf8    MĉM\tM̉MȉM blocks=Basic Latin,Latin Extended-A,Combining Diacritical Marks,Latin Extended-B
1994 0x000212f2 0x00421ef2 5   8    CODE    utf8    M܉M؉U blocks=Basic Latin,Syriac,Arabic
1995 0x000213ee 0x00421fee 6   7    CODE    ascii   uHhD"B
1996 0x0002140b 0x0042200b 4   5    CODE    ascii   hP"B
1997 0x00021421 0x00422021 4   5    CODE    ascii   h\"B
1998 0x00021445 0x00422045 5   7    CODE    utf8    Eܺh"B blocks=Basic Latin,Syriac
1999 0x0002154b 0x0042214b 4   7    CODE    utf8    Eຼ"B blocks=Basic Latin,Lao
2000 0x000215b9 0x004221b9 4   5    CODE    ascii   hX#B
2001 0x000215c1 0x004221c1 4   5    CODE    ascii   hX#B
2002 0x000215c9 0x004221c9 4   5    CODE    ascii   hX#B
2003 0x000215f1 0x004221f1 4   5    CODE    ascii   ZYYd
2004 0x000215f7 0x004221f7 4   5    CODE    ascii   h&"B
2005 0x00021668 0x00422268 14  15   CODE    ascii   (No hay datos)
2006 0x0002168c 0x0042228c 16  17   CODE    ascii   (Predeterminado)
2007 0x000216a8 0x004222a8 10  11   CODE    ascii   REG_BINARY
2008 0x000216bc 0x004222bc 9   10   CODE    ascii   REG_DWORD
2009 0x000216d0 0x004222d0 20  21   CODE    ascii   REG_DWORD_BIG_ENDIAN
2010 0x000216f0 0x004222f0 13  14   CODE    ascii   REG_EXPAND_SZ
2011 0x00021708 0x00422308 8   9    CODE    ascii   REG_LINK
2012 0x0002171c 0x0042231c 12  13   CODE    ascii   REG_MULTI_SZ
2013 0x00021734 0x00422334 8   9    CODE    ascii   REG_NONE
2014 0x00021748 0x00422348 6   7    CODE    ascii   REG_SZ
2015 0x000217ec 0x004223ec 4   5    CODE    ascii   ZYYd
2016 0x000217f2 0x004223f2 4   5    CODE    ascii   h\a$B
2017 0x00021818 0x00422418 17  18   CODE    ascii   HKEY_CLASSES_ROOT
2018 0x00021834 0x00422434 19  20   CODE    ascii   HKEY_CURRENT_CONFIG
2019 0x00021850 0x00422450 17  18   CODE    ascii   HKEY_CURRENT_USER
2020 0x0002186c 0x0042246c 18  19   CODE    ascii   HKEY_LOCAL_MACHINE
2021 0x00021888 0x00422488 10  11   CODE    ascii   HKEY_USERS
2022 0x00021a02 0x00422602 4   5    CODE    ascii   h('B
2023 0x00021af0 0x004226f0 4   5    CODE    ascii   ZYYd
2024 0x00021b50 0x00422750 13  14   CODE    ascii   \fUnitRegistro
2025 0x00021d1f 0x0042291f 5   8    CODE    utf8    3\tE܋E blocks=Basic Latin,Syriac
2026 0x00021d60 0x00422960 4   6    CODE    utf8    I3ҋE blocks=Basic Latin,Cyrillic
2027 0x00021eaa 0x00422aaa 4   5    CODE    ascii   Pj\aj
2028 0x00021ed5 0x00422ad5 4   5    CODE    ascii   ZYYd
2029 0x00021f38 0x00422b38 5   6    CODE    ascii   clave
2030 0x00021f48 0x00422b48 6   7    CODE    ascii   REG_SZ
2031 0x00021f58 0x00422b58 10  11   CODE    ascii   REG_BINARY
2032 0x00021f78 0x00422b78 9   10   CODE    ascii   REG_DWORD
2033 0x00021f8c 0x00422b8c 12  13   CODE    ascii   REG_MULTI_SZ
2034 0x00021fdf 0x00422bdf 5   6    CODE    ascii   Uh*-B
2035 0x00021fea 0x00422bea 4   6    CODE    utf8     3ۍE blocks=Basic Latin,Arabic
2036 0x0002203c 0x00422c3c 5   7    CODE    utf8    UܸD-B blocks=Basic Latin,Syriac
2037 0x00022109 0x00422d09 4   5    CODE    ascii   ZYYd
2038 0x0002210f 0x00422d0f 4   5    CODE    ascii   h1-B
2039 0x0002214d 0x00422d4d 5   6    CODE    ascii   Uhm-B
2040 0x00022161 0x00422d61 4   5    CODE    ascii   ZYYd
2041 0x00022167 0x00422d67 4   5    CODE    ascii   ht-B
2042 0x000221cc 0x00422dcc 14  15   CODE    ascii   \rTClientSocket
2043 0x00022280 0x00422e80 4   5    CODE    ascii   ZYYd
2044 0x000222c4 0x00422ec4 4   5    CODE    ascii   SVWQ
2045 0x000222d1 0x00422ed1 4   5    CODE    ascii   u"Th
2046 0x00022321 0x00422f21 4   5    CODE    ascii   <$3'
2047 0x00022327 0x00422f27 4   6    CODE    utf8    u\a3\t
2048 0x00022339 0x00422f39 8   10   CODE    utf8    $Z_^[ÐSV blocks=Basic Latin,Latin-1 Supplement
2049 0x00022372 0x00422f72 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
2050 0x00022390 0x00422f90 5   7    CODE    utf8    ^[ÐSV blocks=Basic Latin,Latin-1 Supplement
2051 0x000223e0 0x00422fe0 4   5    CODE    ascii   ZYYd
2052 0x00022492 0x00423092 12  13   CODE    ascii   \vTThreadInfo
2053 0x000224db 0x004230db 5   6    CODE    ascii   UhB1B
2054 0x00022521 0x00423121 4   5    CODE    ascii   ZYYd
2055 0x00022527 0x00423127 4   5    CODE    ascii   hI1B
2056 0x00022560 0x00423160 4   5    CODE    ascii   ^[Y]
2057 0x0002258d 0x0042318d 4   5    CODE    ascii   ?\nt'
2058 0x000225b4 0x004231b4 5   7    CODE    utf8    ?\nuٍU blocks=Basic Latin,Arabic
2059 0x000225ce 0x004231ce 4   5    CODE    ascii   ZYYd
2060 0x000225fd 0x004231fd 9   10   CODE    ascii   QQQQQSVW3
2061 0x00022607 0x00423207 5   6    CODE    ascii   Uh=3B
2062 0x00022648 0x00423248 4   5    CODE    ascii   hT3B
2063 0x0002264e 0x0042324e 6   7    CODE    ascii   s\fh`3B
2064 0x000226a2 0x004232a2 4   5    CODE    ascii   h`3B
2065 0x000226db 0x004232db 4   5    CODE    ascii   h`3B
2066 0x00022710 0x00423310 4   5    CODE    ascii   ZYYd
2067 0x00022724 0x00423324 4   5    CODE    ascii   ZYYd
2068 0x0002272a 0x0042332a 4   5    CODE    ascii   hD3B
2069 0x0002276c 0x0042336c 8   9    CODE    ascii   SENDFILE
2070 0x000227ad 0x004233ad 5   6    CODE    ascii   Uhl4B
2071 0x00022864 0x00423464 4   5    CODE    ascii   ZYYd
2072 0x00022888 0x00423488 4   5    CODE    ascii   ZYYd
2073 0x000228d8 0x004234d8 5   6    CODE    ascii   UhU5B
2074 0x0002294d 0x0042354d 4   5    CODE    ascii   ZYYd
2075 0x000229bd 0x004235bd 4   5    CODE    ascii   ZYYd
2076 0x00022a6d 0x0042366d 4   5    CODE    ascii   ZYYd
2077 0x00022abd 0x004236bd 4   5    CODE    ascii   ZYYd
2078 0x00022ae5 0x004236e5 5   7    CODE    utf8    SVW3\t
2079 0x00022d80 0x00423980 4   5    CODE    ascii   ZYYd
2080 0x00022db4 0x004239b4 7   8    CODE    ascii   COMSPEC
2081 0x00022dc4 0x004239c4 6   7    CODE    ascii   SHELL|
2082 0x00022df8 0x004239f8 17  18   CODE    ascii   SHELL|DESACTIVAR\n
2083 0x00022e2d 0x00423a2d 5   6    CODE    ascii   UhM:B
2084 0x00022e41 0x00423a41 4   5    CODE    ascii   ZYYd
2085 0x00022e47 0x00423a47 4   5    CODE    ascii   hT:B
2086 0x00022e68 0x00423a68 4   5    CODE    ascii   h\f:B
2087 0x00022eb0 0x00423ab0 4   6    CODE    utf8    ú(;B blocks=Latin-1 Supplement,Basic Latin
2088 0x00022ebb 0x00423abb 6   9    CODE    utf8    [Ëú@;B blocks=Basic Latin,Latin-1 Supplement
2089 0x00022ec9 0x00423ac9 6   9    CODE    utf8    [ËúX;B blocks=Basic Latin,Latin-1 Supplement
2090 0x00022ed7 0x00423ad7 6   9    CODE    utf8    [Ëúp;B blocks=Basic Latin,Latin-1 Supplement
2091 0x00022f28 0x00423b28 15  16   CODE    ascii   SERVICE_STOPPED
2092 0x00022f40 0x00423b40 15  16   CODE    ascii   SERVICE_RUNNING
2093 0x00022f58 0x00423b58 14  15   CODE    ascii   SERVICE_PAUSED
2094 0x00022f70 0x00423b70 21  22   CODE    ascii   SERVICE_START_PENDING
2095 0x00022f90 0x00423b90 20  21   CODE    ascii   SERVICE_STOP_PENDING
2096 0x00022fb0 0x00423bb0 24  25   CODE    ascii   SERVICE_CONTINUE_PENDING
2097 0x00022fd4 0x00423bd4 21  22   CODE    ascii   SERVICE_PAUSE_PENDING
2098 0x00022ff4 0x00423bf4 6   7    CODE    ascii   UNKNOW
2099 0x000230b6 0x00423cb6 4   5    CODE    ascii   ZYYd
2100 0x000230d8 0x00423cd8 14  15   CODE    ascii   OpenSCManagerA
2101 0x000230e8 0x00423ce8 12  13   CODE    ascii   advapi32.dll
2102 0x000230f8 0x00423cf8 22  23   CODE    ascii   GetServiceDisplayNameA
2103 0x00023142 0x00423d42 4   6    CODE    utf8     3\tE
2104 0x0002314d 0x00423d4d 4   5    CODE    ascii   h >B
2105 0x00023152 0x00423d52 4   5    CODE    ascii   h0>B
2106 0x000231fa 0x00423dfa 4   5    CODE    ascii   ZYYd
2107 0x00023220 0x00423e20 14  15   CODE    ascii   OpenSCManagerA
2108 0x00023230 0x00423e30 12  13   CODE    ascii   advapi32.dll
2109 0x00023243 0x00423e43 4   5    CODE    ascii   QSVW
2110 0x000232c3 0x00423ec3 4   5    CODE    ascii   ZYYd
2111 0x000232e0 0x00423ee0 5   6    CODE    ascii   _^[Y]
2112 0x000232e8 0x00423ee8 14  15   CODE    ascii   OpenSCManagerA
2113 0x000232f8 0x00423ef8 12  13   CODE    ascii   advapi32.dll
2114 0x00023324 0x00423f24 5   7    CODE    utf8    SVW3҉ blocks=Basic Latin,Cyrillic
2115 0x00023488 0x00424088 4   5    CODE    ascii   ZYYd
2116 0x000234b4 0x004240b4 14  15   CODE    ascii   OpenSCManagerA
2117 0x000234c4 0x004240c4 12  13   CODE    ascii   advapi32.dll
2118 0x00023566 0x00424166 5   11   CODE    utf16le jjjjj
2119 0x000235b8 0x004241b8 4   5    CODE    ascii   ZYYd
2120 0x000235e0 0x004241e0 14  15   CODE    ascii   OpenSCManagerA
2121 0x000235f0 0x004241f0 12  13   CODE    ascii   advapi32.dll
2122 0x00023605 0x00424205 5   6    CODE    ascii   Uh%BB
2123 0x00023619 0x00424219 4   5    CODE    ascii   ZYYd
2124 0x0002361f 0x0042421f 4   5    CODE    ascii   h,BB
2125 0x00023679 0x00424279 4   5    CODE    ascii   ZYYd
2126 0x0002369e 0x0042429e 6   7    CODE    ascii   TColor
2127 0x000236fd 0x004242fd 15  16   CODE    ascii   EInvalidGraphic
2128 0x00023711 0x00424311 11  12   CODE    ascii   \nTFontPitch
