[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
61   0x000010ae 0x00401cae 5   7    CODE    utf8    3#$vC
62   0x00001133 0x00401d33 4   5    CODE    ascii   ZYYd
63   0x0000113f 0x00401d3f 4   5    CODE    ascii   =MpC
64   0x00001163 0x00401d63 5   7    CODE    utf8    YY]ÐS blocks=Basic Latin,Latin-1 Supplement
65   0x000011b5 0x00401db5 4   5    CODE    ascii   \r$vC
66   0x000011f5 0x00401df5 5   7    CODE    utf8    YZ[Í@ blocks=Basic Latin,Latin-1 Supplement
67   0x00001317 0x00401f17 4   6    CODE    utf8    r\b+Ɖ blocks=Basic Latin,Latin Extended-B
68   0x00001320 0x00401f20 6   7    CODE    ascii   $;p\bt\n
69   0x00001379 0x00401f79 5   7    CODE    utf8    Z^[Í@ blocks=Basic Latin,Latin-1 Supplement
70   0x00001380 0x00401f80 4   5    CODE    ascii   SVWU
71   0x000013ab 0x00401fab 4   6    CODE    utf8    ǋT$\b blocks=Latin Extended-B,Basic Latin
72   0x000013b4 0x00401fb4 5   8    CODE    utf8    Ѝ\f.+у blocks=Cyrillic,Basic Latin
73   0x00001426 0x00402026 4   6    CODE    utf8    ԋD$\b blocks=Cyrillic Supplement,Basic Latin
74   0x00001436 0x00402036 5   6    CODE    ascii   \f]_^[
75   0x0000152f 0x0040212f 4   6    CODE    utf8    \f^[Ð blocks=Basic Latin,Latin-1 Supplement
76   0x0000156f 0x0040216f 5   7    CODE    utf8    3# vC
77   0x000015c8 0x004021c8 4   5    CODE    ascii   t$\f;
78   0x00001605 0x00402205 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
79   0x00001633 0x00402233 6   8    CODE    utf8    YZ[ÐSV blocks=Basic Latin,Latin-1 Supplement
80   0x00001664 0x00402264 6   8    CODE    utf8    YZ^[Í@ blocks=Basic Latin,Latin-1 Supplement
81   0x00001685 0x00402285 4   5    CODE    ascii   \r$vC
82   0x00001693 0x00402293 4   5    CODE    ascii   u\b@=
83   0x000016a4 0x004022a4 4   5    CODE    ascii   SVWU
