Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
47  0x000102a8 0x004102a8 4   5    .rodata ascii A??~
48  0x000102c0 0x004102c0 4   5    .rodata ascii \44h
49  0x000102f0 0x004102f0 4   5    .rodata ascii S11b
50  0x00010310 0x00410310 4   5    .rodata ascii e##F
51  0x00010368 0x00410368 4   5    .rodata ascii i''N
52  0x00010390 0x00410390 4   5    .rodata ascii t,,X
53  0x000103a0 0x004103a0 4   5    .rodata ascii -\e\e6
54  0x000103c8 0x004103c8 4   5    .rodata ascii M;;v
55  0x000103e0 0x004103e0 4   5    .rodata ascii {))R
56  0x000103f0 0x004103f0 4   5    .rodata ascii q//^
57  0x00010420 0x00410420 4   5    .rodata ascii `  @
58  0x00010458 0x00410458 4   5    .rodata ascii K99r
59  0x000104b0 0x004104b0 4   5    .rodata ascii U33f
60  0x000104e8 0x004104e8 4   5    .rodata ascii D<<x
61  0x00010530 0x00410530 4   5    .rodata ascii H88p
62  0x00010558 0x00410558 4   5    .rodata ascii c!!B
63  0x000105d8 0x004105d8 4   5    .rodata ascii G==z
64  0x00010620 0x00410620 4   5    .rodata ascii f""D
65  0x00010628 0x00410628 4   5    .rodata ascii ~**T
66  0x00010688 0x00410688 4   5    .rodata ascii V22d
67  0x00010690 0x00410690 4   5    .rodata ascii N::t
68  0x000106b0 0x004106b0 4   5    .rodata ascii l$$H
69  0x00010710 0x00410710 4   5    .rodata ascii Y77n
70  0x00010790 0x00410790 4   5    .rodata ascii o%%J
71  0x00010798 0x00410798 4   5    .rodata ascii r..\
72  0x00010808 0x00410808 4   5    .rodata ascii B>>|
73  0x00010848 0x00410848 4   5    .rodata ascii _55j
74  0x000108f0 0x004108f0 4   5    .rodata ascii x((P
75  0x00010950 0x00410950 4   5    .rodata ascii w--Z
76  0x000109c0 0x004109c0 4   5    .rodata ascii 00`P
77  0x000109d8 0x004109d8 4   5    .rodata ascii ++V}
78  0x00010a98 0x00410a98 4   5    .rodata ascii &&Lj
79  0x00010aa0 0x00410aa0 4   5    .rodata ascii 66lZ
80  0x00010aa8 0x00410aa8 4   5    .rodata ascii ??~A
81  0x00010ac0 0x00410ac0 4   5    .rodata ascii 44h\
82  0x00010af0 0x00410af0 4   5    .rodata ascii 11bS
83  0x00010b10 0x00410b10 4   5    .rodata ascii ##Fe
84  0x00010b68 0x00410b68 4   5    .rodata ascii ''Ni
85  0x00010b90 0x00410b90 4   5    .rodata ascii ,,Xt
86  0x00010ba0 0x00410ba0 4   5    .rodata ascii \e\e6-
87  0x00010bc8 0x00410bc8 4   5    .rodata ascii ;;vM
88  0x00010be0 0x00410be0 4   5    .rodata ascii ))R{
89  0x00010bf0 0x00410bf0 4   5    .rodata ascii //^q
90  0x00010c20 0x00410c20 4   5    .rodata ascii   @`
91  0x00010c58 0x00410c58 4   5    .rodata ascii 99rK
92  0x00010cb0 0x00410cb0 4   5    .rodata ascii 33fU
93  0x00010ce8 0x00410ce8 4   5    .rodata ascii <<xD
94  0x00010d30 0x00410d30 4   5    .rodata ascii 88pH
95  0x00010d58 0x00410d58 4   5    .rodata ascii !!Bc
96  0x00010dd8 0x00410dd8 4   5    .rodata ascii ==zG
97  0x00010e20 0x00410e20 4   5    .rodata ascii ""Df
98  0x00010e28 0x00410e28 4   5    .rodata ascii **T~
99  0x00010e88 0x00410e88 4   5    .rodata ascii 22dV
100 0x00010e90 0x00410e90 4   5    .rodata ascii ::tN
101 0x00010eb0 0x00410eb0 4   5    .rodata ascii $$Hl
102 0x00010f10 0x00410f10 4   5    .rodata ascii 77nY
103 0x00010f90 0x00410f90 4   5    .rodata ascii %%Jo
104 0x00010f98 0x00410f98 4   5    .rodata ascii ..\r
105 0x00011008 0x00411008 4   5    .rodata ascii >>|B
106 0x00011048 0x00411048 4   5    .rodata ascii 55j_
107 0x000110f0 0x004110f0 4   5    .rodata ascii ((Px
108 0x00011150 0x00411150 4   5    .rodata ascii --Zw
109 0x000111c0 0x004111c0 4   5    .rodata ascii 0`P0
110 0x000111d8 0x004111d8 4   5    .rodata ascii +V}+
111 0x00011298 0x00411298 4   5    .rodata ascii &Lj&
112 0x000112a0 0x004112a0 4   5    .rodata ascii 6lZ6
113 0x000112a8 0x004112a8 4   5    .rodata ascii ?~A?
114 0x000112c0 0x004112c0 4   5    .rodata ascii 4h\4
115 0x000112f0 0x004112f0 4   5    .rodata ascii 1bS1
116 0x00011310 0x00411310 4   5    .rodata ascii #Fe#
117 0x00011368 0x00411368 4   5    .rodata ascii 'Ni'
118 0x00011390 0x00411390 4   5    .rodata ascii ,Xt,
119 0x000113a0 0x004113a0 4   5    .rodata ascii \e6-\e
120 0x000113c8 0x004113c8 4   5    .rodata ascii ;vM;
121 0x000113e0 0x004113e0 4   5    .rodata ascii )R{)
122 0x000113f0 0x004113f0 4   5    .rodata ascii /^q/
123 0x00011420 0x00411420 4   5    .rodata ascii  @` 
124 0x00011458 0x00411458 4   5    .rodata ascii 9rK9
125 0x000114b0 0x004114b0 4   5    .rodata ascii 3fU3
126 0x000114e8 0x004114e8 4   5    .rodata ascii <xD<
127 0x00011530 0x00411530 4   5    .rodata ascii 8pH8
128 0x00011558 0x00411558 4   5    .rodata ascii !Bc!
129 0x000115d8 0x004115d8 4   5    .rodata ascii =zG=
130 0x00011620 0x00411620 4   5    .rodata ascii "Df"
131 0x00011628 0x00411628 4   5    .rodata ascii *T~*
