[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
636  0x0000d67e 0x0040e27e 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
637  0x0000d6a0 0x0040e2a0 4   6    CODE    utf8     3ۋU blocks=Basic Latin,Arabic
638  0x0000d700 0x0040e300 4   9    CODE    utf16le jjjj
639  0x0000d72a 0x0040e32a 4   5    CODE    ascii   ZYYd
640  0x0000d76d 0x0040e36d 4   5    CODE    ascii   ZYYd
641  0x0000d82a 0x0040e42a 4   5    CODE    ascii   ZYYd
642  0x0000d848 0x0040e448 5   9    CODE    utf8    ]Ë\vȺh blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
643  0x0000d868 0x0040e468 72  73   CODE    ascii   Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\AppData
644  0x0000d8b9 0x0040e4b9 4   5    CODE    ascii   QQQQ
645  0x0000d9cc 0x0040e5cc 4   5    CODE    ascii   ZYYd
646  0x0000da04 0x0040e604 10  11   CODE    ascii   !!!!<own>!
647  0x0000da30 0x0040e630 6   7    CODE    ascii   Winbox
648  0x0000da3b 0x0040e63b 5   11   CODE    utf16le jjjjj
649  0x0000dab0 0x0040e6b0 4   6    CODE    utf8    I3ҋE blocks=Basic Latin,Cyrillic
650  0x0000db08 0x0040e708 4   5    CODE    ascii   ZYYd
651  0x0000db36 0x0040e736 4   6    CODE    utf8    S3҉U blocks=Basic Latin,Cyrillic
652  0x0000db54 0x0040e754 4   6    CODE    utf8     3ۍU blocks=Basic Latin,Arabic
653  0x0000db77 0x0040e777 4   5    CODE    ascii   ZYYd
654  0x0000db99 0x0040e799 4   5    CODE    ascii   [YY]
655  0x0000dba8 0x0040e7a8 54  55   CODE    ascii   abcdefghijklmnopqrstuvwxyz1234567890,.:@#$%^&*(){}~<>?
656  0x0000dbe9 0x0040e7e9 10  11   CODE    ascii   QQQQQQQSVW
657  0x0000dcdc 0x0040e8dc 4   5    CODE    ascii   ZYYd
658  0x0000dd0c 0x0040e90c 30  31   CODE    ascii   \Mikrotik\Winbox\Addresses.cdb
659  0x0000dd69 0x0040e969 4   5    CODE    ascii   ZYYd
660  0x0000dda1 0x0040e9a1 4   5    CODE    ascii   ZYYd
661  0x0000de7a 0x0040ea7a 4   5    CODE    ascii   ZYYd
662  0x0000dee6 0x0040eae6 4   5    CODE    ascii   ZYYd
663  0x0000df52 0x0040eb52 4   5    CODE    ascii   ZYYd
664  0x0000dfbe 0x0040ebbe 4   5    CODE    ascii   ZYYd
665  0x0000e02a 0x0040ec2a 4   5    CODE    ascii   ZYYd
666  0x0000e056 0x0040ec56 4   6    CODE    utf8    S3\tE
667  0x0000e0a9 0x0040eca9 4   5    CODE    ascii   ZYYd
668  0x0000e0c6 0x0040ecc6 4   5    CODE    ascii   [YY]
669  0x0000e11c 0x0040ed1c 4   5    CODE    ascii   ZYYd
670  0x0000e18c 0x0040ed8c 4   5    CODE    ascii   ZYYd
671  0x0000e200 0x0040ee00 4   5    CODE    ascii   ZYYd
672  0x0000e276 0x0040ee76 6   8    CODE    utf8    ^[Y]ÐU blocks=Basic Latin,Latin-1 Supplement
673  0x0000e474 0x0040f074 12  13   CODE    ascii   oleaut32.dll
674  0x0000e484 0x0040f084 19  20   CODE    ascii   VariantChangeTypeEx
675  0x0000e498 0x0040f098 6   7    CODE    ascii   VarNeg
676  0x0000e4a0 0x0040f0a0 6   7    CODE    ascii   VarNot
677  0x0000e4a8 0x0040f0a8 6   7    CODE    ascii   VarAdd
678  0x0000e4b0 0x0040f0b0 6   7    CODE    ascii   VarSub
679  0x0000e4b8 0x0040f0b8 6   7    CODE    ascii   VarMul
680  0x0000e4c0 0x0040f0c0 6   7    CODE    ascii   VarDiv
681  0x0000e4c8 0x0040f0c8 7   8    CODE    ascii   VarIdiv
682  0x0000e4d0 0x0040f0d0 6   7    CODE    ascii   VarMod
683  0x0000e4d8 0x0040f0d8 6   7    CODE    ascii   VarAnd
684  0x0000e4e0 0x0040f0e0 5   6    CODE    ascii   VarOr
685  0x0000e4e8 0x0040f0e8 6   7    CODE    ascii   VarXor
686  0x0000e4f0 0x0040f0f0 6   7    CODE    ascii   VarCmp
687  0x0000e4f8 0x0040f0f8 12  13   CODE    ascii   VarI4FromStr
688  0x0000e508 0x0040f108 12  13   CODE    ascii   VarR4FromStr
689  0x0000e518 0x0040f118 12  13   CODE    ascii   VarR8FromStr
690  0x0000e528 0x0040f128 14  15   CODE    ascii   VarDateFromStr
691  0x0000e538 0x0040f138 12  13   CODE    ascii   VarCyFromStr
692  0x0000e548 0x0040f148 14  15   CODE    ascii   VarBoolFromStr
693  0x0000e558 0x0040f158 13  14   CODE    ascii   VarBstrFromCy
694  0x0000e568 0x0040f168 15  16   CODE    ascii   VarBstrFromDate
695  0x0000e578 0x0040f178 15  16   CODE    ascii   VarBstrFromBool
696  0x0000e5a1 0x0040f1a1 4   5    CODE    ascii   ZYYd
697  0x0000e5c6 0x0040f1c6 4   7    CODE    utf8    Ð̃D$ blocks=Latin-1 Supplement,Combining Diacritical Marks,Basic Latin
698  0x0000e6a1 0x0040f2a1 18  19   CODE    ascii   TCustomVariantType
699  0x0000e6ba 0x0040f2ba 19  20   CODE    ascii   TCustomVariantTyped
700  0x0000e6d6 0x0040f2d6 9   10   CODE    ascii   \bVariants
701  0x0000e731 0x0040f331 22  23   CODE    ascii   EVariantInvalidOpError
702  0x0000e795 0x0040f395 21  22   CODE    ascii   EVariantTypeCastError
703  0x0000e7f9 0x0040f3f9 21  22   CODE    ascii   EVariantOverflowError
704  0x0000e85d 0x0040f45d 23  24   CODE    ascii   EVariantInvalidArgError
705  0x0000e8c1 0x0040f4c1 24  25   CODE    ascii   EVariantBadVarTypeError$
706  0x0000e925 0x0040f525 21  22   CODE    ascii   EVariantBadIndexError
707  0x0000e989 0x0040f589 24  25   CODE    ascii   EVariantArrayLockedError
708  0x0000e9f1 0x0040f5f1 24  25   CODE    ascii   EVariantArrayCreateError
709  0x0000ea59 0x0040f659 20  21   CODE    ascii   EVariantNotImplError
710  0x0000eabd 0x0040f6bd 24  25   CODE    ascii   EVariantOutOfMemoryError
711  0x0000eb25 0x0040f725 23  24   CODE    ascii   EVariantUnexpectedError
712  0x0000eb89 0x0040f789 21  22   CODE    ascii   EVariantDispatchError
713  0x0000ebd6 0x0040f7d6 4   5    CODE    ascii   ZYYd
714  0x0000ebfa 0x0040f7fa 5   7    CODE    utf8    SV3ɉM blocks=Basic Latin,Latin Extended-B
715  0x0000ec6a 0x0040f86a 4   5    CODE    ascii   ZYYd
716  0x0000ecc6 0x0040f8c6 4   5    CODE    ascii   ZYYd
717  0x0000ecea 0x0040f8ea 5   7    CODE    utf8    SV3ɉM blocks=Basic Latin,Latin Extended-B
718  0x0000ed5a 0x0040f95a 4   5    CODE    ascii   ZYYd
719  0x0000edb6 0x0040f9b6 4   5    CODE    ascii   ZYYd
720  0x0000ee2c 0x0040fa2c 5   6    CODE    ascii   t?Htb
721  0x0000eff3 0x0040fbf3 4   5    CODE    ascii   ZYYd
722  0x0000f09e 0x0040fc9e 4   5    CODE    ascii   ZYYd
723  0x0000f0cf 0x0040fccf 4   6    CODE    utf8    K]\b;
724  0x0000f0e8 0x0040fce8 4   6    CODE    utf8    []ÐU blocks=Basic Latin,Latin-1 Supplement
725  0x0000f135 0x0040fd35 4   5    CODE    ascii   U\bRH
726  0x0000f143 0x0040fd43 5   7    CODE    utf8    ^[]ÐU blocks=Basic Latin,Latin-1 Supplement
727  0x0000f1cf 0x0040fdcf 4   5    CODE    ascii   |kC3
728  0x0000f33b 0x0040ff3b 5   7    CODE    utf8    Z^[Ðf blocks=Basic Latin,Latin-1 Supplement
729  0x0000f36f 0x0040ff6f 4   6    CODE    utf8    K]\b;
730  0x0000f388 0x0040ff88 4   6    CODE    utf8    []ÐU blocks=Basic Latin,Latin-1 Supplement
731  0x0000f3d5 0x0040ffd5 4   5    CODE    ascii   U\bRH
732  0x0000f3e3 0x0040ffe3 5   7    CODE    utf8    ^[]ÐU blocks=Basic Latin,Latin-1 Supplement
733  0x0000f459 0x00410059 4   5    CODE    ascii   |kC3
734  0x0000f5d0 0x004101d0 4   5    CODE    ascii   SVWQ
735  0x0000f609 0x00410209 4   6    CODE    utf8    3\tC\b
736  0x0000f676 0x00410276 7   9    CODE    utf8    Z_^[ÐSV blocks=Basic Latin,Latin-1 Supplement
737  0x0000f6bc 0x004102bc 4   6    CODE    utf8    ^[ÐU blocks=Basic Latin,Latin-1 Supplement
738  0x0000f735 0x00410335 6   7    CODE    ascii   QQQQSV
739  0x0000f7cd 0x004103cd 4   5    CODE    ascii   ZYYd
740  0x0000f7fa 0x004103fa 5   7    CODE    utf8    SV3ɉM blocks=Basic Latin,Latin Extended-B
741  0x0000f82c 0x0041042c 4   5    CODE    ascii    j\bj
742  0x0000f87d 0x0041047d 4   5    CODE    ascii   ZYYd
743  0x0000f89a 0x0041049a 4   5    CODE    ascii   ZYYd
744  0x0000f902 0x00410502 4   5    CODE    ascii   ZYYd
745  0x0000f985 0x00410585 4   5    CODE    ascii   ZYYd
746  0x0000fb79 0x00410779 4   6    CODE    utf8    3\nC\b
747  0x0000fcc0 0x004108c0 4   6    CODE    utf8    U\vC\b
748  0x0000fe88 0x00410a88 4   5    CODE    ascii   ZYYd
749  0x0000feea 0x00410aea 5   7    CODE    utf8    SV3ɉM blocks=Basic Latin,Latin Extended-B
750  0x0000ff0e 0x00410b0e 5   6    CODE    ascii   Uhq\vA
751  0x0000ff19 0x00410b19 4   5    CODE    ascii    j\bj
752  0x0000ff5d 0x00410b5d 4   5    CODE    ascii   ZYYd
753  0x0000ff63 0x00410b63 4   5    CODE    ascii   hx\vA
754  0x0000ff7a 0x00410b7a 4   5    CODE    ascii   ZYYd
755  0x0000ffde 0x00410bde 4   5    CODE    ascii   ZYYd
756  0x00010006 0x00410c06 4   6    CODE    utf8    S3ɉM blocks=Basic Latin,Latin Extended-B
757  0x00010087 0x00410c87 4   5    CODE    ascii   ZYYd
758  0x000100a4 0x00410ca4 4   5    CODE    ascii   ZYYd
759  0x0001028b 0x00410e8b 4   6    CODE    utf8    3\nC\b
760  0x000103d2 0x00410fd2 4   6    CODE    utf8    UċC\b blocks=Basic Latin,Latin Extended-A
761  0x000103ef 0x00410fef 4   6    CODE    utf8    U\vC\b
762  0x0001059a 0x0041119a 4   5    CODE    ascii   ZYYd
763  0x00010648 0x00411248 5   6    CODE    ascii   Empty
764  0x00010658 0x00411258 4   5    CODE    ascii   Null
765  0x00010668 0x00411268 8   9    CODE    ascii   Smallint
766  0x0001067c 0x0041127c 7   8    CODE    ascii   Integer
767  0x0001068c 0x0041128c 6   7    CODE    ascii   Single
768  0x0001069c 0x0041129c 6   7    CODE    ascii   Double
769  0x000106ac 0x004112ac 8   9    CODE    ascii   Currency
770  0x000106c0 0x004112c0 4   5    CODE    ascii   Date
771  0x000106d0 0x004112d0 6   7    CODE    ascii   OleStr
772  0x000106e0 0x004112e0 8   9    CODE    ascii   Dispatch
773  0x000106f4 0x004112f4 5   6    CODE    ascii   Error
774  0x00010704 0x00411304 7   8    CODE    ascii   Boolean
775  0x00010714 0x00411314 7   8    CODE    ascii   Variant
776  0x00010724 0x00411324 7   8    CODE    ascii   Unknown
777  0x00010734 0x00411334 7   8    CODE    ascii   Decimal
778  0x00010750 0x00411350 8   9    CODE    ascii   ShortInt
779  0x00010764 0x00411364 4   5    CODE    ascii   Byte
780  0x00010774 0x00411374 4   5    CODE    ascii   Word
781  0x00010784 0x00411384 8   9    CODE    ascii   LongWord
782  0x00010798 0x00411398 5   6    CODE    ascii   Int64
783  0x000107a9 0x004113a9 5   7    CODE    utf8    SVW3ɉ blocks=Basic Latin,Latin Extended-B
784  0x000108af 0x004114af 4   5    CODE    ascii   ZYYd
785  0x000108dc 0x004114dc 6   7    CODE    ascii   String
786  0x000108f8 0x004114f8 6   7    CODE    ascii   Array 
787  0x00010908 0x00411508 6   7    CODE    ascii   ByRef 
788  0x00010923 0x00411523 5   7    CODE    utf8    s\b^[ú blocks=Basic Latin,Latin-1 Supplement
789  0x0001094d 0x0041154d 9   10   CODE    ascii   \bVariants
790  0x000109a3 0x004115a3 4   5    CODE    ascii   ZYYd
791  0x000109d0 0x004115d0 4   5    CODE    ascii   SVWQ
792  0x00010a03 0x00411603 4   5    CODE    ascii   Z_^[
793  0x00010a17 0x00411617 6   8    CODE    utf8    ؋}\bf;{ blocks=Arabic,Basic Latin
794  0x00010a47 0x00411647 6   7    CODE    ascii   _^[YY]
795  0x00010a5f 0x0041165f 4   5    CODE    ascii   QSVW
796  0x00010a72 0x00411672 5   7    CODE    utf8    S83\nE
797  0x00010a89 0x00411689 5   6    CODE    ascii   _^[Y]
798  0x00010a94 0x00411694 5   6    CODE    ascii   SVWUQ
799  0x00010ac7 0x004116c7 7   9    CODE    utf8    Z]_^[Í@ blocks=Basic Latin,Latin-1 Supplement
800  0x00010b1d 0x0041171d 4   5    CODE    ascii   ZYYd
801  0x00010b56 0x00411756 4   6    CODE    utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
802  0x00010bff 0x004117ff 4   5    CODE    ascii   QSVW
803  0x00010c2b 0x0041182b 4   5    CODE    ascii   t~hH
804  0x00010c8e 0x0041188e 4   5    CODE    ascii   ZYYd
805  0x00010cae 0x004118ae 5   6    CODE    ascii   _^[Y]
806  0x00010d17 0x00411917 4   5    CODE    ascii   ZYYd
807  0x00010dc1 0x004119c1 4   5    CODE    ascii   ZYYd
808  0x00010e61 0x00411a61 4   5    CODE    ascii   ZYYd
809  0x00010e88 0x00411a88 5   6    CODE    ascii   False
810  0x00010e98 0x00411a98 4   5    CODE    ascii   True
811  0x00010ee6 0x00411ae6 4   5    CODE    ascii   ZYYd
812  0x00010f09 0x00411b09 5   6    CODE    ascii   Uh)\eA
813  0x00010f1d 0x00411b1d 4   5    CODE    ascii   ZYYd
814  0x00010f23 0x00411b23 4   5    CODE    ascii   h0\eA
815  0x00010f88 0x00411b88 13  14   CODE    ascii   \fEStreamError
816  0x00010fe5 0x00411be5 16  17   CODE    ascii   EFileStreamError
817  0x00011044 0x00411c44 14  15   CODE    ascii   \rEFCreateError
818  0x000110a0 0x00411ca0 12  13   CODE    ascii   \vEFOpenError
819  0x000110f8 0x00411cf8 13  14   CODE    ascii   \vEFilerErrorP
820  0x00011150 0x00411d50 11  12   CODE    ascii   \nEReadError
821  0x000111a8 0x00411da8 12  13   CODE    ascii   \vEWriteError
822  0x00011200 0x00411e00 11  12   CODE    ascii   \nEListError
823  0x00011259 0x00411e59 16  17   CODE    ascii   EStringListError
824  0x000112c9 0x00411ec9 5   6    CODE    ascii   TList
825  0x0001131c 0x00411f1c 13  14   CODE    ascii   \vTThreadListt
826  0x0001138e 0x00411f8e 12  13   CODE    ascii   \vTPersistent
827  0x000113a0 0x00411fa0 14  15   CODE    ascii   \a\vTPersistentt
828  0x000113b7 0x00411fb7 8   9    CODE    ascii   \aClasses
829  0x000113ca 0x00411fca 15  16   CODE    ascii   IStringsAdapter
830  0x000113ee 0x00411fee 8   9    CODE    ascii   \aClasses
831  0x000114da 0x004120da 9   10   CODE    ascii   \bTStrings
832  0x000114e8 0x004120e8 13  14   CODE    ascii   \a\bTStringsH A
833  0x000114fc 0x004120fc 8   9    CODE    ascii   \aClasses
834  0x0001150d 0x0041210d 13  14   CODE    ascii   \vTStringItem\b
835  0x00011610 0x00412210 15  16   CODE    ascii   \vTStringList "A
836  0x00011620 0x00412220 16  17   CODE    ascii   \a\vTStringListx!A
837  0x00011637 0x00412237 8   9    CODE    ascii   \aClasses
838  0x000116ac 0x004122ac 8   9    CODE    ascii   \aTStream
839  0x0001171c 0x0041231c 14  15   CODE    ascii   \rTHandleStream
840  0x00011794 0x00412394 12  13   CODE    ascii   \vTFileStream
841  0x000117ec 0x004123ec 10  11   CODE    ascii   \tTRegGroup
842  0x00011844 0x00412444 11  12   CODE    ascii   \nTRegGroups
843  0x00011853 0x00412453 4   5    CODE    ascii   QSVW
844  0x000118c4 0x004124c4 6   8    CODE    utf8    _^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
845  0x00011906 0x00412506 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
846  0x00011928 0x00412528 6   8    CODE    utf8    ^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
847  0x00011993 0x00412593 4   6    CODE    utf8    uۋF\b blocks=Basic Latin,Arabic
848  0x000119ca 0x004125ca 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
849  0x00011a3d 0x0041263d 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
850  0x00011a44 0x00412644 4   5    CODE    ascii   SVWU
851  0x00011a9a 0x0041269a 5   7    CODE    utf8    ]_^[Ð blocks=Basic Latin,Latin-1 Supplement
852  0x00011ab8 0x004126b8 4   5    CODE    ascii   SVWU
853  0x00011b01 0x00412701 5   7    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
854  0x00011b1a 0x0041271a 5   6    CODE    ascii   UhJ'A
855  0x00011b34 0x00412734 4   5    CODE    ascii   ZYYd
856  0x00011b3a 0x0041273a 4   5    CODE    ascii   hQ'A
857  0x00011b7a 0x0041277a 7   9    CODE    utf8    ؋s\b;s\fu blocks=Arabic,Basic Latin
858  0x00011b94 0x00412794 4   7    CODE    utf8    t\v3ɋ blocks=Basic Latin,Latin Extended-B
859  0x00011ba3 0x004127a3 5   7    CODE    utf8    _^[ÐS blocks=Basic Latin,Latin-1 Supplement
860  0x00011bbd 0x004127bd 5   7    CODE    utf8    [ÐSVQ blocks=Basic Latin,Latin-1 Supplement
861  0x00011bcb 0x004127cb 4   5    CODE    ascii   ;s\b|
862  0x00011c20 0x00412820 5   7    CODE    utf8    Z^[ËE blocks=Basic Latin,Latin-1 Supplement
863  0x00011c5a 0x0041285a 6   8    CODE    utf8    YZ^[ÐU blocks=Basic Latin,Latin-1 Supplement
864  0x00011c94 0x00412894 4   5    CODE    ascii   ZYYd
865  0x00011caf 0x004128af 4   5    CODE    ascii   ^[Y]
866  0x00011cbf 0x004128bf 4   5    CODE    ascii   ;s\b|
867  0x00011cde 0x004128de 5   7    CODE    utf8    $Z^[Ð blocks=Basic Latin,Latin-1 Supplement
868  0x00011d1e 0x0041291e 5   6    CODE    ascii   ;s\b|\b
869  0x00011d3a 0x0041293a 4   5    CODE    ascii   ;s\ft
870  0x00011d4d 0x0041294d 5   7    CODE    utf8    s\f^[Ë blocks=Basic Latin,Latin-1 Supplement
871  0x00011d54 0x00412954 4   5    CODE    ascii   SVWU
872  0x00011d77 0x00412977 5   6    CODE    ascii   ;s\f~\t
873  0x00011dbd 0x004129bd 6   7    CODE    ascii   s\b]_^[
874  0x00011e16 0x00412a16 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
875  0x00011e37 0x00412a37 5   6    CODE    ascii   Uh~*A
876  0x00011e5e 0x00412a5e 4   5    CODE    ascii   ZYYd
877  0x00011e93 0x00412a93 5   7    CODE    utf8    YY]ÐS blocks=Basic Latin,Latin-1 Supplement
878  0x00011e9a 0x00412a9a 4   6    CODE    utf8    ؍C\bP blocks=Arabic,Basic Latin
879  0x00011f01 0x00412b01 5   7    CODE    utf8    SV3ɉM blocks=Basic Latin,Latin Extended-B
880  0x00011f9a 0x00412b9a 4   5    CODE    ascii   ZYYd
881  0x00011fdd 0x00412bdd 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
882  0x00011feb 0x00412beb 5   6    CODE    ascii   Uhi,A
883  0x00012055 0x00412c55 4   5    CODE    ascii   ZYYd
884  0x0001205b 0x00412c5b 4   5    CODE    ascii   hp,A
885  0x000120b8 0x00412cb8 4   5    CODE    ascii   SVWU
886  0x000120d6 0x00412cd6 8   10   CODE    utf8    ]_^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
887  0x000120f9 0x00412cf9 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
888  0x00012106 0x00412d06 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
889  0x00012145 0x00412d45 6   8    CODE    utf8    |-F3ۍM blocks=Basic Latin,Arabic
890  0x0001216e 0x00412d6e 5   6    CODE    ascii   W<CNu
891  0x00012176 0x00412d76 4   5    CODE    ascii   ZYYd
892  0x00012193 0x00412d93 4   5    CODE    ascii   ZYYd
893  0x000121de 0x00412dde 5   6    CODE    ascii   Uh8.A
894  0x00012224 0x00412e24 4   5    CODE    ascii   ZYYd
895  0x0001222a 0x00412e2a 4   5    CODE    ascii   hI.A
896  0x00012249 0x00412e49 5   7    CODE    utf8    ^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
897  0x00012263 0x00412e63 5   7    CODE    utf8    C\b[ÐU blocks=Basic Latin,Latin-1 Supplement
898  0x000122b9 0x00412eb9 5   7    CODE    utf8    ^[]Í@ blocks=Basic Latin,Latin-1 Supplement
899  0x000122d9 0x00412ed9 5   6    CODE    ascii   PhH9A
900  0x000122f5 0x00412ef5 4   5    CODE    ascii   [YY]
901  0x00012304 0x00412f04 7   8    CODE    ascii   Strings
902  0x00012313 0x00412f13 5   7    CODE    utf8    u\a3ҋ\b blocks=Basic Latin,Cyrillic
903  0x0001231a 0x00412f1a 4   6    CODE    utf8    Q0Í@ blocks=Basic Latin,Latin-1 Supplement
904  0x00012326 0x00412f26 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
905  0x00012364 0x00412f64 6   8    CODE    utf8    |0F3ۍM blocks=Basic Latin,Arabic
906  0x00012390 0x00412f90 5   6    CODE    ascii   u\bCNu
907  0x0001239c 0x00412f9c 4   5    CODE    ascii   ZYYd
908  0x000123c4 0x00412fc4 4   7    CODE    utf8    ]Ë\vE blocks=Basic Latin,Latin-1 Supplement
909  0x000123fe 0x00412ffe 6   8    CODE    utf8    YZ^[ÐU blocks=Basic Latin,Latin-1 Supplement
910  0x00012414 0x00413014 5   6    CODE    ascii   UhL0A
911  0x00012438 0x00413038 4   5    CODE    ascii   ZYYd
912  0x0001243e 0x0041303e 4   5    CODE    ascii   hS0A
913  0x00012453 0x00413053 7   9    CODE    utf8    _^[Y]Í@ blocks=Basic Latin,Latin-1 Supplement
914  0x00012462 0x00413062 6   8    CODE    utf8    SVW3ۉ] blocks=Basic Latin,Arabic
915  0x00012476 0x00413076 5   6    CODE    ascii   Uh41A
916  0x000124fe 0x004130fe 4   5    CODE    ascii   ZYYd
917  0x0001251b 0x0041311b 4   5    CODE    ascii   ZYYd
918  0x00012521 0x00413121 4   5    CODE    ascii   h;1A
919  0x00012556 0x00413156 4   6    CODE    utf8    S3҉U blocks=Basic Latin,Cyrillic
920  0x00012588 0x00413188 4   5    CODE    ascii   ZYYd
921  0x000125a6 0x004131a6 6   8    CODE    utf8    [YY]ÐU blocks=Basic Latin,Latin-1 Supplement
922  0x000125b2 0x004131b2 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
923  0x0001269e 0x0041329e 4   5    CODE    ascii   ZYYd
924  0x000126da 0x004132da 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
925  0x000126e9 0x004132e9 5   6    CODE    ascii   UhL3A
926  0x00012738 0x00413338 4   5    CODE    ascii   ZYYd
927  0x0001273e 0x0041333e 4   5    CODE    ascii   hS3A
928  0x00012766 0x00413366 5   7    CODE    utf8    SV3ɉM blocks=Basic Latin,Latin Extended-B
929  0x0001277a 0x0041337a 5   6    CODE    ascii   Uh#4A
930  0x00012802 0x00413402 4   5    CODE    ascii   ZYYd
931  0x00012808 0x00413408 4   5    CODE    ascii   h*4A
932  0x00012831 0x00413431 6   8    CODE    utf8    ]ÐSVWU blocks=Basic Latin,Latin-1 Supplement
933  0x00012858 0x00413458 5   6    CODE    ascii   t\aFKu
934  0x00012863 0x00413463 4   5    CODE    ascii   ]_^[
935  0x0001286b 0x0041346b 4   5    CODE    ascii   QSVW
936  0x0001288c 0x0041348c 7   8    CODE    ascii   S$_^[Y]
937  0x000128a2 0x004134a2 4   6    CODE    utf8    ʡ,#A blocks=IPA Extensions,Basic Latin
938  0x000128cc 0x004134cc 4   5    CODE    ascii   ZYYd
939  0x000128e7 0x004134e7 5   7    CODE    utf8    ^Y]ÐU blocks=Basic Latin,Latin-1 Supplement
940  0x000128f2 0x004134f2 5   7    CODE    utf8    SV3ɉM blocks=Basic Latin,Latin Extended-B
941  0x00012916 0x00413516 5   6    CODE    ascii   Uhl5A
942  0x00012958 0x00413558 4   5    CODE    ascii   ZYYd
943  0x0001295e 0x0041355e 4   5    CODE    ascii   hs5A
944  0x00012975 0x00413575 4   5    CODE    ascii   ZYYd
945  0x00012990 0x00413590 6   8    CODE    utf8    ^[YY]Ë blocks=Basic Latin,Latin-1 Supplement
946  0x0001299e 0x0041359e 6   8    CODE    utf8    SVW3ۉ] blocks=Basic Latin,Arabic
947  0x000129af 0x004135af 5   6    CODE    ascii   Uh96A
948  0x00012a08 0x00413608 4   5    CODE    ascii   ZYYd
949  0x00012a0e 0x0041360e 4   5    CODE    ascii   h#6A
950  0x00012a25 0x00413625 4   5    CODE    ascii   ZYYd
951  0x00012a2b 0x0041362b 4   5    CODE    ascii   h@6A
952  0x00012a40 0x00413640 12  14   CODE    utf8    _^[YY]ÐSVWUQ blocks=Basic Latin,Latin-1 Supplement
953  0x00012a74 0x00413674 7   8    CODE    ascii   SdZ]_^[
954  0x00012a93 0x00413693 5   6    CODE    ascii   Uh$7A
955  0x00012aeb 0x004136eb 4   5    CODE    ascii   ZYYd
956  0x00012b10 0x00413710 4   5    CODE    ascii   ZYYd
957  0x00012b16 0x00413716 4   5    CODE    ascii   h+7A
958  0x00012b3d 0x0041373d 4   6    CODE    utf8    ʡ,#A blocks=IPA Extensions,Basic Latin
959  0x00012b4f 0x0041374f 5   6    CODE    ascii   Uh{7A
960  0x00012b67 0x00413767 4   5    CODE    ascii   ZYYd
961  0x00012b82 0x00413782 4   6    CODE    utf8    ^Y]Ë blocks=Basic Latin,Latin-1 Supplement
962  0x00012bc1 0x004137c1 4   5    CODE    ascii   ZYYd
963  0x00012bdc 0x004137dc 6   8    CODE    utf8    ^[Y]Í@ blocks=Basic Latin,Latin-1 Supplement
964  0x00012c14 0x00413814 6   8    CODE    utf8    Q\f^[Í@ blocks=Basic Latin,Latin-1 Supplement
965  0x00012c29 0x00413829 5   6    CODE    ascii   Uh_8A
966  0x00012c4b 0x0041384b 4   5    CODE    ascii   ZYYd
967  0x00012c51 0x00413851 4   5    CODE    ascii   hf8A
968  0x00012c66 0x00413866 6   8    CODE    utf8    ^[Y]ÐU blocks=Basic Latin,Latin-1 Supplement
969  0x00012c72 0x00413872 5   7    CODE    utf8    SV3ɉM blocks=Basic Latin,Latin Extended-B
970  0x00012c83 0x00413883 5   6    CODE    ascii   Uh69A
971  0x00012cc5 0x004138c5 5   6    CODE    ascii   t\b,\nt
972  0x00012d05 0x00413905 4   5    CODE    ascii   ZYYd
973  0x00012d0b 0x0041390b 4   5    CODE    ascii   h 9A
974  0x00012d22 0x00413922 4   5    CODE    ascii   ZYYd
975  0x00012d28 0x00413928 4   5    CODE    ascii   h=9A
976  0x00012d41 0x00413941 4   7    CODE    utf8    ]ÐÍ@ blocks=Basic Latin,Latin-1 Supplement
977  0x00012d4e 0x0041394e 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
978  0x00012daa 0x004139aa 4   5    CODE    ascii   ZYYd
