[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
2929 0x0002b754 0x0042c554 4   6    .data   utf8    ͒nf^ blocks=Combining Diacritical Marks,Basic Latin
2930 0x0002b77e 0x0042c57e 5   8    .data   utf8    χTƜ!0 blocks=Greek and Coptic,Basic Latin,Latin Extended-B
2931 0x0002b786 0x0042c586 5   8    .data   utf8    Q0⎎aA blocks=Basic Latin,Miscellaneous Technical
2932 0x0002b7e1 0x0042c5e1 4   5    .data   ascii   u'P\b
2933 0x0002b80c 0x0042c60c 6   7    .data   ascii   <mZa%u
2934 0x0002b821 0x0042c621 5   6    .data   ascii   |t`bp
2935 0x0002b82e 0x0042c62e 5   6    .data   ascii   HQ%(g
2936 0x0002b8ce 0x0042c6ce 5   6    .data   ascii   \e{djd
2937 0x0002b8f4 0x0042c6f4 4   7    .data   utf8    -摻M+ blocks=Basic Latin,CJK Unified Ideographs
2938 0x0002b972 0x0042c772 6   10   .data   utf8    ͍t}Ǵv2 blocks=Combining Diacritical Marks,Basic Latin,Latin Extended-B
2939 0x0002b97c 0x0042c77c 4   7    .data   utf8    'N곂\b blocks=Basic Latin,Hangul Syllables
2940 0x0002b98b 0x0042c78b 4   6    .data   utf8    Ӂ^j! blocks=Cyrillic,Basic Latin
2941 0x0002b994 0x0042c794 6   8    .data   utf8    sRǧ~OM blocks=Basic Latin,Latin Extended-B
2942 0x0002ba07 0x0042c807 4   5    .data   ascii   .J?I
2943 0x0002ba19 0x0042c819 4   7    .data   utf8    8%n蘿 blocks=Basic Latin,CJK Compatibility Ideographs
2944 0x0002ba62 0x0042c862 5   6    .data   ascii   3v\aOo
2945 0x0002ba8e 0x0042c88e 6   7    .data   ascii   kL\fqy[
2946 0x0002bab9 0x0042c8b9 5   7    .data   utf8    ^_'jb
2947 0x0002bb5f 0x0042c95f 4   5    .data   ascii    u=v
2948 0x0002bbc4 0x0042c9c4 4   6    .data   utf8    Y7r\f
2949 0x0002bbdc 0x0042c9dc 6   7    .data   ascii   Zf6&! 
2950 0x0002bc06 0x0042ca06 4   6    .data   utf8    .;θR blocks=Basic Latin,Greek and Coptic
2951 0x0002bc32 0x0042ca32 4   5    .data   ascii   ,p\t\e
2952 0x0002bc42 0x0042ca42 4   5    .data   ascii   -A \b
2953 0x0002bc4f 0x0042ca4f 5   6    .data   ascii   Z|one
2954 0x0002bc63 0x0042ca63 4   6    .data   utf8    zѶ\X blocks=Basic Latin,Cyrillic
2955 0x0002bc74 0x0042ca74 4   5    .data   ascii   |YVs
2956 0x0002bc8c 0x0042ca8c 4   5    .data   ascii   bL{d
2957 0x0002bc99 0x0042ca99 4   5    .data   ascii   b2e7
2958 0x0002bcc9 0x0042cac9 4   5    .data   ascii   >\fa}
2959 0x0002bcce 0x0042cace 4   5    .data   ascii   R0\ax
2960 0x0002bce2 0x0042cae2 4   6    .data   utf8    ܸte$ blocks=Syriac,Basic Latin
2961 0x0002bd30 0x0042cb30 5   6    .data   ascii   \eo9%;
2962 0x0002bd44 0x0042cb44 4   6    .data   utf8    .vĊ. blocks=Basic Latin,Latin Extended-A
2963 0x0002bd62 0x0042cb62 4   6    .data   utf8    ӻ"u= blocks=Cyrillic,Basic Latin
2964 0x0002bd83 0x0042cb83 4   5    .data   ascii   ;77K
2965 0x0002bdb2 0x0042cbb2 5   6    .data   ascii   Nf\b0|
2966 0x0002be02 0x0042cc02 4   5    .data   ascii   o{|k
2967 0x0002be58 0x0042cc58 5   6    .data   ascii   ZZ\r4S
2968 0x0002bea2 0x0042cca2 4   7    .data   utf8    攡\tVW blocks=CJK Unified Ideographs,Basic Latin
2969 0x0002bec1 0x0042ccc1 5   6    .data   ascii   g0\e)E
2970 0x0002bee7 0x0042cce7 5   6    .data   ascii   o\r4z$
2971 0x0002bf21 0x0042cd21 4   5    .data   ascii   9"c/
2972 0x0002bf49 0x0042cd49 5   9    .data   utf8    Kjٕ2眸 blocks=Basic Latin,Arabic,CJK Unified Ideographs
2973 0x0002bf65 0x0042cd65 4   5    .data   ascii   ;J(o
2974 0x0002bfc9 0x0042cdc9 4   5    .data   ascii   I\f_T
2975 0x0002c020 0x0042ce20 4   5    .data   ascii   01(p
2976 0x0002c031 0x0042ce31 4   5    .data   ascii   ef=J
2977 0x0002c041 0x0042ce41 4   5    .data   ascii   RL&~
2978 0x0002c07c 0x0042ce7c 5   7    .data   utf8    ǘ)w#b blocks=Latin Extended-B,Basic Latin
2979 0x0002c09e 0x0042ce9e 4   7    .data   utf8    f,κ̽ blocks=Basic Latin,Greek and Coptic,Combining Diacritical Marks
2980 0x0002c0b4 0x0042ceb4 5   6    .data   ascii   SN*|x
2981 0x0002c0db 0x0042cedb 4   5    .data   ascii   t\v~6
2982 0x0002c167 0x0042cf67 4   6    .data   utf8    1?ϸ\e blocks=Basic Latin,Greek and Coptic
2983 0x0002c186 0x0042cf86 4   5    .data   ascii   PN9\a
2984 0x0002c19d 0x0042cf9d 4   5    .data   ascii   B\r/F
2985 0x0002c1c1 0x0042cfc1 5   8    .data   utf8    韋|Z4o blocks=CJK Unified Ideographs,Basic Latin
2986 0x0002c1f9 0x0042cff9 5   8    .data   utf8    +9*ۇ: blocks=Basic Latin,Arabic
2987 0x0002c201 0x0042d001 4   6    .data   utf8    &С@d blocks=Basic Latin,Cyrillic
2988 0x0002c233 0x0042d033 5   6    .data   ascii   yYjz\b
2989 0x0002c24b 0x0042d04b 5   6    .data   ascii   J>)\rC
2990 0x0002c260 0x0042d060 4   5    .data   ascii   cR\tb
2991 0x0002c318 0x0042d118 8   11   .data   utf8    3t2\t@pγޫ blocks=Basic Latin,Greek and Coptic,Thaana
2992 0x0002c35c 0x0042d15c 4   5    .data   ascii   ;\!@
2993 0x0002c370 0x0042d170 4   5    .data   ascii   Y"Bv
2994 0x0002c3c4 0x0042d1c4 4   5    .data   ascii   0n\va
2995 0x0002c3ce 0x0042d1ce 6   7    .data   ascii   Ux\b{gC
2996 0x0002c3ec 0x0042d1ec 5   6    .data   ascii   ASm11
2997 0x0002c428 0x0042d228 6   8    .data   utf8    -:b_خL blocks=Basic Latin,Arabic
2998 0x0002c43c 0x0042d23c 4   5    .data   ascii   6:z<
2999 0x0002c446 0x0042d246 4   5    .data   ascii   EQ<!
3000 0x0002c460 0x0042d260 6   8    .data   utf8    5o_֧ao blocks=Basic Latin,Hebrew
3001 0x0002c46e 0x0042d26e 4   5    .data   ascii   NOL`
3002 0x0002c47f 0x0042d27f 4   5    .data   ascii   ,Mi^
3003 0x0002c4bd 0x0042d2bd 5   6    .data   ascii   \f2\b:Q
3004 0x0002c554 0x0042d354 4   7    .data   utf8    u\tT䁅 blocks=Basic Latin,CJK Unified Ideographs Extension A
3005 0x0002c571 0x0042d371 4   5    .data   ascii   ^kl%
3006 0x0002c58b 0x0042d38b 4   6    .data   utf8    Z'DY
3007 0x0002c599 0x0042d399 8   10   .data   utf8    G7q;{܉;j blocks=Basic Latin,Syriac
3008 0x0002c5b1 0x0042d3b1 4   6    .data   utf8    Ơ+|\t blocks=Latin Extended-B,Basic Latin
3009 0x0002c5de 0x0042d3de 4   6    .data   utf8    ^y=\n
3010 0x0002c6a5 0x0042d4a5 5   6    .data   ascii   UVir<
3011 0x0002c6b7 0x0042d4b7 4   6    .data   utf8    ҭ1SS blocks=Cyrillic,Basic Latin
3012 0x0002c6bd 0x0042d4bd 7   8    .data   ascii   Sui%K'o
3013 0x0002c6c9 0x0042d4c9 4   5    .data   ascii   HK\a!
3014 0x0002c701 0x0042d501 4   5    .data   ascii   k1N#
3015 0x0002c768 0x0042d568 4   5    .data   ascii   :/Y;
3016 0x0002c77b 0x0042d57b 4   6    .data   utf8    8\ղP blocks=Basic Latin,Armenian
3017 0x0002c7b7 0x0042d5b7 5   7    .data   utf8    NĵO4C blocks=Basic Latin,Latin Extended-A
3018 0x0002c7c3 0x0042d5c3 6   7    .data   ascii   <S*<b/
3019 0x0002c7f8 0x0042d5f8 4   5    .data   ascii   SlH9
3020 0x0002c826 0x0042d626 5   6    .data   ascii   f_\H\a
3021 0x0002c82d 0x0042d62d 7   10   .data   utf8    ̈́?gEAݔT blocks=Combining Diacritical Marks,Basic Latin,Arabic Supplement
3022 0x0002c867 0x0042d667 6   7    .data   ascii   VR/-FN
3023 0x0002c871 0x0042d671 7   11   .data   utf8    洈roqJߔ@ blocks=CJK Unified Ideographs,Basic Latin,NKo
3024 0x0002c896 0x0042d696 5   6    .data   ascii   MYR?J
3025 0x0002c901 0x0042d701 4   5    .data   ascii   GUM\r
3026 0x0002c938 0x0042d738 4   5    .data   ascii   \bg|Z
3027 0x0002c972 0x0042d772 4   5    .data   ascii   MfFD
3028 0x0002c9c1 0x0042d7c1 4   5    .data   ascii    0hT
3029 0x0002c9cc 0x0042d7cc 4   5    .data   ascii   u7>/
3030 0x0002ca21 0x0042d821 5   6    .data   ascii   V|vv2
3031 0x0002ca6e 0x0042d86e 5   7    .data   utf8    *Wfс\ blocks=Basic Latin,Cyrillic
3032 0x0002caa1 0x0042d8a1 7   9    .data   utf8    +>?UpͶ" blocks=Basic Latin,Greek and Coptic
3033 0x0002cab1 0x0042d8b1 4   5    .data   ascii   w4ZM
3034 0x0002cafc 0x0042d8fc 4   5    .data   ascii   gl~(
3035 0x0002cb0b 0x0042d90b 4   5    .data   ascii   H$#(
3036 0x0002cb8f 0x0042d98f 5   7    .data   utf8    ="Y\rÜ blocks=Basic Latin,Latin-1 Supplement
3037 0x0002cb98 0x0042d998 4   7    .data   utf8    ׂRӎ% blocks=Hebrew,Basic Latin,Cyrillic
3038 0x0002cbbd 0x0042d9bd 5   6    .data   ascii   \aK0 $
3039 0x0002cbe6 0x0042d9e6 4   5    .data   ascii   ,5!"
3040 0x0002cbf7 0x0042d9f7 5   6    .data   ascii   (-]C;
3041 0x0002cc71 0x0042da71 6   7    .data   ascii   c\a&\tsA
3042 0x0002cce0 0x0042dae0 6   7    .data   ascii   gn-U@8
3043 0x0002ccfd 0x0042dafd 4   5    .data   ascii   XDsf
3044 0x0002cd13 0x0042db13 4   5    .data   ascii   & _F
3045 0x0002cd18 0x0042db18 4   5    .data   ascii   3l!H
3046 0x0002cd6d 0x0042db6d 5   6    .data   ascii   6>;|m
3047 0x0002cd85 0x0042db85 8   9    .data   ascii   La[k,T7l
3048 0x0002cd92 0x0042db92 6   7    .data   ascii   7y#e\eN
3049 0x0002cd9e 0x0042db9e 4   6    .data   utf8    ʰ:+& blocks=Spacing Modifier Letters,Basic Latin
3050 0x0002cdb0 0x0042dbb0 4   6    .data   utf8    \tܘr' blocks=Basic Latin,Syriac
3051 0x0002ce03 0x0042dc03 4   6    .data   utf8    ؛1[M blocks=Arabic,Basic Latin
3052 0x0002ce7a 0x0042dc7a 4   6    .data   utf8    !u"Œ blocks=Basic Latin,Latin Extended-A
3053 0x0002ce8e 0x0042dc8e 7   11   .data   utf8    rŃ꺈bPT< blocks=Basic Latin,Latin Extended-A,Hangul Syllables
3054 0x0002cecd 0x0042dccd 8   9    .data   ascii   NQA\r2d*Z
3055 0x0002cef8 0x0042dcf8 4   5    .data   ascii   2v4d
3056 0x0002cf69 0x0042dd69 6   9    .data   utf8    ذʊy\tV- blocks=Arabic,IPA Extensions,Basic Latin
3057 0x0002cf72 0x0042dd72 5   7    .data   utf8    ӏVP?x blocks=Cyrillic,Basic Latin
3058 0x0002cfad 0x0042ddad 5   7    .data   utf8    G˴nK  blocks=Basic Latin,Spacing Modifier Letters
3059 0x0002cfc5 0x0042ddc5 4   6    .data   utf8    $Ӷ8. blocks=Basic Latin,Cyrillic
3060 0x0002cfd0 0x0042ddd0 5   6    .data   ascii   eEDJ}
3061 0x0002d035 0x0042de35 4   6    .data   utf8    º4c6 blocks=Latin-1 Supplement,Basic Latin
3062 0x0002d058 0x0042de58 5   6    .data   ascii   Iq26o
3063 0x0002d05e 0x0042de5e 4   5    .data   ascii   ]Jq\
3064 0x0002d071 0x0042de71 4   5    .data   ascii   7IpK
3065 0x0002d0a3 0x0042dea3 4   5    .data   ascii   nb#\v
3066 0x0002d0bf 0x0042debf 4   6    .data   utf8    z ,̅ blocks=Basic Latin,Combining Diacritical Marks
3067 0x0002d0dd 0x0042dedd 9   10   .data   ascii   SYn0MlA2n
3068 0x0002d103 0x0042df03 4   6    .data   utf8    ø{*! blocks=Latin-1 Supplement,Basic Latin
3069 0x0002d111 0x0042df11 7   8    .data   ascii   \tyO\aKcr
3070 0x0002d154 0x0042df54 5   6    .data   ascii   a/*LH
3071 0x0002d1e3 0x0042dfe3 4   5    .data   ascii   ;4Dq
3072 0x0002d200 0x0042e000 5   6    .data   ascii   `%}|.
3073 0x0002d23c 0x0042e03c 4   5    .data   ascii   \n5d1
3074 0x0002d27b 0x0042e07b 6   7    .data   ascii   mpHFC7
3075 0x0002d2c8 0x0042e0c8 4   7    .data   utf8    /Ȑ{1 blocks=Basic Latin,Latin Extended-B
3076 0x0002d2e4 0x0042e0e4 4   8    .data   utf8    p?=靖 blocks=Basic Latin,CJK Compatibility Ideographs
3077 0x0002d314 0x0042e114 4   5    .data   ascii   J/o\
3078 0x0002d372 0x0042e172 5   7    .data   utf8    Y0x\bҸ blocks=Basic Latin,Cyrillic
3079 0x0002d3a0 0x0042e1a0 8   10   .data   utf8    K ^\bh~<Ӫ blocks=Basic Latin,Cyrillic
3080 0x0002d3ab 0x0042e1ab 4   5    .data   ascii   XO?k
3081 0x0002d3ee 0x0042e1ee 4   5    .data   ascii   \ahAi
3082 0x0002d430 0x0042e230 5   6    .data   ascii   u.\e"'
3083 0x0002d44b 0x0042e24b 5   6    .data   ascii   ='\a\rQ
3084 0x0002d46f 0x0042e26f 6   10   .data   utf8    頩\bU͆\e3 blocks=CJK Unified Ideographs,Basic Latin,Combining Diacritical Marks
3085 0x0002d48c 0x0042e28c 4   7    .data   utf8    2\v$ᕽ blocks=Basic Latin,Unified Canadian Aboriginal Syllabics
3086 0x0002d495 0x0042e295 4   6    .data   utf8    L}ՓY blocks=Basic Latin,Armenian
3087 0x0002d4bf 0x0042e2bf 5   6    .data   ascii   -Y\t~-
3088 0x0002d4fb 0x0042e2fb 4   5    .data   ascii   [Zd1
3089 0x0002d523 0x0042e323 4   5    .data   ascii   \txcG
3090 0x0002d548 0x0042e348 4   5    .data   ascii   l+@Z
3091 0x0002d595 0x0042e395 7   9    .data   utf8    :0ٷHV_n blocks=Basic Latin,Arabic
3092 0x0002d5a3 0x0042e3a3 8   9    .data   ascii   SK\r6!qCg
3093 0x0002d5b5 0x0042e3b5 5   6    .data   ascii   \tPQ(<
3094 0x0002d64e 0x0042e44e 6   7    .data   ascii   ]pX\K:
3095 0x0002d676 0x0042e476 8   10   .data   utf8    H?К\v `E\b blocks=Basic Latin,Cyrillic
3096 0x0002d6bf 0x0042e4bf 6   7    .data   ascii   n(;ilE
3097 0x0002d6cd 0x0042e4cd 11  13   .data   utf8    )xoh\r>(ǀj3} blocks=Basic Latin,Latin Extended-B
3098 0x0002d6da 0x0042e4da 5   6    .data   ascii   (/1[ 
3099 0x0002d6e4 0x0042e4e4 6   8    .data   utf8    ȁG:Fd{ blocks=Latin Extended-B,Basic Latin
3100 0x0002d6f8 0x0042e4f8 5   6    .data   ascii   S#;y;
3101 0x0002d713 0x0042e513 6   7    .data   ascii   <NQ7ma
3102 0x0002d733 0x0042e533 4   5    .data   ascii   C\F*
3103 0x0002d73d 0x0042e53d 4   6    .data   utf8    \rƚZ3 blocks=Basic Latin,Latin Extended-B
3104 0x0002d751 0x0042e551 5   7    .data   utf8    ':\tVݾ blocks=Basic Latin,Arabic Supplement
3105 0x0002d768 0x0042e568 4   5    .data   ascii   &hH!
3106 0x0002d776 0x0042e576 5   7    .data   utf8    0/YnЃ blocks=Basic Latin,Cyrillic
3107 0x0002d79a 0x0042e59a 7   8    .data   ascii   .KFxDkQ
3108 0x0002d7ca 0x0042e5ca 5   6    .data   ascii   4d:8h
3109 0x0002d7e8 0x0042e5e8 4   6    .data   utf8    $D߳\n blocks=Basic Latin,NKo
3110 0x0002d814 0x0042e614 4   7    .data   utf8    Ļcڑ; blocks=Latin Extended-A,Basic Latin,Arabic
3111 0x0002d884 0x0042e684 5   6    .data   ascii   ].?MX
3112 0x0002d88b 0x0042e68b 5   6    .data   ascii   zfS9j
3113 0x0002d8cc 0x0042e6cc 5   6    .data   ascii   ~\e99q
3114 0x0002d92b 0x0042e72b 5   6    .data   ascii   TwM\n;
3115 0x0002d95b 0x0042e75b 4   5    .data   ascii   P;2s
3116 0x0002d968 0x0042e768 4   5    .data   ascii   }lm>
3117 0x0002d98c 0x0042e78c 5   6    .data   ascii   \fyI 9
3118 0x0002d9bf 0x0042e7bf 5   6    .data   ascii   q}-"E
3119 0x0002d9e5 0x0042e7e5 6   7    .data   ascii   yi6Ocq
3120 0x0002d9f7 0x0042e7f7 8   11   .data   utf8    0p.㧷octj blocks=Basic Latin,CJK Unified Ideographs Extension A
3121 0x0002da10 0x0042e810 5   6    .data   ascii   5vSF_
3122 0x0002da3d 0x0042e83d 4   6    .data   utf8    ̾)|\t blocks=Combining Diacritical Marks,Basic Latin
3123 0x0002da60 0x0042e860 4   5    .data   ascii   Y=^U
3124 0x0002db17 0x0042e917 4   5    .data   ascii   LM,y
3125 0x0002db40 0x0042e940 8   11   .data   utf8    úz=Zʭ\f:i blocks=Latin-1 Supplement,Basic Latin,IPA Extensions
3126 0x0002db71 0x0042e971 4   5    .data   ascii   t55*
3127 0x0002dbac 0x0042e9ac 7   9    .data   utf8    Cɘkc*|2 blocks=Basic Latin,IPA Extensions
3128 0x0002dbb5 0x0042e9b5 4   5    .data   ascii   6`0-
3129 0x0002dbe2 0x0042e9e2 4   5    .data   ascii   u2\aZ
3130 0x0002dc1e 0x0042ea1e 4   5    .data   ascii   %H&v
3131 0x0002dc2d 0x0042ea2d 4   5    .data   ascii   _{6@
3132 0x0002dc44 0x0042ea44 4   5    .data   ascii   ,#E#
3133 0x0002dc5b 0x0042ea5b 7   9    .data   utf8    fj=}aŭ\f blocks=Basic Latin,Latin Extended-A
3134 0x0002dca9 0x0042eaa9 4   5    .data   ascii   K\bE0
3135 0x0002dcc9 0x0042eac9 6   8    .data   utf8    {߰.|@. blocks=Basic Latin,NKo
3136 0x0002dd0f 0x0042eb0f 6   8    .data   utf8    ;O4"OϘ blocks=Basic Latin,Greek and Coptic
3137 0x0002dd3a 0x0042eb3a 5   6    .data   ascii   P3&S|
3138 0x0002dd46 0x0042eb46 4   6    .data   utf8    Zdd\r
3139 0x0002dd7f 0x0042eb7f 8   9    .data   ascii   ZdaC3Gd/
3140 0x0002dd95 0x0042eb95 4   7    .data   utf8    $E\v꒴ blocks=Basic Latin,Yi Radicals
3141 0x0002de0c 0x0042ec0c 4   5    .data   ascii   '/z\r
3142 0x0002de50 0x0042ec50 4   5    .data   ascii   \t(&n
3143 0x0002de86 0x0042ec86 5   6    .data   ascii   4xUBQ
3144 0x0002deb0 0x0042ecb0 5   6    .data   ascii   \f\rM|k
3145 0x0002defd 0x0042ecfd 6   8    .data   utf8    +SYb̳$ blocks=Basic Latin,Combining Diacritical Marks
3146 0x0002df2f 0x0042ed2f 5   7    .data   utf8    _Rc/ڧ blocks=Basic Latin,Arabic
3147 0x0002df66 0x0042ed66 4   6    .data   utf8    Ħ2n, blocks=Latin Extended-A,Basic Latin
3148 0x0002df74 0x0042ed74 4   5    .data   ascii   M]*D
3149 0x0002dfa3 0x0042eda3 5   7    .data   utf8    M˟m"r blocks=Basic Latin,Spacing Modifier Letters
3150 0x0002dfaf 0x0042edaf 5   7    .data   utf8    /}tq÷ blocks=Basic Latin,Latin-1 Supplement
3151 0x0002dfb7 0x0042edb7 4   5    .data   ascii   |d^G
3152 0x0002dfc3 0x0042edc3 5   6    .data   ascii   &\t\na5
3153 0x0002dfcb 0x0042edcb 5   6    .data   ascii   dy(5\n
3154 0x0002dff7 0x0042edf7 6   7    .data   ascii   ]LM\fGY
3155 0x0002e08c 0x0042ee8c 4   6    .data   utf8    [@8٠ blocks=Basic Latin,Arabic
3156 0x0002e112 0x0042ef12 4   6    .data   utf8    L{Eӎ blocks=Basic Latin,Cyrillic
3157 0x0002e11a 0x0042ef1a 5   7    .data   utf8    \Vu,)
3158 0x0002e121 0x0042ef21 7   8    .data   ascii   ,B^\ry.*
3159 0x0002e140 0x0042ef40 5   6    .data   ascii   E\b-nA
3160 0x0002e18c 0x0042ef8c 4   6    .data   utf8    CDҕ+ blocks=Basic Latin,Cyrillic
3161 0x0002e198 0x0042ef98 5   6    .data   ascii   2/?\f1
3162 0x0002e1bf 0x0042efbf 4   5    .data   ascii   wuiw
3163 0x0002e1e7 0x0042efe7 4   5    .data   ascii   Dj$\n
3164 0x0002e232 0x0042f032 5   6    .data   ascii   lWLWL
3165 0x0002e23d 0x0042f03d 5   6    .data   ascii   j`KC!
3166 0x0002e260 0x0042f060 4   5    .data   ascii   R,XT
3167 0x0002e2cf 0x0042f0cf 4   5    .data   ascii   v.Yz
3168 0x0002e31b 0x0042f11b 4   5    .data   ascii   X\ti"
3169 0x0002e335 0x0042f135 4   5    .data   ascii   WJ=I
3170 0x0002e369 0x0042f169 4   6    .data   utf8    vw}¡ blocks=Basic Latin,Latin-1 Supplement
3171 0x0002e372 0x0042f172 4   5    .data   ascii   &{;\e
3172 0x0002e384 0x0042f184 4   5    .data   ascii   &-~3
3173 0x0002e392 0x0042f192 4   5    .data   ascii   fPQc
3174 0x0002e3d9 0x0042f1d9 4   5    .data   ascii   k*}t
3175 0x0002e3e7 0x0042f1e7 4   5    .data   ascii   N:b2
3176 0x0002e408 0x0042f208 5   6    .data   ascii   F/$0{
3177 0x0002e41b 0x0042f21b 4   6    .data   utf8    krF6
3178 0x0002e42e 0x0042f22e 4   5    .data   ascii   k)Ve
3179 0x0002e468 0x0042f268 4   5    .data   ascii   dhT(
3180 0x0002e47d 0x0042f27d 6   9    .data   utf8    l9ɹjڑ8 blocks=Basic Latin,IPA Extensions,Arabic
3181 0x0002e4cb 0x0042f2cb 5   7    .data   utf8    zڊjKr blocks=Basic Latin,Arabic
3182 0x0002e53c 0x0042f33c 6   7    .data   ascii   +aBe_5
3183 0x0002e561 0x0042f361 5   6    .data   ascii   ,t/Qo
3184 0x0002e580 0x0042f380 4   5    .data   ascii   T\nm#
3185 0x0002e67d 0x0042f47d 6   8    .data   utf8    \vۄqhFI blocks=Basic Latin,Arabic
3186 0x0002e694 0x0042f494 4   5    .data   ascii   /IK<
3187 0x0002e6a0 0x0042f4a0 5   6    .data   ascii   -[[,|
3188 0x0002e6aa 0x0042f4aa 4   5    .data   ascii   n$vk
3189 0x0002e709 0x0042f509 7   8    .data   ascii   rlVO5Y+
3190 0x0002e774 0x0042f574 6   7    .data   ascii   \f[|GE_
3191 0x0002e7f6 0x0042f5f6 5   6    .data   ascii   QXZND
3192 0x0002e806 0x0042f606 5   6    .data   ascii   U3a2q
3193 0x0002e81e 0x0042f61e 5   7    .data   utf8    (Vڜya blocks=Basic Latin,Arabic
3194 0x0002e825 0x0042f625 4   5    .data   ascii   }ObR
3195 0x0002e87a 0x0042f67a 4   6    .data   utf8    9\adΤ blocks=Basic Latin,Greek and Coptic
3196 0x0002e91e 0x0042f71e 8   9    .data   ascii   /%j?O,>u
3197 0x0002e936 0x0042f736 6   8    .data   utf8    sbfߩ,5 blocks=Basic Latin,NKo
3198 0x0002e94e 0x0042f74e 4   5    .data   ascii   \vt\e+
3199 0x0002e957 0x0042f757 5   6    .data   ascii   %QJqN
3200 0x0002e964 0x0042f764 4   5    .data   ascii   wj.L
3201 0x0002e975 0x0042f775 6   8    .data   utf8    F='nʭc blocks=Basic Latin,IPA Extensions
3202 0x0002e9a8 0x0042f7a8 6   7    .data   ascii   2% Z\b/
3203 0x0002e9dc 0x0042f7dc 6   7    .data   ascii   H]Ty?o
3204 0x0002ea52 0x0042f852 4   5    .data   ascii   s[R>
3205 0x0002eaaf 0x0042f8af 5   6    .data   ascii   DKO|\n
3206 0x0002eada 0x0042f8da 4   6    .data   utf8    V8Ѣ, blocks=Basic Latin,Cyrillic
3207 0x0002eb13 0x0042f913 8   11   .data   utf8    )CRb\t|<ԓ blocks=Basic Latin,Cyrillic Supplement
3208 0x0002eb2d 0x0042f92d 4   6    .data   utf8    Xs@ʲ blocks=Basic Latin,Spacing Modifier Letters
3209 0x0002eb59 0x0042f959 4   5    .data   ascii   S-\e>
3210 0x0002ebd5 0x0042f9d5 4   6    .data   utf8    VfIձ blocks=Basic Latin,Armenian
3211 0x0002ec84 0x0042fa84 4   5    .data   ascii   n[si
3212 0x0002ec91 0x0042fa91 4   5    .data   ascii   M\ee/
3213 0x0002ecd6 0x0042fad6 4   5    .data   ascii   Th,\r
3214 0x0002ecf8 0x0042faf8 4   5    .data   ascii   \f<(D
3215 0x0002ed11 0x0042fb11 4   6    .data   utf8    ȱOxa blocks=Latin Extended-B,Basic Latin
3216 0x0002ed50 0x0042fb50 4   6    .data   utf8    DyEɍ blocks=Basic Latin,Latin Extended-B
3217 0x0002ed6d 0x0042fb6d 4   6    .data   utf8    \vjǈi blocks=Basic Latin,Latin Extended-B
3218 0x0002ed83 0x0042fb83 5   8    .data   utf8    䓮8\fxo blocks=CJK Unified Ideographs Extension A,Basic Latin
3219 0x0002ee16 0x0042fc16 6   8    .data   utf8    ~~ҜCLR blocks=Basic Latin,Cyrillic
3220 0x0002ee28 0x0042fc28 7   8    .data   ascii   W'{\a \a#
3221 0x0002ee41 0x0042fc41 5   6    .data   ascii   _mt>Q
3222 0x0002ee48 0x0042fc48 4   6    .data   utf8    }ݛ.\t blocks=Basic Latin,Arabic Supplement
3223 0x0002ee69 0x0042fc69 4   7    .data   utf8    g+B䨊 blocks=Basic Latin,CJK Unified Ideographs Extension A
3224 0x0002ee9b 0x0042fc9b 4   5    .data   ascii   09\v\
3225 0x0002eeab 0x0042fcab 4   5    .data   ascii   \f\t.u
3226 0x0002eebb 0x0042fcbb 5   7    .data   utf8    {VϿ0] blocks=Basic Latin,Greek and Coptic
3227 0x0002efd0 0x0042fdd0 4   5    .data   ascii   ,[g 
3228 0x0002f0aa 0x0042feaa 4   5    .data   ascii   0V#'
3229 0x0002f0b2 0x0042feb2 4   5    .data   ascii   M%xD
3230 0x0002f12b 0x0042ff2b 7   8    .data   ascii   \aO8[h=P
3231 0x0002f16c 0x0042ff6c 4   6    .data   utf8    W;AϬ blocks=Basic Latin,Greek and Coptic
3232 0x0002f172 0x0042ff72 5   6    .data   ascii   &4gN;
3233 0x0002f180 0x0042ff80 4   5    .data   ascii   ~i;\f
3234 0x0002f1c5 0x0042ffc5 4   7    .data   utf8    &cp៉ blocks=Basic Latin,Khmer
3235 0x0002f21e 0x0043001e 4   6    .data   utf8    \em\rٜ blocks=Basic Latin,Arabic
3236 0x0002f26f 0x0043006f 4   5    .data   ascii   P@xr
3237 0x0002f296 0x00430096 4   5    .data   ascii   CbBW
3238 0x0002f29b 0x0043009b 4   6    .data   utf8    U٘'a blocks=Basic Latin,Arabic
3239 0x0002f2fd 0x004300fd 5   6    .data   ascii   c-G6M
3240 0x0002f315 0x00430115 4   6    .data   utf8    v,ۀ} blocks=Basic Latin,Arabic
3241 0x0002f32c 0x0043012c 6   7    .data   ascii   u:?)We
3242 0x0002f364 0x00430164 5   6    .data   ascii   t[nG<
3243 0x0002f391 0x00430191 4   5    .data   ascii   dI,|
3244 0x0002f3a6 0x004301a6 5   6    .data   ascii   c~FKi
3245 0x0002f3ad 0x004301ad 4   5    .data   ascii   \n?d4
3246 0x0002f3e0 0x004301e0 5   7    .data   utf8    wÔK\1 blocks=Basic Latin,Latin-1 Supplement
3247 0x0002f422 0x00430222 4   5    .data   ascii   "g!f
