[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
189  0x000027a1 0x004057a1 4   5    .bin    ascii   G>[P
190  0x000027a8 0x004057a8 5   6    .bin    ascii   v u/=
191  0x000027d5 0x004057d5 4   5    .bin    ascii   p@dm
192  0x00002826 0x00405826 6   7    .bin    ascii   \r<r`m^
193  0x00002835 0x00405835 5   6    .bin    ascii   olSch
194  0x0000283b 0x0040583b 5   6    .bin    ascii   sFY,\e
195  0x00002848 0x00405848 4   6    .bin    utf8    li˴w blocks=Basic Latin,Spacing Modifier Letters
196  0x0000285f 0x0040585f 5   6    .bin    ascii   <bY_p
197  0x0000286f 0x0040586f 8   10   .bin    utf8    )J/\bm)\bյ blocks=Basic Latin,Armenian
198  0x000028d3 0x004058d3 4   5    .bin    ascii   YkE!
199  0x000028f4 0x004058f4 6   7    .bin    ascii   \f_2w<\t
200  0x00002916 0x00405916 6   8    .bin    utf8    \niD<̚k blocks=Basic Latin,Combining Diacritical Marks
201  0x0000296c 0x0040596c 4   5    .bin    ascii   Slw"
202  0x00002982 0x00405982 5   6    .bin    ascii   :oG7;
203  0x000029b2 0x004059b2 5   6    .bin    ascii   |}P`D
204  0x000029c9 0x004059c9 5   8    .bin    utf8    >{_Y蹆 blocks=Basic Latin,CJK Unified Ideographs
205  0x00002a14 0x00405a14 5   6    .bin    ascii   6Kx8v
206  0x00002a4c 0x00405a4c 4   5    .bin    ascii   hM7y
207  0x00002a5a 0x00405a5a 5   7    .bin    utf8    /̕Utp blocks=Basic Latin,Combining Diacritical Marks
208  0x00002a73 0x00405a73 4   6    .bin    utf8    yI\ֆ blocks=Basic Latin,Armenian
209  0x00002ac1 0x00405ac1 4   5    .bin    ascii   G d$
210  0x00002ad4 0x00405ad4 5   7    .bin    utf8    1XP-3
211  0x00002ae3 0x00405ae3 5   6    .bin    ascii   N{6'J
212  0x00002b05 0x00405b05 6   7    .bin    ascii   8ozg#\b
213  0x00002bb3 0x00405bb3 5   6    .bin    ascii   W-4Jh
214  0x00002bba 0x00405bba 4   5    .bin    ascii   f\e~v
215  0x00002bee 0x00405bee 5   6    .bin    ascii   F)'\n\v
216  0x00002c1d 0x00405c1d 6   8    .bin    utf8    UL;,٧? blocks=Basic Latin,Arabic
217  0x00002c2b 0x00405c2b 4   5    .bin    ascii   h$&s
218  0x00002cac 0x00405cac 4   5    .bin    ascii   sFEm
219  0x00002cdd 0x00405cdd 6   7    .bin    ascii   )>r~]j
220  0x00002cf3 0x00405cf3 6   7    .bin    ascii   \n\v-p?~
221  0x00002d25 0x00405d25 5   7    .bin    utf8    ^\fۭ1- blocks=Basic Latin,Arabic
222  0x00002d4f 0x00405d4f 4   6    .bin    utf8    [̖OR blocks=Basic Latin,Combining Diacritical Marks
223  0x00002d91 0x00405d91 4   5    .bin    ascii   W*8+
224  0x00002dc1 0x00405dc1 4   5    .bin    ascii   #j-A
225  0x00002e38 0x00405e38 4   6    .bin    utf8    Q٘A\n blocks=Basic Latin,Arabic
226  0x00002e98 0x00405e98 5   6    .bin    ascii   \EPuO
227  0x00002ee7 0x00405ee7 4   5    .bin    ascii   2iG7
228  0x00002f09 0x00405f09 6   8    .bin    utf8    ^jŏA\nb blocks=Basic Latin,Latin Extended-A
229  0x00002f24 0x00405f24 4   6    .bin    utf8    R\rυD blocks=Basic Latin,Greek and Coptic
230  0x00002f30 0x00405f30 6   9    .bin    utf8    "pǊ<bx blocks=Basic Latin,Latin Extended-B
231  0x00002f3a 0x00405f3a 9   10   .bin    ascii   "z8m\f)1~S
232  0x00002f67 0x00405f67 4   6    .bin    utf8    %ǟV\a blocks=Basic Latin,Latin Extended-B
233  0x00002ff3 0x00405ff3 4   5    .bin    ascii   R5jX
234  0x00002fff 0x00405fff 4   6    .bin    utf8    :bگi blocks=Basic Latin,Arabic
235  0x0000300a 0x0040600a 5   6    .bin    ascii   C<zdQ
236  0x00003035 0x00406035 6   9    .bin    utf8    `87̞­Z blocks=Basic Latin,Combining Diacritical Marks,Latin-1 Supplement
237  0x00003056 0x00406056 5   6    .bin    ascii   "t9V^
238  0x000030dc 0x004060dc 5   7    .bin    utf8    ;c`nJ
239  0x00003158 0x00406158 4   5    .bin    ascii   9L+`
240  0x0000315f 0x0040615f 4   7    .bin    utf8    q◙\tO blocks=Basic Latin,Geometric Shapes
241  0x000031c7 0x004061c7 6   7    .bin    ascii   \\]Qf}
242  0x000031e4 0x004061e4 4   6    .bin    utf8    u͢Li blocks=Basic Latin,Combining Diacritical Marks
243  0x000031f0 0x004061f0 4   6    .bin    utf8    7ލ\tv blocks=Basic Latin,Thaana
244  0x00003208 0x00406208 5   7    .bin    utf8    PӁ2'4 blocks=Basic Latin,Cyrillic
245  0x00003210 0x00406210 4   5    .bin    ascii   0{!N
246  0x00003233 0x00406233 4   5    .bin    ascii   7iEY
247  0x00003255 0x00406255 4   7    .bin    utf8    fߗʣv blocks=Basic Latin,NKo,IPA Extensions
248  0x00003270 0x00406270 5   6    .bin    ascii   J}GEK
249  0x00003297 0x00406297 5   6    .bin    ascii   ,!nBR
250  0x000032b5 0x004062b5 5   6    .bin    ascii   Yqw~Q
251  0x00003303 0x00406303 4   5    .bin    ascii   bAEk
252  0x0000330c 0x0040630c 5   7    .bin    utf8    tuKò3 blocks=Basic Latin,Latin-1 Supplement
253  0x00003338 0x00406338 6   7    .bin    ascii   '\n;/2e
254  0x0000335a 0x0040635a 4   5    .bin    ascii   Ud4F
255  0x0000338c 0x0040638c 4   5    .bin    ascii   4p1p
256  0x0000339f 0x0040639f 4   5    .bin    ascii   fP\nE
257  0x000033a6 0x004063a6 7   8    .bin    ascii   [10k}Aa
258  0x00003426 0x00406426 4   8    .bin    utf8    3ғນR blocks=Basic Latin,Cyrillic,Lao
259  0x00003507 0x00406507 4   5    .bin    ascii   N0X|
260  0x0000350c 0x0040650c 4   5    .bin    ascii   4{OY
261  0x00003526 0x00406526 5   6    .bin    ascii   811,$
262  0x00003553 0x00406553 4   6    .bin    utf8    ]*ńF blocks=Basic Latin,Latin Extended-A
263  0x00003560 0x00406560 4   5    .bin    ascii   F\bs{
264  0x00003573 0x00406573 4   5    .bin    ascii   Y+hF
265  0x0000358e 0x0040658e 4   5    .bin    ascii   XM;L
266  0x000035ef 0x004065ef 5   7    .bin    utf8    z@Ȫ;r blocks=Basic Latin,Latin Extended-B
267  0x00003602 0x00406602 4   5    .bin    ascii   qB8e
268  0x0000363e 0x0040663e 7   8    .bin    ascii   K,YKRSF
269  0x00003690 0x00406690 8   10   .bin    utf8    E)\rGy/ѳz blocks=Basic Latin,Cyrillic
270  0x0000376c 0x0040676c 6   7    .bin    ascii   v\baiH2
271  0x00003773 0x00406773 4   5    .bin    ascii   [yY{
272  0x00003798 0x00406798 5   7    .bin    utf8    :u`ӹ~ blocks=Basic Latin,Cyrillic
273  0x000037a7 0x004067a7 5   7    .bin    utf8    ʽwD`\e blocks=Spacing Modifier Letters,Basic Latin
274  0x00003814 0x00406814 4   6    .bin    utf8    yg͈_ blocks=Basic Latin,Combining Diacritical Marks
275  0x0000385c 0x0040685c 4   6    .bin    utf8    QۋK9 blocks=Basic Latin,Arabic
276  0x0000386d 0x0040686d 8   9    .bin    ascii   d9;>1pZl
277  0x000038a0 0x004068a0 5   6    .bin    ascii   Q\r\nQ:
278  0x000038bf 0x004068bf 4   5    .bin    ascii   VYR#
279  0x000038f5 0x004068f5 5   6    .bin    ascii   K;yFF
280  0x0000391b 0x0040691b 4   5    .bin    ascii   tLLb
281  0x0000392e 0x0040692e 5   7    .bin    utf8    kO\bWؔ blocks=Basic Latin,Arabic
282  0x0000393b 0x0040693b 4   8    .bin    utf8    gJ{*
283  0x00003952 0x00406952 4   5    .bin    ascii   *Wgx
284  0x000039ca 0x004069ca 4   6    .bin    utf8    $ɩ\ep blocks=Basic Latin,IPA Extensions
285  0x000039d7 0x004069d7 4   5    .bin    ascii   O{9;
286  0x00003a7c 0x00406a7c 4   5    .bin    ascii   K\tu{
287  0x00003a8e 0x00406a8e 4   5    .bin    ascii   sn-3
288  0x00003a9c 0x00406a9c 4   6    .bin    utf8    Ґ+pc blocks=Cyrillic,Basic Latin
289  0x00003ab4 0x00406ab4 4   6    .bin    utf8    6:<ٜ blocks=Basic Latin,Arabic
290  0x00003b21 0x00406b21 5   8    .bin    utf8    b,`B绮 blocks=Basic Latin,CJK Unified Ideographs
291  0x00003b6e 0x00406b6e 4   5    .bin    ascii   :],4
292  0x00003bbf 0x00406bbf 7   8    .bin    ascii   "yVA\fww
293  0x00003bec 0x00406bec 4   5    .bin    ascii   D<;}
294  0x00003cb0 0x00406cb0 4   6    .bin    utf8    HVEچ blocks=Basic Latin,Arabic
295  0x00003ccb 0x00406ccb 4   5    .bin    ascii   N)Wl
296  0x00003d74 0x00406d74 4   5    .bin    ascii   2)+y
297  0x00003d91 0x00406d91 4   5    .bin    ascii   (z%E
298  0x00003d96 0x00406d96 6   7    .bin    ascii   4/b\v 5
299  0x00003de2 0x00406de2 4   5    .bin    ascii   W \vX
300  0x00003e19 0x00406e19 5   6    .bin    ascii   t+[DS
301  0x00003e3e 0x00406e3e 4   6    .bin    utf8    UNǯj blocks=Basic Latin,Latin Extended-B
302  0x00003e44 0x00406e44 4   5    .bin    ascii   \f\v\fJ
303  0x00003e5c 0x00406e5c 5   7    .bin    utf8    'PHĈM blocks=Basic Latin,Latin Extended-A
304  0x00003e69 0x00406e69 4   5    .bin    ascii   2q3:
305  0x00003e93 0x00406e93 4   5    .bin    ascii   zv 7
306  0x00003ece 0x00406ece 7   10   .bin    utf8    tԥI{2q\a blocks=Basic Latin,Cyrillic Supplement
307  0x00003f65 0x00406f65 4   5    .bin    ascii   vWtC
308  0x00003f82 0x00406f82 14  16   .bin    utf8    \rhf6ՂC\vh~vIc\rA blocks=Basic Latin,Armenian
309  0x00003fe2 0x00406fe2 4   6    .bin    utf8    B0L\v
310  0x00003fef 0x00406fef 4   5    .bin    ascii   \foIu
311  0x0000408d 0x0040708d 6   7    .bin    ascii   gb"TpN
312  0x00004099 0x00407099 4   5    .bin    ascii   Zm(^
313  0x000040a6 0x004070a6 4   5    .bin    ascii   g@Cl
314  0x000040ac 0x004070ac 5   6    .bin    ascii   B[QUG
315  0x000040e1 0x004070e1 4   5    .bin    ascii   n=\}
316  0x000040ee 0x004070ee 5   7    .bin    utf8    ڞvU\e~ blocks=Arabic,Basic Latin
317  0x00004110 0x00407110 4   7    .bin    utf8    wډ]֤ blocks=Basic Latin,Arabic,Hebrew
318  0x00004131 0x00407131 5   6    .bin    ascii    g()C
319  0x00004174 0x00407174 4   6    .bin    utf8    $h3ϼ blocks=Basic Latin,Greek and Coptic
320  0x000041ac 0x004071ac 5   6    .bin    ascii   1AXr^
321  0x000041c3 0x004071c3 6   8    .bin    utf8    \n3\bQշ" blocks=Basic Latin,Armenian
322  0x000041d0 0x004071d0 5   7    .bin    utf8    40 ܓ\n blocks=Basic Latin,Syriac
323  0x0000427d 0x0040727d 4   5    .bin    ascii   5ww.
324  0x000042c8 0x004072c8 4   6    .bin    utf8    {Э-} blocks=Basic Latin,Cyrillic
325  0x00004300 0x00407300 5   7    .bin    utf8    |˅#\v< blocks=Basic Latin,Spacing Modifier Letters
326  0x0000430f 0x0040730f 4   6    .bin    utf8    SRHg
327  0x0000432b 0x0040732b 5   6    .bin    ascii   FCY+O
328  0x000043f4 0x004073f4 5   6    .bin    ascii   kP[Xn
329  0x00004460 0x00407460 4   6    .bin    utf8    fXzأ blocks=Basic Latin,Arabic
330  0x0000449c 0x0040749c 5   8    .bin    utf8    GJtɿ® blocks=Basic Latin,IPA Extensions,Latin-1 Supplement
331  0x000044a7 0x004074a7 5   6    .bin    ascii   =i1,-
332  0x000044b5 0x004074b5 4   5    .bin    ascii   6Z}:
333  0x000044ba 0x004074ba 5   6    .bin    ascii   eTn6E
334  0x000044d4 0x004074d4 4   5    .bin    ascii   j\nv\r
335  0x000044f4 0x004074f4 4   5    .bin    ascii   >@~\f
336  0x00004528 0x00407528 4   6    .bin    utf8    ٻ_e. blocks=Arabic,Basic Latin
337  0x00004534 0x00407534 4   5    .bin    ascii   + #A
338  0x00004559 0x00407559 4   5    .bin    ascii   DKjf
339  0x0000458f 0x0040758f 8   11   .bin    utf8    %E\fﰠS\fTO blocks=Basic Latin,Arabic Presentation Forms-A
340  0x000045b9 0x004075b9 4   5    .bin    ascii   6":'
341  0x000045c4 0x004075c4 4   5    .bin    ascii   \n1go
342  0x00004661 0x00407661 5   6    .bin    ascii   `XQ]'
343  0x000046b0 0x004076b0 9   10   .bin    ascii   ZkpqnW^X\f
344  0x000046bc 0x004076bc 5   6    .bin    ascii   oPa6Y
345  0x000046c2 0x004076c2 4   7    .bin    utf8    _(ѿӨ blocks=Basic Latin,Cyrillic
346  0x000046cb 0x004076cb 4   5    .bin    ascii   ~3on
347  0x00004707 0x00407707 4   6    .bin    utf8    V^Ώv blocks=Basic Latin,Greek and Coptic
