[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
104  0x00002d8d 0x0040398d 4   5    .text   ascii   D$\b0
105  0x00002dc4 0x004039c4 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
106  0x00002de9 0x004039e9 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
107  0x00002e0c 0x00403a0c 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
108  0x00002e13 0x00403a13 4   5    .text   ascii   D$\bR
109  0x00002e57 0x00403a57 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
110  0x00002e7c 0x00403a7c 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
111  0x00002e9f 0x00403a9f 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
112  0x00002ea6 0x00403aa6 4   5    .text   ascii   D$\bI
113  0x00002efc 0x00403afc 4   6    .text   utf8    )čD$ blocks=Basic Latin,Latin Extended-A
114  0x00002fa6 0x00403ba6 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
115  0x00002fcb 0x00403bcb 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
116  0x00002fee 0x00403bee 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
117  0x00002ff5 0x00403bf5 4   5    .text   ascii   D$\b7
118  0x0000304f 0x00403c4f 4   6    .text   utf8    )čD$ blocks=Basic Latin,Latin Extended-A
119  0x00003126 0x00403d26 4   5    .text   ascii   D$\b`
120  0x0000315d 0x00403d5d 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
121  0x00003182 0x00403d82 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
122  0x000031a5 0x00403da5 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
123  0x000031ac 0x00403dac 4   5    .text   ascii   D$\b>
124  0x000031c8 0x00403dc8 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
125  0x000031cf 0x00403dcf 4   5    .text   ascii   D$\b8
126  0x00003229 0x00403e29 4   6    .text   utf8    )čD$ blocks=Basic Latin,Latin Extended-A
127  0x000032d9 0x00403ed9 4   5    .text   ascii   D$\bP
128  0x00003314 0x00403f14 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
129  0x00003339 0x00403f39 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
130  0x0000335c 0x00403f5c 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
131  0x00003363 0x00403f63 4   5    .text   ascii   D$\b1
132  0x000033c3 0x00403fc3 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
133  0x000033e8 0x00403fe8 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
134  0x0000340b 0x0040400b 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
135  0x00003412 0x00404012 4   5    .text   ascii   D$\bO
136  0x00003452 0x00404052 5   7    .text   utf8    t\fǅ\i blocks=Basic Latin,Latin Extended-B
137  0x00003461 0x00404061 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
138  0x000034b0 0x004040b0 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
139  0x000034f5 0x004040f5 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
140  0x0000353e 0x0040413e 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
141  0x0000358b 0x0040418b 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
142  0x000035ae 0x004041ae 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
143  0x000035b5 0x004041b5 4   5    .text   ascii   D$\b>
144  0x000035e2 0x004041e2 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
145  0x00003607 0x00404207 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
146  0x0000362a 0x0040422a 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
147  0x00003631 0x00404231 4   5    .text   ascii   D$\bR
148  0x0000368a 0x0040428a 4   6    .text   utf8    )čD$ blocks=Basic Latin,Latin Extended-A
149  0x000036dc 0x004042dc 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
150  0x00003701 0x00404301 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
151  0x00003724 0x00404324 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
152  0x00003747 0x00404347 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
153  0x0000374e 0x0040434e 4   5    .text   ascii   D$\b,
154  0x00003772 0x00404372 4   5    .text   ascii   D$\bp
155  0x0000379a 0x0040439a 4   5    .text   ascii   D$\bp
156  0x000037c2 0x004043c2 4   5    .text   ascii   D$\bp
157  0x000037e2 0x004043e2 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
158  0x00003807 0x00404407 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
159  0x0000382a 0x0040442a 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
160  0x00003831 0x00404431 4   5    .text   ascii   D$\b<
161  0x00003865 0x00404465 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
162  0x0000388a 0x0040448a 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
163  0x000038ad 0x004044ad 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
164  0x000038b4 0x004044b4 4   5    .text   ascii   D$\bH
165  0x000038e0 0x004044e0 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
166  0x00003905 0x00404505 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
167  0x00003928 0x00404528 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
168  0x0000392f 0x0040452f 4   5    .text   ascii   D$\bG
169  0x0000395b 0x0040455b 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
170  0x00003980 0x00404580 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
171  0x000039a3 0x004045a3 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
172  0x000039aa 0x004045aa 4   5    .text   ascii   D$\b2
173  0x000039ff 0x004045ff 4   6    .text   utf8    )čD$ blocks=Basic Latin,Latin Extended-A
174  0x00003ab0 0x004046b0 4   5    .text   ascii   D$\b%
175  0x00003ace 0x004046ce 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
176  0x00003b01 0x00404701 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
177  0x00003b24 0x00404724 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
178  0x00003b2b 0x0040472b 4   5    .text   ascii   D$\b>
179  0x00003b58 0x00404758 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
180  0x00003b7d 0x0040477d 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
181  0x00003ba0 0x004047a0 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
182  0x00003ba7 0x004047a7 4   5    .text   ascii   D$\b>
183  0x00003bd4 0x004047d4 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
184  0x00003bf9 0x004047f9 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
185  0x00003c1c 0x0040481c 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
186  0x00003c23 0x00404823 4   5    .text   ascii   D$\b>
187  0x00003c50 0x00404850 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
188  0x00003c75 0x00404875 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
189  0x00003c98 0x00404898 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
190  0x00003c9f 0x0040489f 4   5    .text   ascii   D$\b>
191  0x00003ccc 0x004048cc 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
192  0x00003cf1 0x004048f1 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
193  0x00003d14 0x00404914 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
194  0x00003d1b 0x0040491b 4   5    .text   ascii   D$\b9
195  0x00003d48 0x00404948 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
196  0x00003d6d 0x0040496d 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
197  0x00003d90 0x00404990 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
198  0x00003db3 0x004049b3 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
199  0x00003dba 0x004049ba 4   5    .text   ascii   D$\bl
200  0x00003e15 0x00404a15 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
201  0x00003e3a 0x00404a3a 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
202  0x00003e5f 0x00404a5f 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
203  0x00003e82 0x00404a82 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
204  0x00003e89 0x00404a89 4   5    .text   ascii   D$\b'
205  0x00003ebd 0x00404abd 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
206  0x00003ee2 0x00404ae2 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
207  0x00003f05 0x00404b05 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
208  0x00003f28 0x00404b28 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
209  0x00003f2f 0x00404b2f 4   5    .text   ascii   D$\b9
210  0x00003fc4 0x00404bc4 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
211  0x00003fe7 0x00404be7 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
212  0x00003fee 0x00404bee 4   5    .text   ascii   D$\b@
213  0x00004047 0x00404c47 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
214  0x0000406c 0x00404c6c 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
215  0x0000408f 0x00404c8f 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
216  0x000040b2 0x00404cb2 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
217  0x000040df 0x00404cdf 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
218  0x000040e6 0x00404ce6 4   5    .text   ascii   D$\b;
219  0x0000411e 0x00404d1e 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
220  0x00004143 0x00404d43 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
221  0x00004166 0x00404d66 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
222  0x0000416d 0x00404d6d 4   5    .text   ascii   D$\b?
223  0x000041a5 0x00404da5 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
224  0x000041ca 0x00404dca 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
225  0x000041ed 0x00404ded 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
226  0x000041f4 0x00404df4 4   5    .text   ascii   D$\b>
227  0x0000422c 0x00404e2c 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
228  0x00004251 0x00404e51 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
229  0x00004274 0x00404e74 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
230  0x00004297 0x00404e97 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
231  0x0000429e 0x00404e9e 4   5    .text   ascii   D$\bR
232  0x000042ba 0x00404eba 4   5    .text   ascii   D$\f+
233  0x000042c2 0x00404ec2 4   5    .text   ascii   D$\b"
234  0x000042e2 0x00404ee2 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
235  0x00004307 0x00404f07 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
236  0x0000432a 0x00404f2a 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
237  0x00004331 0x00404f31 4   5    .text   ascii   D$\bH
238  0x0000437d 0x00404f7d 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
239  0x000043a2 0x00404fa2 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
240  0x000043c5 0x00404fc5 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
241  0x000043cc 0x00404fcc 4   5    .text   ascii   D$\bA
242  0x000043ed 0x00404fed 6   7    .text   ascii   cAMDu\t
243  0x00004416 0x00405016 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
244  0x0000443b 0x0040503b 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
245  0x0000445e 0x0040505e 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
246  0x00004465 0x00405065 4   5    .text   ascii   D$\bE
247  0x0000448f 0x0040508f 4   5    .text   ascii   D$\b/
248  0x000044b1 0x004050b1 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
249  0x000044d6 0x004050d6 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
250  0x000044f9 0x004050f9 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
251  0x00004557 0x00405157 4   5    .text   ascii   D$\bg
252  0x0000462f 0x0040522f 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
253  0x00004636 0x00405236 4   5    .text   ascii   D$\bh
254  0x0000468b 0x0040528b 6   9    .text   utf8    \t~ڋE؋U blocks=Basic Latin,Arabic
255  0x00004695 0x00405295 4   5    .text   ascii   D$\b\n
256  0x000046b1 0x004052b1 5   8    .text   utf8    E؉U܃} blocks=Basic Latin,Arabic,Syriac
257  0x000046d8 0x004052d8 7   10   .text   utf8    E؋U܉D$\b blocks=Basic Latin,Arabic,Syriac
258  0x000046fb 0x004052fb 6   9    .text   utf8    E؋U܉D$ blocks=Basic Latin,Arabic,Syriac
259  0x00004709 0x00405309 7   10   .text   utf8    E؋U܉D$\b blocks=Basic Latin,Arabic,Syriac
