[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
762  0x0000fc11 0x10010811 7   8    .text   ascii   \Lowu\aP
763  0x0000fc4d 0x1001084d 5   6    .text   ascii   t\rhsT
764  0x0000fc68 0x10010868 4   6    .text   utf8    ^]Ë\r blocks=Basic Latin,Latin-1 Supplement
765  0x0000fc85 0x10010885 4   5    .text   ascii   t\v@;
766  0x0000fc97 0x10010897 4   5    .text   ascii   Vj$3
767  0x0000fcfc 0x100108fc 4   5    .text   ascii   ;M\bu
768  0x0000ff45 0x10010b45 6   7    .text   ascii   E\fPj@j
769  0x00010031 0x10010c31 4   5    .text   ascii   t$\b3
770  0x00010104 0x10010d04 4   5    .text   ascii   t#Vj
771  0x00010183 0x10010d83 4   5    .text   ascii   Pj@j
772  0x000101f1 0x10010df1 4   5    .text   ascii   Pj@j
773  0x0001035d 0x10010f5d 4   5    .text   ascii   Pj@j
774  0x00010442 0x10011042 4   5    .text   ascii   Pj@S
775  0x00010499 0x10011099 4   5    .text   ascii   Pj@j
776  0x000104a6 0x100110a6 4   6    .text   utf8    F\b+Ã blocks=Basic Latin,Latin-1 Supplement
777  0x000104c1 0x100110c1 4   5    .text   ascii   Pj@j
778  0x000104f4 0x100110f4 4   5    .text   ascii   Pj@j
779  0x0001057a 0x1001117a 4   5    .text   ascii   Pj@j
780  0x000105e8 0x100111e8 4   5    .text   ascii   SUVh
781  0x0001063d 0x1001123d 4   5    .text   ascii   SVW3
782  0x00010642 0x10011242 4   5    .text   ascii   9]\fj
783  0x00010666 0x10011266 6   7    .text   ascii   Ht"HuB
784  0x000106b8 0x100112b8 4   5    .text   ascii   _^[]
785  0x000106c9 0x100112c9 4   5    .text   ascii   ~WSU
786  0x0001071e 0x1001131e 4   5    .text   ascii   _^][
787  0x00010731 0x10011331 4   5    .text   ascii   D$\fW
788  0x00010759 0x10011359 6   7    .text   ascii   VWj\b^j
789  0x00010778 0x10011378 4   5    .text   ascii   G\fp8
790  0x000107d3 0x100113d3 4   5    .text   ascii   tbSV
791  0x00010835 0x10011435 4   5    .text   ascii   ^[_]
792  0x0001083a 0x1001143a 4   5    .text   ascii   Sj\f3
793  0x000108e2 0x100114e2 4   6    .text   utf8    [Ë\bi blocks=Basic Latin,Latin-1 Supplement
794  0x000108fe 0x100114fe 4   5    .text   ascii   n<Vf
795  0x00010927 0x10011527 5   7    .text   utf8    ΈL:\bG blocks=Greek and Coptic,Basic Latin
796  0x00010934 0x10011534 6   8    .text   utf8    _^Ã|$\b blocks=Basic Latin,Latin-1 Supplement
797  0x0001099c 0x1001159c 6   7    .text   ascii   SVWj'^
798  0x000109c4 0x100115c4 4   5    .text   ascii   9}\bt
799  0x00010a0f 0x1001160f 7   8    .text   ascii   \$\bVWS3
800  0x00010a99 0x10011699 4   5    .text   ascii   QVW3
801  0x00010ace 0x100116ce 6   7    .text   ascii   t89}\bt
802  0x00010ad6 0x100116d6 4   5    .text   ascii   u\bWh
803  0x00010afc 0x100116fc 6   7    .text   ascii   9}\bt\aV
804  0x00010b76 0x10011776 4   5    .text   ascii   t^Vh
805  0x00010b95 0x10011795 8   9    .text   ascii   E\bt=VVSP
806  0x00010c1f 0x1001181f 5   6    .text   ascii   ;U\bt\b
807  0x00010cb6 0x100118b6 6   7    .text   ascii   SVWh<a
808  0x00010d5f 0x1001195f 8   12   .text   utf8    \b;ЉE؉M܉U blocks=Basic Latin,Cyrillic,Arabic,Syriac
809  0x00010e03 0x10011a03 4   5    .text   ascii   K\fsX
810  0x00010f53 0x10011b53 4   5    .text   ascii   ]\bW3
811  0x00010f67 0x10011b67 4   5    .text   ascii   D$0P
812  0x00010fa3 0x10011ba3 6   8    .text   utf8    \tD$\fu\v
813  0x00010ffa 0x10011bfa 5   7    .text   utf8    D$\f3Ƀ blocks=Basic Latin,Latin Extended-B
814  0x000111c3 0x10011dc3 7   8    .text   ascii   QSVWj\b[
815  0x000111d9 0x10011dd9 4   5    .text   ascii   tIWj
816  0x00011231 0x10011e31 4   5    .text   ascii   SUVW
817  0x00011289 0x10011e89 5   6    .text   ascii   u&9|$
818  0x000112c8 0x10011ec8 4   5    .text   ascii   ~\bvu
819  0x000112d7 0x10011ed7 6   7    .text   ascii   \8 hvX
820  0x000112e4 0x10011ee4 5   6    .text   ascii   t0j.S
821  0x0001130d 0x10011f0d 4   5    .text   ascii   D$$;
822  0x00011357 0x10011f57 4   5    .text   ascii   _^][
823  0x0001136f 0x10011f6f 7   11   .text   utf8    3ۉ]ȉủu blocks=Basic Latin,Arabic,Latin Extended-B,Combining Diacritical Marks
824  0x000113ff 0x10011fff 5   8    .text   utf8    EĉẼM blocks=Basic Latin,Latin Extended-A,Combining Diacritical Marks
825  0x000114ad 0x100120ad 5   6    .text   ascii   `VWj'
826  0x00011503 0x10012103 4   5    .text   ascii   |*j(
827  0x000115d2 0x100121d2 5   6    .text   ascii   QVWh\b
828  0x000115f1 0x100121f1 4   5    .text   ascii   u\bt\b
829  0x000116eb 0x100122eb 4   5    .text   ascii   QVW3
830  0x00011859 0x10012459 4   5    .text   ascii   SVW3
831  0x000118b5 0x100124b5 4   5    .text   ascii   4\b3u
832  0x000118fe 0x100124fe 5   6    .text   ascii   =pnls
833  0x000119ae 0x100125ae 4   6    .text   utf8    FFHu
834  0x00011a86 0x10012686 4   5    .text   ascii   UVW3
835  0x00011ae6 0x100126e6 4   5    .text   ascii   t$\fV
836  0x00011b50 0x10012750 4   5    .text   ascii   QSVW
837  0x00011bf7 0x100127f7 4   5    .text   ascii   t$\fj
838  0x00011c1e 0x1001281e 6   7    .text   ascii   SVWj\b^
839  0x00011c34 0x10012834 4   5    .text   ascii   tG9}
840  0x00011c8d 0x1001288d 4   5    .text   ascii   D$\b\b
841  0x00011ccb 0x100128cb 5   6    .text   ascii   tghnT
842  0x00011d08 0x10012908 5   6    .text   ascii   PPhbV
843  0x00011d17 0x10012917 4   5    .text   ascii   SPVU
844  0x00011d5a 0x1001295a 5   6    .text   ascii   Vj\b^V
845  0x00011d92 0x10012992 10  13   .text   utf8    օ\tD$$u\rj\nU blocks=Armenian,Basic Latin
846  0x00011d9f 0x1001299f 7   10   .text   utf8    օ\tD$$t\v blocks=Armenian,Basic Latin
847  0x00011e4e 0x10012a4e 4   5    .text   ascii   \bPSW
848  0x00011ec2 0x10012ac2 4   5    .text   ascii   QSVW
849  0x00011edd 0x10012add 4   5    .text   ascii   ;]\bu
850  0x00011f61 0x10012b61 5   6    .text   ascii   YYj:S
851  0x00011f70 0x10012b70 6   7    .text   ascii   u\t9E\ft
852  0x00011fd0 0x10012bd0 5   6    .text   ascii   D$\f_[
853  0x00011fea 0x10012bea 4   5    .text   ascii   j FW
854  0x00011ff0 0x10012bf0 5   6    .text   ascii   Fj @P
855  0x00012088 0x10012c88 7   10   .text   utf8    (VW3\r}ܫ blocks=Basic Latin,Syriac
856  0x000120ef 0x10012cef 6   7    .text   ascii   E\bPVVj
857  0x0001210e 0x10012d0e 4   5    .text   ascii   u\bSj
858  0x0001216a 0x10012d6a 7   8    .text   ascii   5tolsPj
859  0x0001218b 0x10012d8b 5   6    .text   ascii   }nls3
860  0x000121f1 0x10012df1 4   5    .text   ascii   t$WW
861  0x0001224f 0x10012e4f 5   8    .text   utf8    }܉M؉E blocks=Basic Latin,Syriac,Arabic
862  0x00012302 0x10012f02 4   5    .text   ascii   uMj.
863  0x0001239f 0x10012f9f 4   5    .text   ascii   \t<0}
864  0x00012403 0x10013003 5   6    .text   ascii   u\fj\rX
865  0x00012434 0x10013034 5   6    .text   ascii   \$\bV3
866  0x0001243c 0x1001303c 4   5    .text   ascii   tCWS
867  0x00012457 0x10013057 5   6    .text   ascii   D6"Pj
868  0x00012507 0x10013107 8   9    .text   ascii   ;E\b_^t\aP
869  0x0001253d 0x1001313d 7   9    .text   utf8    ;ǉE\buvV blocks=Basic Latin,Latin Extended-B
870  0x00012561 0x10013161 5   6    .text   ascii   E\btKS
871  0x00012586 0x10013186 5   7    .text   utf8    ;ǉE\bu blocks=Basic Latin,Latin Extended-B
872  0x000125fc 0x100131fc 6   7    .text   ascii   <A|\f<Z
873  0x00012615 0x10013215 5   6    .text   ascii   ?u\nGF
874  0x0001262a 0x1001322a 4   5    .text   ascii   *u\rG
875  0x0001264f 0x1001324f 6   7    .text   ascii   <A|\f<Z
876  0x000126bb 0x100132bb 8   9    .text   ascii   <*t9<?t5
877  0x000126da 0x100132da 7   8    .text   ascii   \a<A|\f<Z
878  0x0001271c 0x1001331c 7   8    .text   ascii   \a<A|\f<Z
879  0x00012758 0x10013358 5   6    .text   ascii   u\f9]\f
880  0x00012777 0x10013377 4   5    .text   ascii   M\fQP
881  0x0001279a 0x1001339a 4   5    .text   ascii   \b+u\f
882  0x000127c9 0x100133c9 4   5    .text   ascii   ;}\f}
883  0x000127d3 0x100133d3 4   5    .text   ascii   u\aGB
884  0x000129f8 0x100135f8 7   9    .text   utf8    C\f;ƋK\br blocks=Basic Latin,Latin Extended-B
885  0x00012a2a 0x1001362a 7   8    .text   ascii   u\r9E\bu\b
886  0x00012a4e 0x1001364e 5   8    .text   utf8    3ۉ]܉] blocks=Basic Latin,Arabic,Syriac
887  0x00012a9d 0x1001369d 5   8    .text   utf8    ʉM̋}\f blocks=IPA Extensions,Basic Latin,Combining Diacritical Marks
888  0x00012acb 0x100136cb 4   6    .text   utf8    }ċ^  blocks=Basic Latin,Latin Extended-A
889  0x00012ad1 0x100136d1 4   7    .text   utf8    ډ]ȃe blocks=Arabic,Basic Latin,Latin Extended-B
890  0x00012aff 0x100136ff 4   6    .text   utf8    EЋM\f blocks=Basic Latin,Cyrillic
891  0x00012b0c 0x1001370c 4   5    .text   ascii   u'QP
892  0x00012b63 0x10013763 4   6    .text   utf8    E؋U\b blocks=Basic Latin,Arabic
893  0x00012c06 0x10013806 4   5    .text   ascii   t2j\f
894  0x00012c6a 0x1001386a 6   7    .text   ascii   z\f9}\br
895  0x00012c82 0x10013882 4   5    .text   ascii   9]\br
896  0x00012c90 0x10013890 4   5    .text   ascii   (f9E
897  0x00012c9f 0x1001389f 5   6    .text   ascii   E\b_^[
898  0x00012cc0 0x100138c0 4   5    .text   ascii   91u\n
899  0x00012d24 0x10013924 4   5    .text   ascii   j\b^;
900  0x00012da5 0x100139a5 4   5    .text   ascii   E\bPh
901  0x00012dc7 0x100139c7 5   6    .text   ascii   PVh>g
902  0x00012deb 0x100139eb 5   6    .text   ascii   \bVhGg
903  0x00012e6d 0x10013a6d 5   6    .text   ascii   9F\buE
904  0x00012f52 0x10013b52 6   7    .text   ascii   SVWhvX
905  0x00012f88 0x10013b88 4   6    .text   utf8    3Ƀd$ blocks=Basic Latin,Latin Extended-B
906  0x00012fa8 0x10013ba8 4   6    .text   utf8    3\r|$
907  0x00012fbe 0x10013bbe 5   6    .text   ascii   D$ <;
908  0x00012fd5 0x10013bd5 4   5    .text   ascii   uF;F
909  0x00013060 0x10013c60 6   7    .text   ascii   t^VWh)
910  0x000130cd 0x10013ccd 6   10   .text   utf8    SW3\r}櫫 blocks=Basic Latin,CJK Unified Ideographs
911  0x00013161 0x10013d61 5   6    .text   ascii   t\bjW_
912  0x000131d9 0x10013dd9 5   6    .text   ascii   u~jW_
913  0x0001333f 0x10013f3f 4   5    .text   ascii    SW3
914  0x0001337b 0x10013f7b 5   6    .text   ascii   jW_t\n
915  0x000133c0 0x10013fc0 4   5    .text   ascii   \atWf
916  0x000133fa 0x10013ffa 4   5    .text   ascii   [Sj\b
917  0x00013468 0x10014068 4   5    .text   ascii   u\bW3
918  0x00013530 0x10014130 4   5    .text   ascii   E`Ph
919  0x00013543 0x10014143 4   5    .text   ascii   E`0u
920  0x000135ba 0x100141ba 4   5    .text   ascii   ElPh
921  0x000135de 0x100141de 4   5    .text   ascii   ElPh
922  0x000135ff 0x100141ff 6   7    .text   ascii   EdPh~f
923  0x00013619 0x10014219 6   7    .text   ascii   EdPh~f
924  0x00013634 0x10014234 7   8    .text   ascii   ElPSSj\f
925  0x0001363c 0x1001423c 4   5    .text   ascii   ETPh
926  0x0001371c 0x1001431c 4   5    .text   ascii   tTSh
927  0x0001372f 0x1001432f 4   6    .text   utf8    ;ÉEp blocks=Basic Latin,Latin-1 Supplement
928  0x0001374c 0x1001434c 6   7    .text   ascii   ~\a)Epu
929  0x00013795 0x10014395 5   6    .text   ascii   tY9^(
930  0x000137b2 0x100143b2 4   6    .text   utf8    ;ÉEp blocks=Basic Latin,Latin-1 Supplement
931  0x000137ce 0x100143ce 6   7    .text   ascii   ~\a)Epu
932  0x000137e5 0x100143e5 4   5    .text   ascii   E|ut
933  0x000137f0 0x100143f0 5   6    .text   ascii   9]pu)
934  0x00013831 0x10014431 9   11   .text   utf8    P$;ÉE|u#W blocks=Basic Latin,Latin-1 Supplement
935  0x00013845 0x10014445 6   8    .text   utf8    P(;ÉE| blocks=Basic Latin,Latin-1 Supplement
936  0x00013890 0x10014490 5   6    .text   ascii   E|_^[
937  0x000138a2 0x100144a2 4   5    .text   ascii   SVW3
938  0x000138e0 0x100144e0 5   8    .text   utf8    j0SV蹞 blocks=Basic Latin,CJK Unified Ideographs
939  0x000138f9 0x100144f9 5   6    .text   ascii   PSSj\f
940  0x00013920 0x10014520 4   5    .text   ascii   9_0t
941  0x00013947 0x10014547 5   7    .text   utf8    W$;ÉE blocks=Basic Latin,Latin-1 Supplement
942  0x000139cf 0x100145cf 5   6    .text   ascii   TSVW3
943  0x000139d5 0x100145d5 5   7    .text   utf8    3ɉ|$\f blocks=Basic Latin,Latin Extended-B
944  0x00013a19 0x10014619 4   5    .text   ascii   D$ P
945  0x00013a40 0x10014640 4   5    .text   ascii   N,QP
946  0x00013a56 0x10014656 5   6    .text   ascii   ^<j6P
947  0x00013a65 0x10014665 4   5    .text   ascii   D$2P
948  0x00013a79 0x10014679 4   5    .text   ascii   D$0P
949  0x00013a92 0x10014692 5   6    .text   ascii   D$`j8
950  0x00013a98 0x10014698 5   6    .text   ascii   D$0PS
951  0x00013ab7 0x100146b7 9   11   .text   utf8    \tD$\fu?9D$
952  0x00013ac6 0x100146c6 4   5    .text   ascii   PGWW
953  0x00013ade 0x100146de 5   7    .text   utf8    \tD$\fu
954  0x00013af2 0x100146f2 4   5    .text   ascii   D$\f3
955  0x00013af7 0x100146f7 6   7    .text   ascii   9|$\ftQ
956  0x00013b11 0x10014711 12  13   .text   ascii   D$\f9|$\ft49|$
957  0x00013b21 0x10014721 4   5    .text   ascii   t$\fj
958  0x00013ba1 0x100147a1 7   9    .text   utf8    \tD$\ft\aS
959  0x00013bec 0x100147ec 6   7    .text   ascii   D$\f_^[
960  0x00013c58 0x10014858 4   5    .text   ascii   SVW3
961  0x00013c61 0x10014861 8   9    .text   ascii   |$\fu\bjW[
962  0x00013c9a 0x1001489a 5   6    .text   ascii   u\bj\b[
963  0x00013ca4 0x100148a4 4   5    .text   ascii   jTWV
964  0x00013ccc 0x100148cc 4   5    .text   ascii   WWSW
965  0x00013cdb 0x100148db 6   8    .text   utf8    ;ǉF@tw blocks=Basic Latin,Latin Extended-B
966  0x00013ce3 0x100148e3 7   9    .text   utf8    E\f;ǉFDu blocks=Basic Latin,Latin Extended-B
967  0x00013cf5 0x100148f5 4   6    .text   utf8    ;ǉFH blocks=Basic Latin,Latin Extended-B
968  0x00013cfb 0x100148fb 4   5    .text   ascii   FDtZ
969  0x00013d11 0x10014911 4   5    .text   ascii   F$,@
970  0x00013d18 0x10014918 4   5    .text   ascii   F(`@
971  0x00013d28 0x10014928 4   5    .text   ascii   F<t-
972  0x00013d2d 0x1001492d 6   7    .text   ascii   FPPWVh
973  0x00013d3f 0x1001493f 5   7    .text   utf8    ;ǉFLt blocks=Basic Latin,Latin Extended-B
974  0x00013d65 0x10014965 6   7    .text   ascii   9|$\ft\v
975  0x00013e8f 0x10014a8f 4   5    .text   ascii   \bSVW
976  0x00014029 0x10014c29 5   6    .text   ascii   9?t)V
977  0x000140b5 0x10014cb5 4   5    .text   ascii   _^[u
978  0x000140e7 0x10014ce7 4   7    .text   utf8    u\bV觖 blocks=Basic Latin,CJK Unified Ideographs
979  0x00014108 0x10014d08 4   5    .text   ascii   ]\bWj
980  0x0001418d 0x10014d8d 5   6    .text   ascii   tLj\j
981  0x0001419f 0x10014d9f 7   8    .text   ascii   t:@@j.P
982  0x0001420d 0x10014e0d 4   5    .text   ascii   K f;
983  0x00014221 0x10014e21 4   5    .text   ascii   \bu\n;
984  0x00014245 0x10014e45 6   7    .text   ascii   9S"t4j
985  0x00014296 0x10014e96 4   5    .text   ascii   E\b_[
986  0x000142a3 0x10014ea3 6   7    .text   ascii   ,SVWj\b
987  0x000144e1 0x100150e1 4   5    .text   ascii   t'VW
988  0x000144fb 0x100150fb 7   10   .text   utf8    t\fFVWS薒 blocks=Basic Latin,CJK Unified Ideographs
989  0x00014542 0x10015142 5   6    .text   ascii   ;Etu9
990  0x000145ae 0x100151ae 5   8    .text   utf8    Ӆ\tEx~ blocks=Cyrillic,Basic Latin
991  0x000145eb 0x100151eb 4   6    .text   utf8    \tEx~
992  0x0001464b 0x1001524b 5   6    .text   ascii   Ed_^[
993  0x0001465b 0x1001525b 6   7    .text   ascii   \bt/It&
994  0x00014664 0x10015264 4   5    .text   ascii   t\eIt
995  0x00014669 0x10015269 6   7    .text   ascii   It\tIu#
996  0x0001469e 0x1001529e 5   6    .text   ascii   ]\bVW3
997  0x000146a4 0x100152a4 5   7    .text   utf8    j\b3\tU
998  0x000146fd 0x100152fd 7   11   .text   utf8    MЉuԉ]؉E blocks=Basic Latin,Cyrillic,Cyrillic Supplement,Arabic
999  0x000147d1 0x100153d1 5   6    .text   ascii   _^[t\b
1000 0x000148cd 0x100154cd 5   6    .text   ascii   t#WWW
1001 0x00014b0c 0x1001570c 5   7    .text   utf8    ;ƋL$\b blocks=Basic Latin,Latin Extended-B
1002 0x00014b4a 0x1001574a 7   9    .text   utf8    Wj\bY3\r}
1003 0x00014b95 0x10015795 4   5    .text   ascii   tvSP
1004 0x00014bd0 0x100157d0 5   8    .text   utf8    MЉEԉu blocks=Basic Latin,Cyrillic,Cyrillic Supplement
1005 0x00014bf0 0x100157f0 4   5    .text   ascii   t\bSP
1006 0x00014c99 0x10015899 4   5    .text   ascii   t$\b3
1007 0x00014ca5 0x100158a5 4   6    .text   utf8    \vL$\f
1008 0x00014cdf 0x100158df 6   7    .text   ascii   QQSVWj
1009 0x00014dcd 0x100159cd 8   10   .text   utf8    VWj\tY3\r}
1010 0x00014e46 0x10015a46 5   6    .text   ascii   $SVW3
1011 0x00014ea4 0x10015aa4 4   5    .text   ascii   t!VW
1012 0x00014eae 0x10015aae 4   5    .text   ascii   PWW3
1013 0x00014eb3 0x10015ab3 7   8    .text   ascii   @PPPPWW
1014 0x00014ec7 0x10015ac7 6   8    .text   utf8    ;߉^<u\f blocks=Basic Latin,NKo
1015 0x00014eed 0x10015aed 4   5    .text   ascii   %WWW
1016 0x00014f13 0x10015b13 4   5    .text   ascii   9~\ft
1017 0x00014f33 0x10015b33 4   5    .text   ascii   j'WS
1018 0x00014f43 0x10015b43 4   6    .text   utf8    u\b3ۋ blocks=Basic Latin,Arabic
1019 0x00015022 0x10015c22 4   5    .text   ascii   tE95
1020 0x0001502a 0x10015c2a 5   6    .text   ascii   u=VVj
1021 0x0001508c 0x10015c8c 4   5    .text   ascii   t\nVj
1022 0x0001509f 0x10015c9f 4   5    .text   ascii   t\aVP
1023 0x00015150 0x10015d50 5   6    .text   ascii   u\bj#3
1024 0x00015181 0x10015d81 4   5    .text   ascii   Wj\V
1025 0x0001518d 0x10015d8d 4   6    .text   utf8    t(+Ƌ blocks=Basic Latin,Latin Extended-B
1026 0x00015286 0x10015e86 5   6    .text   ascii    Wj 3
1027 0x00015343 0x10015f43 4   5    .text   ascii   QQSV
1028 0x00015350 0x10015f50 4   5    .text   ascii   Pj@j
1029 0x000153d2 0x10015fd2 4   5    .text   ascii   PWVS
1030 0x000153eb 0x10015feb 4   5    .text   ascii   F<WV
1031 0x000154a3 0x100160a3 4   5    .text   ascii   ^hvX
1032 0x000154e7 0x100160e7 5   6    .text   ascii   t/hxa
1033 0x00015584 0x10016184 5   6    .text   ascii   t2hxa
1034 0x00015621 0x10016221 5   6    .text   ascii   ?MZt6
1035 0x000156a9 0x100162a9 4   5    .text   ascii    bls
1036 0x00015834 0x10016434 5   6    .text   ascii   ]\fVW3
1037 0x0001588b 0x1001648b 4   5    .text   ascii   RPWj
1038 0x0001591b 0x1001651b 4   5    .text   ascii   4SVW
1039 0x000159e9 0x100165e9 4   5    .text   ascii   PWVj
1040 0x00015a4b 0x1001664b 4   5    .text   ascii   D$0P
1041 0x00015a6a 0x1001666a 4   5    .text   ascii   D$\bP
1042 0x00015a8d 0x1001668d 4   5    .text   ascii   D$ P
1043 0x00015b3d 0x1001673d 7   8    .text   ascii   ~\f;D$\bu
1044 0x00015b45 0x10016745 5   6    .text   ascii   ;L$\fu
1045 0x00015b4b 0x1001674b 5   6    .text   ascii   ;D$\bu
1046 0x00015b51 0x10016751 6   7    .text   ascii   ;L$\ft\a
1047 0x00015b97 0x10016797 4   5    .text   ascii   SVW3
1048 0x00015ba4 0x100167a4 5   6    .text   ascii   D$0VP
1049 0x00015be1 0x100167e1 4   5    .text   ascii   D$(\a
1050 0x00015c01 0x10016801 4   5    .text   ascii   D$(P
1051 0x00015c23 0x10016823 4   5    .text   ascii   D$$P
1052 0x00015c76 0x10016876 4   5    .text   ascii   D$(P
1053 0x00015ccc 0x100168cc 4   5    .text   ascii   D$ P
1054 0x00015d12 0x10016912 4   6    .text   utf8    3ۉ\$ blocks=Basic Latin,Arabic
1055 0x00015d37 0x10016937 4   6    .text   utf8    ;ÉD$ blocks=Basic Latin,Latin-1 Supplement
1056 0x00015d86 0x10016986 4   5    .text   ascii   SWSS
1057 0x00015d90 0x10016990 4   6    .text   utf8    ;ÉD$ blocks=Basic Latin,Latin-1 Supplement
1058 0x00015e08 0x10016a08 4   5    .text   ascii   t4WV
1059 0x00015ed6 0x10016ad6 5   7    .text   utf8    \tE\ft\v
1060 0x00015ef9 0x10016af9 6   7    .text   ascii   E\f_^[]
1061 0x00015f5b 0x10016b5b 5   7    .text   utf8    \tE\ft\v
1062 0x00015f7e 0x10016b7e 6   7    .text   ascii   E\f_^[]
1063 0x00016083 0x10016c83 4   5    .text   ascii   SVWh
1064 0x000160e0 0x10016ce0 6   7    .text   ascii   \b9Y\fu\t
1065 0x00016106 0x10016d06 4   5    .text   ascii   u19]
1066 0x00016157 0x10016d57 4   5    .text   ascii   t$\bh
1067 0x00016176 0x10016d76 4   5    .text   ascii   WhvX
1068 0x000161d1 0x10016dd1 5   6    .text   ascii   j~[_^
1069 0x000161f1 0x10016df1 4   5    .text   ascii   N0W3
1070 0x0001621b 0x10016e1b 4   7    .text   utf8    KP\f;
1071 0x000162de 0x10016ede 5   6    .text   ascii   8\bt\aA
1072 0x0001632a 0x10016f2a 4   6    .text   utf8    ҋM\bu blocks=Cyrillic,Basic Latin
1073 0x00016381 0x10016f81 4   5    .text   ascii   E\bPj
1074 0x00016420 0x10017020 5   6    .text   ascii   F8PWW
1075 0x00016441 0x10017041 5   6    .text   ascii   \fWj@3
1076 0x00016480 0x10017080 8   11   .text   utf8    0SVW3\r}ث blocks=Basic Latin,Arabic
1077 0x000164cb 0x100170cb 5   8    .text   utf8    u؉u܉u blocks=Basic Latin,Arabic,Syriac
1078 0x00016566 0x10017166 4   6    .text   utf8    ~<+Ã blocks=Basic Latin,Latin-1 Supplement
1079 0x000165a8 0x100171a8 4   5    .text   ascii   FTPS
1080 0x000165ff 0x100171ff 4   6    .text   utf8    uԋ}\b blocks=Basic Latin,Cyrillic Supplement
1081 0x00016661 0x10017261 6   7    .text   ascii   +F0\eV4
1082 0x0001666b 0x1001726b 4   5    .text   ascii   49vo
1083 0x000166d9 0x100172d9 4   5    .text   ascii   }\f\bw
1084 0x00016776 0x10017376 5   6    .text   ascii   tmSWh
1085 0x000167b5 0x100173b5 5   8    .text   utf8    ׅ\tF\bt blocks=Hebrew,Basic Latin
1086 0x000167c4 0x100173c4 5   8    .text   utf8    ׅ\tF\ft blocks=Hebrew,Basic Latin
1087 0x000167fe 0x100173fe 4   6    .text   utf8    ;ǉ>u blocks=Basic Latin,Latin Extended-B
1088 0x00016809 0x10017409 4   6    .text   utf8    ;ǣDB blocks=Basic Latin,Latin Extended-B
1089 0x0001682d 0x1001742d 4   5    .text   ascii   VIFP
1090 0x0001683b 0x1001743b 6   7    .text   ascii   IV50tv
1091 0x0001686c 0x1001746c 4   5    .text   ascii   u@h8
1092 0x00016891 0x10017491 5   6    .text   ascii   ;D$\fs
1093 0x00016974 0x10017574 5   6    .text   ascii   _t\tPj
1094 0x00016994 0x10017594 4   5    .text   ascii   VWj0
1095 0x000169a1 0x100175a1 5   6    .text   ascii   tAj0j
1096 0x00016a1f 0x1001761f 7   10   .text   utf8    ;_(v)S詞 blocks=Basic Latin,CJK Unified Ideographs
1097 0x00016a37 0x10017637 4   7    .text   utf8    t\bQ詞 blocks=Basic Latin,CJK Unified Ideographs
1098 0x00016a3f 0x1001763f 4   6    .text   utf8    3\tw$
1099 0x00016b12 0x10017712 4   5    .text   ascii   w\bSS
1100 0x00016b3b 0x1001773b 4   5    .text   ascii   +\aPS
1101 0x00016b9d 0x1001779d 5   8    .text   utf8    uԉu؉u blocks=Basic Latin,Cyrillic Supplement,Arabic
1102 0x00016be7 0x100177e7 6   8    .text   utf8    j\nY3\r}
1103 0x00016bf8 0x100177f8 6   10   .text   utf8    uЉuȉu̸ blocks=Basic Latin,Cyrillic,Latin Extended-B,Combining Diacritical Marks
1104 0x00016c3c 0x1001783c 4   5    .text   ascii   vids
1105 0x00016cbf 0x100178bf 4   5    .text   ascii   j\nXi
1106 0x00016fd6 0x10017bd6 5   6    .text   ascii   ]\bVWS
1107 0x00016ff2 0x10017bf2 4   5    .text   ascii   }\btR
1108 0x00017000 0x10017c00 7   8    .text   ascii   <9v:<Ar
1109 0x00017008 0x10017c08 7   8    .text   ascii   <Zv2<ar
1110 0x00017010 0x10017c10 15  16   .text   ascii   <zv*<-t&<.t"<~t
1111 0x00017027 0x10017c27 4   5    .text   ascii   Pj_h
1112 0x0001703f 0x10017c3f 5   6    .text   ascii   \aCGNu
1113 0x00017049 0x10017c49 6   7    .text   ascii   E\b_^[]
1114 0x00017060 0x10017c60 4   6    .text   utf8    t53Ʌ blocks=Basic Latin,Latin Extended-B
1115 0x0001709e 0x10017c9e 5   6    .text   ascii   QQSVW
1116 0x000171dc 0x10017ddc 4   5    .text   ascii   ][YY
1117 0x000171e4 0x10017de4 5   6    .text   ascii   QSVW3
1118 0x0001721b 0x10017e1b 4   5    .text   ascii   tYSV
1119 0x00017257 0x10017e57 4   7    .text   utf8    t\bW艖 blocks=Basic Latin,CJK Unified Ideographs
1120 0x00017287 0x10017e87 5   6    .text   ascii   l$\bVW
1121 0x000172ae 0x10017eae 5   6    .text   ascii   <Hu)S
1122 0x00017317 0x10017f17 4   5    .text   ascii   t\tPV
1123 0x000173b0 0x10017fb0 4   5    .text   ascii   tcjB
1124 0x00017473 0x10018073 5   6    .text   ascii   u\fhpP
1125 0x000174aa 0x100180aa 4   5    .text   ascii   ;h}f
1126 0x000176c4 0x100182c4 5   6    .text   ascii   SUVWh
1127 0x0001773a 0x1001833a 4   5    .text   ascii   t$Ph
1128 0x000177cf 0x100183cf 4   6    .text   utf8    փ|$, blocks=Armenian,Basic Latin
1129 0x00017867 0x10018467 4   6    .text   utf8    \tD$0
1130 0x00017881 0x10018481 4   5    .text   ascii   t$,S
