[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
155  0x0000e596 0x0040f196 5   6    .text   ascii   _^][Y
156  0x0000e5aa 0x0040f1aa 4   5    .text   ascii   t$0V
157  0x0000e5be 0x0040f1be 7   9    .text   utf8    É;_^][Y blocks=Latin-1 Supplement,Basic Latin
158  0x0000e5f2 0x0040f1f2 4   5    .text   ascii   t$\b;
159  0x0000e652 0x0040f252 4   5    .text   ascii   T$\bS
160  0x0000e663 0x0040f263 6   8    .text   utf8    +Ɖt$\b; blocks=Basic Latin,Latin Extended-B
161  0x0000e72a 0x0040f32a 4   7    .text   utf8    ;WV莛 blocks=Basic Latin,CJK Unified Ideographs
162  0x0000e744 0x0040f344 5   7    .text   utf8    D$(3Ƀ blocks=Basic Latin,Latin Extended-B
163  0x0000e77e 0x0040f37e 5   6    .text   ascii   _]^[Y
164  0x0000e7ac 0x0040f3ac 4   5    .text   ascii   3^[Y
165  0x0000e7de 0x0040f3de 4   5    .text   ascii   \$\f;
166  0x0000e833 0x0040f433 4   6    .text   utf8    B؉\$ blocks=Basic Latin,Arabic
167  0x0000e87a 0x0040f47a 4   6    .text   utf8    3ۋD$ blocks=Basic Latin,Arabic
168  0x0000e8cf 0x0040f4cf 5   6    .text   ascii   ]_^[Y
169  0x0000e8ea 0x0040f4ea 5   6    .text   ascii   ]_^[Y
170  0x0000e901 0x0040f501 4   7    .text   utf8    PWV跙 blocks=Basic Latin,CJK Unified Ideographs
171  0x0000e93b 0x0040f53b 5   6    .text   ascii   ]_^[Y
172  0x0000e9bd 0x0040f5bd 4   5    .text   ascii   |$\f;
173  0x0000ea9c 0x0040f69c 4   6    .text   utf8    #+ڍC blocks=Basic Latin,Arabic
174  0x0000eab4 0x0040f6b4 6   7    .text   ascii   >[_^]Y
175  0x0000ead4 0x0040f6d4 6   7    .text   ascii   >[_^]Y
176  0x0000eb22 0x0040f722 6   7    .text   ascii   ,0<\tw\b
177  0x0000eb55 0x0040f755 6   7    .text   ascii   ,0<\tw\b
178  0x0000eb88 0x0040f788 6   7    .text   ascii   ,0<\tw\b
179  0x0000ebbb 0x0040f7bb 6   7    .text   ascii   ,0<\tw\b
180  0x0000ec20 0x0040f820 4   5    .text   ascii   QSUV
181  0x0000ec57 0x0040f857 4   5    .text   ascii   9F\fr
182  0x0000ecc4 0x0040f8c4 4   5    .text   ascii   ^][Y
183  0x0000ece0 0x0040f8e0 5   6    .text   ascii   QSUVW
184  0x0000ecee 0x0040f8ee 4   5    .text   ascii   G\bu\r
185  0x0000ecf4 0x0040f8f4 5   6    .text   ascii   t\r_^]
186  0x0000ed3a 0x0040f93a 7   9    .text   utf8    _^][YËG blocks=Basic Latin,Latin-1 Supplement
187  0x0000ed64 0x0040f964 4   5    .text   ascii   t$$V
188  0x0000ed8e 0x0040f98e 5   7    .text   utf8    w\b3\to
189  0x0000ed95 0x0040f995 5   6    .text   ascii   _^][Y
190  0x0000eda0 0x0040f9a0 5   6    .text   ascii   QSUVW
191  0x0000edfb 0x0040f9fb 4   5    .text   ascii   _^]3
192  0x0000ee00 0x0040fa00 6   8    .text   utf8    [YËG\b_ blocks=Basic Latin,Latin-1 Supplement
193  0x0000ee0a 0x0040fa0a 4   5    .text   ascii   ^][Y
194  0x0000ee10 0x0040fa10 4   5    .text   ascii   QSUV
195  0x0000ee17 0x0040fa17 8   10   .text   utf8    ڋF\f9F\brW blocks=Arabic,Basic Latin
196  0x0000ee89 0x0040fa89 4   5    .text   ascii   ^][Y
197  0x0000eee7 0x0040fae7 4   6    .text   utf8    \f\b\aG
198  0x0000ef6e 0x0040fb6e 4   5    .text   ascii   \f$?\f
199  0x0000effe 0x0040fbfe 4   5    .text   ascii   \u\f@
200  0x0000f03e 0x0040fc3e 4   7    .text   utf8    ƋˉL$ blocks=Latin Extended-B,Spacing Modifier Letters,Basic Latin
201  0x0000f062 0x0040fc62 4   5    .text   ascii   <\ui
202  0x0000f0cf 0x0040fccf 4   5    .text   ascii   < rE
203  0x0000f0fb 0x0040fcfb 6   9    .text   utf8    t\eWSV軑 blocks=Basic Latin,CJK Unified Ideographs
204  0x0000f110 0x0040fd10 4   5    .text   ascii   _]^[
205  0x0000f125 0x0040fd25 4   5    .text   ascii   _]^[
206  0x0000f161 0x0040fd61 12  13   .text   ascii   \t\t\t\t\t\t\t\t\t\t\t\t
207  0x0000f16e 0x0040fd6e 44  45   .text   ascii   \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t
208  0x0000f19b 0x0040fd9b 5   6    .text   ascii   \t\t\t\t\t
209  0x0000f1a5 0x0040fda5 7   8    .text   ascii   \t\t\t\t\t\t\t
210  0x0000f1c8 0x0040fdc8 4   5    .text   ascii   \fSVW
211  0x0000f26a 0x0040fe6a 5   6    .text   ascii   p\b_^[
212  0x0000f315 0x0040ff15 4   5    .text   ascii   D$\fP
213  0x0000f343 0x0040ff43 4   5    .text   ascii   ;0u\n
214  0x0000f37d 0x0040ff7d 4   5    .text   ascii   OPhh
215  0x0000f39f 0x0040ff9f 5   7    .text   utf8    W\vD$\f
216  0x0000f3e1 0x0040ffe1 5   6    .text   ascii   @\b_^[
217  0x0000f4c7 0x004100c7 5   6    .text   ascii   u\a^][
218  0x0000f5f8 0x004101f8 4   5    .text   ascii   <,u9
219  0x0000f683 0x00410283 4   5    .text   ascii   _^]3
220  0x0000f69d 0x0041029d 4   5    .text   ascii   _^]3
221  0x0000f6b9 0x004102b9 4   5    .text   ascii   _^][
222  0x0000f6d2 0x004102d2 4   5    .text   ascii   \fUVW
223  0x0000f6eb 0x004102eb 5   6    .text   ascii   u\a_^]
224  0x0000f7a8 0x004103a8 4   5    .text   ascii   <,u9
225  0x0000f80c 0x0041040c 4   5    .text   ascii   8]u~
226  0x0000f880 0x00410480 4   5    .text   ascii   [_^3
227  0x0000f888 0x00410488 4   6    .text   utf8    \fËl$ blocks=Basic Latin,Latin-1 Supplement
228  0x0000f895 0x00410495 4   5    .text   ascii   [_^3
229  0x0000f8dd 0x004104dd 4   5    .text   ascii   9w\bv
230  0x0000f8ed 0x004104ed 5   6    .text   ascii   F;w\br
231  0x0000f90d 0x0041050d 7   9    .text   utf8    _^[Ës\b3 blocks=Basic Latin,Latin-1 Supplement
232  0x0000f916 0x00410516 5   6    .text   ascii   9~\fv$
233  0x0000f939 0x00410539 5   6    .text   ascii   G;~\fr
234  0x0000fa57 0x00410657 4   5    .text   ascii   t$\bf
235  0x0000fa96 0x00410696 5   7    .text   utf8    W3҉D$ blocks=Basic Latin,Cyrillic
236  0x0000faa1 0x004106a1 4   6    .text   utf8    (3ۋ\f blocks=Basic Latin,Arabic
237  0x0000fb0f 0x0041070f 4   6    .text   utf8    3҉83 blocks=Basic Latin,Cyrillic
238  0x0000fd0d 0x0041090d 4   6    .text   utf8    |ՋL$ blocks=Basic Latin,Armenian
239  0x0000fd13 0x00410913 4   5    .text   ascii   _][^
240  0x0000feb7 0x00410ab7 5   7    .text   utf8    W\tD$ 
241  0x0000fec9 0x00410ac9 4   6    .text   utf8    ىD$\f blocks=Arabic,Basic Latin
242  0x0000ff3d 0x00410b3d 4   5    .text   ascii   D$$V
243  0x0000ff53 0x00410b53 4   6    .text   utf8    ID$ 
244  0x0000ff67 0x00410b67 5   7    .text   utf8    NKL$ 
245  0x0000ff7a 0x00410b7a 4   5    .text   ascii   D$,f
246  0x0000ff93 0x00410b93 5   6    .text   ascii   |\v+t$
247  0x0001000b 0x00410c0b 4   6    .text   utf8    Љt$( blocks=Cyrillic,Basic Latin
248  0x00010078 0x00410c78 4   5    .text   ascii   l$8;
249  0x0001008e 0x00410c8e 6   8    .text   utf8    t +ыL$ blocks=Basic Latin,Cyrillic
250  0x000100b1 0x00410cb1 4   5    .text   ascii   l$8H
251  0x000100be 0x00410cbe 4   5    .text   ascii   t$(J
252  0x000100d1 0x00410cd1 4   5    .text   ascii   ^]_[
253  0x000100e2 0x00410ce2 5   6    .text   ascii    SUVW
254  0x0001012c 0x00410d2c 4   5    .text   ascii   l$43
255  0x0001016b 0x00410d6b 4   5    .text   ascii   _^][
256  0x0001019b 0x00410d9b 4   6    .text   utf8    3ɉ\$ blocks=Basic Latin,Latin Extended-B
257  0x000101a1 0x00410da1 6   9    .text   utf8    3\tl$\fǆ blocks=Basic Latin,Latin Extended-B
258  0x00010385 0x00410f85 4   5    .text   ascii   _^][
259  0x000103b2 0x00410fb2 4   6    .text   utf8    3\tT$
260  0x00010443 0x00411043 4   6    .text   utf8    3\tt$
261  0x0001047d 0x0041107d 4   5    .text   ascii   _^][
262  0x00010492 0x00411092 4   5    .text   ascii   \fSUV
263  0x000104a4 0x004110a4 4   5    .text   ascii   9|$ 
264  0x000104cf 0x004110cf 4   5    .text   ascii   \$ C
265  0x000105d7 0x004111d7 6   7    .text   ascii   9l$ u\n
266  0x000105ff 0x004111ff 4   5    .text   ascii   _^][
267  0x00010612 0x00411212 4   5    .text   ascii   \fSUV
268  0x00010856 0x00411456 4   6    .text   utf8    ˉL$$ blocks=Spacing Modifier Letters,Basic Latin
269  0x00010924 0x00411524 4   5    .text   ascii   l$$;
270  0x00010ab9 0x004116b9 4   5    .text   ascii   \$\fU
271  0x00010acb 0x004116cb 4   5    .text   ascii   L$\bV
272  0x00010c70 0x00411870 5   6    .text   ascii   t\a^]3
273  0x00010e03 0x00411a03 4   5    .text   ascii   l$\fW
274  0x00010eb3 0x00411ab3 4   5    .text   ascii   [_]Y
275  0x00010fa3 0x00411ba3 4   5    .text   ascii   SUVW
276  0x00011007 0x00411c07 4   6    .text   utf8    BΉL$ blocks=Basic Latin,Greek and Coptic
277  0x000110bd 0x00411cbd 5   6    .text   ascii   @:J\au
278  0x000110c9 0x00411cc9 4   5    .text   ascii   \b:\nu
279  0x000112a6 0x00411ea6 4   5    .text   ascii   _^][
280  0x000114dc 0x004120dc 4   5    .text   ascii   \b_^[
281  0x000115bd 0x004121bd 4   6    .text   utf8    sM+Ձ blocks=Basic Latin,Armenian
282  0x00011630 0x00412230 4   5    .text   ascii   +T$ 
283  0x00011848 0x00412448 4   5    .text   ascii   D$\vj
284  0x00011b38 0x00412738 4   5    .text   ascii   D$\vj
285  0x00011f6a 0x00412b6a 5   6    .text   ascii   ;F u 
286  0x00011f84 0x00412b84 4   5    .text   ascii   ;F$u
287  0x00012052 0x00412c52 4   5    .text   ascii   \$,P
288  0x00012068 0x00412c68 4   6    .text   utf8    Έ\$0 blocks=Greek and Coptic,Basic Latin
289  0x00012077 0x00412c77 4   6    .text   utf8    ΈD$( blocks=Greek and Coptic,Basic Latin
290  0x0001207d 0x00412c7d 4   5    .text   ascii   D$(j
291  0x0001208f 0x00412c8f 4   5    .text   ascii   \$,P
292  0x000120a5 0x00412ca5 4   5    .text   ascii   \$,P
293  0x000120bc 0x00412cbc 4   5    .text   ascii   D$(j
294  0x000120d3 0x00412cd3 4   5    .text   ascii   D$(j
295  0x000120e9 0x00412ce9 4   6    .text   utf8    Έ\$0 blocks=Greek and Coptic,Basic Latin
296  0x000120f8 0x00412cf8 4   5    .text   ascii   D$(j
297  0x000120ff 0x00412cff 4   6    .text   utf8    Έ\$0 blocks=Greek and Coptic,Basic Latin
298  0x00012115 0x00412d15 4   5    .text   ascii   D$(j
299  0x0001212c 0x00412d2c 4   5    .text   ascii   D$(j
300  0x00012142 0x00412d42 4   6    .text   utf8    Έ\$0 blocks=Greek and Coptic,Basic Latin
301  0x00012272 0x00412e72 5   6    .text   ascii   `SUVW
302  0x00012292 0x00412e92 4   5    .text   ascii   _^][
303  0x00012298 0x00412e98 5   7    .text   utf8    `Ë\$< blocks=Basic Latin,Latin-1 Supplement
304  0x000122e1 0x00412ee1 4   6    .text   utf8    DȋD$ blocks=Basic Latin,Latin Extended-B
305  0x0001231b 0x00412f1b 4   9    .text   utf16le Cjjj
306  0x0001234e 0x00412f4e 5   6    .text   ascii   D$$PU
307  0x0001235e 0x00412f5e 4   5    .text   ascii   f9D$
308  0x00012382 0x00412f82 5   6    .text   ascii   D$(PU
309  0x000123a4 0x00412fa4 5   6    .text   ascii   t\a=PE
