[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
131  0x000035a3 0x100041a3 4   7    .text   utf8    WFV襓 blocks=Basic Latin,CJK Unified Ideographs
132  0x000035dd 0x100041dd 5   7    .text   utf8    u\b3ƉE blocks=Basic Latin,Latin Extended-B
133  0x000035f0 0x100041f0 5   7    .text   utf8    u\b3ƉE blocks=Basic Latin,Latin Extended-B
134  0x00003639 0x10004239 4   5    .text   ascii   QQSj
135  0x000036ff 0x100042ff 4   5    .text   ascii   |t\ff
136  0x0000370b 0x1000430b 5   6    .text   ascii   ;u\nFF
137  0x00003722 0x10004322 4   5    .text   ascii   _t\ff
138  0x0000372e 0x1000432e 5   6    .text   ascii   Zs\nFF
139  0x0000384d 0x1000444d 4   5    .text   ascii   E\bPV
140  0x0000385b 0x1000445b 7   8    .text   ascii   \b;M\bu2j
141  0x000038f4 0x100044f4 4   5    .text   ascii   :u\vf
142  0x00003902 0x10004502 4   6    .text   utf8    2ۃd$ blocks=Basic Latin,Arabic
143  0x00003945 0x10004545 7   8    .text   ascii   8\t\bHH;
144  0x0000395d 0x1000455d 4   6    .text   utf8    ύD$\ blocks=Greek and Coptic,Basic Latin
145  0x0000396c 0x1000456c 4   5    .text   ascii   DtXf
146  0x00003979 0x10004579 5   6    .text   ascii   |$Z:u
147  0x0000397f 0x1000457f 4   5    .text   ascii   j\Xf
148  0x00003984 0x10004584 4   5    .text   ascii   D$\3
149  0x0000398b 0x1000458b 4   5    .text   ascii   D$^j
150  0x00003994 0x10004594 5   6    .text   ascii   D$ VP
151  0x000039b7 0x100045b7 4   5    .text   ascii   D$$@
152  0x00003a0b 0x1000460b 4   5    .text   ascii   }*jd
153  0x00003a1b 0x1000461b 7   8    .text   ascii   D$\fPhED
154  0x00003a51 0x10004651 5   6    .text   ascii   YY_^3
155  0x00003a7f 0x1000467f 4   5    .text   ascii   QQVh
156  0x00003a9a 0x1000469a 4   5    .text   ascii   YY9u
157  0x00003ad7 0x100046d7 4   6    .text   utf8    E̋E\f blocks=Basic Latin,Combining Diacritical Marks
158  0x00003b1c 0x1000471c 5   6    .text   ascii   SVWh,
159  0x00003b3e 0x1000473e 9   10   .text   ascii   tZf9;tUhL
160  0x00003ba0 0x100047a0 4   5    .text   ascii   Y_^3
161  0x00003bac 0x100047ac 4   5    .text   ascii   t$\bW
162  0x00003caa 0x100048aa 4   5    .text   ascii   u?9u
163  0x00003d15 0x10004915 5   7    .text   utf8    3\tD$\b
164  0x00003d2b 0x1000492b 5   6    .text   ascii   D$\fPV
165  0x00003dea 0x100049ea 4   5    .text   ascii    SVW
166  0x00003f52 0x10004b52 4   5    .text   ascii   @_^[
167  0x00003f66 0x10004b66 6   8    .text   utf8    t[3ۋT$ blocks=Basic Latin,Arabic
168  0x00003f79 0x10004b79 5   6    .text   ascii   u89L$
169  0x0000401f 0x10004c1f 5   7    .text   utf8    u\b3ۉ] blocks=Basic Latin,Arabic
170  0x000040d0 0x10004cd0 5   7    .text   utf8    u\b3ۉ] blocks=Basic Latin,Arabic
171  0x000042c3 0x10004ec3 4   5    .text   ascii   @_^[
172  0x000042fe 0x10004efe 4   5    .text   ascii   QQSU
173  0x00004321 0x10004f21 5   6    .text   ascii   ^][YY
174  0x0000433b 0x10004f3b 5   6    .text   ascii   YVPSW
175  0x00004373 0x10004f73 4   5    .text   ascii   SVWh
176  0x000044ea 0x100050ea 5   6    .text   ascii   T$LYY
177  0x00004526 0x10005126 4   6    .text   utf8    փL$  blocks=Armenian,Basic Latin
178  0x0000453d 0x1000513d 4   6    .text   utf8    ։D$$ blocks=Armenian,Basic Latin
179  0x00004543 0x10005143 4   5    .text   ascii   D$LP
180  0x00004556 0x10005156 4   5    .text   ascii   D$\ 
181  0x0000456a 0x1000516a 5   7    .text   utf8    ։D$T3 blocks=Armenian,Basic Latin
182  0x00004686 0x10005286 5   6    .text   ascii   ;t\nFF
183  0x0000469c 0x1000529c 6   7    .text   ascii   Lu"j'W
184  0x000046d8 0x100052d8 4   5    .text   ascii   Yj ^
185  0x000046f0 0x100052f0 4   7    .text   utf8    t$,謂 blocks=Basic Latin,CJK Unified Ideographs
186  0x000046fe 0x100052fe 6   7    .text   ascii   D$dPh\b
187  0x00004709 0x10005309 4   7    .text   utf8    t$,蓂 blocks=Basic Latin,CJK Unified Ideographs
188  0x00004721 0x10005321 4   5    .text   ascii   PWh$
189  0x0000475c 0x1000535c 4   5    .text   ascii   D$HP
190  0x0000477f 0x1000537f 7   8    .text   ascii   D$<PVVV
191  0x0000478f 0x1000538f 4   5    .text   ascii   t$8V
192  0x0000479d 0x1000539d 4   5    .text   ascii   9t$<
193  0x000047e4 0x100053e4 4   5    .text   ascii   D$ P
194  0x000047f4 0x100053f4 4   5    .text   ascii   ucWW
195  0x000047f9 0x100053f9 4   5    .text   ascii   t$ h
196  0x00004816 0x10005416 4   5    .text   ascii   D$`P
197  0x0000482d 0x1000542d 4   5    .text   ascii   D$`P
198  0x00004847 0x10005447 4   5    .text   ascii   D$4j
199  0x00004884 0x10005484 7   8    .text   ascii   D$8+D$\
200  0x000048aa 0x100054aa 4   5    .text   ascii   D$(w
201  0x00004a0c 0x1000560c 6   7    .text   ascii   Lu"j'Q
202  0x00004ab8 0x100056b8 5   6    .text   ascii   Aj;Yf
203  0x00004aff 0x100056ff 4   5    .text   ascii   j,Zf
204  0x00004b55 0x10005755 4   5    .text   ascii   \f_^[
205  0x00004b89 0x10005789 4   5    .text   ascii   D$<S
206  0x00004bb4 0x100057b4 4   5    .text   ascii   QPhD
207  0x00004bd0 0x100057d0 5   6    .text   ascii   t$,hD
208  0x00004bf8 0x100057f8 5   6    .text   ascii   t$4hl
209  0x00004c13 0x10005813 4   6    .text   utf8    ։D$$ blocks=Armenian,Basic Latin
210  0x00004c32 0x10005832 5   6    .text   ascii   uP!D$
211  0x00004c6b 0x1000586b 5   6    .text   ascii   t$$VS
212  0x00004cec 0x100058ec 5   6    .text   ascii   t$$VS
213  0x00004d49 0x10005949 5   6    .text   ascii   u!9D$
214  0x00004d52 0x10005952 5   6    .text   ascii   t$$h 
215  0x00004d87 0x10005987 5   6    .text   ascii   u!9D$
216  0x00004d90 0x10005990 4   5    .text   ascii   t$$h
217  0x00004dc7 0x100059c7 4   5    .text   ascii   Y_^3
218  0x00004dd9 0x100059d9 4   5    .text   ascii   QSVW
219  0x00004df7 0x100059f7 5   6    .text   ascii   D$\fPS
220  0x00004e01 0x10005a01 4   5    .text   ascii   u\bhD
221  0x00004e17 0x10005a17 5   6    .text   ascii   t\vWSV
222  0x00004e58 0x10005a58 4   5    .text   ascii   Y_^3
223  0x00004eae 0x10005aae 4   5    .text   ascii   SVhh
224  0x00004f5f 0x10005b5f 5   6    .text   ascii   WVjD_
225  0x00004f87 0x10005b87 8   9    .text   ascii   PVVVVVVV
226  0x00005077 0x10005c77 4   5    .text   ascii   t0=O
227  0x00005143 0x10005d43 4   5    .text   ascii   t0=O
228  0x000051c1 0x10005dc1 4   5    .text   ascii   u 9u
229  0x00005222 0x10005e22 4   5    .text   ascii   tN=O
230  0x00005229 0x10005e29 4   5    .text   ascii   u(9u
231  0x00005327 0x10005f27 4   5    .text   ascii   u\bu\a
232  0x000056e8 0x100062e8 5   6    .text   ascii   ]\bVWS
233  0x00005755 0x10006355 4   5    .text   ascii   D$$@
234  0x0000578a 0x1000638a 4   5    .text   ascii   D$ P
235  0x000057b0 0x100063b0 5   6    .text   ascii   L$ QP
236  0x000057c8 0x100063c8 5   6    .text   ascii   |$L.u
237  0x000057d8 0x100063d8 7   8    .text   ascii   |$N.u\bf
238  0x0000581d 0x1000641d 4   5    .text   ascii   t$ W
239  0x00005836 0x10006436 4   5    .text   ascii   D$ P
240  0x00005872 0x10006472 4   5    .text   ascii   SVWh
241  0x000058a6 0x100064a6 8   9    .text   ascii   PVWVVVVh
242  0x000058b1 0x100064b1 4   5    .text   ascii   FVh@
243  0x000058f3 0x100064f3 4   5    .text   ascii   EhPj
244  0x00005921 0x10006521 8   12   .text   utf8    Eԉ]ԉ}؉ud blocks=Basic Latin,Cyrillic Supplement,Arabic
245  0x00005931 0x10006531 8   9    .text   ascii   9ud_^[t\t
246  0x00005992 0x10006592 5   6    .text   ascii   LSVWh
247  0x000059c0 0x100065c0 4   5    .text   ascii   D$0P
248  0x000059c5 0x100065c5 4   5    .text   ascii   D$$P
249  0x000059ca 0x100065ca 4   5    .text   ascii   D$0P
250  0x000059cf 0x100065cf 4   5    .text   ascii   D$DP
251  0x000059d4 0x100065d4 5   6    .text   ascii   D$(PW
252  0x00005a53 0x10006653 4   5    .text   ascii   T$<j
253  0x00005aa4 0x100066a4 4   5    .text   ascii   D$PP
254  0x00005aa9 0x100066a9 5   6    .text   ascii   D$8j|
255  0x00005b84 0x10006784 4   5    .text   ascii   Y_^3
256  0x00005bca 0x100067ca 4   5    .text   ascii   D$$P
257  0x00005c0a 0x1000680a 4   5    .text   ascii   T$$j
258  0x00005c72 0x10006872 4   5    .text   ascii   \f$QP
259  0x00005fe4 0x10006be4 4   5    .text   ascii   \fSVW
260  0x00006056 0x10006c56 4   5    .text   ascii   \fSVW
261  0x000060b2 0x10006cb2 4   5    .text   ascii   @SVW
262  0x00006113 0x10006d13 4   5    .text   ascii   t"9]
263  0x00006142 0x10006d42 4   5    .text   ascii   t.9]
264  0x000061a2 0x10006da2 5   8    .text   utf8    Eȉ]ȉ] blocks=Basic Latin,Latin Extended-B
265  0x000061df 0x10006ddf 5   8    .text   utf8    ]\t]ĉ} blocks=Basic Latin,Latin Extended-A
266  0x0000621a 0x10006e1a 5   8    .text   utf8    ủ]ĉ] blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-A
