[Strings]
nth   paddr      vaddr       len  size section    type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d  44   45              ascii   !This program cannot be run in DOS mode.\r\r\n$
85    0x00001fec 0x140002bec 13   14   .text      ascii   t$ WATAUAVAWH
86    0x00002010 0x140002c10 9    10   .text      ascii   H3Y(H3YxL
87    0x0000201a 0x140002c1a 8    9    .text      ascii   A\bL3A0L3
88    0x00002027 0x140002c27 6    7    .text      ascii   L3AXL3
89    0x00002039 0x140002c39 6    7    .text      ascii   H3QHH3
90    0x00002044 0x140002c44 6    7    .text      ascii   H3QpH3
91    0x00002053 0x140002c53 6    7    .text      ascii   L3Q8L3
92    0x00002062 0x140002c62 6    7    .text      ascii   L3Y@L3
93    0x0000206d 0x140002c6d 6    7    .text      ascii   H3YPH3
94    0x00002078 0x140002c78 6    7    .text      ascii   L3Q`L3
95    0x00002083 0x140002c83 6    7    .text      ascii   L3YhL3
96    0x0000209b 0x140002c9b 14   15   .text      ascii   H1A(H1APH1AxH1
97    0x000020bd 0x140002cbd 4    5    .text      ascii   L$`L
98    0x000020c6 0x140002cc6 4    5    .text      ascii   L$0L
99    0x000020cf 0x140002ccf 4    5    .text      ascii   L$PL
100   0x000020de 0x140002cde 17   18   .text      ascii   L$ H1A\bH1A0H1AXH1
101   0x0000210b 0x140002d0b 4    5    .text      ascii   L$XL
102   0x00002114 0x140002d14 4    5    .text      ascii   L$\bL
103   0x00002124 0x140002d24 6    7    .text      ascii   H1A8I3
104   0x0000212d 0x140002d2d 5    6    .text      ascii   A8H1A
105   0x00002133 0x140002d33 6    7    .text      ascii   H1A`H1
106   0x00002150 0x140002d50 5    6    .text      ascii   H1Q@H
107   0x00002162 0x140002d62 4    5    .text      ascii   L$@L
108   0x0000216e 0x140002d6e 4    5    .text      ascii   D$HL
109   0x00002177 0x140002d77 4    5    .text      ascii   L$(L
110   0x00002188 0x140002d88 9    10   .text      ascii   l$8H1QhH1
111   0x000021c3 0x140002dc3 14   15   .text      ascii   L1AHL1A L1ApL1
112   0x000021f3 0x140002df3 4    5    .text      ascii   ,$L3
113   0x00002202 0x140002e02 4    5    .text      ascii   D$ H
114   0x00002215 0x140002e15 4    5    .text      ascii   l$8H
115   0x00002222 0x140002e22 4    5    .text      ascii   D$(H
116   0x0000222f 0x140002e2f 4    5    .text      ascii   D$0H
117   0x0000223f 0x140002e3f 4    5    .text      ascii   D$@H
118   0x0000224f 0x140002e4f 4    5    .text      ascii   D$HH
119   0x0000225c 0x140002e5c 4    5    .text      ascii   D$PH
120   0x00002269 0x140002e69 4    5    .text      ascii   D$XH
121   0x000022b2 0x140002eb2 4    5    .text      ascii   T$\bI
122   0x000022c5 0x140002ec5 5    6    .text      ascii   \$`I#
123   0x00002364 0x140002f64 4    5    .text      ascii   QHI#
124   0x0000236b 0x140002f6b 4    5    .text      ascii   Y(I3
125   0x000023a8 0x140002fa8 4    5    .text      ascii   A@L3
126   0x000023c5 0x140002fc5 4    5    .text      ascii   AhI#
127   0x000023cc 0x140002fcc 4    5    .text      ascii   QpI3
128   0x00002439 0x140003039 4    5    .text      ascii   YxI3
129   0x0000251e 0x14000311e 4    5    .text      ascii   \$pI
130   0x00002530 0x140003130 9    10   .text      ascii   A_A^A]A\_
131   0x0000257c 0x14000317c 4    5    .text      ascii   L$ D
132   0x000025d2 0x1400031d2 4    5    .text      ascii   L$ H
133   0x00002662 0x140003262 5    7    .text      utf8    LÀH1L blocks=Basic Latin,Latin-1 Supplement
134   0x00002712 0x140003312 4    5    .text      ascii   oD< 
135   0x0000272b 0x14000332b 4    5    .text      ascii   oD<0
136   0x00002744 0x140003344 4    5    .text      ascii   oD<@
137   0x0000275d 0x14000335d 4    5    .text      ascii   oD<P
138   0x00002771 0x140003371 4    5    .text      ascii   L<PH
139   0x00002798 0x140003398 6    7    .text      ascii   H1D\f H
140   0x000028cc 0x1400034cc 5    6    .text      ascii   t$ WH
141   0x000028ee 0x1400034ee 4    5    .text      ascii   L$@H
142   0x00002908 0x140003508 4    5    .text      ascii   @8-Q
143   0x00002915 0x140003515 4    6    .text      utf8    E3ɍU blocks=Basic Latin,Latin Extended-B
144   0x00002a3f 0x14000363f 4    5    .text      ascii   l$(H
145   0x00002aaa 0x1400036aa 4    5    .text      ascii   *D$@
146   0x00002ad4 0x1400036d4 4    5    .text      ascii   l$PH
147   0x00002ad9 0x1400036d9 4    5    .text      ascii   T$HL
148   0x00002ade 0x1400036de 4    5    .text      ascii   D$XH
