[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
159  0x00002ae6 0x00402ae6 7   8    .text   ascii   SUVWh<@
160  0x00002ba3 0x00402ba3 4   5    .text   ascii   D$HP
161  0x00002bc5 0x00402bc5 4   5    .text   ascii   RVWP
162  0x00002be6 0x00402be6 4   5    .text   ascii   \f>hh
163  0x00002c10 0x00402c10 5   6    .text   ascii   D$0RP
164  0x00002c35 0x00402c35 4   6    .text   utf8    ӍL$H blocks=Cyrillic,Basic Latin
165  0x00002c3e 0x00402c3e 4   5    .text   ascii   @QRf
166  0x00002c4d 0x00402c4d 4   5    .text   ascii   D$HP
167  0x00002c82 0x00402c82 4   5    .text   ascii   _^]3
168  0x00002caa 0x00402caa 4   5    .text   ascii   RVWP
169  0x00002ccc 0x00402ccc 4   5    .text   ascii   _^]3
170  0x00002cff 0x00402cff 4   5    .text   ascii   PVWQ
171  0x00002d26 0x00402d26 4   5    .text   ascii   _^][
172  0x00002d47 0x00402d47 4   6    .text   utf8    3\tD$
173  0x00002d5e 0x00402d5e 6   7    .text   ascii   L$\bPQR
174  0x00002d6e 0x00402d6e 4   5    .text   ascii   D$(j
175  0x00002d78 0x00402d78 4   5    .text   ascii   T$$P
176  0x00002de2 0x00402de2 6   7    .text   ascii   WSPhz4
177  0x00002e02 0x00402e02 4   6    .text   utf8    3Ҋ\b: blocks=Basic Latin,Cyrillic
178  0x00002e95 0x00402e95 4   5    .text   ascii   T$$R
179  0x00002efc 0x00402efc 5   6    .text   ascii   URh~f
180  0x00003006 0x00403006 6   8    .text   utf8    SUW3۹| blocks=Basic Latin,Arabic
181  0x0000302a 0x0040302a 5   7    .text   utf8    3\r|$u
182  0x00003058 0x00403058 5   7    .text   utf8    3\r|$4
183  0x00003071 0x00403071 5   6    .text   ascii   D$(Qh
184  0x00003091 0x00403091 4   5    .text   ascii   D$8D
185  0x00003099 0x00403099 4   5    .text   ascii   T$df
186  0x000030c1 0x004030c1 4   5    .text   ascii   L$tQ
187  0x000030d3 0x004030d3 6   7    .text   ascii   T$tRPh
188  0x00003107 0x00403107 5   6    .text   ascii   RPSSh
189  0x0000310f 0x0040310f 6   7    .text   ascii   \bSSSQS
190  0x0000312e 0x0040312e 4   5    .text   ascii   Rh\4
191  0x00003155 0x00403155 4   5    .text   ascii   Whz4
192  0x00003169 0x00403169 4   5    .text   ascii   T$tR
193  0x000031b7 0x004031b7 4   5    .text   ascii   SSUV
194  0x0000324b 0x0040324b 5   6    .text   ascii   u79\$
195  0x00003254 0x00403254 4   5    .text   ascii   L$$h
196  0x00003289 0x00403289 5   6    .text   ascii   D$$RP
197  0x00003299 0x00403299 5   6    .text   ascii   L$ QR
198  0x000032ae 0x004032ae 7   9    .text   utf8    D$tfǄ$p blocks=Basic Latin,Latin Extended-B
199  0x000032d2 0x004032d2 4   5    .text   ascii   j QR
200  0x000032e7 0x004032e7 5   7    .text   utf8    ÍD$tP blocks=Latin-1 Supplement,Basic Latin
201  0x00003316 0x00403316 4   5    .text   ascii   SUVW
202  0x0000331f 0x0040331f 5   7    .text   utf8    3\r|$9
203  0x00003387 0x00403387 5   6    .text   ascii   UPh\4
204  0x00003397 0x00403397 4   5    .text   ascii   _^][
205  0x000033b8 0x004033b8 4   5    .text   ascii   D$Lh
206  0x000033dd 0x004033dd 4   5    .text   ascii   Qh\4
207  0x000033ec 0x004033ec 4   5    .text   ascii   _^][
208  0x000034c6 0x004034c6 4   5    .text   ascii   G\bPS
209  0x00003560 0x00403560 4   5    .text   ascii   T$(Q
210  0x00003565 0x00403565 6   7    .text   ascii   D$$RPS
211  0x00003591 0x00403591 4   5    .text   ascii   T$(j
212  0x000035a0 0x004035a0 4   5    .text   ascii   _^][
213  0x000035b9 0x004035b9 4   5    .text   ascii   _^]3
214  0x0000361c 0x0040361c 4   6    .text   utf8    3\r|$
215  0x0000364e 0x0040364e 7   8    .text   ascii   L$\bQj\bP
216  0x00003691 0x00403691 4   5    .text   ascii   T$\fQ
217  0x000036a3 0x004036a3 4   5    .text   ascii   RPQj
218  0x000036bd 0x004036bd 4   5    .text   ascii   Pj\fQ
219  0x00003736 0x00403736 4   5    .text   ascii   SUVW
220  0x0000373f 0x0040373f 5   7    .text   utf8    3\r|$A
221  0x000037c2 0x004037c2 5   6    .text   ascii   T$@QR
222  0x000037dc 0x004037dc 6   7    .text   ascii   |$ PQh
223  0x000037fb 0x004037fb 4   5    .text   ascii   T$(Q
224  0x00003800 0x00403800 4   5    .text   ascii   D$<R
225  0x00003805 0x00403805 6   7    .text   ascii   L$(PQW
226  0x00003829 0x00403829 5   6    .text   ascii   T$ QR
227  0x00003889 0x00403889 5   6    .text   ascii   D$@RP
228  0x000038c4 0x004038c4 4   6    .text   utf8    ӍT$@ blocks=Cyrillic,Basic Latin
229  0x000038ee 0x004038ee 4   5    .text   ascii   PVUQ
230  0x00003905 0x00403905 4   5    .text   ascii   T$@R
231  0x00003923 0x00403923 4   5    .text   ascii   T$@R
232  0x00003942 0x00403942 4   5    .text   ascii   @QRf
233  0x000039b7 0x004039b7 4   5    .text   ascii   _^]3
234  0x000039e1 0x004039e1 4   5    .text   ascii   PVUQ
235  0x00003a03 0x00403a03 4   5    .text   ascii   _^][
236  0x00003a16 0x00403a16 7   9    .text   utf8    SUVW3۹@ blocks=Basic Latin,Arabic
237  0x00003a21 0x00403a21 5   7    .text   utf8    3\r|$u
238  0x00003a85 0x00403a85 6   7    .text   ascii   T$|QRU
239  0x00003add 0x00403add 5   6    .text   ascii   SVhz4
240  0x00003b0f 0x00403b0f 4   5    .text   ascii   D$tP
241  0x00003b34 0x00403b34 6   8    .text   utf8    3\r|$43
242  0x00003b43 0x00403b43 4   5    .text   ascii   L$0P
243  0x00003b4c 0x00403b4c 5   6    .text   ascii   T$(QS
244  0x00003b52 0x00403b52 5   6    .text   ascii   T$4SS
245  0x00003b58 0x00403b58 5   6    .text   ascii   T$@SS
246  0x00003b64 0x00403b64 4   5    .text   ascii   SRSP
247  0x00003b6d 0x00403b6d 4   5    .text   ascii   D$\D
248  0x00003bc2 0x00403bc2 4   5    .text   ascii   T$ j
