[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
148  0x00005b0e 0x1000670e 4   5    .text   ascii   SPVW
149  0x00005b20 0x10006720 4   6    .text   utf8    ft͋E blocks=Basic Latin,Combining Diacritical Marks
150  0x00005b85 0x10006785 5   7    .text   utf8    ƙRPWS blocks=Latin Extended-B,Basic Latin
151  0x00005c39 0x10006839 4   5    .text   ascii   D$\fJ
152  0x00005cc5 0x100068c5 4   7    .text   utf8    ڋȺKY blocks=Arabic,Latin Extended-B,Basic Latin
153  0x00005d61 0x10006961 5   7    .text   utf8    ]ËL0  blocks=Basic Latin,Latin-1 Supplement
154  0x00005da4 0x100069a4 4   6    .text   utf8    t:3Ʌ blocks=Basic Latin,Latin Extended-B
155  0x00005db5 0x100069b5 7   8    .text   ascii   r&w$AB;
156  0x00005e25 0x10006a25 4   5    .text   ascii   E\bSV
157  0x00005f73 0x10006b73 6   9    .text   utf8    ΉMā9PE blocks=Greek and Coptic,Basic Latin,Latin Extended-A
158  0x00006195 0x10006d95 4   6    .text   utf8    ti;Ë blocks=Basic Latin,Latin-1 Supplement
159  0x00006220 0x10006e20 4   6    .text   utf8    U؋B< blocks=Basic Latin,Arabic
160  0x0000650c 0x1000710c 4   7    .text   utf8    ű]Ё blocks=Basic Latin,Combining Diacritical Marks,Cyrillic
161  0x00006780 0x10007380 4   5    .text   ascii   PSVW
162  0x000069e7 0x100075e7 4   5    .text   ascii   VSVS
163  0x00006d55 0x10007955 4   7    .text   utf8    ɉMȋM blocks=Latin Extended-B,Basic Latin
164  0x00006d76 0x10007976 5   8    .text   utf8    }ȋ}ЉU blocks=Basic Latin,Latin Extended-B,Cyrillic
165  0x00006ff7 0x10007bf7 5   8    .text   utf8    Mԋ}ЋE blocks=Basic Latin,Cyrillic Supplement,Cyrillic
166  0x00007050 0x10007c50 6   7    .text   ascii   D0x+L0
167  0x00007099 0x10007c99 5   8    .text   utf8    ]؉Eȉ] blocks=Basic Latin,Arabic,Latin Extended-B
168  0x000070f5 0x10007cf5 5   7    .text   utf8    YRPVS
169  0x00007305 0x10007f05 4   5    .text   ascii   Y\r8z
170  0x00007920 0x10008520 5   9    .text   utf8    wϋ]̋} blocks=Basic Latin,Greek and Coptic,Combining Diacritical Marks
171  0x000079fe 0x100085fe 4   6    .text   utf8    3ĉD$ blocks=Basic Latin,Latin Extended-A
172  0x00007a3c 0x1000863c 4   6    .text   utf8    3҉L$ blocks=Basic Latin,Cyrillic
173  0x00007b10 0x10008710 4   6    .text   utf8    D{ĳ\b blocks=Basic Latin,Latin Extended-A
174  0x00007b8c 0x1000878c 4   5    .text   ascii   _^[3
175  0x00007caa 0x100088aa 4   5    .text   ascii   U\fPQ
176  0x00007d43 0x10008943 4   5    .text   ascii   QSVW
177  0x00007d76 0x10008976 5   6    .text   ascii   tQSVj
178  0x00007e00 0x10008a00 4   5    .text   ascii   PQVW
179  0x00007ea4 0x10008aa4 5   6    .text   ascii   F\bHu5
180  0x00007fe2 0x10008be2 4   5    .text   ascii   9E\b^
181  0x0000805e 0x10008c5e 4   5    .text   ascii   SVWP
182  0x00008078 0x10008c78 4   5    .text   ascii   >\buh
183  0x0000807d 0x10008c7d 5   8    .text   utf8    ^\bj\f艾 blocks=Basic Latin,CJK Unified Ideographs
184  0x00008145 0x10008d45 5   6    .text   ascii   F\bHu5
185  0x000081ed 0x10008ded 4   5    .text   ascii   Y_^[
186  0x0000824e 0x10008e4e 4   5    .text   ascii   SVWP
187  0x00008303 0x10008f03 5   6    .text   ascii   N\bIu9
188  0x00008336 0x10008f36 4   7    .text   utf8    j\fV蠻 blocks=Basic Latin,CJK Unified Ideographs
