Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
61  0x00001b30 0x00401b30 GLOBAL FUNC   16       imp.fclose
62  0x00001b40 0x00401b40 GLOBAL FUNC   16       imp.remove
63  0x00001b50 0x00401b50 GLOBAL FUNC   16       imp.strncpy
64  0x00001b60 0x00401b60 GLOBAL FUNC   16       imp.pthread_attr_init
65  0x00001b70 0x00401b70 GLOBAL FUNC   16       imp.fseeko
66  0x00001b80 0x00401b80 GLOBAL FUNC   16       imp.closedir
67  0x00001b90 0x00401b90 GLOBAL FUNC   16       imp.fork
68  0x00001ba0 0x00401ba0 GLOBAL FUNC   16       imp.sigemptyset
69  0x00001bb0 0x00401bb0 GLOBAL FUNC   16       imp.pthread_sigmask
70  0x00001bc0 0x00401bc0 GLOBAL FUNC   16       imp.bind
71  0x00001bd0 0x00401bd0 GLOBAL FUNC   16       imp.fwrite
72  0x00001be0 0x00401be0 GLOBAL FUNC   16       imp.pthread_mutex_lock
73  0x00001bf0 0x00401bf0 GLOBAL FUNC   16       imp.rand
74  0x00001c00 0x00401c00 GLOBAL FUNC   16       imp.localtime
75  0x00001c10 0x00401c10 GLOBAL FUNC   16       imp.pthread_mutex_destroy
76  0x00001c20 0x00401c20 GLOBAL FUNC   16       imp.write
77  0x00001c30 0x00401c30 GLOBAL FUNC   16       imp.openpty
78  0x00001c40 0x00401c40 GLOBAL FUNC   16       imp.accept
79  0x00001c50 0x00401c50 GLOBAL FUNC   16       imp.clock_gettime
80  0x00001c60 0x00401c60 GLOBAL FUNC   16       imp.pthread_mutex_unlock
81  0x00001c70 0x00401c70 GLOBAL FUNC   16       imp.fcntl
82  0x00001c80 0x00401c80 GLOBAL FUNC   16       imp.rename
83  0x00001c90 0x00401c90 GLOBAL FUNC   16       imp.mkdir
84  0x00001ca0 0x00401ca0 GLOBAL FUNC   16       imp.time
85  0x00001cb0 0x00401cb0 GLOBAL FUNC   16       imp.inet_addr
86  0x00001cc0 0x00401cc0 GLOBAL FUNC   16       imp.pthread_attr_setdetachstate
[Strings]
nth paddr      vaddr      len size section type  string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000d7c8 0x0040d7c8 4   5    .rodata ascii SeA~
1   0x0000d940 0x0040d940 4   5    .rodata ascii XhHp
2   0x0000daf8 0x0040daf8 4   5    .rodata ascii NrZl
3   0x0000db18 0x0040db18 4   5    .rodata ascii '9-6
4   0x0000db38 0x0040db38 4   5    .rodata ascii :.6$
