Metadata Signature: 0x5a70 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 1648
Stream name: #~ 4
DirectoryAddress: 16b4 Size: 1a14
Stream name: #Strings 12
DirectoryAddress: 30c8 Size: f08
Stream name: #US 4
DirectoryAddress: 3fd0 Size: 10
Stream name: #GUID 8
DirectoryAddress: 3fe0 Size: 9c0
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
155 0x000053a7 0x004071a7 4   5    .text   ascii   pr#\r
156 0x0000541f 0x0040721f 4   5    .text   ascii   \nrI\f
157 0x0000567a 0x0040747a 5   6    .text   ascii   \n*\e0\b
158 0x0000571c 0x0040751c 4   5    .text   ascii   \n\a%-
159 0x00005723 0x00407523 5   6    .text   ascii   \e+\nyP
160 0x0000574b 0x0040754b 4   5    .text   ascii   +\nyF
161 0x00005a52 0x00407852 4   5    .text   ascii   \n\r(,
162 0x00005a70 0x00407870 4   5    .text   ascii   BSJB
163 0x00005a80 0x00407880 10  11   .text   ascii   v4.0.30319
164 0x00005aa4 0x004078a4 8   9    .text   ascii   #Strings
165 0x00005ac4 0x004078c4 5   6    .text   ascii   #GUID
166 0x00005ad4 0x004078d4 5   6    .text   ascii   #Blob
167 0x00005b00 0x00407900 5   24   .text   utf32le 'VGĳ4 blocks=Basic Latin,Latin Extended-A
168 0x00005bdf 0x004079df 4   5    .text   ascii   \bZ\b\n
169 0x00005c27 0x00407a27 4   5    .text   ascii   \nZ\b\n
170 0x00005c38 0x00407a38 4   5    .text   ascii   l\nK\n
171 0x00005fa4 0x00407da4 4   9    .text   utf16le \r'S1
172 0x00006ca0 0x00408aa0 4   5    .text   ascii   O\tu\a
173 0x00006d43 0x00408b43 4   5    .text   ascii   \r,\b)
174 0x00006d5b 0x00408b5b 4   5    .text   ascii   \r;\by
175 0x00006d79 0x00408b79 4   5    .text   ascii   \vn\bY
176 0x00006fac 0x00408dac 10  11   .text   ascii    \a:\aJ\aQ\az\a
177 0x00007125 0x00408f25 8   9    .text   ascii   <Module>
178 0x0000712e 0x00408f2e 8   9    .text   ascii   mscorlib
179 0x00007137 0x00408f37 21  22   .text   ascii   Microsoft.VisualBasic
180 0x0000714d 0x00408f4d 13  14   .text   ascii   MyApplication
181 0x0000715e 0x00408f5e 10  11   .text   ascii   MyComputer
182 0x00007169 0x00408f69 9   10   .text   ascii   MyProject
183 0x00007173 0x00408f73 13  14   .text   ascii   MyWebServices
184 0x00007181 0x00408f81 26  27   .text   ascii   ThreadSafeObjectProvider`1
185 0x0000719c 0x00408f9c 8   9    .text   ascii   Settings
186 0x000071a5 0x00408fa5 4   5    .text   ascii   Stub
187 0x000071aa 0x00408faa 4   5    .text   ascii   Main
188 0x000071af 0x00408faf 12  13   .text   ascii   ClientSocket
189 0x000071bc 0x00408fbc 8   9    .text   ascii   Messages
190 0x000071c5 0x00408fc5 6   7    .text   ascii   Helper
191 0x000071d0 0x00408fd0 13  14   .text   ascii   RemoteDesktop
192 0x000071de 0x00408fde 24  25   .text   ascii   AppendOutputTextDelegate
193 0x000071f7 0x00408ff7 41  42   .text   ascii   Microsoft.VisualBasic.ApplicationServices
194 0x00007221 0x00409021 15  16   .text   ascii   ApplicationBase
195 0x00007231 0x00409031 5   6    .text   ascii   .ctor
196 0x00007237 0x00409037 29  30   .text   ascii   Microsoft.VisualBasic.Devices
197 0x00007255 0x00409055 8   9    .text   ascii   Computer
198 0x0000725e 0x0040905e 6   7    .text   ascii   System
199 0x00007265 0x00409065 6   7    .text   ascii   Object
200 0x0000726c 0x0040906c 6   7    .text   ascii   .cctor
201 0x00007273 0x00409073 12  13   .text   ascii   get_Computer
202 0x00007280 0x00409080 24  25   .text   ascii   m_ComputerObjectProvider
203 0x00007299 0x00409099 15  16   .text   ascii   get_Application
204 0x000072a9 0x004090a9 19  20   .text   ascii   m_AppObjectProvider
205 0x000072bd 0x004090bd 4   5    .text   ascii   User
206 0x000072c2 0x004090c2 8   9    .text   ascii   get_User
207 0x000072cb 0x004090cb 20  21   .text   ascii   m_UserObjectProvider
208 0x000072e0 0x004090e0 15  16   .text   ascii   get_WebServices
209 0x000072f0 0x004090f0 29  30   .text   ascii   m_MyWebServicesObjectProvider
210 0x0000730e 0x0040910e 11  12   .text   ascii   Application
211 0x0000731a 0x0040911a 11  12   .text   ascii   WebServices
212 0x00007326 0x00409126 6   7    .text   ascii   Equals
213 0x0000732f 0x0040912f 11  12   .text   ascii   GetHashCode
214 0x0000733b 0x0040913b 4   5    .text   ascii   Type
215 0x00007340 0x00409140 7   8    .text   ascii   GetType
216 0x00007348 0x00409148 8   9    .text   ascii   ToString
217 0x00007351 0x00409151 18  19   .text   ascii   Create__Instance__
218 0x00007366 0x00409166 8   9    .text   ascii   instance
219 0x0000736f 0x0040916f 19  20   .text   ascii   Dispose__Instance__
220 0x00007383 0x00409183 15  16   .text   ascii   get_GetInstance
221 0x00007393 0x00409193 19  20   .text   ascii   m_ThreadStaticValue
222 0x000073a7 0x004091a7 11  12   .text   ascii   GetInstance
223 0x000073b3 0x004091b3 4   5    .text   ascii   Host
224 0x000073b8 0x004091b8 4   5    .text   ascii   Port
225 0x000073bd 0x004091bd 8   9    .text   ascii   uploader
226 0x000073c6 0x004091c6 6   7    .text   ascii   nameee
227 0x000073d5 0x004091d5 6   7    .text   ascii   Mutexx
228 0x000073dc 0x004091dc 16  17   .text   ascii   System.Threading
229 0x000073ed 0x004091ed 5   6    .text   ascii   Mutex
230 0x000073f3 0x004091f3 9   10   .text   ascii   _appMutex
231 0x000073fd 0x004091fd 4   5    .text   ascii   USBS
232 0x00007402 0x00409202 5   6    .text   ascii   path2
233 0x00007408 0x00409208 13  14   .text   ascii   System.Timers
234 0x00007416 0x00409216 5   6    .text   ascii   Timer
235 0x0000741c 0x0040921c 7   8    .text   ascii   dTimer2
236 0x00007424 0x00409224 7   8    .text   ascii   doshost
237 0x0000742c 0x0040922c 7   8    .text   ascii   dosport
238 0x00007434 0x00409234 7   8    .text   ascii   dostype
239 0x0000743c 0x0040923c 6   7    .text   ascii   dosstu
240 0x00007443 0x00409243 11  12   .text   ascii   isConnected
241 0x0000744f 0x0040924f 18  19   .text   ascii   System.Net.Sockets
242 0x00007462 0x00409262 6   7    .text   ascii   Socket
243 0x0000746b 0x0040926b 12  13   .text   ascii   BufferLength
244 0x00007478 0x00409278 6   7    .text   ascii   Buffer
245 0x0000747f 0x0040927f 9   10   .text   ascii   System.IO
246 0x00007489 0x00409289 12  13   .text   ascii   MemoryStream
247 0x00007499 0x00409299 12  13   .text   ascii   BeginConnect
248 0x000074a6 0x004092a6 4   5    .text   ascii   Info
249 0x000074ab 0x004092ab 12  13   .text   ascii   IAsyncResult
250 0x000074b8 0x004092b8 12  13   .text   ascii   BeginReceive
251 0x000074c8 0x004092c8 9   10   .text   ascii   BeginRead
252 0x000074d4 0x004092d4 4   5    .text   ascii   Send
253 0x000074dd 0x004092dd 7   8    .text   ascii   EndSend
254 0x000074e5 0x004092e5 14  15   .text   ascii   isDisconnected
255 0x000074f4 0x004092f4 4   5    .text   ascii   Ping
256 0x000074f9 0x004092f9 18  19   .text   ascii   System.Diagnostics
257 0x0000750c 0x0040930c 7   8    .text   ascii   Process
258 0x00007514 0x00409314 10  11   .text   ascii   _MyProcess
259 0x0000751f 0x0040931f 13  14   .text   ascii   get_MyProcess
260 0x0000752d 0x0040932d 13  14   .text   ascii   set_MyProcess
261 0x0000753b 0x0040933b 15  16   .text   ascii   WithEventsValue
262 0x0000754b 0x0040934b 9   10   .text   ascii   processid
263 0x00007555 0x00409355 16  17   .text   ascii   AppendOutputText
264 0x00007566 0x00409366 4   5    .text   ascii   text
265 0x0000756b 0x0040936b 21  22   .text   ascii   DataReceivedEventArgs
266 0x00007581 0x00409381 27  28   .text   ascii   MyProcess_ErrorDataReceived
267 0x0000759d 0x0040939d 6   7    .text   ascii   sender
268 0x000075a6 0x004093a6 28  29   .text   ascii   MyProcess_OutputDataReceived
269 0x000075c3 0x004093c3 4   5    .text   ascii   Read
270 0x000075c8 0x004093c8 11  12   .text   ascii   mouse_event
271 0x000075d4 0x004093d4 7   8    .text   ascii   dwFlags
272 0x000075e2 0x004093e2 8   9    .text   ascii   cButtons
273 0x000075eb 0x004093eb 11  12   .text   ascii   dwExtraInfo
274 0x000075f7 0x004093f7 6   7    .text   ascii   user32
275 0x000075fe 0x004093fe 11  12   .text   ascii   keybd_event
276 0x0000760e 0x0040940e 5   6    .text   ascii   bScan
277 0x00007614 0x00409414 14  15   .text   ascii   System.Drawing
278 0x00007623 0x00409423 6   7    .text   ascii   Bitmap
279 0x0000762a 0x0040942a 8   9    .text   ascii   compress
280 0x00007633 0x00409433 4   5    .text   ascii   imgg
281 0x0000763a 0x0040943a 5   6    .text   ascii   ngrok
282 0x0000764a 0x0040944a 7   8    .text   ascii   STOBS64
283 0x00007654 0x00409454 23  24   .text   ascii   capCreateCaptureWindowA
284 0x0000766c 0x0040946c 14  15   .text   ascii   lpszWindowName
285 0x0000767b 0x0040947b 7   8    .text   ascii   dwStyle
286 0x00007687 0x00409487 6   7    .text   ascii   nWidth
287 0x0000768e 0x0040948e 7   8    .text   ascii   nHeight
288 0x00007696 0x00409496 10  11   .text   ascii   hwndParent
289 0x000076a5 0x004094a5 6   7    .text   ascii   Handle
290 0x000076ac 0x004094ac 24  25   .text   ascii   capGetDriverDescriptionA
291 0x000076c5 0x004094c5 7   8    .text   ascii   wDriver
292 0x000076cd 0x004094cd 8   9    .text   ascii   lpszName
293 0x000076d6 0x004094d6 6   7    .text   ascii   cbName
294 0x000076dd 0x004094dd 7   8    .text   ascii   lpszVer
295 0x000076e5 0x004094e5 5   6    .text   ascii   cbVer
296 0x000076ef 0x004094ef 4   5    .text   ascii   Net3
297 0x000076f4 0x004094f4 10  11   .text   ascii   getFolders
