[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
93   0x00003079 0x00403c79 11  12   .text   ascii   3kfffff[[[9
94   0x000030a7 0x00403ca7 15  16   .text   ascii   &:kkkkkk]]\I:\fX
95   0x000030c6 0x00403cc6 4   5    .text   ascii   (C:F
96   0x000030d7 0x00403cd7 12  13   .text   ascii   E^_`mmmmk]\I
97   0x000030f6 0x00403cf6 6   7    .text   ascii   %QQHHZ
98   0x00003102 0x00403d02 9   11   .text   utf8    Ԇ{zzuuvv{ blocks=Cyrillic Supplement,Basic Latin
99   0x0000310f 0x00403d0f 4   5    .text   ascii   m`^:
100  0x00003127 0x00403d27 5   6    .text   ascii   .uuxz
101  0x0000313f 0x00403d3f 4   5    .text   ascii   |{E\f
102  0x00003226 0x00403e26 4   7    .text   utf8    ůZ%, blocks=Latin Extended-A,Basic Latin
103  0x00003250 0x00403e50 6   7    .text   ascii   /../X/
104  0x000039dd 0x004045dd 13  14   .text   ascii   z@FIfkkkcJ4?{
105  0x000039fc 0x004045fc 4   5    .text   ascii   -4_k
106  0x00003a03 0x00404603 5   8    .text   utf8    싉nfJ/ blocks=Hangul Syllables,Basic Latin
107  0x00003a1c 0x0040461c 4   5    .text   ascii   Dakn
108  0x00003a24 0x00404624 5   8    .text   utf8    슂mc_C blocks=Hangul Syllables,Basic Latin
109  0x00003a3b 0x0040463b 5   6    .text   ascii   *Hagn
110  0x00003a47 0x00404647 5   6    .text   ascii   kc_G0
111  0x00003a59 0x00404659 7   8    .text   ascii   \t//Eafm
112  0x00003a62 0x00404662 11  12   .text   ascii   i\]jnkc_GF*
113  0x00003a79 0x00404679 9   10   .text   ascii   -C*4aflYO
114  0x00003a86 0x00404686 7   8    .text   ascii   Agc_GD0
115  0x00003a99 0x00404699 8   9    .text   ascii   &C*/_f`Q
116  0x00003aa7 0x004046a7 7   8    .text   ascii   8f_HE0)
117  0x00003aba 0x004046ba 6   7    .text   ascii   1/)Ge:
118  0x00003ac7 0x004046c7 6   7    .text   ascii   PB>=<\e
119  0x00003b1e 0x0040471e 15  16   .text   ascii   +GJ__ccac__K6/+
120  0x00003b3c 0x0040473c 17  18   .text   ascii   T(\f,_dddddeed^W3,
121  0x00003b5f 0x0040475f 14  15   .text   ascii   \f+4KK```^^WW3,
122  0x00003b87 0x00404787 8   9    .text   ascii   o^W632+\f
123  0x00003ba7 0x004047a7 9   10   .text   ascii   o^W6552\f%
124  0x00003bc7 0x004047c7 8   9    .text   ascii   7^XXX57\n
125  0x00003be6 0x004047e6 7   8    .text   ascii   BbbbbXX
126  0x00003c06 0x00404806 8   9    .text   ascii   \iiiibZ\f
127  0x00003c22 0x00404822 7   8    .text   ascii   vprrrrs
128  0x00003c3b 0x0040483b 4   5    .text   ascii   L|y|
129  0x00004241 0x00404e41 4   5    .text   ascii   LFbr
130  0x00004247 0x00404e47 4   5    .text   ascii   sh@=
131  0x00004258 0x00404e58 4   5    .text   ascii   \fAiv
132  0x00004261 0x00404e61 4   5    .text   ascii   mZ*G
133  0x0000426f 0x00404e6f 5   6    .text   ascii   \n+[kv
134  0x00004279 0x00404e79 4   5    .text   ascii   q]E"
135  0x00004287 0x00404e87 7   8    .text   ascii   '+Ditp{
136  0x0000428f 0x00404e8f 7   8    .text   ascii   |nm\A?\v
137  0x0000429f 0x00404e9f 5   6    .text   ascii   -(4j;
138  0x000042a9 0x00404ea9 5   6    .text   ascii   `dA? 
139  0x000042b8 0x00404eb8 4   5    .text   ascii   )%dM
140  0x000042cc 0x00404ecc 4   8    .text   utf8    󼴯. 3 blocks=Supplementary Private Use Area-A,Basic Latin
141  0x000042e7 0x00404ee7 13  15   .text   utf8    š !8^^____S:& blocks=Latin Extended-A,Basic Latin
142  0x00004302 0x00404f02 14  15   .text   ascii   \t$XdffgeY7/!\aN
143  0x00004321 0x00404f21 6   7    .text   ascii   UW6/#\a
144  0x00004339 0x00404f39 6   7    .text   ascii   >W951\b
145  0x00004351 0x00404f51 5   6    .text   ascii   PaRQ0
146  0x00004368 0x00404f68 5   6    .text   ascii   ToooV
147  0x0000437c 0x00404f7c 5   7    .text   utf8    ʥyz}~ blocks=IPA Extensions,Basic Latin
148  0x000048b8 0x004054b8 4   5    .text   ascii   nsZY
149  0x000048c7 0x004054c7 8   9    .text   ascii   \b$?JF4#&
150  0x000048d7 0x004054d7 8   9    .text   ascii   ,:KkiVEQ
151  0x000048e7 0x004054e7 9   10   .text   ascii   15D?4gW@G
152  0x000048fd 0x004054fd 5   6    .text   ascii   6U=C\r
153  0x00004929 0x00405529 9   10   .text   ascii   ;<C<98H7\v
154  0x0000493d 0x0040553d 4   5    .text   ascii   +-_M
155  0x0000494d 0x0040554d 5   6    .text   ascii   >PbN/
156  0x0000495c 0x0040555c 5   6    .text   ascii   L^dc)
157  0x0000496c 0x0040556c 4   5    .text   ascii   [hi*
158  0x0000498d 0x0040558d 4   5    .text   ascii   xqrv
159  0x000049e3 0x004055e3 5   6    .text   ascii   PNG\r\n
160  0x000049ed 0x004055ed 5   6    .text   ascii   \rIHDR
161  0x00004a07 0x00405607 5   6    .text   ascii   IDATx
162  0x00004a1a 0x0040561a 4   5    .text   ascii   snN}
163  0x00004a2a 0x0040562a 6   7    .text   ascii    !!!K"
164  0x00004a57 0x00405657 7   8    .text   ascii   rju+tN7
165  0x00004aa7 0x004056a7 4   5    .text   ascii   )U3s
166  0x00004aed 0x004056ed 4   5    .text   ascii   8rkk
167  0x00004c54 0x00405854 4   5    .text   ascii   u X\b
168  0x00004c61 0x00405861 4   7    .text   utf8    SK溇* blocks=Basic Latin,CJK Unified Ideographs
169  0x00004cab 0x004058ab 4   5    .text   ascii   "(gQ
170  0x00004cb9 0x004058b9 5   7    .text   utf8    ~؍l:t blocks=Basic Latin,Arabic
171  0x00004ce7 0x004058e7 5   6    .text   ascii   uz\tbV
172  0x00004d50 0x00405950 7   8    .text   ascii   ~_:urjl
173  0x00004d9d 0x0040599d 4   6    .text   utf8    'ʻT! blocks=Basic Latin,Spacing Modifier Letters
174  0x00004de2 0x004059e2 6   7    .text   ascii    f%Rt!
175  0x00004e14 0x00405a14 4   6    .text   utf8    SKvϚ blocks=Basic Latin,Greek and Coptic
176  0x00004e3d 0x00405a3d 5   6    .text   ascii   \r\rwO.
177  0x00004e47 0x00405a47 7   8    .text   ascii   (9|B_>}
178  0x00004e90 0x00405a90 4   6    .text   utf8    ӹ\n$@ blocks=Cyrillic,Basic Latin
179  0x00004eb5 0x00405ab5 4   5    .text   ascii   \nQZ\n
180  0x00004ede 0x00405ade 4   5    .text   ascii   lJo{
