[Strings]
nth  paddr      vaddr      len  size section  type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
3256 0x00034b21 0x00436521 4    5    .data    ascii   <lS<
3257 0x00034b61 0x00436561 4    5    .data    ascii   @}nN
3258 0x00034ba3 0x004365a3 4    5    .data    ascii   a}X,
3259 0x00034bc6 0x004365c6 4    5    .data    ascii   v~>[
3260 0x00034bd7 0x004365d7 4    5    .data    ascii   X;&[
3261 0x00034c03 0x00436603 4    5    .data    ascii   \e/)e
3262 0x00034c0a 0x0043660a 4    5    .data    ascii   \v];>
3263 0x00034c15 0x00436615 5    6    .data    ascii    =mQO
3264 0x00034c2c 0x0043662c 4    5    .data    ascii   CQR7
3265 0x00034c55 0x00436655 6    7    .data    ascii   \b<QKGT
3266 0x00034c77 0x00436677 5    7    .data    utf8    s}ׅ3R blocks=Basic Latin,Hebrew
3267 0x00034ca0 0x004366a0 4    5    .data    ascii   5"@F
3268 0x00034d09 0x00436709 4    5    .data    ascii   E -M
3269 0x00034d2f 0x0043672f 4    5    .data    ascii   Qa@l
3270 0x00034d37 0x00436737 4    5    .data    ascii   \v1G&
3271 0x00034d4e 0x0043674e 4    5    .data    ascii   =EbU
3272 0x00034d8d 0x0043678d 4    5    .data    ascii   E-9w
3273 0x00034dac 0x004367ac 4    5    .data    ascii   F>!c
3274 0x00034db5 0x004367b5 8    9    .data    ascii   \a'<YH=N9
3275 0x00034ddc 0x004367dc 4    5    .data    ascii   a5.:
3276 0x00034f1b 0x0043691b 5    6    .data    ascii   f+i|F
3277 0x00034f26 0x00436926 5    6    .data    ascii   F%k5-
3278 0x00034f40 0x00436940 4    5    .data    ascii   ]S:0
3279 0x00034f63 0x00436963 5    6    .data    ascii   5zfOm
3280 0x00034f74 0x00436974 8    12   .data    utf8    ާGʕRedfǾ blocks=Thaana,Basic Latin,IPA Extensions,Latin Extended-B
3281 0x00034faa 0x004369aa 4    9    .data    utf8    ԍ\b`\n blocks=Cyrillic Supplement,Basic Latin
3282 0x0003500b 0x00436a0b 4    5    .data    ascii   ZmrW
3283 0x0003501d 0x00436a1d 4    6    .data    utf8    `՜z? blocks=Basic Latin,Armenian
3284 0x0003502f 0x00436a2f 4    6    .data    utf8    ۑqJ- blocks=Arabic,Basic Latin
3285 0x00035051 0x00436a51 4    5    .data    ascii   SJ_S
3286 0x000350a3 0x00436aa3 4    5    .data    ascii   >:\t$
3287 0x000350ea 0x00436aea 4    6    .data    utf8    2ʔ.A blocks=Basic Latin,IPA Extensions
3288 0x000350f1 0x00436af1 6    9    .data    utf8    Yb胏k7\r blocks=Basic Latin,CJK Unified Ideographs
3289 0x000350ff 0x00436aff 4    7    .data    utf8    絉lRw blocks=CJK Unified Ideographs,Basic Latin
3290 0x00035114 0x00436b14 4    5    .data    ascii   ~7$C
3291 0x0003513d 0x00436b3d 4    8    .data    utf8    ԙ0O뭏 blocks=Cyrillic Supplement,Basic Latin,Hangul Syllables
3292 0x00035193 0x00436b93 4    5    .data    ascii   9)oB
3293 0x000351a1 0x00436ba1 4    5    .data    ascii   #"`}
3294 0x000351b4 0x00436bb4 5    7    .data    utf8    mՊrL| blocks=Basic Latin,Armenian
3295 0x000351d5 0x00436bd5 4    5    .data    ascii   CzxC
3296 0x000351f7 0x00436bf7 5    6    .data    ascii   TO8Us
3297 0x0003521c 0x00436c1c 6    7    .data    ascii   wfw\f?2
3298 0x00035256 0x00436c56 4    5    .data    ascii   \tS&x
3299 0x00035261 0x00436c61 4    5    .data    ascii   .tW'
3300 0x00035266 0x00436c66 5    6    .data    ascii   >W|kn
3301 0x00035270 0x00436c70 5    6    .data    ascii   j}3Xh
3302 0x00035277 0x00436c77 4    5    .data    ascii   5oKG
3303 0x0003529c 0x00436c9c 4    5    .data    ascii   G;\bs
3304 0x000352b6 0x00436cb6 6    7    .data    ascii   |P`y>#
3305 0x000352bf 0x00436cbf 4    7    .data    utf8     ~Ɗu blocks=Basic Latin,Latin Extended-B
3306 0x00035323 0x00436d23 4    5    .data    ascii   !g8I
3307 0x00035353 0x00436d53 4    5    .data    ascii   'Rlb
3308 0x000353a6 0x00436da6 4    5    .data    ascii   h3YI
3309 0x00035440 0x00436e40 4    5    .data    ascii   ZH:7
3310 0x00035491 0x00436e91 4    5    .data    ascii   />WD
3311 0x00035496 0x00436e96 5    8    .data    utf8    W֧3ʠK blocks=Basic Latin,Hebrew,IPA Extensions
3312 0x000354c2 0x00436ec2 6    7    .data    ascii   Vy<B83
3313 0x00035524 0x00436f24 7    10   .data    utf8    }O<:˸$ŷ blocks=Basic Latin,Spacing Modifier Letters,Latin Extended-A
3314 0x00035567 0x00436f67 4    5    .data    ascii   ;z/+
3315 0x00035596 0x00436f96 5    6    .data    ascii   g(bc)
3316 0x000355a7 0x00436fa7 6    8    .data    utf8    7.Yd Ϊ blocks=Basic Latin,Greek and Coptic
3317 0x000355cb 0x00436fcb 5    7    .data    utf8    <ѐ8t* blocks=Basic Latin,Cyrillic
3318 0x000355d6 0x00436fd6 4    5    .data    ascii   ERJg
3319 0x000355e7 0x00436fe7 4    5    .data    ascii   `3Dz
3320 0x00035602 0x00437002 4    6    .data    utf8    ʎXA5 blocks=IPA Extensions,Basic Latin
3321 0x0003561b 0x0043701b 7    9    .data    utf8    {J[3ֽ?~ blocks=Basic Latin,Hebrew
3322 0x0003565f 0x0043705f 4    5    .data    ascii   G29d
3323 0x00035688 0x00437088 4    5    .data    ascii   \e7ni
3324 0x00035696 0x00437096 4    6    .data    utf8    |T!\v
3325 0x000356da 0x004370da 5    6    .data    ascii   \rHc4X
3326 0x00035706 0x00437106 5    8    .data    utf8    ĺؖX[| blocks=Latin Extended-A,Arabic,Basic Latin
3327 0x00035711 0x00437111 4    5    .data    ascii   `$w?
3328 0x00035729 0x00437129 5    6    .data    ascii   byLKd
3329 0x0003573d 0x0043713d 5    7    .data    utf8    |iVǰ\n blocks=Basic Latin,Latin Extended-B
3330 0x00035752 0x00437152 6    8    .data    utf8    3\f^qΊ\r blocks=Basic Latin,Greek and Coptic
3331 0x00035788 0x00437188 4    5    .data    ascii   YJD:
3332 0x000357ab 0x004371ab 5    6    .data    ascii   =G?(J
3333 0x000358aa 0x004372aa 7    8    .data    ascii   *54FZR3
3334 0x00035902 0x00437302 6    8    .data    utf8    GYY9ݪf blocks=Basic Latin,Arabic Supplement
3335 0x0003590d 0x0043730d 4    5    .data    ascii   VB:N
3336 0x00035939 0x00437339 5    6    .data    ascii   i1Tlm
3337 0x00035988 0x00437388 9    10   .data    ascii   vzhPJ%fWB
3338 0x000359fa 0x004373fa 4    5    .data    ascii   w9f]
3339 0x00035a2b 0x0043742b 5    7    .data    utf8    ~&wIћ blocks=Basic Latin,Cyrillic
3340 0x00035a71 0x00437471 5    6    .data    ascii   wwC4I
3341 0x00035a7a 0x0043747a 5    6    .data    ascii   l5.>"
3342 0x00035aab 0x004374ab 5    6    .data    ascii   $R?HC
3343 0x00035abe 0x004374be 4    5    .data    ascii   fhL-
3344 0x00035acf 0x004374cf 4    6    .data    utf8    5U:ӫ blocks=Basic Latin,Cyrillic
3345 0x00035ae3 0x004374e3 4    5    .data    ascii   L4QY
3346 0x00035afa 0x004374fa 7    8    .data    ascii   fP[G\eJm
3347 0x00035b02 0x00437502 4    5    .data    ascii   2X48
3348 0x00035b1a 0x0043751a 4    5    .data    ascii   `mT7
3349 0x00035b55 0x00437555 4    5    .data    ascii   Bmg(
3350 0x00035b68 0x00437568 4    6    .data    utf8    t/ׇ" blocks=Basic Latin,Hebrew
3351 0x00035bd5 0x004375d5 4    6    .data    utf8    'ߟd5 blocks=Basic Latin,NKo
3352 0x00035bf5 0x004375f5 5    6    .data    ascii   /'g>|
3353 0x00035c30 0x00437630 7    8    .data    ascii   gqp\vFk\n
3354 0x00035c67 0x00437667 4    5    .data    ascii   *{tJ
3355 0x00035c8c 0x0043768c 4    6    .data    utf8    PײK\f blocks=Basic Latin,Hebrew
3356 0x00035c96 0x00437696 6    8    .data    utf8    }^/dϭb blocks=Basic Latin,Greek and Coptic
3357 0x00035c9e 0x0043769e 8    9    .data    ascii   `1/ZZ"H1
3358 0x00035ce6 0x004376e6 4    7    .data    utf8    A\n便, blocks=Basic Latin,CJK Compatibility Ideographs
3359 0x00035d88 0x00437788 4    5    .data    ascii   ~T4@
3360 0x00035d92 0x00437792 4    5    .data    ascii   q9HH
3361 0x00035db6 0x004377b6 5    6    .data    ascii   m\f>e\n
3362 0x00035dc5 0x004377c5 5    6    .data    ascii   &x\bna
3363 0x00035dd3 0x004377d3 4    5    .data    ascii   &J},
3364 0x00035e48 0x00437848 4    5    .data    ascii   \tS0v
3365 0x00035e54 0x00437854 4    5    .data    ascii   lc%q
3366 0x00035e59 0x00437859 8    13   .data    utf8    QCꄕӄk}ǐh blocks=Basic Latin,Yi Syllables,Cyrillic,Latin Extended-B
3367 0x00035e71 0x00437871 5    7    .data    utf8    c7qqk
3368 0x00035e78 0x00437878 4    5    .data    ascii   \r^v\r
3369 0x00035ee5 0x004378e5 4    5    .data    ascii   \t\a#^
3370 0x00035ef3 0x004378f3 4    5    .data    ascii   \fdU5
3371 0x00035f27 0x00437927 4    5    .data    ascii   \vrK0
3372 0x00035f54 0x00437954 4    5    .data    ascii   '+ j
3373 0x00035f77 0x00437977 5    6    .data    ascii   Wp+=*
3374 0x0003602f 0x00437a2f 4    5    .data    ascii   o(^2
3375 0x00036036 0x00437a36 7    8    .data    ascii   t6g\a6aN
3376 0x00036047 0x00437a47 5    6    .data    ascii   v}4 0
3377 0x0003608b 0x00437a8b 6    7    .data    ascii   AT%\f\v/
3378 0x000360b1 0x00437ab1 5    6    .data    ascii   <Y6$'
3379 0x000360da 0x00437ada 4    6    .data    utf8    bɅod blocks=Basic Latin,Latin Extended-B
3380 0x000360ea 0x00437aea 4    5    .data    ascii   hcvL
3381 0x00036125 0x00437b25 5    7    .data    utf8    mu?χr blocks=Basic Latin,Greek and Coptic
3382 0x0003617a 0x00437b7a 4    5    .data    ascii   3q?D
3383 0x00036184 0x00437b84 5    6    .data    ascii   :\e>Dd
3384 0x00036198 0x00437b98 4    5    .data    ascii   &G's
3385 0x000361b6 0x00437bb6 4    6    .data    utf8    ι Zi blocks=Greek and Coptic,Basic Latin
3386 0x00036235 0x00437c35 4    6    .data    utf8    :Xǐo blocks=Basic Latin,Latin Extended-B
3387 0x00036279 0x00437c79 5    6    .data    ascii   \r tj\
3388 0x00036295 0x00437c95 4    6    .data    utf8    w[ɮm blocks=Basic Latin,IPA Extensions
3389 0x0003629b 0x00437c9b 9    11   .data    utf8    ?CM\eޏ5t)x blocks=Basic Latin,Thaana
3390 0x000362a8 0x00437ca8 4    5    .data    ascii   =\e&z
3391 0x000363a6 0x00437da6 6    8    .data    utf8    ?ÖNR*w blocks=Basic Latin,Latin-1 Supplement
3392 0x00036427 0x00437e27 4    5    .data    ascii   v<HB
3393 0x00036487 0x00437e87 8    9    .data    ascii   Qr%b^\~]
3394 0x0003649f 0x00437e9f 4    5    .data    ascii   (Yip
3395 0x000364db 0x00437edb 5    7    .data    utf8    ))\f\n۲ blocks=Basic Latin,Arabic
3396 0x0003657f 0x00437f7f 4    6    .data    utf8    8N0ԁ blocks=Basic Latin,Cyrillic Supplement
3397 0x0003658f 0x00437f8f 4    5    .data    ascii   HN1e
3398 0x0003659b 0x00437f9b 4    5    .data    ascii   a}cc
3399 0x000365e8 0x00437fe8 4    5    .data    ascii   dy=r
3400 0x000365f8 0x00437ff8 4    6    .data    utf8    \e\hו blocks=Basic Latin,Hebrew
3401 0x00036600 0x00438000 6    7    .data    ascii   )|Zl1'
3402 0x00036685 0x00438085 4    6    .data    utf8    5Z?އ blocks=Basic Latin,Thaana
3403 0x00036699 0x00438099 7    8    .data    ascii   <ABjYiV
3404 0x000366cb 0x004380cb 5    6    .data    ascii   6}E}^
3405 0x000366d1 0x004380d1 4    5    .data    ascii   Qkhh
3406 0x000366de 0x004380de 4    5    .data    ascii   k.B%
3407 0x000366ea 0x004380ea 4    5    .data    ascii   'R`#
3408 0x0003673f 0x0043813f 5    8    .data    utf8    %U쾉;> blocks=Basic Latin,Hangul Syllables
3409 0x00036773 0x00438173 8    9    .data    ascii   S\rvVn_J+
3410 0x000367d0 0x004381d0 4    5    .data    ascii   G\g^
3411 0x000367f4 0x004381f4 5    6    .data    ascii   a\t;\H
3412 0x0003680a 0x0043820a 4    5    .data    ascii   0YdP
3413 0x00036810 0x00438210 4    6    .data    utf8    6\vѭx blocks=Basic Latin,Cyrillic
3414 0x00036895 0x00438295 6    8    .data    utf8    ך;0~7* blocks=Hebrew,Basic Latin
3415 0x000368ca 0x004382ca 5    6    .data    ascii   2_%\t;
3416 0x00036923 0x00438323 5    6    .data    ascii   7OE-%
3417 0x00036951 0x00438351 8    9    .data    ascii   5\eoUS.AU
3418 0x00036997 0x00438397 4    5    .data    ascii   y@0q
3419 0x000369ae 0x004383ae 4    5    .data    ascii   C1FO
3420 0x000369b3 0x004383b3 4    5    .data    ascii   3d'}
3421 0x000369e9 0x004383e9 4    5    .data    ascii   XJRs
3422 0x000369f7 0x004383f7 4    5    .data    ascii   TIN\v
3423 0x00036a16 0x00438416 4    6    .data    utf8    `Ͳl. blocks=Basic Latin,Greek and Coptic
3424 0x00036a1f 0x0043841f 4    6    .data    utf8    >ծHU blocks=Basic Latin,Armenian
3425 0x00036a6c 0x0043846c 4    5    .data    ascii   \rZH*
3426 0x00036ab4 0x004384b4 4    6    .data    utf8    \n\t߫o blocks=Basic Latin,NKo
3427 0x00036abb 0x004384bb 4    5    .data    ascii   Ea\rS
3428 0x00036ad8 0x004384d8 5    7    .data    utf8    sg)ҖN blocks=Basic Latin,Cyrillic
3429 0x00036ae6 0x004384e6 9    12   .data    utf8    3ƞ\e=ZS3ơ# blocks=Basic Latin,Latin Extended-B
3430 0x00036b5e 0x0043855e 6    7    .data    ascii   t\GQk*
3431 0x00036ba1 0x004385a1 4    5    .data    ascii   #}Ko
3432 0x00036ccc 0x004386cc 5    6    .data    ascii   }'\nN$
3433 0x00036cdf 0x004386df 6    7    .data    ascii   \rwwU8Y
3434 0x00036cea 0x004386ea 4    5    .data    ascii   s-(z
3435 0x00036d2f 0x0043872f 4    5    .data    ascii   .;\eL
3436 0x00036d55 0x00438755 4    5    .data    ascii   Kw;>
3437 0x00036d9f 0x0043879f 5    8    .data    utf8    m8Z*鋏 blocks=Basic Latin,CJK Unified Ideographs
3438 0x00036daa 0x004387aa 5    6    .data    ascii   oc~h\t
3439 0x00036db6 0x004387b6 4    5    .data    ascii   %|os
3440 0x00036dee 0x004387ee 4    6    .data    utf8    08|b
3441 0x00036df8 0x004387f8 9    10   .data    ascii   w2SO0{\e3R
3442 0x00036e3e 0x0043883e 6    7    .data    ascii   J_e<O!
3443 0x00036e4d 0x0043884d 5    7    .data    utf8    \tƕ~r> blocks=Basic Latin,Latin Extended-B
3444 0x00036e59 0x00438859 4    6    .data    utf8    й-Ig blocks=Cyrillic,Basic Latin
3445 0x00036e67 0x00438867 6    7    .data    ascii   D[Ym\aM
3446 0x00036ece 0x004388ce 6    7    .data    ascii   J6<\tX\a
3447 0x00036ee9 0x004388e9 8    10   .data    utf8    Ay\ttAȴ{x blocks=Basic Latin,Latin Extended-B
3448 0x00036f04 0x00438904 4    5    .data    ascii   '0@!
3449 0x00036f2f 0x0043892f 5    6    .data    ascii   \a'Y"i
3450 0x00036f46 0x00438946 5    6    .data    ascii   Noq|.
3451 0x00036f6f 0x0043896f 5    7    .data    utf8    ͜kK#d blocks=Combining Diacritical Marks,Basic Latin
3452 0x00036fc2 0x004389c2 4    5    .data    ascii   =qK+
3453 0x00036fd1 0x004389d1 4    5    .data    ascii   J`0S
3454 0x00037035 0x00438a35 4    5    .data    ascii   bm9<
3455 0x00037081 0x00438a81 4    5    .data    ascii   vsa]
3456 0x00037088 0x00438a88 5    6    .data    ascii   f<@"O
3457 0x0003715d 0x00438b5d 5    6    .data    ascii   8vB{h
3458 0x000371d5 0x00438bd5 8    10   .data    utf8    jQŦB[Td{ blocks=Basic Latin,Latin Extended-A
3459 0x0003720e 0x00438c0e 4    5    .data    ascii   \vC\v=
3460 0x00037216 0x00438c16 4    5    .data    ascii   ?6hq
3461 0x0003722a 0x00438c2a 4    5    .data    ascii   |^q!
3462 0x00037232 0x00438c32 4    5    .data    ascii   lA\ao
3463 0x00037256 0x00438c56 4    6    .data    utf8    tO̹( blocks=Basic Latin,Combining Diacritical Marks
3464 0x0003725d 0x00438c5d 5    6    .data    ascii   pHPk(
3465 0x00037324 0x00438d24 4    5    .data    ascii   D}-'
3466 0x0003737b 0x00438d7b 9    11   .data    utf8    TcޔLniOSv blocks=Basic Latin,Thaana
3467 0x000373c1 0x00438dc1 4    5    .data    ascii   'Zs\
3468 0x000373d7 0x00438dd7 10   14   .data    utf8    MC%P]qþׄMH blocks=Basic Latin,Latin-1 Supplement,Hebrew
3469 0x000373f8 0x00438df8 5    6    .data    ascii   !:BQ@
3470 0x0003740a 0x00438e0a 4    5    .data    ascii   1#F/
3471 0x00037416 0x00438e16 5    7    .data    utf8    Z[v9ߊ blocks=Basic Latin,NKo
3472 0x0003741d 0x00438e1d 4    5    .data    ascii   89up
3473 0x00037444 0x00438e44 4    5    .data    ascii   g#8\
3474 0x00037489 0x00438e89 6    7    .data    ascii   O[){GI
3475 0x000375a7 0x00438fa7 7    8    .data    ascii   DM!Migm
3476 0x000375b4 0x00438fb4 5    6    .data    ascii   q`Es(
3477 0x000375dc 0x00438fdc 5    6    .data    ascii   T[]s#
3478 0x000375f0 0x00438ff0 4    5    .data    ascii   [HpR
3479 0x00037639 0x00439039 4    5    .data    ascii   cZ7n
3480 0x00037693 0x00439093 5    6    .data    ascii   bcEBe
3481 0x0003769d 0x0043909d 4    5    .data    ascii   \e9Zn
3482 0x000376fd 0x004390fd 5    6    .data    ascii   VJsXQ
3483 0x0003772c 0x0043912c 6    8    .data    utf8    ҈{k,x\e blocks=Cyrillic,Basic Latin
3484 0x00037790 0x00439190 4    5    .data    ascii   x\e_?
3485 0x00037795 0x00439195 4    5    .data    ascii   TWVz
3486 0x000377bb 0x004391bb 4    5    .data    ascii   5!{4
3487 0x000377f6 0x004391f6 6    8    .data    utf8    _.Q˔SP blocks=Basic Latin,Spacing Modifier Letters
3488 0x0003780b 0x0043920b 4    5    .data    ascii   \a?[q
3489 0x0003781b 0x0043921b 6    7    .data    ascii   .y1rup
3490 0x00037886 0x00439286 4    6    .data    utf8    TX\н blocks=Basic Latin,Cyrillic
3491 0x000378aa 0x004392aa 4    5    .data    ascii   nDqN
3492 0x000378c1 0x004392c1 5    6    .data    ascii   Epqhp
3493 0x000378e1 0x004392e1 4    6    .data    utf8    9\bҠM blocks=Basic Latin,Cyrillic
3494 0x0003792e 0x0043932e 7    8    .data    ascii   B\r)gAYz
3495 0x000379a4 0x004393a4 4    5    .data    ascii   Xd>B
3496 0x000379cc 0x004393cc 4    7    .data    utf8    3फ;\v blocks=Basic Latin,Devanagari
3497 0x000379df 0x004393df 4    5    .data    ascii   \eKke
3498 0x000379f7 0x004393f7 7    8    .data    ascii   \uBj 'r
3499 0x00037a4e 0x0043944e 5    6    .data    ascii   VAGE4
3500 0x00037a5e 0x0043945e 4    5    .data    ascii   P>|L
3501 0x00037aa4 0x004394a4 5    7    .data    utf8    ɗUkML blocks=IPA Extensions,Basic Latin
3502 0x00037aaf 0x004394af 5    6    .data    ascii   gc6qf
3503 0x00037aec 0x004394ec 5    6    .data    ascii   X#_'F
3504 0x00037b18 0x00439518 4    5    .data    ascii   PO#R
3505 0x00037b27 0x00439527 4    5    .data    ascii   }"~y
3506 0x00037b85 0x00439585 5    6    .data    ascii   vlZg\r
3507 0x00037c05 0x00439605 4    8    .data    utf8    ˭ɀ;ˋ blocks=Spacing Modifier Letters,Latin Extended-B,Basic Latin
3508 0x00037c4a 0x0043964a 4    5    .data    ascii   T8\n<
3509 0x00037c6d 0x0043966d 4    5    .data    ascii   0p8\a
3510 0x00037c8e 0x0043968e 4    5    .data    ascii   ]}\bH
3511 0x00037cb3 0x004396b3 5    7    .data    utf8    vwjʿ\ blocks=Basic Latin,Spacing Modifier Letters
3512 0x00037cd2 0x004396d2 4    5    .data    ascii   fQ /
3513 0x00037cf2 0x004396f2 4    5    .data    ascii   Z\tI>
3514 0x00037cf8 0x004396f8 5    6    .data    ascii   Lyk6U
3515 0x00037d28 0x00439728 4    5    .data    ascii   H{u%
3516 0x00037d4a 0x0043974a 4    5    .data    ascii   /:>(
3517 0x00037d5b 0x0043975b 4    5    .data    ascii   gl)}
3518 0x00037d78 0x00439778 4    5    .data    ascii   Qk,y
3519 0x00037d9c 0x0043979c 7    8    .data    ascii   \b|.`HC+
3520 0x00037db4 0x004397b4 4    5    .data    ascii   ^M~4
3521 0x00037e52 0x00439852 6    7    .data    ascii   {U^74c
3522 0x00037e5d 0x0043985d 4    5    .data    ascii   }A\v^
3523 0x00037e8e 0x0043988e 4    5    .data    ascii   d^n8
3524 0x00037e9e 0x0043989e 4    5    .data    ascii   t1\O
3525 0x00037ea7 0x004398a7 8    9    .data    ascii   Yt0kA0[C
3526 0x00037ebb 0x004398bb 7    8    .data    ascii   oG<mc)J
3527 0x00037f02 0x00439902 4    5    .data    ascii   (|0x
3528 0x00037f8c 0x0043998c 6    7    .data    ascii   ?DD8\t`
3529 0x00037fce 0x004399ce 4    5    .data    ascii   N\t=f
3530 0x0003800a 0x00439a0a 7    11   .data    utf8    ˬ\aXu;挫\t blocks=Spacing Modifier Letters,Basic Latin,CJK Unified Ideographs
3531 0x00038016 0x00439a16 4    5    .data    ascii   }gG5
3532 0x00038025 0x00439a25 4    5    .data    ascii   \Tm=
3533 0x0003802a 0x00439a2a 7    8    .data    ascii   VW]NLjB
3534 0x00038052 0x00439a52 4    5    .data    ascii   dQ}I
3535 0x00038089 0x00439a89 4    6    .data    utf8    :ا&6 blocks=Basic Latin,Arabic
3536 0x000380fd 0x00439afd 6    9    .data    utf8    Ö%|ʑLP blocks=Latin-1 Supplement,Basic Latin,IPA Extensions
3537 0x0003811d 0x00439b1d 4    5    .data    ascii   WIeD
3538 0x00038147 0x00439b47 4    5    .data    ascii   1%J}
3539 0x0003815a 0x00439b5a 5    6    .data    ascii   ZY7(c
3540 0x00038161 0x00439b61 5    8    .data    utf8    k̗{}~ blocks=Basic Latin,Combining Diacritical Marks
3541 0x00038182 0x00439b82 4    5    .data    ascii   O8)l
3542 0x00038188 0x00439b88 4    5    .data    ascii   _*VW
3543 0x000381b6 0x00439bb6 4    5    .data    ascii   \W]Z
3544 0x0003823c 0x00439c3c 4    5    .data    ascii   $\r$^
3545 0x00038245 0x00439c45 5    6    .data    ascii   D'c+9
3546 0x0003825a 0x00439c5a 5    7    .data    utf8    ɽ,mik blocks=IPA Extensions,Basic Latin
3547 0x00038262 0x00439c62 4    5    .data    ascii   *Q\r%
3548 0x000382c6 0x00439cc6 6    7    .data    ascii   N-TOK\t
3549 0x000382e0 0x00439ce0 4    6    .data    utf8    qK̈́v blocks=Basic Latin,Combining Diacritical Marks
3550 0x0003830a 0x00439d0a 4    6    .data    utf8    Nmw[
3551 0x00038317 0x00439d17 5    8    .data    utf8    V0>ӥD blocks=Basic Latin,Cyrillic
3552 0x0003835a 0x00439d5a 4    6    .data    utf8    (՛t3 blocks=Basic Latin,Armenian
3553 0x00038377 0x00439d77 4    6    .data    utf8    ZPG̋ blocks=Basic Latin,Combining Diacritical Marks
3554 0x000383a1 0x00439da1 4    5    .data    ascii   ]\tH!
3555 0x000383ad 0x00439dad 4    5    .data    ascii   Wl~7
3556 0x000383e8 0x00439de8 5    7    .data    utf8    \s߶_D blocks=Basic Latin,NKo
3557 0x00038470 0x00439e70 5    8    .data    utf8    +?!ޕÅ blocks=Basic Latin,Thaana,Latin-1 Supplement
3558 0x0003847e 0x00439e7e 4    6    .data    utf8    &\t&ʾ blocks=Basic Latin,Spacing Modifier Letters
3559 0x0003848b 0x00439e8b 4    5    .data    ascii   c\a$s
3560 0x000384bb 0x00439ebb 4    5    .data    ascii   z33k
3561 0x000384c1 0x00439ec1 5    6    .data    ascii   Yzm4.
3562 0x000384da 0x00439eda 6    7    .data    ascii   W9@a\tP
3563 0x00038524 0x00439f24 4    6    .data    utf8    iTtÔ blocks=Basic Latin,Latin-1 Supplement
3564 0x00038547 0x00439f47 8    11   .data    utf8    i\rػ~\՟h( blocks=Basic Latin,Arabic,Armenian
3565 0x0003857e 0x00439f7e 4    5    .data    ascii   Q0|!
3566 0x000385ac 0x00439fac 5    8    .data    utf8    ccϴE, blocks=Basic Latin,Greek and Coptic
3567 0x000385e7 0x00439fe7 4    5    .data    ascii   EyLR
3568 0x0003862f 0x0043a02f 4    5    .data    ascii   \rEpS
3569 0x00038658 0x0043a058 6    7    .data    ascii   iCXGEK
3570 0x00038668 0x0043a068 4    7    .data    utf8    Q\bѪخ blocks=Basic Latin,Cyrillic,Arabic
3571 0x0003867f 0x0043a07f 8    10   .data    utf8    /O \vr:cʱ blocks=Basic Latin,Spacing Modifier Letters
3572 0x000386c2 0x0043a0c2 5    8    .data    utf8    彥*Y2R blocks=CJK Unified Ideographs,Basic Latin
3573 0x000386d8 0x0043a0d8 4    5    .data    ascii   ~#\r 
3574 0x000386de 0x0043a0de 4    5    .data    ascii   \%:B
3575 0x000386f5 0x0043a0f5 4    6    .data    utf8    DPCi
3576 0x000386fc 0x0043a0fc 4    5    .data    ascii   B-|!
3577 0x00038703 0x0043a103 5    7    .data    utf8    (&Yڣ+ blocks=Basic Latin,Arabic
3578 0x00038719 0x0043a119 7    8    .data    ascii   %!o.&sI
3579 0x00038738 0x0043a138 4    5    .data    ascii   \nd/n
3580 0x0003875f 0x0043a15f 4    7    .data    utf8    ːڡo? blocks=Spacing Modifier Letters,Arabic,Basic Latin
3581 0x000387a4 0x0043a1a4 4    6    .data    utf8    "\ebޱ blocks=Basic Latin,Thaana
3582 0x0003880e 0x0043a20e 4    6    .data    utf8    Τf\ro blocks=Greek and Coptic,Basic Latin
3583 0x00038814 0x0043a214 7    9    .data    utf8    s}\rkۃ"Q blocks=Basic Latin,Arabic
3584 0x00038831 0x0043a231 4    6    .data    utf8    ا_dB blocks=Arabic,Basic Latin
3585 0x00038848 0x0043a248 5    6    .data    ascii   _{-k 
3586 0x0003885a 0x0043a25a 4    6    .data    utf8    ֧1M) blocks=Hebrew,Basic Latin
3587 0x0003886e 0x0043a26e 4    5    .data    ascii   6YOf
3588 0x00038879 0x0043a279 4    5    .data    ascii   k3ZU
3589 0x00038894 0x0043a294 4    5    .data    ascii   lY\k
3590 0x000388b5 0x0043a2b5 6    7    .data    ascii   R3)w"f
3591 0x0003893a 0x0043a33a 6    7    .data    ascii   ?#_MJ#
3592 0x00038942 0x0043a342 4    6    .data    utf8    $`uП blocks=Basic Latin,Cyrillic
3593 0x00038955 0x0043a355 4    6    .data    utf8    m/ؿW blocks=Basic Latin,Arabic
3594 0x00038994 0x0043a394 4    5    .data    ascii   _i=M
3595 0x000389b1 0x0043a3b1 7    8    .data    ascii   M?587n&
3596 0x000389d2 0x0043a3d2 6    7    .data    ascii   }o>h\bO
3597 0x000389f2 0x0043a3f2 7    8    .data    ascii   mxt?\nP\
3598 0x00038a2d 0x0043a42d 6    7    .data    ascii   ~rO`u1
3599 0x00038a48 0x0043a448 4    5    .data    ascii   !\t]@
3600 0x00038a5a 0x0043a45a 5    7    .data    utf8    T\e[z٢ blocks=Basic Latin,Arabic
3601 0x00038a86 0x0043a486 4    5    .data    ascii   I&$b
3602 0x00038ab4 0x0043a4b4 5    6    .data    ascii   8xR*\n
