[Strings]
nth  paddr      vaddr      len  size section  type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
286  0x00007f48 0x00408b48 4    5    .text    ascii   t$T1
287  0x00007f4e 0x00408b4e 4    6    .text    utf8    ދ\$T blocks=Thaana,Basic Latin
288  0x00007fa7 0x00408ba7 7    9    .text    utf8    [^_]Ít& blocks=Basic Latin,Latin-1 Supplement
289  0x00007fb4 0x00408bb4 4    5    .text    ascii   l$.1
290  0x00007fd6 0x00408bd6 4    5    .text    ascii   9l$X
291  0x0000800b 0x00408c0b 5    7    .text    utf8    [^_]Ã blocks=Basic Latin,Latin-1 Supplement
292  0x00008015 0x00408c15 5    7    .text    utf8    [^_]Í blocks=Basic Latin,Latin-1 Supplement
293  0x00008078 0x00408c78 4    6    .text    utf8    KT$H
294  0x00008170 0x00408d70 4    5    .text    ascii   UWVS
295  0x00008199 0x00408d99 4    6    .text    utf8    ǉD$8 blocks=Latin Extended-B,Basic Latin
296  0x000081a1 0x00408da1 5    7    .text    utf8    1҉D$0 blocks=Basic Latin,Cyrillic
297  0x000081b0 0x00408db0 4    6    .text    utf8    ؉|$( blocks=Arabic,Basic Latin
298  0x000081cb 0x00408dcb 5    8    .text    utf8    \tŉD$4 blocks=Basic Latin,Latin Extended-A
299  0x00008220 0x00408e20 5    7    .text    utf8    1ۉL$  blocks=Basic Latin,Arabic
300  0x00008229 0x00408e29 4    5    .text    ascii   \$$1
301  0x0000824e 0x00408e4e 4    5    .text    ascii   9|$(
302  0x00008312 0x00408f12 5    7    .text    utf8    s̋D$, blocks=Basic Latin,Combining Diacritical Marks
303  0x00008365 0x00408f65 6    8    .text    utf8    L[^_]Ð blocks=Basic Latin,Latin-1 Supplement
304  0x0000851c 0x0040911c 5    7    .text    utf8    [^_]Ë blocks=Basic Latin,Latin-1 Supplement
305  0x0000862c 0x0040922c 4    5    .text    ascii   D$@\t
306  0x00008637 0x00409237 4    5    .text    ascii   ;P\b}
307  0x00008652 0x00409252 7    9    .text    utf8    ,[^_]Ë@ blocks=Basic Latin,Latin-1 Supplement
308  0x000086e0 0x004092e0 4    5    .text    ascii   UWVS
309  0x00008721 0x00409321 4    6    .text    utf8    \tD$,
310  0x0000873c 0x0040933c 6    8    .text    utf8    9ЉL$(s blocks=Basic Latin,Cyrillic
311  0x00008769 0x00409369 4    6    .text    utf8    9؉D$ blocks=Basic Latin,Arabic
312  0x000087ce 0x004093ce 8    10   .text    utf8    T$\fw͋D$\b blocks=Basic Latin,Combining Diacritical Marks
313  0x0000882e 0x0040942e 5    6    .text    ascii   <[^_]
314  0x000088ad 0x004094ad 4    7    .text    utf8    uˉЍe blocks=Basic Latin,Spacing Modifier Letters,Cyrillic
