[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
85    0x00001060 0x00728e60 4   5    UPX1    ascii   1\v$W
86    0x000010a3 0x00728ea3 5   6    UPX1    ascii   F}e7S
87    0x000010b5 0x00728eb5 4   5    UPX1    ascii   \b |r
88    0x000010f1 0x00728ef1 4   5    UPX1    ascii   G=aX
89    0x00001132 0x00728f32 6   7    UPX1    ascii   t{E7SX
90    0x0000115b 0x00728f5b 5   6    UPX1    ascii   5"l??
91    0x00001166 0x00728f66 6   7    UPX1    ascii   %\n7J^@
92    0x00001190 0x00728f90 4   5    UPX1    ascii   f9A?
93    0x000011ae 0x00728fae 7   8    UPX1    ascii   H\bRNVFH
94    0x000011e4 0x00728fe4 5   7    UPX1    utf8    pˁ]iZ blocks=Basic Latin,Spacing Modifier Letters
95    0x0000120a 0x0072900a 4   5    UPX1    ascii   R?H4
96    0x00001263 0x00729063 4   6    UPX1    utf8    9ȡh\ blocks=Basic Latin,Latin Extended-B
97    0x000012bc 0x007290bc 6   7    UPX1    ascii   =!xn"V
98    0x000012cd 0x007290cd 5   6    UPX1    ascii   D|(uM
99    0x000012de 0x007290de 5   7    UPX1    utf8    #F̡tF blocks=Basic Latin,Combining Diacritical Marks
100   0x000012e5 0x007290e5 5   6    UPX1    ascii   AAbDK
101   0x0000130f 0x0072910f 5   6    UPX1    ascii   $K222
102   0x0000131c 0x0072911c 4   5    UPX1    ascii   +8wv
103   0x00001325 0x00729125 4   5    UPX1    ascii   F0?F
104   0x00001362 0x00729162 4   7    UPX1    utf8    K/ƻǫ blocks=Basic Latin,Latin Extended-B
105   0x00001384 0x00729184 4   5    UPX1    ascii   ,Yth
106   0x000013d5 0x007291d5 6   8    UPX1    utf8    %j\}o¿ blocks=Basic Latin,Latin-1 Supplement
107   0x000013e0 0x007291e0 4   5    UPX1    ascii   r0((
108   0x000013fd 0x007291fd 4   5    UPX1    ascii   <gP\v
109   0x00001405 0x00729205 8   9    UPX1    ascii   (08HT\n"a
110   0x0000146b 0x0072926b 5   7    UPX1    utf8    Hu\vۥr blocks=Basic Latin,Arabic
111   0x000014ad 0x007292ad 4   5    UPX1    ascii   m<Px
112   0x00001550 0x00729350 6   7    UPX1    ascii   !N4JPP
113   0x00001585 0x00729385 4   5    UPX1    ascii   ){-E
114   0x000015c1 0x007293c1 4   5    UPX1    ascii   ;n\r8
115   0x000015d9 0x007293d9 4   5    UPX1    ascii   %]T[
116   0x00001602 0x00729402 4   5    UPX1    ascii   NeKG
117   0x00001607 0x00729407 8   9    UPX1    ascii   qN"aM\$1
118   0x0000161a 0x0072941a 4   5    UPX1    ascii   &q*`
119   0x00001621 0x00729421 5   6    UPX1    ascii   t+9"\
120   0x00001667 0x00729467 4   5    UPX1    ascii   (\b?0
121   0x0000166e 0x0072946e 5   6    UPX1    ascii   j2\b\vc
