Error parsing resource directory
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
63    0x00000db0 0x0072dbb0 5   6    UPX1    ascii   $\nd6O
64    0x00000db8 0x0072dbb8 7   9    UPX1    utf8    \blL3I`p
65    0x00000dcf 0x0072dbcf 6   7    UPX1    ascii   0`{Cux
66    0x00000e06 0x0072dc06 5   6    UPX1    ascii   69*)c
67    0x00000e10 0x0072dc10 6   7    UPX1    ascii   |+t&Jg
68    0x00000e66 0x0072dc66 5   6    UPX1    ascii   H1y*W
69    0x00000e7c 0x0072dc7c 4   5    UPX1    ascii   ,Ft9
70    0x00000ee8 0x0072dce8 4   5    UPX1    ascii   5OSH
71    0x00000ef8 0x0072dcf8 4   5    UPX1    ascii   KLD\
72    0x00000f09 0x0072dd09 4   5    UPX1    ascii   oLLi
73    0x00000f20 0x0072dd20 4   6    UPX1    utf8    ,ƥc5 blocks=Basic Latin,Latin Extended-B
74    0x00000f30 0x0072dd30 5   6    UPX1    ascii   1":>\v
75    0x00000f61 0x0072dd61 4   5    UPX1    ascii   t\r$$
76    0x00000fe5 0x0072dde5 5   7    UPX1    utf8    \fE\aCm
77    0x00001031 0x0072de31 5   8    UPX1    utf8    tXKk blocks=Basic Latin,Private Use Area
78    0x0000109e 0x0072de9e 4   5    UPX1    ascii   f \bo
79    0x00001111 0x0072df11 4   5    UPX1    ascii   2-wh
80    0x00001128 0x0072df28 4   5    UPX1    ascii   p\bL!
81    0x00001180 0x0072df80 4   6    UPX1    utf8    ӹ L9 blocks=Cyrillic,Basic Latin
82    0x000011d2 0x0072dfd2 4   5    UPX1    ascii   .h%\r
83    0x000011da 0x0072dfda 6   7    UPX1    ascii   cTy\b_f
84    0x0000129a 0x0072e09a 4   5    UPX1    ascii   w$fE
85    0x000012bb 0x0072e0bb 4   5    UPX1    ascii   w@fA
86    0x000012cc 0x0072e0cc 4   5    UPX1    ascii   ,wF{
87    0x00001301 0x0072e101 4   5    UPX1    ascii   \bw"M
88    0x0000135e 0x0072e15e 4   5    UPX1    ascii   9 w)
89    0x000013ec 0x0072e1ec 6   7    UPX1    ascii   \r'=bV\b
90    0x000013f3 0x0072e1f3 5   7    UPX1    utf8    \eМtb  blocks=Basic Latin,Cyrillic
91    0x000013fd 0x0072e1fd 4   5    UPX1    ascii   $8`#
92    0x0000140b 0x0072e20b 4   5    UPX1    ascii    ("L
93    0x0000147e 0x0072e27e 4   5    UPX1    ascii   4E{i
94    0x00001487 0x0072e287 6   8    UPX1    utf8    D!<?Zہ blocks=Basic Latin,Arabic
95    0x000014c4 0x0072e2c4 4   5    UPX1    ascii   M\E!
96    0x00001552 0x0072e352 4   6    UPX1    utf8    mL&Ӯ blocks=Basic Latin,Cyrillic
97    0x00001573 0x0072e373 4   5    UPX1    ascii   \b%\aC
98    0x00001595 0x0072e395 5   7    UPX1    utf8    '"ٮ*\t blocks=Basic Latin,Arabic
99    0x0000159f 0x0072e39f 8   9    UPX1    ascii   9d%\b%\ty\r
100   0x000015c7 0x0072e3c7 5   6    UPX1    ascii    t4M\e
101   0x0000161f 0x0072e41f 6   7    UPX1    ascii   ?y7xJN
102   0x00001626 0x0072e426 8   9    UPX1    ascii   F4e}#!\5
103   0x00001630 0x0072e430 6   7    UPX1    ascii   ?(SyxU
104   0x0000163f 0x0072e43f 4   5    UPX1    ascii   8\bNP
105   0x00001665 0x0072e465 4   5    UPX1    ascii   uCxq
106   0x00001680 0x0072e480 7   8    UPX1    ascii   Cp\bI*+h
107   0x000016a9 0x0072e4a9 4   5    UPX1    ascii   @+{H
108   0x000016b2 0x0072e4b2 5   6    UPX1    ascii   M|?~i
109   0x000016bb 0x0072e4bb 5   6    UPX1    ascii   w;\b\rt
110   0x000016d2 0x0072e4d2 6   7    UPX1    ascii   i&c'<)
111   0x000016e3 0x0072e4e3 5   6    UPX1    ascii   \n\bq/q
112   0x000016ea 0x0072e4ea 5   7    UPX1    utf8    Z\t}@ߩ blocks=Basic Latin,NKo
113   0x000016ff 0x0072e4ff 4   5    UPX1    ascii   1L{#
114   0x0000173d 0x0072e53d 4   5    UPX1    ascii   #;T8
115   0x00001756 0x0072e556 5   6    UPX1    ascii   \eZJ@*
116   0x000017a8 0x0072e5a8 4   5    UPX1    ascii   \bf9A
117   0x000017b8 0x0072e5b8 5   6    UPX1    ascii   hC?u\r
118   0x000017be 0x0072e5be 6   7    UPX1    ascii   Bpk Vp
119   0x00001802 0x0072e602 5   6    UPX1    ascii   (@\tnf
120   0x0000180a 0x0072e60a 4   5    UPX1    ascii   BX?6
121   0x00001817 0x0072e617 4   5    UPX1    ascii    \,\f
122   0x0000181e 0x0072e61e 4   5    UPX1    ascii   %\a'^
123   0x00001828 0x0072e628 4   6    UPX1    utf8    g7pĴ blocks=Basic Latin,Latin Extended-A
124   0x00001834 0x0072e634 5   8    UPX1    utf8    f\f0맿W blocks=Basic Latin,Hangul Syllables
125   0x0000184b 0x0072e64b 5   6    UPX1    ascii   P`:9&
126   0x00001875 0x0072e675 4   5    UPX1    ascii   -<tr
127   0x0000189c 0x0072e69c 4   5    UPX1    ascii   J;C 
128   0x000018f6 0x0072e6f6 5   6    UPX1    ascii   U?1<A
129   0x00001922 0x0072e722 5   7    UPX1    utf8    \fu\bj̸ blocks=Basic Latin,Combining Diacritical Marks
130   0x00001935 0x0072e735 4   5    UPX1    ascii   \l5\a
131   0x0000193f 0x0072e73f 4   5    UPX1    ascii   [5:V
132   0x00001989 0x0072e789 4   7    UPX1    utf8    EF㱑P blocks=Basic Latin,CJK Unified Ideographs Extension A
133   0x000019a6 0x0072e7a6 5   6    UPX1    ascii   J;\bq\v
134   0x000019bb 0x0072e7bb 7   9    UPX1    utf8    1҇\r+z\r; blocks=Basic Latin,Cyrillic
135   0x000019e5 0x0072e7e5 5   6    UPX1    ascii   xL`XV
136   0x00001a21 0x0072e821 5   6    UPX1    ascii   F>'O(
137   0x00001a4c 0x0072e84c 6   7    UPX1    ascii   -c1D5|
138   0x00001a6e 0x0072e86e 4   6    UPX1    utf8    ͟*WT blocks=Combining Diacritical Marks,Basic Latin
139   0x00001aad 0x0072e8ad 6   7    UPX1    ascii   U&&xre
140   0x00001b28 0x0072e928 4   5    UPX1    ascii   XwDw
141   0x00001b93 0x0072e993 5   6    UPX1    ascii   0h\avE
142   0x00001bae 0x0072e9ae 4   7    UPX1    utf8    4ט-ޥ blocks=Basic Latin,Hebrew,Thaana
143   0x00001bb5 0x0072e9b5 4   5    UPX1    ascii   <\a\f)
144   0x00001bd9 0x0072e9d9 4   6    UPX1    utf8    FȃM\a blocks=Basic Latin,Latin Extended-B
145   0x00001bf8 0x0072e9f8 5   7    UPX1    utf8    Wt:{ܶ blocks=Basic Latin,Syriac
146   0x00001c74 0x0072ea74 6   7    UPX1    ascii   \b\nf M<
147   0x00001c87 0x0072ea87 4   5    UPX1    ascii   n\bB+
148   0x00001c98 0x0072ea98 6   7    UPX1    ascii   ~M9,$u
149   0x00001cd1 0x0072ead1 4   5    UPX1    ascii   Q8?6
150   0x00001ce0 0x0072eae0 4   6    UPX1    utf8    w~ϗw blocks=Basic Latin,Greek and Coptic
151   0x00001d89 0x0072eb89 5   6    UPX1    ascii   (P\tCO
152   0x00001dc2 0x0072ebc2 8   10   UPX1    utf8    ǛR6Z\euB\r blocks=Latin Extended-B,Basic Latin
153   0x00001dd1 0x0072ebd1 10  11   UPX1    ascii   \bt*\bHPvNz-
154   0x00001e09 0x0072ec09 4   5    UPX1    ascii   m#\bq
155   0x00001e1c 0x0072ec1c 4   5    UPX1    ascii   yY4&
156   0x00001e2c 0x0072ec2c 7   8    UPX1    ascii   WH$$8qZ
157   0x00001e5e 0x0072ec5e 8   9    UPX1    ascii   ZP0(L><E
158   0x00001e6d 0x0072ec6d 8   10   UPX1    utf8    ɤR9H>@88 blocks=IPA Extensions,Basic Latin
159   0x00001e78 0x0072ec78 5   6    UPX1    ascii   AeL`*
160   0x00001e82 0x0072ec82 4   5    UPX1    ascii   iH5"
161   0x00001e9f 0x0072ec9f 4   5    UPX1    ascii   ,qe5
162   0x00001ed1 0x0072ecd1 5   6    UPX1    ascii   \sJH)
163   0x00001f10 0x0072ed10 4   5    UPX1    ascii   >?AN
164   0x00001fff 0x0072edff 4   5    UPX1    ascii   DZ](
165   0x00002009 0x0072ee09 4   5    UPX1    ascii   t_f0
166   0x0000201c 0x0072ee1c 4   5    UPX1    ascii   kJzu
167   0x00002042 0x0072ee42 4   5    UPX1    ascii   2Rw]
168   0x00002049 0x0072ee49 6   8    UPX1    utf8    sWɸ0VN blocks=Basic Latin,IPA Extensions
169   0x00002061 0x0072ee61 6   7    UPX1    ascii   ~>8Ar.
170   0x0000207d 0x0072ee7d 4   5    UPX1    ascii   s\fAj
171   0x0000213b 0x0072ef3b 6   8    UPX1    utf8    E8Tgį{ blocks=Basic Latin,Latin Extended-A
172   0x00002152 0x0072ef52 4   5    UPX1    ascii   {:wB
173   0x0000217f 0x0072ef7f 16  18   UPX1    utf8    lѹNrB`D-'D\v~9$\a0 blocks=Basic Latin,Cyrillic
174   0x00002191 0x0072ef91 6   7    UPX1    ascii   mTG{p\
175   0x000021b7 0x0072efb7 4   5    UPX1    ascii   ]zh]
176   0x000021c9 0x0072efc9 5   6    UPX1    ascii   K\"\r>
177   0x00002217 0x0072f017 4   5    UPX1    ascii   \nh&C
178   0x0000222d 0x0072f02d 6   7    UPX1    ascii   v<50kP
179   0x00002270 0x0072f070 4   5    UPX1    ascii   f>BF
