[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
176  0x0000b964 0x0040c564 6   9    .text   utf8    +uȉũ} blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks
177  0x0000bae5 0x0040c6e5 4   5    .text   ascii   M\f\vM
178  0x0000bc79 0x0040c879 4   5    .text   ascii   M\f\vM
179  0x0000c065 0x0040cc65 5   6    .text   ascii   ;M\bw\b
180  0x0000c195 0x0040cd95 4   5    .text   ascii   hH{B
181  0x0000c1a4 0x0040cda4 4   5    .text   ascii   $SVW
182  0x0000c1bd 0x0040cdbd 5   8    .text   utf8    M܋E܋\b blocks=Basic Latin,Syriac
183  0x0000c243 0x0040ce43 5   8    .text   utf8    E؋E؉E blocks=Basic Latin,Arabic
184  0x0000c28f 0x0040ce8f 5   8    .text   utf8    EЋMЉM blocks=Basic Latin,Cyrillic
185  0x0000c2b1 0x0040ceb1 5   8    .text   utf8    E̋M̉M blocks=Basic Latin,Combining Diacritical Marks
186  0x0000c37c 0x0040cf7c 4   5    .text   ascii   Y_^[
187  0x0000c7f1 0x0040d3f1 5   6    .text   ascii   ;E\fs\b
188  0x0000c81d 0x0040d41d 5   6    .text   ascii   ;U\bu%
189  0x0000c838 0x0040d438 4   5    .text   ascii   U\fRj
190  0x0000c8df 0x0040d4df 5   6    .text   ascii   ;M\bs\b
191  0x0000c8f2 0x0040d4f2 8   9    .text   ascii   +E\b;E\fs\f
192  0x0000c912 0x0040d512 7   8    .text   ascii   +M\b+M\fQ
193  0x0000c983 0x0040d583 4   5    .text   ascii   M\f;H
194  0x0000c996 0x0040d596 4   5    .text   ascii   E\f;B
195  0x0000cb3d 0x0040d73d 4   5    .text   ascii   M\b;H
196  0x0000cb49 0x0040d749 5   6    .text   ascii   ;E\bw\t
197  0x0000cb8c 0x0040d78c 5   6    .text   ascii   +E\b;E
198  0x0000cc13 0x0040d813 4   5    .text   ascii   J\b+\b
199  0x0000cdbc 0x0040d9bc 4   5    .text   ascii   ;E\bu
200  0x0000cebc 0x0040dabc 5   6    .text   ascii   +E\b;E
