[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
145   0x00001cb2 0x004028b2 6   8    sect_0  utf8    #`?ʺsb blocks=Basic Latin,Spacing Modifier Letters
146   0x00001d30 0x00402930 4   5    sect_0  ascii   Jrk~
147   0x00001d78 0x00402978 4   5    sect_0  ascii   pl`9
148   0x00001d7d 0x0040297d 4   7    sect_0  utf8    |‚\az blocks=Basic Latin,General Punctuation
149   0x00001da5 0x004029a5 5   6    sect_0  ascii   I\eaKv
150   0x00001dad 0x004029ad 4   6    sect_0  utf8    T̺BQ blocks=Basic Latin,Combining Diacritical Marks
151   0x00001dd8 0x004029d8 7   8    sect_0  ascii   f2Pg{k#
152   0x00001dec 0x004029ec 9   11   sect_0  utf8    ܁L]\b|e>@T blocks=Syriac,Basic Latin
153   0x00001e33 0x00402a33 4   5    sect_0  ascii   wJ&u
154   0x00001e67 0x00402a67 4   7    sect_0  utf8    Qeϫf blocks=Basic Latin,Greek and Coptic
155   0x00001f73 0x00402b73 6   7    sect_0  ascii   Y`MgXH
156   0x00001f91 0x00402b91 4   6    sect_0  utf8    ~ǣ%\v blocks=Basic Latin,Latin Extended-B
157   0x00001fa5 0x00402ba5 4   5    sect_0  ascii   Y6y"
158   0x00001fc0 0x00402bc0 6   8    sect_0  utf8    qO7c\vʈ blocks=Basic Latin,IPA Extensions
159   0x00001fd8 0x00402bd8 6   8    sect_0  utf8    \tޒjN\v< blocks=Basic Latin,Thaana
160   0x00001fe4 0x00402be4 6   8    sect_0  utf8    :sPJŽH blocks=Basic Latin,Latin Extended-A
161   0x0000200f 0x00402c0f 7   8    sect_0  ascii   1H\bWWK\e
162   0x0000203c 0x00402c3c 4   5    sect_0  ascii   ,/fW
163   0x00002056 0x00402c56 4   5    sect_0  ascii   O3}n
164   0x0000209c 0x00402c9c 6   8    sect_0  utf8    zX<Ѥb\b blocks=Basic Latin,Cyrillic
165   0x000020ab 0x00402cab 7   8    sect_0  ascii   vW-d>bJ
166   0x000020c8 0x00402cc8 8   10   sect_0  utf8    p(-C̲J#{ blocks=Basic Latin,Combining Diacritical Marks
167   0x000020ea 0x00402cea 5   6    sect_0  ascii   ~3I'T
168   0x000020fc 0x00402cfc 5   7    sect_0  utf8    9Ʈ!#! blocks=Basic Latin,Latin Extended-B
169   0x00002114 0x00402d14 4   5    sect_0  ascii   Z#vW
170   0x0000215e 0x00402d5e 5   7    sect_0  utf8    Ҹ4-Zt blocks=Cyrillic,Basic Latin
171   0x0000216f 0x00402d6f 5   6    sect_0  ascii   LV!VA
172   0x000021ae 0x00402dae 5   7    sect_0  utf8    zrƑ!~ blocks=Basic Latin,Latin Extended-B
173   0x00002214 0x00402e14 4   5    sect_0  ascii   >k8+
174   0x00002298 0x00402e98 10  11   sect_0  ascii   uY:z\ra<=5\b
175   0x000022bc 0x00402ebc 5   6    sect_0  ascii   on7[o
176   0x00002303 0x00402f03 5   7    sect_0  utf8    .S_ԋ5 blocks=Basic Latin,Cyrillic Supplement
177   0x00002342 0x00402f42 5   7    sect_0  utf8    .&ى8K blocks=Basic Latin,Arabic
178   0x0000235e 0x00402f5e 4   5    sect_0  ascii   qxnL
179   0x00002375 0x00402f75 4   5    sect_0  ascii   Gr\v]
180   0x000023c1 0x00402fc1 5   6    sect_0  ascii   G{'bc
181   0x000023f6 0x00402ff6 7   8    sect_0  ascii   Z"$XsFt
182   0x00002468 0x00403068 5   7    sect_0  utf8    *cg\fµ blocks=Basic Latin,Latin-1 Supplement
183   0x000024cc 0x004030cc 4   5    sect_0  ascii   ur*\
184   0x000024f1 0x004030f1 4   5    sect_0  ascii   (GYH
185   0x00002522 0x00403122 5   6    sect_0  ascii   .q~5X
186   0x00002550 0x00403150 7   9    sect_0  utf8    ЂKC9A)w blocks=Cyrillic,Basic Latin
187   0x000025bc 0x004031bc 4   5    sect_0  ascii   hW|?
188   0x000025e4 0x004031e4 5   6    sect_0  ascii   FeY@`
189   0x000025ed 0x004031ed 4   6    sect_0  utf8    Dzą& blocks=Basic Latin,Latin Extended-A
190   0x00002627 0x00403227 4   5    sect_0  ascii   "\elb
191   0x0000263c 0x0040323c 5   6    sect_0  ascii   -c9QX
192   0x00002646 0x00403246 6   7    sect_0  ascii   !\b 80^
193   0x000026d6 0x004032d6 4   5    sect_0  ascii   _;,x
194   0x00002736 0x00403336 4   5    sect_0  ascii   }\f}
195   0x00002779 0x00403379 6   8    sect_0  utf8    ;jâHc2 blocks=Basic Latin,Latin-1 Supplement
196   0x0000279e 0x0040339e 6   8    sect_0  utf8    ȕpTc\f( blocks=Latin Extended-B,Basic Latin
197   0x000027b6 0x004033b6 4   5    sect_0  ascii   r\b;?
198   0x00002844 0x00403444 4   6    sect_0  utf8    f,ʥI blocks=Basic Latin,IPA Extensions
199   0x00002862 0x00403462 5   6    sect_0  ascii   /fujy
200   0x00002875 0x00403475 5   6    sect_0  ascii   Sp;ws
201   0x00002885 0x00403485 4   6    sect_0  utf8    Y2NŘ blocks=Basic Latin,Latin Extended-A
202   0x000028b0 0x004034b0 4   5    sect_0  ascii   QP\a.
