Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000050 0x00000050 40  41           ascii   This program must be run under Win32\r\n$7
1    0x000001f8 0x000001f8 5   6            ascii   .text
2    0x0000021f 0x0000021f 7   8            ascii   `.itext
3    0x00000247 0x00000247 6   7            ascii   `.data
4    0x00000270 0x00000270 4   5            ascii   .bss
5    0x00000298 0x00000298 6   7            ascii   .idata
6    0x000002c0 0x000002c0 7   8            ascii   .didata
7    0x000002e8 0x000002e8 4   5            ascii   .tls
8    0x00000310 0x00000310 6   7            ascii   .rdata
9    0x00000337 0x00000337 7   8            ascii   @.reloc
10   0x0000035f 0x0000035f 6   7            ascii   B.rsrc
50   0x0000075f 0x0040135f 6   7    .text   ascii   VTable
51   0x00000770 0x00401370 8   9    .text   ascii   \aIOffset
52   0x00000783 0x00401383 11  12   .text   ascii   \nImplGetter
53   0x0000079a 0x0040139a 15  16   .text   ascii   PInterfaceTable
54   0x000007b6 0x004013b6 15  16   .text   ascii   TInterfaceTable
55   0x000007db 0x004013db 11  12   .text   ascii   \nEntryCount
56   0x000007f1 0x004013f1 8   9    .text   ascii   \aEntries
57   0x00000805 0x00401405 9   10   .text   ascii   \aTMethod\b
58   0x00000824 0x00401424 4   5    .text   ascii   Code
59   0x00000834 0x00401434 4   5    .text   ascii   Data
60   0x00000990 0x00401590 9   10   .text   ascii   \aTObject&
61   0x0000099f 0x0040159f 6   7    .text   ascii   Create
62   0x000009b6 0x004015b6 4   5    .text   ascii   Self
63   0x000009c5 0x004015c5 4   5    .text   ascii   Free
64   0x000009da 0x004015da 4   5    .text   ascii   Self
65   0x000009e8 0x004015e8 13  14   .text   ascii   \fInitInstance
66   0x00000a06 0x00401606 4   5    .text   ascii   Self
67   0x00000a13 0x00401613 9   10   .text   ascii   \bInstance
68   0x00000a27 0x00401627 15  16   .text   ascii   CleanupInstance
69   0x00000a47 0x00401647 4   5    .text   ascii   Self
70   0x00000a55 0x00401655 10  11   .text   ascii   \tClassType
71   0x00000a70 0x00401670 4   5    .text   ascii   Self
72   0x00000a7e 0x0040167e 10  11   .text   ascii   \tClassName
73   0x00000a99 0x00401699 4   5    .text   ascii   Self
74   0x00000ab2 0x004016b2 12  13   .text   ascii   \vClassNameIs
75   0x00000acf 0x004016cf 4   5    .text   ascii   Self
76   0x00000add 0x004016dd 4   5    .text   ascii   Name
77   0x00000aeb 0x004016eb 12  13   .text   ascii   \vClassParent
78   0x00000b08 0x00401708 4   5    .text   ascii   Self
79   0x00000b16 0x00401716 10  11   .text   ascii   \tClassInfo
80   0x00000b31 0x00401731 4   5    .text   ascii   Self
81   0x00000b3f 0x0040173f 13  14   .text   ascii   \fInstanceSize
82   0x00000b5d 0x0040175d 4   5    .text   ascii   Self
83   0x00000b6b 0x0040176b 13  14   .text   ascii   \fInheritsFrom
84   0x00000b89 0x00401789 4   5    .text   ascii   Self
85   0x00000b97 0x00401797 6   7    .text   ascii   AClass
86   0x00000ba7 0x004017a7 14  15   .text   ascii   \rMethodAddress
87   0x00000bc6 0x004017c6 4   5    .text   ascii   Self
88   0x00000bd4 0x004017d4 4   5    .text   ascii   Name
89   0x00000be2 0x004017e2 14  15   .text   ascii   \rMethodAddress
90   0x00000c01 0x00401801 4   5    .text   ascii   Self
91   0x00000c0f 0x0040180f 4   5    .text   ascii   Name
92   0x00000c1d 0x0040181d 11  12   .text   ascii   \nMethodName
93   0x00000c39 0x00401839 4   5    .text   ascii   Self
94   0x00000c46 0x00401846 8   9    .text   ascii   \aAddress
95   0x00000c63 0x00401863 13  14   .text   ascii   \fFieldAddress
96   0x00000c81 0x00401881 4   5    .text   ascii   Self
97   0x00000c8f 0x0040188f 4   5    .text   ascii   Name
98   0x00000c9d 0x0040189d 13  14   .text   ascii   \fFieldAddress
99   0x00000cbb 0x004018bb 4   5    .text   ascii   Self
100  0x00000cc9 0x004018c9 4   5    .text   ascii   Name
101  0x00000cd7 0x004018d7 13  14   .text   ascii   \fGetInterface
102  0x00000cf5 0x004018f5 4   5    .text   ascii   Self
103  0x00000d1e 0x0040191e 17  18   .text   ascii   GetInterfaceEntry
104  0x00000d40 0x00401940 4   5    .text   ascii   Self
105  0x00000d5c 0x0040195c 17  18   .text   ascii   GetInterfaceTable
106  0x00000d7e 0x0040197e 4   5    .text   ascii   Self
107  0x00000d8c 0x0040198c 9   10   .text   ascii   \bUnitName
108  0x00000da6 0x004019a6 4   5    .text   ascii   Self
109  0x00000dc0 0x004019c0 6   7    .text   ascii   Equals
110  0x00000dd7 0x004019d7 4   5    .text   ascii   Self
111  0x00000df2 0x004019f2 12  13   .text   ascii   \vGetHashCode
112  0x00000e0f 0x00401a0f 4   5    .text   ascii   Self
113  0x00000e1d 0x00401a1d 9   10   .text   ascii   \bToString
114  0x00000e37 0x00401a37 4   5    .text   ascii   Self
115  0x00000e51 0x00401a51 17  18   .text   ascii   SafeCallException
116  0x00000e73 0x00401a73 4   5    .text   ascii   Self
117  0x00000e80 0x00401a80 13  14   .text   ascii   \fExceptObject
118  0x00000e96 0x00401a96 11  12   .text   ascii   \nExceptAddr
119  0x00000eac 0x00401aac 17  18   .text   ascii   AfterConstruction
120  0x00000ece 0x00401ace 4   5    .text   ascii   Self
121  0x00000edd 0x00401add 17  18   .text   ascii   BeforeDestruction
122  0x00000eff 0x00401aff 4   5    .text   ascii   Self
123  0x00000f0d 0x00401b0d 9   10   .text   ascii   \bDispatch
124  0x00000f27 0x00401b27 4   5    .text   ascii   Self
125  0x00000f34 0x00401b34 8   9    .text   ascii   \aMessage
126  0x00000f47 0x00401b47 14  15   .text   ascii   DefaultHandler
127  0x00000f66 0x00401b66 4   5    .text   ascii   Self
128  0x00000f73 0x00401b73 8   9    .text   ascii   \aMessage
129  0x00000f85 0x00401b85 12  13   .text   ascii   \vNewInstance
130  0x00000fa2 0x00401ba2 4   5    .text   ascii   Self
131  0x00000fb0 0x00401bb0 13  14   .text   ascii   \fFreeInstance
132  0x00000fce 0x00401bce 4   5    .text   ascii   Self
133  0x00000fdc 0x00401bdc 8   9    .text   ascii   \aDestroy
134  0x00000ff5 0x00401bf5 4   5    .text   ascii   Self
135  0x00001004 0x00401c04 9   10   .text   ascii   \a\aTObject
136  0x00001018 0x00401c18 6   7    .text   ascii   System
137  0x00001029 0x00401c29 11  12   .text   ascii   \nIInterface
138  0x0000104a 0x00401c4a 6   7    .text   ascii   System
139  0x0000110d 0x00401d0d 10  11   .text   ascii   \tFRefCount
140  0x00001136 0x00401d36 18  19   .text   ascii   TInterfacedObject1
141  0x0000114e 0x00401d4e 17  18   .text   ascii   AfterConstruction
142  0x00001170 0x00401d70 4   5    .text   ascii   Self
143  0x0000117f 0x00401d7f 17  18   .text   ascii   BeforeDestruction
144  0x000011a1 0x00401da1 4   5    .text   ascii   Self
145  0x000011af 0x00401daf 12  13   .text   ascii   \vNewInstance
146  0x000011cc 0x00401dcc 4   5    .text   ascii   Self
147  0x000011da 0x00401dda 17  18   .text   ascii   TInterfacedObject
148  0x000011f6 0x00401df6 6   7    .text   ascii   System
149  0x00001223 0x00401e23 10  11   .text   ascii   \bRefCount0
150  0x00001231 0x00401e31 13  14   .text   ascii   \fPShortString
151  0x00001249 0x00401e49 9   10   .text   ascii   \bPLongint
152  0x0000125d 0x00401e5d 10  11   .text   ascii   \tTDateTime
153  0x00001272 0x00401e72 15  16   .text   ascii   TVarArrayBound\b
154  0x00001296 0x00401e96 13  14   .text   ascii   \fElementCount
155  0x000012ae 0x00401eae 9   10   .text   ascii   \bLowBound
156  0x000012c2 0x00401ec2 20  21   .text   ascii   TVarArrayBoundArray\b
157  0x000012ed 0x00401eed 10  11   .text   ascii   \tPVarArray
158  0x00001305 0x00401f05 10  11   .text   ascii   \tTVarArray
159  0x00001325 0x00401f25 9   10   .text   ascii   \bDimCount
160  0x0000133a 0x00401f3a 5   6    .text   ascii   Flags
161  0x0000134a 0x00401f4a 12  13   .text   ascii   \vElementSize
162  0x00001361 0x00401f61 10  11   .text   ascii   \tLockCount
163  0x00001377 0x00401f77 4   5    .text   ascii   Data
164  0x00001387 0x00401f87 6   7    .text   ascii   Bounds
165  0x00001399 0x00401f99 9   10   .text   ascii   \bTVarData
166  0x000013b9 0x00401fb9 5   6    .text   ascii   VType
167  0x000013c9 0x00401fc9 10  11   .text   ascii   \tReserved1
168  0x000013de 0x00401fde 10  11   .text   ascii   \tReserved2
169  0x000013f3 0x00401ff3 10  11   .text   ascii   \tReserved3
170  0x00001408 0x00402008 10  11           ascii   \tVSmallInt
171  0x0000141d 0x0040201d 9   10           ascii   \bVInteger
172  0x00001431 0x00402031 8   9            ascii   \aVSingle
173  0x00001444 0x00402044 8   9            ascii   \aVDouble
174  0x00001457 0x00402057 10  11           ascii   \tVCurrency
175  0x0000146d 0x0040206d 5   6            ascii   VDate
176  0x0000147d 0x0040207d 8   9            ascii   \aVOleStr
177  0x00001490 0x00402090 10  11           ascii   \tVDispatch
178  0x000014a6 0x004020a6 6   7            ascii   VError
179  0x000014b7 0x004020b7 9   10           ascii   \bVBoolean
180  0x000014cb 0x004020cb 9   10           ascii   \bVUnknown
181  0x000014df 0x004020df 10  11           ascii   \tVShortInt
182  0x000014f5 0x004020f5 5   6            ascii   VByte
183  0x00001506 0x00402106 5   6            ascii   VWord
184  0x00001516 0x00402116 10  11           ascii   \tVLongWord
185  0x0000152c 0x0040212c 6   7            ascii   VInt64
186  0x0000153d 0x0040213d 8   9            ascii   \aVUInt64
187  0x00001550 0x00402150 8   9            ascii   \aVString
188  0x00001564 0x00402164 4   5            ascii   VAny
189  0x00001574 0x00402174 6   7            ascii   VArray
190  0x00001585 0x00402185 9   10           ascii   \bVPointer
191  0x00001599 0x00402199 9   10           ascii   \bVUString
192  0x000015ae 0x004021ae 6   7            ascii   VLongs
193  0x000015c0 0x004021c0 6   7            ascii   VWords
194  0x000015d2 0x004021d2 6   7            ascii   VBytes
195  0x000015e3 0x004021e3 8   9            ascii   \aRawData
196  0x000015f4 0x004021f4 12  13           ascii   \r\nTTypeTable
197  0x00001619 0x00402219 11  12           ascii   \nPTypeTable
198  0x00001632 0x00402232 19  20           ascii   PPackageTypeInfoH"@
199  0x0000164e 0x0040224e 16  17           ascii   TPackageTypeInfo
200  0x00001674 0x00402274 10  11           ascii   \tTypeCount
201  0x00001689 0x00402289 10  11           ascii   \tTypeTable
202  0x0000169e 0x0040229e 10  11           ascii   \tUnitCount
203  0x000016b3 0x004022b3 10  11           ascii   \tUnitNames
204  0x000016c9 0x004022c9 11  12           ascii   \nPLibModule
205  0x000016e1 0x004022e1 11  12           ascii   \nTLibModule
206  0x00001703 0x00402303 4   5            ascii   Next
207  0x00001712 0x00402312 9   10           ascii   \bInstance
208  0x00001726 0x00402326 13  14           ascii   \fCodeInstance
209  0x0000173e 0x0040233e 13  14           ascii   \fDataInstance
210  0x00001756 0x00402356 12  13           ascii   \vResInstance
211  0x0000176d 0x0040236d 9   10           ascii   \bTypeInfo
212  0x00001781 0x00402381 9   10           ascii   \bReserved
213  0x00001795 0x00402395 14  15           ascii   \rPResStringRec
214  0x000017b1 0x004023b1 15  16           ascii   \rTResStringRec\b
215  0x000017d6 0x004023d6 6   7            ascii   Module
216  0x000017e7 0x004023e7 11  12           ascii   \nIdentifier
217  0x00001831 0x00402431 4   5            ascii   %|ZK
218  0x00001839 0x00402439 4   5            ascii   %xZK
219  0x00001841 0x00402441 4   5            ascii   %tZK
220  0x00001849 0x00402449 4   5            ascii   %pZK
221  0x00001851 0x00402451 4   5            ascii   %lZK
222  0x00001859 0x00402459 4   5            ascii   %hZK
223  0x00001861 0x00402461 4   5            ascii   %dZK
224  0x00001869 0x00402469 4   5            ascii   %`ZK
225  0x00001871 0x00402471 4   5            ascii   %\ZK
226  0x00001879 0x00402479 4   5            ascii   %XZK
227  0x00001881 0x00402481 4   5            ascii   %TZK
228  0x00001889 0x00402489 4   5            ascii   %PZK
229  0x00001899 0x00402499 4   5            ascii   %LZK
230  0x000018a1 0x004024a1 4   5            ascii   %LZK
231  0x000018a9 0x004024a9 4   5            ascii   %HZK
232  0x000018b1 0x004024b1 4   5            ascii   %DZK
233  0x000018b9 0x004024b9 4   5            ascii   %@ZK
234  0x000018c9 0x004024c9 4   5            ascii   %<ZK
235  0x000018d1 0x004024d1 4   5            ascii   %8ZK
236  0x000018d9 0x004024d9 4   5            ascii   %4ZK
237  0x000018e1 0x004024e1 4   5            ascii   %0ZK
238  0x000018e9 0x004024e9 4   5            ascii   %,ZK
239  0x000018f1 0x004024f1 4   5            ascii   %(ZK
240  0x000018f9 0x004024f9 4   5            ascii   %$ZK
241  0x00001901 0x00402501 4   5            ascii   % ZK
242  0x00001929 0x00402529 4   5            ascii   %\fZK
243  0x00001931 0x00402531 4   5            ascii   %\bZK
244  0x000019e6 0x004025e6 4   6            utf8    D[Í@ blocks=Basic Latin,Latin-1 Supplement
245  0x00001a10 0x00402610 90  91           ascii   FastMM Borland Edition (c) 2004 - 2008 Pierre le Riche / Professional Software Development
246  0x00001a6c 0x0040266c 40  41           ascii   An unexpected memory leak has occurred. 
247  0x00001a98 0x00402698 39  40           ascii   The unexpected small block leaks are:\r\n
248  0x00001ac0 0x004026c0 60  61           ascii   The sizes of unexpected leaked medium and large blocks are: 
249  0x00001b00 0x00402700 8   9            ascii    bytes: 
250  0x00001b0c 0x0040270c 7   8            ascii   Unknown
251  0x00001b14 0x00402714 10  11           ascii   AnsiString
252  0x00001b20 0x00402720 13  14           ascii   UnicodeString
253  0x00001b34 0x00402734 22  23           ascii   Unexpected Memory Leak
254  0x00001b62 0x00402762 4   6            utf8    B\bÍ@ blocks=Basic Latin,Latin-1 Supplement
255  0x00001e33 0x00402a33 4   6            utf8    +ˉ\rD blocks=Basic Latin,Spacing Modifier Letters
256  0x00001e3b 0x00402a3b 4   7            utf8    +Ӌ£@ blocks=Basic Latin,Cyrillic,Latin-1 Supplement
257  0x00001ea2 0x00402aa2 5   7            utf8    ÐSVWU blocks=Latin-1 Supplement,Basic Latin
258  0x00001f01 0x00402b01 5   7            utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
259  0x00001f08 0x00402b08 4   5            ascii   SVWU
260  0x00001f55 0x00402b55 5   6            ascii   D$\fPS
261  0x00001fa5 0x00402ba5 10  12           utf8    $]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
262  0x00001fef 0x00402bef 4   5            ascii   D$\bP
263  0x00001ff4 0x00402bf4 4   5            ascii   D$\bP
264  0x00002011 0x00402c11 4   6            utf8    +ӋD$ blocks=Basic Latin,Cyrillic
265  0x0000203d 0x00402c3d 4   5            ascii   D$\fP
266  0x00002053 0x00402c53 4   5            ascii   D$\fP
267  0x000020f2 0x00402cf2 7   9            utf8     ]_^[ÍP blocks=Basic Latin,Latin-1 Supplement
268  0x00002151 0x00402d51 5   6            ascii   ;C\fwv
269  0x00002205 0x00402e05 4   5            ascii   t\tj\n
270  0x000022d8 0x00402ed8 6   8            utf8    _^[Àd7 blocks=Basic Latin,Latin-1 Supplement
271  0x0000230c 0x00402f0c 4   6            utf8    )ω{\f blocks=Basic Latin,Greek and Coptic
272  0x00002317 0x00402f17 4   6            utf8    _^[Ð blocks=Basic Latin,Latin-1 Supplement
273  0x0000234a 0x00402f4a 4   5            ascii   t*j\n
274  0x0000249c 0x0040309c 4   5            ascii   B\bt,
275  0x000024ab 0x004030ab 4   6            utf8    t\a1\b
276  0x00002528 0x00403128 4   5            ascii   QRj\n
277  0x00002566 0x00403166 4   5            ascii   t!j\n
278  0x000026c9 0x004032c9 4   5            ascii   L\t W
279  0x00002707 0x00403307 4   6            utf8    _^[Ð blocks=Basic Latin,Latin-1 Supplement
280  0x00002732 0x00403332 7   9            utf8    r\b]_^[Ð blocks=Basic Latin,Latin-1 Supplement
281  0x000027a6 0x004033a6 5   6            ascii   t\fQj\n
282  0x0000280f 0x0040340f 5   8            utf8    ]_^[É blocks=Basic Latin,Latin-1 Supplement
283  0x00002837 0x00403437 6   8            utf8    ]_^[ËG blocks=Basic Latin,Latin-1 Supplement
284  0x00002892 0x00403492 4   5            ascii   QRj\n
285  0x000028b7 0x004034b7 5   6            ascii   wt=0\v
286  0x00002926 0x00403526 5   7            utf8    ]_^[Ð blocks=Basic Latin,Latin-1 Supplement
287  0x00002976 0x00403576 7   9            utf8    ]_^[Ð^[ blocks=Basic Latin,Latin-1 Supplement
288  0x000029bc 0x004035bc 5   10           utf8    [Ë\vȋу blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B,Cyrillic
289  0x00002a35 0x00403635 6   7            ascii   Z\b;Z\fv
290  0x00002a52 0x00403652 6   8            utf8    ^[ËB\bH blocks=Basic Latin,Latin-1 Supplement
291  0x00002bf8 0x004037f8 5   7            utf8    U\b3ɉJ blocks=Basic Latin,Latin Extended-B
292  0x00002c40 0x00403840 4   6            utf8    []ÐU blocks=Basic Latin,Latin-1 Supplement
293  0x00002cbd 0x004038bd 5   7            utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
294  0x00002dc1 0x004039c1 5   7            utf8    |&B3\v
295  0x00002df2 0x004039f2 4   6            utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
296  0x00002e20 0x00403a20 5   8            utf8    M؍U܋E blocks=Basic Latin,Arabic,Syriac
297  0x00002e80 0x00403a80 4   6            utf8    E܋@\b blocks=Basic Latin,Syriac
298  0x00003223 0x00403e23 7   8            ascii   r\at!Ht:
299  0x0000331e 0x00403f1e 4   5            ascii   rAF3
300  0x0000335e 0x00403f5e 4   6            utf8    NuΡ| blocks=Basic Latin,Greek and Coptic
301  0x00003427 0x00404027 4   5            ascii   0=0\v
302  0x00003501 0x00404101 5   7            utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
303  0x00003508 0x00404108 4   5            ascii   SVWU
304  0x0000354c 0x0040414c 4   6            utf8    3ɉH\f blocks=Basic Latin,Latin Extended-B
305  0x00003593 0x00404193 6   8            utf8    ]_^[Ã= blocks=Basic Latin,Latin-1 Supplement
306  0x000036d9 0x004042d9 6   8            utf8    X\b3҉P\b blocks=Basic Latin,Cyrillic
307  0x0000375a 0x0040435a 4   6            utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
308  0x0000377b 0x0040437b 4   5            ascii   YZXu
309  0x00003838 0x00404438 4   5            ascii   L\n\bZ
310  0x000038c8 0x004044c8 4   5            ascii   SVWU
311  0x000038e3 0x004044e3 5   6            ascii   8"u\ff
312  0x0000392b 0x0040452b 4   7            utf8     wˋË blocks=Basic Latin,Spacing Modifier Letters,Latin-1 Supplement
313  0x0000397c 0x0040457c 6   8            utf8    ]_^[Í@ blocks=Basic Latin,Latin-1 Supplement
314  0x000039e0 0x004045e0 4   6            utf8    _^[Ã blocks=Basic Latin,Latin-1 Supplement
315  0x00003a06 0x00404606 4   6            utf8    YZÍ@ blocks=Basic Latin,Latin-1 Supplement
316  0x00003a1f 0x0040461f 5   7            utf8    <$XÐU blocks=Basic Latin,Latin-1 Supplement
317  0x00003a60 0x00404660 6   9            utf8    ,$YXZË blocks=Basic Latin,Latin-1 Supplement
318  0x00003a8c 0x0040468c 5   7            utf8    3\tC\fj
319  0x00003ac2 0x004046c2 4   6            utf8    ÐSVQ blocks=Latin-1 Supplement,Basic Latin
320  0x00003af5 0x004046f5 8   11           utf8    3҉S\fZ^[Ë blocks=Basic Latin,Cyrillic,Latin-1 Supplement
321  0x00003b33 0x00404733 4   6            utf8    1\tF\f
322  0x00003b44 0x00404744 8   9            ascii   t\vHt Ht.
323  0x00003d3d 0x0040493d 5   7            utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
324  0x00003d99 0x00404999 4   5            ascii   %dZK
325  0x00003da1 0x004049a1 4   5            ascii   %PZK
326  0x00003dab 0x004049ab 4   5            ascii   QSVW
327  0x00003e2e 0x00404a2e 5   6            ascii   _^[Y]
328  0x00003e3d 0x00404a3d 4   5            ascii   ]\bSh
329  0x00003e5d 0x00404a5d 4   5            ascii   ]\bSh
330  0x00003e86 0x00404a86 4   5            ascii   r/f=
331  0x00003e8c 0x00404a8c 4   5            ascii   w)f%
332  0x00003ed9 0x00404ad9 4   6            utf8    ˈ\bB@ blocks=Spacing Modifier Letters,Basic Latin
333  0x00003efc 0x00404afc 4   5            ascii   uENt
334  0x00003f23 0x00404b23 7   8            ascii   \b:\nu0Nt
335  0x00003f31 0x00404b31 5   6            ascii   u%Nt\b
336  0x00003f58 0x00404b58 5   7            utf8    ^[ÐSV blocks=Basic Latin,Latin-1 Supplement
337  0x00003f84 0x00404b84 4   5            ascii   v-f=
338  0x00003fc2 0x00404bc2 4   6            utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
339  0x00003fd7 0x00404bd7 4   5            ascii   v)f=
340  0x0000400e 0x00404c0e 4   6            utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
341  0x000041b2 0x00404db2 4   6            utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
342  0x000041de 0x00404dde 4   6            utf8    ÐSVW blocks=Latin-1 Supplement,Basic Latin
343  0x00004208 0x00404e08 4   5            ascii   -tvf
344  0x0000420e 0x00404e0e 4   5            ascii   +trf
345  0x00004214 0x00404e14 4   5            ascii   $ttf
346  0x0000421a 0x00404e1a 4   5            ascii   xtnf
347  0x00004220 0x00404e20 4   5            ascii   Xthf
348  0x00004232 0x00404e32 4   5            ascii   xtVf
349  0x00004238 0x00404e38 4   5            ascii   XtPf
350  0x0000424e 0x00404e4e 4   5            ascii   \tw+9
351  0x00004278 0x00404e78 6   7            ascii   ~]x[[)
352  0x000042dd 0x00404edd 5   7            utf8    2_^[Ë blocks=Basic Latin,Latin-1 Supplement
353  0x00004302 0x00404f02 4   6            utf8    9_[Ë blocks=Basic Latin,Latin-1 Supplement
354  0x0000433d 0x00404f3d 5   6            ascii   *B\b(@
355  0x0000439d 0x00404f9d 6   8            utf8    π?5|\rO blocks=Greek and Coptic,Basic Latin
356  0x000043b2 0x00404fb2 4   6            utf8    \n_[Ë blocks=Basic Latin,Latin-1 Supplement
357  0x000043c5 0x00404fc5 4   5            ascii   D$\bf
358  0x000043cb 0x00404fcb 4   5            ascii   t\ef-
359  0x000043ed 0x00404fed 4   6            utf8    uރ<$ blocks=Basic Latin,Thaana
360  0x000044a0 0x004050a0 4   5            ascii   \a.GI
361  0x00004571 0x00405171 4   5            ascii   Y_^[
362  0x000045e0 0x004051e0 5   7            utf8    ۬SsR@ blocks=Arabic,Basic Latin
363  0x00004609 0x00405209 5   7            utf8    ۬C?T@ blocks=Arabic,Basic Latin
364  0x00004625 0x00405225 5   7            utf8    ۬SsR@ blocks=Arabic,Basic Latin
365  0x0000464e 0x0040524e 5   7            utf8    ۬C?T@ blocks=Arabic,Basic Latin
366  0x0000465b 0x0040525b 4   6            utf8    ۫iR@ blocks=Arabic,Basic Latin
367  0x000046f9 0x004052f9 4   7            utf8    *焑*@ blocks=Basic Latin,CJK Unified Ideographs
368  0x00004729 0x00405329 5   6            ascii   @v:k\v
369  0x00004736 0x00405336 4   6            utf8    #Ǌ>@ blocks=Basic Latin,Latin Extended-B
370  0x00004770 0x00405370 4   5            ascii   @aQY
371  0x000047ac 0x004053ac 4   5            ascii   E@|o
372  0x000047b9 0x004053b9 4   7            utf8    ŝi@զ blocks=Latin Extended-A,Basic Latin,Armenian
373  0x000047e4 0x004053e4 5   6            ascii   BkU'9
374  0x00004809 0x00405409 4   6            utf8    &һCv blocks=Basic Latin,Cyrillic
375  0x0000485b 0x0040545b 6   9            utf8    HM䧓9;5 blocks=Basic Latin,CJK Unified Ideographs Extension A
376  0x000048da 0x004054da 4   6            utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
377  0x000048e6 0x004054e6 4   6            utf8    S3ɉM blocks=Basic Latin,Latin Extended-B
378  0x000048fb 0x004054fb 5   6            ascii   UhmU@
379  0x00004954 0x00405554 4   5            ascii   ZYYd
380  0x0000495a 0x0040555a 4   5            ascii   htU@
381  0x00004976 0x00405576 5   7            utf8    [YY]Ð blocks=Basic Latin,Latin-1 Supplement
382  0x00004a4e 0x0040564e 4   6            utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
383  0x00004abe 0x004056be 6   8            utf8    SVW3ۉ] blocks=Basic Latin,Arabic
384  0x00004acf 0x004056cf 5   6            ascii   UhxW@
385  0x00004b3a 0x0040573a 5   6            ascii   $ZXu\e
386  0x00004b64 0x00405764 4   5            ascii   ZYYd
