[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
223  0x00006527 0x10006527 4   5    .text   ascii   t$(Y
224  0x00006536 0x10006536 6   7    .text   ascii   t$$Ur-
225  0x00006546 0x10006546 4   5    .text   ascii   l$,U
226  0x0000654b 0x1000654b 4   5    .text   ascii   t$4W
227  0x00006555 0x10006555 4   5    .text   ascii   D$0@
228  0x00006571 0x10006571 6   7    .text   ascii   l$,UVW
229  0x000065df 0x100065df 4   5    .text   ascii   CE\bP
230  0x00006603 0x10006603 4   6    .text   utf8    M܍\f: blocks=Basic Latin,Syriac
231  0x0000677e 0x1000677e 4   5    .text   ascii   _^[d
232  0x000067b9 0x100067b9 4   5    .text   ascii   L$(;
233  0x00006821 0x10006821 5   6    .text   ascii   t$ t\v
234  0x000068da 0x100068da 4   5    .text   ascii   t$(t
235  0x0000690c 0x1000690c 4   5    .text   ascii   _^][
236  0x0000695a 0x1000695a 5   7    .text   utf8    ËD$\bV blocks=Latin-1 Supplement,Basic Latin
237  0x00006979 0x10006979 5   7    .text   utf8    ^Ã|$\b blocks=Basic Latin,Latin-1 Supplement
238  0x00006991 0x10006991 4   5    .text   ascii   t$\fQ
239  0x000069ab 0x100069ab 4   5    .text   ascii   QSVW
240  0x00006a67 0x10006a67 5   6    .text   ascii   @\fSUV
241  0x00006a86 0x10006a86 4   5    .text   ascii   L$ ;
242  0x00006b29 0x10006b29 4   5    .text   ascii   _^][
243  0x00006b6f 0x10006b6f 5   6    .text   ascii   QVPWj
244  0x00006b81 0x10006b81 5   6    .text   ascii   tlVj@
245  0x00006b8d 0x10006b8d 5   7    .text   utf8    ؍D$PP blocks=Arabic,Basic Latin
246  0x00006ba7 0x10006ba7 4   5    .text   ascii   L$^Q
247  0x00006bad 0x10006bad 6   7    .text   ascii   L$`Qht
248  0x00006c00 0x10006c00 5   6    .text   ascii   T\bTRQ
249  0x00006c4b 0x10006c4b 4   5    .text   ascii   L$(;
250  0x00006cb3 0x10006cb3 5   6    .text   ascii   t$0t\v
251  0x00006cdb 0x10006cdb 5   6    .text   ascii   L$$Qj
252  0x00006ce9 0x10006ce9 5   6    .text   ascii   L$HQj
253  0x00006cf0 0x10006cf0 4   6    .text   utf8    Ћ\$, blocks=Cyrillic,Basic Latin
254  0x00006cfa 0x10006cfa 6   8    .text   utf8    s\b3Ƀd$ blocks=Basic Latin,Latin Extended-B
255  0x00006d04 0x10006d04 6   7    .text   ascii   F<f;L0
256  0x00006d16 0x10006d16 5   7    .text   utf8    3҉T$0 blocks=Basic Latin,Cyrillic
257  0x00006d27 0x10006d27 4   6    .text   utf8    ID$<
258  0x00006d36 0x10006d36 5   6    .text   ascii   U$\vT$
259  0x00006d75 0x10006d75 6   7    .text   ascii   D$49L$
260  0x00006d83 0x10006d83 4   5    .text   ascii   t1L3
261  0x00006d8b 0x10006d8b 4   6    .text   utf8    ʉL$L blocks=IPA Extensions,Basic Latin
262  0x00006d96 0x10006d96 4   5    .text   ascii   t0P3
263  0x00006da6 0x10006da6 4   5    .text   ascii   t$(+
264  0x00006dbd 0x10006dbd 4   5    .text   ascii   D$H;
265  0x00006e24 0x10006e24 4   5    .text   ascii   L$4;
