[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
185  0x00007e12 0x00408a12 5   7    .text   utf8    [_^]Ð blocks=Basic Latin,Latin-1 Supplement
186  0x00007e37 0x00408a37 4   5    .text   ascii   SVWj
187  0x00007e49 0x00408a49 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
188  0x00007e52 0x00408a52 5   6    .text   ascii   l$\bRQ
189  0x00007e86 0x00408a86 4   5    .text   ascii   ;A\br
190  0x00007eb3 0x00408ab3 4   5    .text   ascii   ;A\br
191  0x00007f31 0x00408b31 5   6    .text   ascii   BVj(j
192  0x00008043 0x00408c43 5   6    .text   ascii   SVWUj
193  0x00008059 0x00408c59 4   5    .text   ascii   ]_^[
194  0x0000805f 0x00408c5f 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
195  0x000080e5 0x00408ce5 6   7    .text   ascii   ;t$,v-
196  0x00008140 0x00408d40 6   7    .text   ascii   R\f9Q\bu
197  0x0000816e 0x00408d6e 10  11   .text   ascii   k\fUQPXY]Y[
198  0x00008181 0x00408d81 4   5    .text   ascii   QSVW
199  0x000081f9 0x00408df9 4   5    .text   ascii   ;}\fu
200  0x0000821c 0x00408e1c 4   5    .text   ascii   E\bVW
201  0x00008297 0x00408e97 4   5    .text   ascii   %01A
202  0x00008315 0x00408f15 5   6    .text   ascii   Vh\b=A
203  0x00008320 0x00408f20 4   5    .text   ascii   h\b=A
204  0x000083f1 0x00408ff1 6   8    .text   utf8    D$\f^_Ë blocks=Basic Latin,Latin-1 Supplement
205  0x00008486 0x00409086 4   5    .text   ascii   oF f
206  0x000084e2 0x004090e2 4   5    .text   ascii   oF f
207  0x0000853a 0x0040913a 4   5    .text   ascii   oF f
208  0x00008615 0x00409215 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
209  0x00008621 0x00409221 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
210  0x00008633 0x00409233 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
211  0x0000864d 0x0040924d 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
212  0x000086c1 0x004092c1 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
213  0x000086cf 0x004092cf 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
