[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
294   0x000038bc 0x004078bc 9   10           ascii   .idata$5(
295   0x000038ce 0x004078ce 9   10           ascii   .idata$48
296   0x000038e0 0x004078e0 8   9            ascii   .idata$6
297   0x000038f2 0x004078f2 5   6            ascii   .text
298   0x00003904 0x00407904 5   6            ascii   .data
299   0x00003916 0x00407916 4   5            ascii   .bss
300   0x00003928 0x00407928 8   9            ascii   .idata$7
301   0x0000393a 0x0040793a 9   10           ascii   .idata$5,
302   0x0000394c 0x0040794c 9   10           ascii   .idata$4<
303   0x0000395e 0x0040795e 8   9            ascii   .idata$6
304   0x00003970 0x00407970 5   6            ascii   .text
305   0x00003982 0x00407982 5   6            ascii   .data
306   0x00003994 0x00407994 4   5            ascii   .bss
307   0x000039a6 0x004079a6 8   9            ascii   .idata$7
308   0x000039b8 0x004079b8 9   10           ascii   .idata$5$
309   0x000039ca 0x004079ca 9   10           ascii   .idata$44
310   0x000039dc 0x004079dc 8   9            ascii   .idata$6
311   0x000039ee 0x004079ee 5   6            ascii   .text
312   0x00003a00 0x00407a00 5   6            ascii   .data
313   0x00003a12 0x00407a12 4   5            ascii   .bss
314   0x00003a24 0x00407a24 8   9            ascii   .idata$7
315   0x00003a36 0x00407a36 9   10           ascii   .idata$5\b
316   0x00003a48 0x00407a48 8   9            ascii   .idata$4
317   0x00003a5a 0x00407a5a 9   10           ascii   .idata$6h
318   0x00003a6c 0x00407a6c 5   6            ascii   .text
319   0x00003a7e 0x00407a7e 5   6            ascii   .data
320   0x00003a90 0x00407a90 4   5            ascii   .bss
321   0x00003aa2 0x00407aa2 8   9            ascii   .idata$7
322   0x00003ab4 0x00407ab4 8   9            ascii   .idata$5
323   0x00003ac6 0x00407ac6 9   10           ascii   .idata$4$
324   0x00003ad8 0x00407ad8 8   9            ascii   .idata$6
325   0x00003aea 0x00407aea 5   6            ascii   .text
326   0x00003afc 0x00407afc 5   6            ascii   .data
327   0x00003b0e 0x00407b0e 4   5            ascii   .bss
328   0x00003b20 0x00407b20 8   9            ascii   .idata$7
329   0x00003b32 0x00407b32 8   9            ascii   .idata$5
330   0x00003b44 0x00407b44 8   9            ascii   .idata$4
331   0x00003b56 0x00407b56 9   10           ascii   .idata$64
332   0x00003b68 0x00407b68 5   6            ascii   .text
333   0x00003b7a 0x00407b7a 5   6            ascii   .data
334   0x00003b8c 0x00407b8c 4   5            ascii   .bss
335   0x00003b9e 0x00407b9e 8   9            ascii   .idata$7
336   0x00003bb0 0x00407bb0 8   9            ascii   .idata$5
337   0x00003bc2 0x00407bc2 8   9            ascii   .idata$4
338   0x00003bd4 0x00407bd4 9   10           ascii   .idata$6`
339   0x00003be6 0x00407be6 5   6            ascii   .text
340   0x00003bf8 0x00407bf8 5   6            ascii   .data
341   0x00003c0a 0x00407c0a 4   5            ascii   .bss
342   0x00003c1c 0x00407c1c 8   9            ascii   .idata$7
343   0x00003c2e 0x00407c2e 8   9            ascii   .idata$5
344   0x00003c40 0x00407c40 9   10           ascii   .idata$4(
345   0x00003c52 0x00407c52 8   9            ascii   .idata$6
346   0x00003c64 0x00407c64 5   6            ascii   .text
347   0x00003c76 0x00407c76 5   6            ascii   .data
348   0x00003c88 0x00407c88 4   5            ascii   .bss
349   0x00003c9a 0x00407c9a 8   9            ascii   .idata$7
