[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
154  0x00003d2c 0x0040492c 116 117  .text   ascii   \a\a\a\a\b\b\b\b\b\b\b\b\t\t\t\t\t\t\t\t\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r
155  0x00003e80 0x00404a80 32  33   .text   ascii   \e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e
156  0x00003f27 0x00404b27 17  18   .text   ascii   \a\b\b\t\t\n\n\v\v\f\f\f\f\r\r\r\r
157  0x00004000 0x00404c00 31  32   .text   ascii   \e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e
158  0x0000403c 0x00404c3c 4   20   .text   utf32le \a\b\n\f
159  0x00004060 0x00404c60 8   36   .text   utf32le  (08@P`p
160  0x000040c0 0x00404cc0 4   20   .text   utf32le  0@`
161  0x00004118 0x00404d18 6   14   .text   utf16le \a\b\t\n\v\r
162  0x00004130 0x00404d30 8   18   .text   utf16le #+3;CScs
163  0x000041a4 0x00404da4 4   10   .text   utf16le !1Aa
164  0x00004210 0x00404e10 48  49   .text   ascii   Invalid parameter passed to C runtime function.\n
165  0x00004275 0x00404e75 5   6    .text   ascii   ('8PW
166  0x0000427e 0x00404e7e 5   6    .text   ascii   700PP
167  0x00004290 0x00404e90 17  18   .text   ascii   ```hhh\b\b\axppwpp\b\b
168  0x000042fa 0x00404efa 4   5    .text   ascii   `Q^J
169  0x0000430a 0x00404f0a 5   6    .text   ascii   \r!^J8
170  0x00006c0f 0x0040780f 7   8    .text   ascii   \a\b\t\n\v\f\r
171  0x00006c28 0x00407828 95  96   .text   ascii    !"#$%&'()*+,-./0123456789:;<=>?@abcdefghijklmnopqrstuvwxyz[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
172  0x00006d0f 0x0040790f 7   8    .text   ascii   \a\b\t\n\v\f\r
173  0x00006d28 0x00407928 95  96   .text   ascii    !"#$%&'()*+,-./0123456789:;<=>?@abcdefghijklmnopqrstuvwxyz[\]^_`ABCDEFGHIJKLMNOPQRSTUVWXYZ{|}~
174  0x00007063 0x00407c63 4   5    .text   ascii   R:JR
175  0x000070ad 0x00407cad 4   5    .text   ascii   e\rHU
176  0x0000714f 0x00407d4f 4   5    .text   ascii   Mjg;
177  0x000071ba 0x00407dba 5   6    .text   ascii   xR3G'
178  0x000071ee 0x00407dee 6   7    .text   ascii   k.Kh~t
179  0x00007205 0x00407e05 5   6    .text   ascii   7L0,l
180  0x00007242 0x00407e42 18  19   .text   ascii   k~D1L1T1\1d1l1t1|1
181  0x0000725e 0x00407e5e 6   7    .text   ascii   5Ek@6N
182  0x00007265 0x00407e65 4   5    .text   ascii   ](&~
183  0x0000727b 0x00407e7b 9   10   .text   ascii   2$2,242<2
184  0x000072ca 0x00407eca 10  11   .text   ascii   e3d3l3t3|3
185  0x000072fb 0x00407efb 16  17   .text   ascii   4$4,444<4D4L4T4\
186  0x0000737f 0x00407f7f 19  20   .text   ascii   646<6D6L6T6\6d6l6t6
187  0x000073bb 0x00407fbb 4   5    .text   ascii   7$7,
188  0x000073e5 0x00407fe5 7   8    .text   ascii   8$8,848
189  0x00007420 0x00408020 7   8    .text   ascii   ._X-\a2v
190  0x00007432 0x00408032 12  13   .text   ascii   o9\9d9l9t9|9
191  0x0000745e 0x0040805e 4   5    .text   ascii   \aa\f:
192  0x00007465 0x00408065 25  26   .text   ascii   :$:,:4:<:D:L:T0\:d0l:t0|:
193  0x000074a1 0x004080a1 4   5    .text   ascii   #(Bo
194  0x000074b9 0x004080b9 5   6    .text   ascii   nt;|;
195  0x000074e7 0x004080e7 19  20   .text   ascii   <,<4<<<D<L<T<\<d<l<
196  0x00007553 0x00408153 4   5    .text   ascii   =WZ\t
197  0x00007558 0x00408158 4   5    .text   ascii   !A\tz
198  0x0000755f 0x0040815f 8   9    .text   ascii   ZP\tu6\bQB
199  0x00007568 0x00408168 4   5    .text   ascii   d&qf
200  0x0000756d 0x0040816d 17  18   .text   ascii   |D>L>T>\>d>l>t>|>
201  0x000075a5 0x004081a5 8   9    .text   ascii   ?$?,?4?<
202  0x000075e7 0x004081e7 6   9    .text   utf8    ǫڞ2<x{ blocks=Latin Extended-B,Arabic,Basic Latin
203  0x000075f7 0x004081f7 5   6    .text   ascii   ;@>l\r
204  0x00007600 0x00408200 5   6    .text   ascii   V4WS9
205  0x00007656 0x00408256 4   5    .text   ascii   RSeC
206  0x00007670 0x00408270 6   8    .text   utf8    kݴTF~j blocks=Basic Latin,Arabic Supplement
207  0x00007694 0x00408294 4   5    .text   ascii   4\r&z
208  0x000076a8 0x004082a8 4   5    .text   ascii   `/cR
209  0x000076b5 0x004082b5 4   7    .text   utf8    ktِÊ blocks=Basic Latin,Arabic,Latin-1 Supplement
210  0x000076c5 0x004082c5 4   5    .text   ascii   l\tx-
211  0x000076cc 0x004082cc 5   6    .text   ascii   czE_'
212  0x000076d2 0x004082d2 4   5    .text   ascii   7\e(M
213  0x000076e7 0x004082e7 4   5    .text   ascii   !J$?
214  0x000076f3 0x004082f3 6   7    .text   ascii   c/\nD5I
215  0x00007709 0x00408309 5   6    .text   ascii   s'6a\n
216  0x00007727 0x00408327 6   9    .text   utf8    ֭hN\nټj blocks=Hebrew,Basic Latin,Arabic
217  0x00007748 0x00408348 5   6    .text   ascii   \tzVGG
218  0x0000775b 0x0040835b 4   5    .text   ascii   6?->
219  0x00007768 0x00408368 4   7    .text   utf8    Gဝ;] blocks=Basic Latin,Myanmar
220  0x00007803 0x00408403 5   6    .text   ascii   #$%&'
221  0x00007810 0x00408410 10  11   .text   ascii   0123456789
222  0x00007821 0x00408421 26  27   .text   ascii   abcdefghijklmnopqrstuvwxyz
