[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
196  0x00002e52 0x00403a52 4   5    .text   ascii   Bj/V
197  0x00002e9c 0x00403a9c 5   6    .text   ascii   t!j/V
198  0x00002eca 0x00403aca 4   5    .text   ascii   _^[3
199  0x00002eef 0x00403aef 4   5    .text   ascii   thVW
200  0x000030a1 0x00403ca1 5   6    .text   ascii   QURSP
201  0x000030b2 0x00403cb2 4   6    .text   utf8    IF\f]
202  0x000030e7 0x00403ce7 6   7    .text   ascii   ulWWWj
203  0x00003124 0x00403d24 4   5    .text   ascii   M$PQ
204  0x0000315b 0x00403d5b 4   9    .text   utf16le jjjj
205  0x0000319d 0x00403d9d 4   5    .text   ascii   M$PQ
206  0x000031d7 0x00403dd7 5   6    .text   ascii   M\fRPQ
207  0x000031ef 0x00403def 4   5    .text   ascii   M RP
208  0x0000323b 0x00403e3b 4   5    .text   ascii   SUW3
209  0x00003246 0x00403e46 5   7    .text   utf8    ٍT$F3 blocks=Arabic,Basic Latin
210  0x00003261 0x00403e61 5   7    .text   utf8    3\tD$ 
211  0x0000328d 0x00403e8d 4   5    .text   ascii   L$Th
212  0x000032ac 0x00403eac 5   7    .text   utf8    WWhăA blocks=Basic Latin,Latin Extended-A
213  0x000032b4 0x00403eb4 5   7    .text   utf8    T$TRh
214  0x0000330a 0x00403f0a 4   5    .text   ascii   D$$(
215  0x0000334b 0x00403f4b 7   8    .text   ascii   L$<QURP
216  0x00003365 0x00403f65 4   5    .text   ascii   WWWQ
217  0x0000338b 0x00403f8b 6   7    .text   ascii   D$\fWWW
218  0x000033aa 0x00403faa 4   5    .text   ascii   _][3
219  0x000033d3 0x00403fd3 4   5    .text   ascii   l$\fV
220  0x000033e5 0x00403fe5 6   7    .text   ascii   u]PPPj
221  0x00003421 0x00404021 4   5    .text   ascii   \$0R
222  0x0000344a 0x0040404a 4   9    .text   utf16le jjjj
223  0x00003487 0x00404087 4   5    .text   ascii   \$0R
224  0x00003493 0x00404093 6   7    .text   ascii   u\t_^][
225  0x000034d4 0x004040d4 4   5    .text   ascii   \$0Q
226  0x000034f1 0x004040f1 4   5    .text   ascii   _^][
