[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000099 0x00000099 4   6            utf8    K}80
2     0x000000a1 0x000000a1 4   6            utf8    K|8R
3     0x000000d7 0x000000d7 5   8            utf8    8؉q8K blocks=Basic Latin,Arabic
4     0x000000ef 0x000000ef 6   8            utf8    8RichJ
5     0x000001f8 0x000001f8 5   6            ascii   .text
6     0x0000021f 0x0000021f 7   8            ascii   `.rdata
7     0x00000247 0x00000247 6   7            ascii   @.data
8     0x00000270 0x00000270 6   7            ascii   .gfids
9     0x00000297 0x00000297 6   7            ascii   @.UPX0
10    0x000002c0 0x000002c0 4   5            ascii   .tls
11    0x000002e8 0x000002e8 5   6            ascii   .UPX1
12    0x00000310 0x00000310 6   7            ascii   .reloc
13    0x00000337 0x00000337 6   7            ascii   @.rsrc
251   0x00003d1e 0x0042671e 4   6    .UPX1   utf8    ;wщs blocks=Basic Latin,Cyrillic
252   0x00003d32 0x00426732 4   5    .UPX1   ascii   }zaN
253   0x00003dd1 0x004267d1 4   5    .UPX1   ascii   6//i
254   0x00003e05 0x00426805 4   5    .UPX1   ascii   tk_y
255   0x00003e29 0x00426829 4   5    .UPX1   ascii   [1Kl
256   0x00003e3c 0x0042683c 4   5    .UPX1   ascii   P78W
257   0x00003e46 0x00426846 5   6    .UPX1   ascii   }_%>7
258   0x00003e58 0x00426858 4   5    .UPX1   ascii   j./6
259   0x00003e87 0x00426887 4   5    .UPX1   ascii   .ZOl
260   0x00003eb9 0x004268b9 4   5    .UPX1   ascii   ]TYd
261   0x00003ebe 0x004268be 4   5    .UPX1   ascii   Yg$%
262   0x00003ed9 0x004268d9 4   5    .UPX1   ascii   g-^g
263   0x00003ef5 0x004268f5 4   5    .UPX1   ascii   y&!F
264   0x00003efa 0x004268fa 6   7    .UPX1   ascii   =._kBf
265   0x00003f8f 0x0042698f 5   6    .UPX1   ascii   t$\f`f
266   0x00003fb0 0x004269b0 5   6    .UPX1   ascii   Cp/,R
267   0x00003fbb 0x004269bb 6   7    .UPX1   ascii   [rS+Lj
268   0x00003ff2 0x004269f2 4   5    .UPX1   ascii   M\n\a8
269   0x00004049 0x00426a49 5   6    .UPX1   ascii   \iS \t
270   0x000040d5 0x00426ad5 4   7    .UPX1   utf8    d$0迂 blocks=Basic Latin,CJK Unified Ideographs
271   0x0000413b 0x00426b3b 6   7    .UPX1   ascii   2CbWFs
272   0x0000415f 0x00426b5f 4   5    .UPX1   ascii    \tVG
273   0x00004176 0x00426b76 4   6    .UPX1   utf8    %nЉ\v blocks=Basic Latin,Cyrillic
274   0x00004247 0x00426c47 4   5    .UPX1   ascii   #>JG
275   0x0000429b 0x00426c9b 4   5    .UPX1   ascii   ~IKd
276   0x000042b0 0x00426cb0 6   7    .UPX1   ascii   )\aG'N0
277   0x000042ca 0x00426cca 5   6    .UPX1   ascii   n8[uf
278   0x000042f1 0x00426cf1 4   7    .UPX1   utf8    9}\ݴ blocks=Basic Latin,Arabic Supplement
279   0x00004340 0x00426d40 4   5    .UPX1   ascii   ?fWS
280   0x00004346 0x00426d46 4   6    .UPX1   utf8    Xmʑ` blocks=Basic Latin,IPA Extensions
281   0x0000436e 0x00426d6e 4   7    .UPX1   utf8    Ҳɪ0} blocks=Cyrillic,IPA Extensions,Basic Latin
282   0x000043c7 0x00426dc7 4   5    .UPX1   ascii   .dms
283   0x00004459 0x00426e59 4   5    .UPX1   ascii   Le<5
284   0x000044a3 0x00426ea3 4   5    .UPX1   ascii   ~s\b2
285   0x00004523 0x00426f23 6   7    .UPX1   ascii   Ub*G]O
286   0x00004544 0x00426f44 4   5    .UPX1   ascii   ?4sk
287   0x00004580 0x00426f80 4   5    .UPX1   ascii   K8)*
288   0x00004586 0x00426f86 5   6    .UPX1   ascii   x|B1>
289   0x000045a3 0x00426fa3 4   5    .UPX1   ascii   A !"
290   0x00004611 0x00427011 4   5    .UPX1   ascii   l"O!
291   0x00004636 0x00427036 4   5    .UPX1   ascii   .s)\e
292   0x00004665 0x00427065 4   5    .UPX1   ascii   (\r./
293   0x00004688 0x00427088 4   5    .UPX1   ascii   )_Jt
294   0x00004692 0x00427092 5   6    .UPX1   ascii   %UjQ~
295   0x000046af 0x004270af 5   6    .UPX1   ascii   yZ/,R
296   0x000046ba 0x004270ba 4   5    .UPX1   ascii   \t/li
297   0x000047ac 0x004271ac 4   7    .UPX1   utf8    z$鸻\f blocks=Basic Latin,CJK Unified Ideographs
298   0x000047b5 0x004271b5 4   5    .UPX1   ascii   D$$\b
299   0x0000480e 0x0042720e 4   6    .UPX1   utf8    \vB\bh
300   0x00004854 0x00427254 5   6    .UPX1   ascii   Rq~]v
301   0x0000485a 0x0042725a 8   9    .UPX1   ascii   Vly96Ev=
302   0x00004866 0x00427266 4   6    .UPX1   utf8    Nۨm  blocks=Basic Latin,Arabic
303   0x00004879 0x00427279 5   6    .UPX1   ascii   .pIQd
304   0x000048f4 0x004272f4 5   6    .UPX1   ascii   .*'O"
305   0x00004927 0x00427327 4   7    .UPX1   utf8    B\a\e烈 blocks=Basic Latin,CJK Compatibility Ideographs
306   0x0000492e 0x0042732e 5   6    .UPX1   ascii   'Nk2;
307   0x00004985 0x00427385 4   6    .UPX1   utf8    \e-͜\f blocks=Basic Latin,Combining Diacritical Marks
308   0x000049aa 0x004273aa 4   5    .UPX1   ascii   \e#(%
309   0x00004a4e 0x0042744e 6   8    .UPX1   utf8    ̙QS):: blocks=Combining Diacritical Marks,Basic Latin
310   0x00004a80 0x00427480 4   6    .UPX1   utf8    ˋ|$\b blocks=Spacing Modifier Letters,Basic Latin
311   0x00004a9e 0x0042749e 4   5    .UPX1   ascii   D$ <
312   0x00004aae 0x004274ae 5   6    .UPX1   ascii   u6`hh
313   0x00004aed 0x004274ed 5   6    .UPX1   ascii   No0l=
314   0x00004b41 0x00427541 5   6    .UPX1   ascii   u_t\th
315   0x00004b9b 0x0042759b 5   6    .UPX1   ascii   h!PGN
316   0x00004cb2 0x004276b2 4   5    .UPX1   ascii   $$`f
317   0x00004cdd 0x004276dd 5   6    .UPX1   ascii   !p}UZ
318   0x00004ce6 0x004276e6 7   8    .UPX1   ascii   yHOp78-
319   0x00004d30 0x00427730 5   6    .UPX1   ascii   4GdhV
320   0x00004d38 0x00427738 4   5    .UPX1   ascii   < )P
321   0x00004d6a 0x0042776a 4   5    .UPX1   ascii   %,lw
322   0x00004d75 0x00427775 4   5    .UPX1   ascii   IY#V
323   0x00004d8b 0x0042778b 4   5    .UPX1   ascii   4$`F
324   0x00004d9d 0x0042779d 16  17   .UPX1   ascii   GetModuleHandleA
325   0x00004df5 0x004277f5 5   6    .UPX1   ascii   uHg\eD
326   0x00004e1d 0x0042781d 4   6    .UPX1   utf8    B̾0{ blocks=Basic Latin,Combining Diacritical Marks
327   0x00004e38 0x00427838 4   5    .UPX1   ascii   9v.]
