Metadata Signature: 0xfb4 0x10001424a5342 12
.NET Version: v2.0.50727
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: ca0
Stream name: #~ 4
DirectoryAddress: d0c Size: 10e0
Stream name: #Strings 12
DirectoryAddress: 1dec Size: 1384
Stream name: #US 4
DirectoryAddress: 3170 Size: 10
Stream name: #GUID 8
DirectoryAddress: 3180 Size: 2fc
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len  size section type    string
180 0x0000250e 0x0040430e 4    5    .text   ascii   name
181 0x00002525 0x00404325 4    5    .text   ascii   pipe
182 0x0000252a 0x0040432a 6    7    .text   ascii   handle
183 0x00002531 0x00404331 11   12   .text   ascii   TokenHandle
184 0x0000253d 0x0040433d 20   21   .text   ascii   DisableAllPrivileges
185 0x00002552 0x00404352 8    9    .text   ascii   NewState
186 0x0000255b 0x0040435b 12   13   .text   ascii   Bufferlength
187 0x00002568 0x00404368 13   14   .text   ascii   PreviousState
188 0x00002576 0x00404376 12   13   .text   ascii   ReturnLength
189 0x00002583 0x00404383 9    10   .text   ascii   hReadPipe
190 0x0000258d 0x0040438d 12   13   .text   ascii   OutAttribute
191 0x0000259a 0x0040439a 10   11   .text   ascii   hWritePipe
192 0x000025a5 0x004043a5 16   17   .text   ascii   lpPipeAttributes
193 0x000025b6 0x004043b6 5    6    .text   ascii   nSize
194 0x000025bc 0x004043bc 18   19   .text   ascii   MarshalAsAttribute
195 0x000025cf 0x004043cf 13   14   .text   ascii   UnmanagedType
196 0x000025dd 0x004043dd 12   13   .text   ascii   lpSystemName
197 0x000025ea 0x004043ea 6    7    .text   ascii   lpName
198 0x000025f1 0x004043f1 6    7    .text   ascii   lpLuid
199 0x000025f8 0x004043f8 6    7    .text   ascii   hToken
200 0x000025ff 0x004043ff 17   18   .text   ascii   lpApplicationName
201 0x00002611 0x00404411 13   14   .text   ascii   lpCommandLine
202 0x0000261f 0x0040441f 19   20   .text   ascii   lpProcessAttributes
203 0x00002633 0x00404433 18   19   .text   ascii   lpThreadAttributes
