[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000188 0x00000188 5   6            ascii   .text
2     0x000001ae 0x000001ae 7   8            ascii   P`.data
3     0x000001d8 0x000001d8 6   7            ascii   .rdata
4     0x000001fe 0x000001fe 8   9            ascii   `@.pdata
5     0x00000226 0x00000226 8   9            ascii   0@.xdata
6     0x0000024e 0x0000024e 6   7            ascii   0@.bss
7     0x00000278 0x00000278 6   7            ascii   .edata
8     0x0000029e 0x0000029e 8   9            ascii   0@.idata
9     0x000002c8 0x000002c8 5   6            ascii   .rsrc
10    0x000002f0 0x000002f0 6   7            ascii   .reloc
143   0x000023b6 0x00402fb6 5   7    .text   utf8    l$(Ǆ$ blocks=Basic Latin,Latin Extended-B
144   0x000023e8 0x00402fe8 5   6    .text   ascii   D;5]@
145   0x000024f6 0x004030f6 4   5    .text   ascii   D$`L
146   0x00002520 0x00403120 5   7    .text   utf8    T$hǄ$ blocks=Basic Latin,Latin Extended-B
147   0x00002589 0x00403189 4   5    .text   ascii   T$xI
148   0x000025a3 0x004031a3 4   5    .text   ascii   T$xH
149   0x000026bd 0x004032bd 4   5    .text   ascii   D$HH
150   0x000026ca 0x004032ca 4   5    .text   ascii   D$@H
151   0x0000277a 0x0040337a 4   5    .text   ascii   l$0H
152   0x00002798 0x00403398 4   5    .text   ascii   D$(L
153   0x000027cd 0x004033cd 4   6    .text   utf8    ىT$8 blocks=Arabic,Basic Latin
154   0x000027da 0x004033da 4   5    .text   ascii   T$0H
155   0x000027e7 0x004033e7 4   5    .text   ascii   T$(H
156   0x000027fc 0x004033fc 4   5    .text   ascii   D$ A
157   0x00002864 0x00403464 5   6    .text   ascii   D$(0\a
158   0x00002878 0x00403478 4   5    .text   ascii   \$ H
159   0x0000289a 0x0040349a 4   5    .text   ascii   L$XA
160   0x00002974 0x00403574 4   5    .text   ascii   D$0H
161   0x0000298f 0x0040358f 4   5    .text   ascii   D$(H
162   0x000029c2 0x004035c2 5   7    .text   utf8    t\nfǄ$ blocks=Basic Latin,Latin Extended-B
163   0x00002a3e 0x0040363e 4   5    .text   ascii   L$`L
164   0x00002a4b 0x0040364b 5   7    .text   utf8    >9fǄ$ blocks=Basic Latin,Latin Extended-B
165   0x00002a57 0x00403657 4   5    .text   ascii   w3E1
166   0x00002ae1 0x004036e1 4   5    .text   ascii   |$ L
167   0x00002ae6 0x004036e6 4   5    .text   ascii   L$`H
168   0x00002bf4 0x004037f4 12  13   .text   ascii   [^_]A\A]A^A_
169   0x00002c01 0x00403801 7   8    .text   ascii   ATUWVSH
170   0x00002c1a 0x0040381a 6   8    .text   utf8    t\f1ۃ=7 blocks=Basic Latin,Arabic
171   0x00002c41 0x00403841 4   5    .text   ascii   l$tf
172   0x00002c46 0x00403846 5   6    .text   ascii   ?ZwDH
173   0x00002c79 0x00403879 4   5    .text   ascii   9u\vf
174   0x00002cf0 0x004038f0 4   5    .text   ascii   T$8A
175   0x00002d41 0x00403941 4   5    .text   ascii   T$PA
176   0x00002dca 0x004039ca 4   5    .text   ascii   |$xL
177   0x00002e64 0x00403a64 11  12   .text   ascii   AVAUATUWVSH
178   0x00002eb8 0x00403ab8 4   5    .text   ascii   t$HH
179   0x00003078 0x00403c78 4   5    .text   ascii   A\bH9
180   0x0000318e 0x00403d8e 4   5    .text   ascii   t<fA
181   0x00003266 0x00403e66 5   7    .text   utf8    D$P19
182   0x00003272 0x00403e72 4   5    .text   ascii   T$HL
183   0x00003283 0x00403e83 4   5    .text   ascii   \$HH
184   0x0000328b 0x00403e8b 4   5    .text   ascii   D$XL
185   0x00003294 0x00403e94 5   6    .text   ascii   D$hQ@
186   0x000032a3 0x00403ea3 4   5    .text   ascii   D$8H
187   0x0000336e 0x00403f6e 10  11   .text   ascii   [^_]A\A]A^
188   0x00003379 0x00403f79 4   5    .text   ascii   WVSH
189   0x000033b9 0x00403fb9 4   5    .text   ascii   t$8H
190   0x000033d1 0x00403fd1 4   5    .text   ascii   L$(D
191   0x000033e3 0x00403fe3 4   5    .text   ascii   L$(D
192   0x000033e8 0x00403fe8 4   5    .text   ascii   D$$H
193   0x00003563 0x00404163 11  12   .text   ascii   AVAUATUWVSH
194   0x000037f9 0x004043f9 4   6    .text   utf8    E1:C
195   0x00003819 0x00404419 4   6    .text   utf8    E1:C
196   0x0000382a 0x0040442a 4   6    .text   utf8    E1:C
197   0x00003974 0x00404574 4   5    .text   ascii   A\bH9
198   0x00003a52 0x00404652 4   6    .text   utf8    E1:G
199   0x00003ab3 0x004046b3 4   5    .text   ascii   \vv L
200   0x00003b64 0x00404764 4   6    .text   utf8    ԋ5mo blocks=Cyrillic Supplement,Basic Latin
201   0x00003bd1 0x004047d1 4   5    .text   ascii   u.E1
202   0x00003bd6 0x004047d6 4   6    .text   utf8    E1:G
203   0x00003ce4 0x004048e4 4   5    .text   ascii   \$0L
204   0x00003ce9 0x004048e9 4   5    .text   ascii   L$HH
205   0x00003cee 0x004048ee 4   5    .text   ascii   \$(L
206   0x00003d99 0x00404999 5   7    .text   utf8    D$HǄ$ blocks=Basic Latin,Latin Extended-B
207   0x00003daf 0x004049af 4   5    .text   ascii   D$HH
208   0x00003e2f 0x00404a2f 10  11   .text   ascii   [^_]A\A]A^
209   0x00003e3a 0x00404a3a 5   6    .text   ascii   UWVSH
210   0x00004035 0x00404c35 4   6    .text   utf8    E1:C
211   0x000040d0 0x00404cd0 4   5    .text   ascii   A\bH9
212   0x00004159 0x00404d59 4   6    .text   utf8    E1:G
213   0x000041f4 0x00404df4 4   6    .text   utf8    E1:3
214   0x00004213 0x00404e13 4   6    .text   utf8    E1:3
215   0x00004239 0x00404e39 4   6    .text   utf8    E1:3
216   0x0000425f 0x00404e5f 4   6    .text   utf8    E1:3
217   0x00004285 0x00404e85 4   6    .text   utf8    E1:3
218   0x000042bd 0x00404ebd 5   6    .text   ascii   ([^_]
219   0x000042c3 0x00404ec3 13  14   .text   ascii   AWAVAUATUWVSH
220   0x00004559 0x00405159 4   5    .text   ascii   t$PH
221   0x00004627 0x00405227 5   6    .text   ascii   D$@E1
222   0x0000463b 0x0040523b 4   5    .text   ascii   D$0H
223   0x000046d5 0x004052d5 4   6    .text   utf8    E1:C
224   0x000046f4 0x004052f4 4   6    .text   utf8    E1:C
225   0x0000470c 0x0040530c 4   6    .text   utf8    E1:C
226   0x00004726 0x00405326 5   6    .text   ascii   D$HE1
227   0x00004734 0x00405334 4   5    .text   ascii   D$ H
228   0x0000475d 0x0040535d 4   6    .text   utf8    E1:C
229   0x000047dd 0x004053dd 4   5    .text   ascii   A\bH9
230   0x000048e1 0x004054e1 4   5    .text   ascii   F\bH9
231   0x00004a60 0x00405660 4   6    .text   utf8    E1:G
232   0x00004c0d 0x0040580d 13  14   .text   ascii   h[^_]A\A]A^A_
233   0x00004c1b 0x0040581b 13  14   .text   ascii   AWAVAUATUWVSH
234   0x00004d2e 0x0040592e 5   6    .text   ascii   |$PE1
235   0x00004d43 0x00405943 4   5    .text   ascii   d$LH
236   0x00004d4f 0x0040594f 4   5    .text   ascii   |$ H
237   0x00004d54 0x00405954 4   5    .text   ascii   t$XH
238   0x00004d6d 0x0040596d 4   5    .text   ascii   D$L\b
239   0x00004d7d 0x0040597d 4   5    .text   ascii   L$PH
240   0x00004d82 0x00405982 4   5    .text   ascii   t$ H
241   0x00004dae 0x004059ae 4   5    .text   ascii   d$(H
242   0x00004db7 0x004059b7 4   5    .text   ascii   D$L\b
243   0x00004ddf 0x004059df 4   5    .text   ascii   L$PL
244   0x00004e05 0x00405a05 4   5    .text   ascii   |$ A
245   0x00004e17 0x00405a17 4   5    .text   ascii   D$L\b
246   0x00004e27 0x00405a27 4   5    .text   ascii   L$PH
247   0x00004e4a 0x00405a4a 4   5    .text   ascii   d$(H
248   0x00004e53 0x00405a53 4   5    .text   ascii   D$L\b
249   0x00004e7b 0x00405a7b 4   5    .text   ascii   L$PA
250   0x00004edf 0x00405adf 4   5    .text   ascii   |$XA
251   0x00004f29 0x00405b29 5   6    .text   ascii   D$PE1
252   0x00004f37 0x00405b37 4   5    .text   ascii   d$LH
253   0x00004f43 0x00405b43 4   5    .text   ascii   D$ H
254   0x00004f48 0x00405b48 4   5    .text   ascii   |$XH
255   0x00004f64 0x00405b64 4   5    .text   ascii   D$L\b
256   0x00004f74 0x00405b74 4   5    .text   ascii   L$PH
257   0x00004f79 0x00405b79 4   5    .text   ascii   |$ H
258   0x00004fa5 0x00405ba5 4   5    .text   ascii   d$(H
259   0x00004fae 0x00405bae 4   5    .text   ascii   D$L\b
260   0x00005018 0x00405c18 5   6    .text   ascii   t$XE1
261   0x00005026 0x00405c26 4   5    .text   ascii   l$PH
262   0x00005032 0x00405c32 4   5    .text   ascii   l$ H
263   0x00005079 0x00405c79 4   5    .text   ascii   L$PA
264   0x00005083 0x00405c83 4   5    .text   ascii   D$(H
265   0x000050be 0x00405cbe 4   5    .text   ascii   t$ H
266   0x000050d0 0x00405cd0 4   5    .text   ascii   L$PL
267   0x000050e2 0x00405ce2 4   5    .text   ascii   l$ A
268   0x0000511f 0x00405d1f 4   5    .text   ascii   L$PH
269   0x00005132 0x00405d32 4   5    .text   ascii   D$(H
270   0x0000516d 0x00405d6d 4   5    .text   ascii   t$ H
271   0x0000517f 0x00405d7f 4   5    .text   ascii   L$PA
272   0x000051b3 0x00405db3 12  13   .text   ascii   [^_]A\A]A^A_
273   0x00005204 0x00405e04 11  12   .text   ascii   AVAUATUWVSH
274   0x0000522c 0x00405e2c 4   5    .text   ascii   D$tD
275   0x000052c1 0x00405ec1 4   5    .text   ascii   T$|H
276   0x00005371 0x00405f71 4   5    .text   ascii   t$8H
277   0x00005395 0x00405f95 4   5    .text   ascii   D$(?
278   0x000053b0 0x00405fb0 4   5    .text   ascii   t$ A
279   0x0000547a 0x0040607a 5   6    .text   ascii   t$xE1
280   0x00005492 0x00406092 4   5    .text   ascii   D$xB
281   0x000054a9 0x004060a9 4   5    .text   ascii   t$(H
282   0x000054ae 0x004060ae 4   5    .text   ascii   D$ L
283   0x0000555b 0x0040615b 4   5    .text   ascii   t$(H
284   0x0000556d 0x0040616d 4   5    .text   ascii   D$x\b
285   0x0000557d 0x0040617d 4   5    .text   ascii   D$ A
286   0x000055ad 0x004061ad 4   5    .text   ascii   D$ A
287   0x000055c8 0x004061c8 4   5    .text   ascii   D$x\n
288   0x000055d1 0x004061d1 4   5    .text   ascii   t$(L
289   0x000055d6 0x004061d6 4   5    .text   ascii   t$ A
290   0x000055f7 0x004061f7 4   5    .text   ascii   t$(H
291   0x00005619 0x00406219 4   5    .text   ascii   D$ A
292   0x00005727 0x00406327 4   5    .text   ascii   t$@1
293   0x00005753 0x00406353 4   5    .text   ascii   D$00
294   0x0000575b 0x0040635b 4   5    .text   ascii   D$(B
295   0x0000582b 0x0040642b 4   5    .text   ascii   D$(\n
296   0x000058b5 0x004064b5 4   5    .text   ascii   D$(@
297   0x000058de 0x004064de 4   5    .text   ascii   D$(@
298   0x00005a3f 0x0040663f 4   7    .text   utf8    vu苔$ blocks=Basic Latin,CJK Unified Ideographs
299   0x00005a5a 0x0040665a 4   5    .text   ascii   <G#u
300   0x00005ab3 0x004066b3 4   5    .text   ascii   L$8A
301   0x00005b07 0x00406707 4   5    .text   ascii   L$PA
302   0x00005b19 0x00406719 4   5    .text   ascii   T$8L
303   0x00005cc2 0x004068c2 4   5    .text   ascii   D$PH
304   0x00006400 0x00408000 17  36   .rdata  utf16le ImDiskTk-svc SYNC
305   0x00006424 0x00408024 8   18   .rdata  utf16le DlgFlags
306   0x00006436 0x00408036 15  32   .rdata  utf16le C:\hiberfil.sys
307   0x00006456 0x00408056 54  55   .rdata  ascii   SYSTEM\CurrentControlSet\Control\Session Manager\Power
308   0x0000648e 0x0040808e 16  34   .rdata  utf16le HiberbootEnabled
309   0x000064b0 0x004080b0 43  44   .rdata  ascii   SYSTEM\CurrentControlSet\Control\FileSystem
310   0x000064dc 0x004080dc 25  52   .rdata  utf16le DisableDeleteNotification
311   0x00006510 0x00408110 17  36   .rdata  utf16le imdisk -D -m "%s"
312   0x00006534 0x00408134 12  26   .rdata  utf16le RDMountPoint
313   0x0000654e 0x0040814e 16  34   .rdata  utf16le ImDisk-Dlg RM %s
314   0x00006570 0x00408170 14  30   .rdata  utf16le RDMountCurrent
315   0x0000658e 0x0040818e 6   14   .rdata  utf16le ImDisk
316   0x0000659c 0x0040819c 21  44   .rdata  utf16le SeLockMemoryPrivilege
317   0x000065c8 0x004081c8 6   14   .rdata  utf16le \\.\%s
318   0x000065d6 0x004081d6 8   18   .rdata  utf16le WARN_DLG
319   0x000065e8 0x004081e8 15  32   .rdata  utf16le imdisk -D -m %s
320   0x00006608 0x00408208 5   12   .rdata  utf16le "%s" 
321   0x00006614 0x00408214 6   14   .rdata  utf16le %I64u 
322   0x0000662a 0x0040822a 9   20   .rdata  utf16le %u %u %u 
323   0x0000663e 0x0040823e 10  22   .rdata  utf16le %u %u "%s"
324   0x00006654 0x00408254 21  22   .rdata  ascii   Global\RamDynSvcEvent
325   0x0000666a 0x0040826a 31  64   .rdata  utf16le imdisk -a %S -m "%s" %s -f "%s"
326   0x000066aa 0x004082aa 30  62   .rdata  utf16le imdisk -a -m "%s" %S%s -s %d%C
327   0x000066e8 0x004082e8 14  30   .rdata  utf16le \Device\ImDisk
328   0x00006706 0x00408306 30  62   .rdata  utf16le format.com %s /fs:%s %S%S%S /y
329   0x0000674c 0x0040834c 7   16   .rdata  utf16le %s\Temp
330   0x0000675c 0x0040835c 34  70   .rdata  utf16le xcopy "%s*" "%s" /e /c /q /h /k /y
331   0x000067b2 0x004083b2 19  40   .rdata  utf16le attrib -a "%s\*" /s
332   0x000067e2 0x004083e2 10  22   .rdata  utf16le properties
333   0x000067f8 0x004083f8 9   20   .rdata  utf16le DriveSize
334   0x0000680c 0x0040840c 4   10   .rdata  utf16le Unit
335   0x00006816 0x00408416 7   16   .rdata  utf16le Dynamic
336   0x00006826 0x00408426 11  24   .rdata  utf16le WantedDrive
337   0x0000683e 0x0040843e 10  22   .rdata  utf16le FileSystem
338   0x00006854 0x00408454 7   16   .rdata  utf16le WinBoot
339   0x00006864 0x00408464 10  22   .rdata  utf16le TempFolder
340   0x0000687a 0x0040847a 7   16   .rdata  utf16le Cluster
341   0x0000688a 0x0040848a 5   12   .rdata  utf16le Label
342   0x00006896 0x00408496 11  24   .rdata  utf16le QuickFormat
343   0x000068ae 0x004084ae 8   18   .rdata  utf16le Awealloc
344   0x000068c0 0x004084c0 9   20   .rdata  utf16le DynMethod
345   0x000068d4 0x004084d4 10  22   .rdata  utf16le CleanRatio
346   0x000068ea 0x004084ea 10  22   .rdata  utf16le CleanTimer
347   0x00006900 0x00408500 11  24   .rdata  utf16le MaxActivity
348   0x00006918 0x00408518 9   20   .rdata  utf16le BlockSize
349   0x0000692c 0x0040852c 7   16   .rdata  utf16le RDUseMP
350   0x0000693c 0x0040853c 9   20   .rdata  utf16le ImageFile
351   0x00006950 0x00408550 8   18   .rdata  utf16le AddParam
352   0x00006962 0x00408562 9   20   .rdata  utf16le SyncFlags
353   0x00006976 0x00408576 12  26   .rdata  utf16le SyncExcluded
354   0x00006990 0x00408590 8   18   .rdata  utf16le VolumeID
355   0x000069a4 0x004085a4 14  30   .rdata  utf16le RamDyn "%s" %s
356   0x000069c2 0x004085c2 7   16   .rdata  utf16le RamDisk
357   0x000069d2 0x004085d2 9   20   .rdata  utf16le  NOTIF  :
358   0x000069e6 0x004085e6 12  26   .rdata  utf16le RamDyn "%s" 
359   0x00006a00 0x00408600 12  26   .rdata  utf16le ImDiskTk-svc
360   0x00006a1a 0x0040861a 6   14   .rdata  utf16le ImDisk
361   0x00006a2a 0x0040862a 29  60   .rdata  utf16le ImDisk Toolkit helper service
362   0x00006a66 0x00408666 57  116  .rdata  utf16le Service used for data synchronization at system shutdown.
363   0x00006ada 0x004086da 61  124  .rdata  utf16le control /name Microsoft.PowerOptions /page pageGlobalSettings
364   0x00006b56 0x00408756 7   16   .rdata  utf16le Default
365   0x00006b66 0x00408766 6   14   .rdata  utf16le 0.5 KB
366   0x00006b74 0x00408774 5   12   .rdata  utf16le %d KB
367   0x00006b80 0x00408780 47  96   .rdata  utf16le cmd /c "%s\imdisk 2>"%s"&notepad "%s"&del "%s""
368   0x00006be0 0x004087e0 7   16   .rdata  utf16le DYN_DLG
369   0x00006bf0 0x004087f0 6   14   .rdata  utf16le \\.\A:
370   0x00006bfe 0x004087fe 4   10   .rdata  utf16le NTFS
371   0x00006c10 0x00408810 5   12   .rdata  utf16le FAT32
372   0x00006c1c 0x0040881c 39  40   .rdata  ascii   SYSTEM\CurrentControlSet\Services\exfat
373   0x00006c44 0x00408844 5   12   .rdata  utf16le exFAT
374   0x00006c50 0x00408850 7   16   .rdata  utf16le VAR_DLG
375   0x00006c60 0x00408860 11  12   .rdata  ascii   Environment
376   0x00006c6c 0x0040886c 4   10   .rdata  utf16le TEMP
377   0x00006c7e 0x0040887e 60  61   .rdata  ascii   SYSTEM\CurrentControlSet\Control\Session Manager\Environment
378   0x00006cbb 0x004088bb 20  21   .rdata  ascii   .DEFAULT\Environment
379   0x00006cd0 0x004088d0 17  36   .rdata  utf16le %SystemRoot%\TEMP
380   0x00006cf4 0x004088f4 60  122  .rdata  utf16le SYSTEM\CurrentControlSet\Control\Session Manager\Environment
381   0x00006d6e 0x0040896e 5   12   .rdata  utf16le Basic
382   0x00006d7a 0x0040897a 8   18   .rdata  utf16le Advanced
383   0x00006d8c 0x0040898c 4   10   .rdata  utf16le Data
384   0x00006d96 0x00408996 5   12   .rdata  utf16le NOTIF
385   0x00006da2 0x004089a2 10  11   .rdata  ascii   imdisk.cpl
386   0x00006dad 0x004089ad 28  29   .rdata  ascii   ImDiskNotifyShellDriveLetter
387   0x00006dca 0x004089ca 31  64   .rdata  utf16le Temp\r\nSystem Volume Information
