[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
248  0x00008df0 0x004099f0 4   5    .text   ascii   o^0f
249  0x00008e08 0x00409a08 4   5    .text   ascii   of@f
250  0x00008e0d 0x00409a0d 4   5    .text   ascii   onPf
251  0x00008e12 0x00409a12 4   5    .text   ascii   ov`f
252  0x00008e17 0x00409a17 4   5    .text   ascii   o~pf
253  0x00008e90 0x00409a90 5   6    .text   ascii   \aFGIu
254  0x00008ea1 0x00409aa1 6   8    .text   utf8    D$\f^_Í blocks=Basic Latin,Latin-1 Supplement
255  0x00008ec7 0x00409ac7 4   5    .text   ascii   FGIu
256  0x00008f4d 0x00409b4d 4   5    .text   ascii   w\bSP
257  0x00008fc2 0x00409bc2 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
258  0x00008fef 0x00409bef 4   6    .text   utf8    ]Ã}\f blocks=Basic Latin,Latin-1 Supplement
259  0x000090ad 0x00409cad 4   5    .text   ascii   QSVW
260  0x000090d1 0x00409cd1 6   7    .text   ascii   }\b99t\t
261  0x000090f6 0x00409cf6 7   9    .text   utf8    u\v3\tY\b@
262  0x00009142 0x00409d42 4   5    .text   ascii   wGt>
263  0x000091c8 0x00409dc8 5   6    .text   ascii   F\bPj\b
264  0x00009222 0x00409e22 7   9    .text   utf8    j Y+ȋE\b blocks=Basic Latin,Latin Extended-B
265  0x00009289 0x00409e89 4   6    .text   utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
266  0x0000931f 0x00409f1f 4   5    .text   ascii   QWWP
267  0x000093a1 0x00409fa1 4   5    .text   ascii   9:t\b
268  0x000093a8 0x00409fa8 4   5    .text   ascii   A98u
269  0x00009403 0x0040a003 5   7    .text   utf8    E\f2ɈM blocks=Basic Latin,Latin Extended-B
270  0x0000940b 0x0040a00b 4   5    .text   ascii   ?"u\r
271  0x000094f3 0x0040a0f3 10  11   .text   ascii   u\b< t3<\tt/
272  0x0000953c 0x0040a13c 5   6    .text   ascii   M\f_^[
273  0x0000965b 0x0040a25b 4   5    .text   ascii   =t7j
274  0x000096c1 0x0040a2c1 5   6    .text   ascii   PPPPP
