Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
101  0x00001e3b 0x00402a3b 4   7    UPX1    utf8    WϮ"L blocks=Basic Latin,Greek and Coptic
102  0x00001e4c 0x00402a4c 5   6    UPX1    ascii   W-^H~
103  0x00001e91 0x00402a91 4   5    UPX1    ascii   }qQ\n
104  0x00001f3c 0x00402b3c 5   6    UPX1    ascii   o{P7(
105  0x00001fac 0x00402bac 4   5    UPX1    ascii   :2~>
106  0x00002019 0x00402c19 4   5    UPX1    ascii   >{w)
107  0x00002043 0x00402c43 4   5    UPX1    ascii   IB{;
108  0x00002096 0x00402c96 4   5    UPX1    ascii   }iPk
109  0x000020e3 0x00402ce3 4   7    UPX1    utf8    {Wⱝ\r blocks=Basic Latin,Glagolitic
110  0x0000210a 0x00402d0a 5   6    UPX1    ascii   v\b\bBk
111  0x0000212b 0x00402d2b 4   6    UPX1    utf8    ߅4R[ blocks=NKo,Basic Latin
112  0x00002144 0x00402d44 4   5    UPX1    ascii   ?%L^
113  0x000021a3 0x00402da3 5   7    UPX1    utf8    ?Τy-> blocks=Basic Latin,Greek and Coptic
114  0x000021f8 0x00402df8 5   6    UPX1    ascii   O_=\t%
115  0x0000220d 0x00402e0d 5   6    UPX1    ascii   \vyc@\v
116  0x00002299 0x00402e99 4   5    UPX1    ascii   f]w1
117  0x000022c6 0x00402ec6 5   6    UPX1    ascii   5pX\f\b
118  0x000022fb 0x00402efb 5   6    UPX1    ascii   +6#P\v
119  0x00002318 0x00402f18 4   5    UPX1    ascii   tC4,
120  0x00002336 0x00402f36 5   6    UPX1    ascii   ~Kth|
121  0x00002353 0x00402f53 6   8    UPX1    utf8    S},pü4 blocks=Basic Latin,Latin-1 Supplement
122  0x000023c5 0x00402fc5 4   7    UPX1    utf8    隷5~f blocks=CJK Compatibility Ideographs,Basic Latin
123  0x00002479 0x00403079 4   6    UPX1    utf8    =IZͰ blocks=Basic Latin,Greek and Coptic
124  0x00002546 0x00403146 5   7    UPX1    utf8    ΟoE"/ blocks=Greek and Coptic,Basic Latin
125  0x00002620 0x00403220 4   5    UPX1    ascii   OYs 
126  0x0000263a 0x0040323a 5   6    UPX1    ascii   ckT`)
127  0x00002669 0x00403269 4   5    UPX1    ascii   b{A9
128  0x0000267a 0x0040327a 4   5    UPX1    ascii   ?}QQ
129  0x00002682 0x00403282 4   6    UPX1    utf8    ǈ^~# blocks=Latin Extended-B,Basic Latin
130  0x00002697 0x00403297 4   5    UPX1    ascii   ~5tE
131  0x000026bf 0x004032bf 4   5    UPX1    ascii   p\vs&
132  0x000026d0 0x004032d0 4   5    UPX1    ascii   >2t+
133  0x0000278d 0x0040338d 7   9    UPX1    utf8    g֫a>cv? blocks=Basic Latin,Hebrew
134  0x000027ad 0x004033ad 4   5    UPX1    ascii   r!P\b
135  0x000027cd 0x004033cd 5   6    UPX1    ascii   3bAJ4
136  0x000027ed 0x004033ed 4   5    UPX1    ascii   rhXM
137  0x00002818 0x00403418 4   5    UPX1    ascii   WA>K
138  0x00002826 0x00403426 4   5    UPX1    ascii   \r~k8
139  0x000028b7 0x004034b7 4   5    UPX1    ascii   \tixs
140  0x000028bc 0x004034bc 6   7    UPX1    ascii   +/>]Xx
141  0x000028d1 0x004034d1 6   8    UPX1    utf8    T:(Ъt* blocks=Basic Latin,Cyrillic
142  0x00002913 0x00403513 4   5    UPX1    ascii   {k@D
143  0x00002920 0x00403520 7   9    UPX1    utf8    x5`C\b!&
