Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1976 0x0001d569 0x0041e169 5   6    UPX1    ascii   7w^k?
1977 0x0001d584 0x0041e184 6   7    UPX1    ascii   >-+\e>l
1978 0x0001d5ba 0x0041e1ba 4   5    UPX1    ascii   F\v/@
1979 0x0001d5ec 0x0041e1ec 6   7    UPX1    ascii   y(j&%^
1980 0x0001d653 0x0041e253 4   5    UPX1    ascii   ~Vb1
1981 0x0001d65e 0x0041e25e 4   6    UPX1    utf8    ޘt/( blocks=Thaana,Basic Latin
1982 0x0001d66e 0x0041e26e 4   5    UPX1    ascii   3hH]
1983 0x0001d687 0x0041e287 4   5    UPX1    ascii   SHh6
1984 0x0001d6a2 0x0041e2a2 4   6    UPX1    utf8    kȘHl blocks=Basic Latin,Latin Extended-B
1985 0x0001d6ad 0x0041e2ad 4   6    UPX1    utf8    ̘0_> blocks=Combining Diacritical Marks,Basic Latin
1986 0x0001d6e4 0x0041e2e4 5   6    UPX1    ascii   C7,Sz
1987 0x0001d6ea 0x0041e2ea 4   5    UPX1    ascii   W-\t^
1988 0x0001d6f8 0x0041e2f8 4   6    UPX1    utf8    !xDы blocks=Basic Latin,Cyrillic
1989 0x0001d785 0x0041e385 5   6    UPX1    ascii   8\ahs@
1990 0x0001d7dd 0x0041e3dd 4   5    UPX1    ascii   s^}"
1991 0x0001d7f0 0x0041e3f0 4   5    UPX1    ascii   V^b3
1992 0x0001d867 0x0041e467 5   7    UPX1    utf8    >И\b$n blocks=Basic Latin,Cyrillic
1993 0x0001d8bb 0x0041e4bb 4   5    UPX1    ascii   $>?I
1994 0x0001d8d3 0x0041e4d3 4   5    UPX1    ascii   >fwC
1995 0x0001d8ff 0x0041e4ff 4   5    UPX1    ascii   uH?U
1996 0x0001d90a 0x0041e50a 7   10   UPX1    utf8    ėD>[uԈ0 blocks=Latin Extended-A,Basic Latin,Cyrillic Supplement
1997 0x0001d920 0x0041e520 4   5    UPX1    ascii   ~\nIx
1998 0x0001d934 0x0041e534 6   7    UPX1    ascii   ^kcC\rp
1999 0x0001d94a 0x0041e54a 5   6    UPX1    ascii   v^`dU
2000 0x0001d959 0x0041e559 4   5    UPX1    ascii   7RZv
2001 0x0001d9a6 0x0041e5a6 4   5    UPX1    ascii   ~sZ@
2002 0x0001d9f5 0x0041e5f5 4   6    UPX1    utf8    ޗ{fT blocks=Thaana,Basic Latin
2003 0x0001da1b 0x0041e61b 4   5    UPX1    ascii   2TD\r
2004 0x0001daa0 0x0041e6a0 4   6    UPX1    utf8    ;#ޏ[ blocks=Basic Latin,Thaana
2005 0x0001daeb 0x0041e6eb 4   5    UPX1    ascii   \R\v@
2006 0x0001daf0 0x0041e6f0 4   5    UPX1    ascii   dC_U
2007 0x0001db23 0x0041e723 5   7    UPX1    utf8    ߟE9UW blocks=NKo,Basic Latin
2008 0x0001db39 0x0041e739 5   6    UPX1    ascii   b\vsi\e
2009 0x0001db46 0x0041e746 4   5    UPX1    ascii   ^x=,
2010 0x0001db4e 0x0041e74e 4   5    UPX1    ascii   _=YN
2011 0x0001dbac 0x0041e7ac 5   6    UPX1    ascii   RQ~_O
2012 0x0001dc0d 0x0041e80d 4   7    UPX1    utf8    !U>侷 blocks=Basic Latin,CJK Unified Ideographs
2013 0x0001dc68 0x0041e868 4   5    UPX1    ascii   _+(V
2014 0x0001dc96 0x0041e896 8   10   UPX1    utf8    ~^T ~D([
2015 0x0001dcf3 0x0041e8f3 5   6    UPX1    ascii   f]&HN
2016 0x0001dd1b 0x0041e91b 4   5    UPX1    ascii   zmLD
2017 0x0001dd2a 0x0041e92a 4   5    UPX1    ascii   5;ec
2018 0x0001dd53 0x0041e953 5   7    UPX1    utf8    _~ߩGB blocks=Basic Latin,NKo
2019 0x0001ddc6 0x0041e9c6 5   7    UPX1    utf8    ܴ\f\b,, blocks=Syriac,Basic Latin
2020 0x0001ddd5 0x0041e9d5 4   5    UPX1    ascii   ?;'O
2021 0x0001de21 0x0041ea21 5   6    UPX1    ascii   JFhlL
2022 0x0001de35 0x0041ea35 4   5    UPX1    ascii   XxOA
2023 0x0001de5e 0x0041ea5e 4   7    UPX1    utf8    Xwr㾐 blocks=Basic Latin,CJK Unified Ideographs Extension A
2024 0x0001de95 0x0041ea95 4   5    UPX1    ascii   +/Kf
2025 0x0001de9e 0x0041ea9e 5   6    UPX1    ascii   IMFC_
2026 0x0001ded7 0x0041ead7 4   5    UPX1    ascii   $.R\a
2027 0x0001df3b 0x0041eb3b 5   6    UPX1    ascii   ^35@~
2028 0x0001df51 0x0041eb51 5   6    UPX1    ascii   p.$dz
2029 0x0001dfbb 0x0041ebbb 4   5    UPX1    ascii   Dv7o
2030 0x0001dfc1 0x0041ebc1 6   9    UPX1    utf8    %pVT&͞ blocks=Basic Latin,Combining Diacritical Marks
2031 0x0001dfd9 0x0041ebd9 5   8    UPX1    utf8    ~(@ņn blocks=Basic Latin,Latin Extended-A
2032 0x0001dfe5 0x0041ebe5 4   5    UPX1    ascii   O6#E
2033 0x0001e038 0x0041ec38 4   5    UPX1    ascii   ] ~0
2034 0x0001e0ae 0x0041ecae 4   5    UPX1    ascii   >#D/
2035 0x0001e0c9 0x0041ecc9 5   6    UPX1    ascii   ?~,q'
2036 0x0001e0d3 0x0041ecd3 5   6    UPX1    ascii   I~_\b2
2037 0x0001e0e7 0x0041ece7 4   6    UPX1    utf8    ҈`hb blocks=Cyrillic,Basic Latin
2038 0x0001e0ef 0x0041ecef 4   5    UPX1    ascii   KV^4
2039 0x0001e106 0x0041ed06 5   6    UPX1    ascii   %+LP8
2040 0x0001e11e 0x0041ed1e 4   7    UPX1    utf8    ?_H㗬 blocks=Basic Latin,CJK Unified Ideographs Extension A
2041 0x0001e139 0x0041ed39 5   6    UPX1    ascii   I6'.E
2042 0x0001e159 0x0041ed59 4   5    UPX1    ascii   P>\r}
2043 0x0001e16c 0x0041ed6c 4   5    UPX1    ascii   \ex`>
2044 0x0001e1da 0x0041edda 4   6    UPX1    utf8    ϒ~E@ blocks=Greek and Coptic,Basic Latin
2045 0x0001e1f1 0x0041edf1 5   6    UPX1    ascii   M0h)C
2046 0x0001e2d2 0x0041eed2 5   6    UPX1    ascii   \bo6Mr
2047 0x0001e2e8 0x0041eee8 6   7    UPX1    ascii   XrZBB%
2048 0x0001e32e 0x0041ef2e 5   6    UPX1    ascii   ^Y9y 
2049 0x0001e342 0x0041ef42 5   6    UPX1    ascii   kP*4(
2050 0x0001e360 0x0041ef60 4   7    UPX1    utf8    Wޮ~ð blocks=Basic Latin,Thaana,Latin-1 Supplement
2051 0x0001e36e 0x0041ef6e 5   7    UPX1    utf8    ҩZ^cR blocks=Cyrillic,Basic Latin
2052 0x0001e384 0x0041ef84 6   7    UPX1    ascii   :^e!44
2053 0x0001e3c0 0x0041efc0 4   5    UPX1    ascii   UHzC
2054 0x0001e44a 0x0041f04a 4   5    UPX1    ascii   kj~f
2055 0x0001e4aa 0x0041f0aa 4   5    UPX1    ascii   ^hM|
2056 0x0001e4b6 0x0041f0b6 6   8    UPX1    utf8    Yݪ'\t#> blocks=Basic Latin,Arabic Supplement
2057 0x0001e4e4 0x0041f0e4 5   6    UPX1    ascii   OieL"
2058 0x0001e53f 0x0041f13f 5   6    UPX1    ascii   }~!Si
2059 0x0001e560 0x0041f160 4   6    UPX1    utf8    y!\ް blocks=Basic Latin,Thaana
2060 0x0001e58d 0x0041f18d 5   6    UPX1    ascii   Zayc\v
2061 0x0001e5ca 0x0041f1ca 4   5    UPX1    ascii   Vf6x
2062 0x0001e5d0 0x0041f1d0 4   5    UPX1    ascii   -`d>
2063 0x0001e6de 0x0041f2de 4   5    UPX1    ascii   P`^h
2064 0x0001e70b 0x0041f30b 5   7    UPX1    utf8    KҸ\g\a blocks=Basic Latin,Cyrillic
2065 0x0001e79c 0x0041f39c 4   5    UPX1    ascii   ^Diu
2066 0x0001e7cf 0x0041f3cf 5   6    UPX1    ascii   >RX-a
2067 0x0001e855 0x0041f455 6   7    UPX1    ascii   _^o'\n{
2068 0x0001e884 0x0041f484 4   6    UPX1    utf8    jA]ͣ blocks=Basic Latin,Combining Diacritical Marks
2069 0x0001e8b1 0x0041f4b1 4   6    UPX1    utf8    ۸TK^ blocks=Arabic,Basic Latin
2070 0x0001e94f 0x0041f54f 4   6    UPX1    utf8    HD{ش blocks=Basic Latin,Arabic
2071 0x0001e961 0x0041f561 4   5    UPX1    ascii   /h\^
2072 0x0001e96a 0x0041f56a 6   8    UPX1    utf8    6ʴ_sU< blocks=Basic Latin,Spacing Modifier Letters
2073 0x0001e97c 0x0041f57c 6   7    UPX1    ascii   \rh?$>i
2074 0x0001e9ea 0x0041f5ea 4   5    UPX1    ascii   /6^Z
2075 0x0001e9f0 0x0041f5f0 4   5    UPX1    ascii   Pc.@
2076 0x0001ea1b 0x0041f61b 5   6    UPX1    ascii   &FZ3{
2077 0x0001ea32 0x0041f632 4   6    UPX1    utf8    8ިk] blocks=Basic Latin,Thaana
2078 0x0001ea4d 0x0041f64d 6   8    UPX1    utf8    v\n٘,\nE blocks=Basic Latin,Arabic
2079 0x0001ea5d 0x0041f65d 4   6    UPX1    utf8    О`>) blocks=Cyrillic,Basic Latin
2080 0x0001ea78 0x0041f678 6   7    UPX1    ascii   ?r3;n\b
2081 0x0001ea99 0x0041f699 5   6    UPX1    ascii   x&f?$
2082 0x0001eac1 0x0041f6c1 8   9    UPX1    ascii   {e' 6o |
2083 0x0001eb2f 0x0041f72f 5   6    UPX1    ascii   A\n_~x
2084 0x0001ebdb 0x0041f7db 4   5    UPX1    ascii   'Q~d
2085 0x0001ebe3 0x0041f7e3 5   6    UPX1    ascii   ^ SB7
2086 0x0001ec7c 0x0041f87c 4   5    UPX1    ascii   F"{x
2087 0x0001ec82 0x0041f882 4   5    UPX1    ascii   #+|%
2088 0x0001ec8b 0x0041f88b 4   7    UPX1    utf8    휍>/4 blocks=Hangul Syllables,Basic Latin
2089 0x0001eca4 0x0041f8a4 5   6    UPX1    ascii   dVCiU
2090 0x0001ecba 0x0041f8ba 6   8    UPX1    utf8    ["~ގ"~ blocks=Basic Latin,Thaana
2091 0x0001ed6f 0x0041f96f 5   6    UPX1    ascii   t"SP'
2092 0x0001edae 0x0041f9ae 4   5    UPX1    ascii   JJSp
2093 0x0001ee17 0x0041fa17 4   5    UPX1    ascii   A]~o
2094 0x0001ee1e 0x0041fa1e 5   6    UPX1    ascii   DSI>~
2095 0x0001ee56 0x0041fa56 5   6    UPX1    ascii   f~ Kh
2096 0x0001ee5e 0x0041fa5e 4   5    UPX1    ascii   ^!=f
2097 0x0001ee66 0x0041fa66 5   6    UPX1    ascii   rV?>a
2098 0x0001ee97 0x0041fa97 7   8    UPX1    ascii   Da]\f}Wl
2099 0x0001eec5 0x0041fac5 5   8    UPX1    utf8    ֶ4k¤* blocks=Hebrew,Basic Latin,Latin-1 Supplement
2100 0x0001eed0 0x0041fad0 4   6    UPX1    utf8    X߶rt blocks=Basic Latin,NKo
2101 0x0001eeed 0x0041faed 6   7    UPX1    ascii   >u6cI\r
2102 0x0001ef9b 0x0041fb9b 4   5    UPX1    ascii   \f48f
2103 0x0001efb1 0x0041fbb1 4   5    UPX1    ascii   DN~>
2104 0x0001f08f 0x0041fc8f 4   5    UPX1    ascii   \b~~n
2105 0x0001f0f2 0x0041fcf2 4   5    UPX1    ascii   ;~&`
2106 0x0001f1c4 0x0041fdc4 5   6    UPX1    ascii   mB4M\a
2107 0x0001f263 0x0041fe63 5   6    UPX1    ascii   b^4~5
2108 0x0001f27e 0x0041fe7e 4   5    UPX1    ascii   -mlF
2109 0x0001f2ac 0x0041feac 4   5    UPX1    ascii   {2O&
2110 0x0001f2c2 0x0041fec2 5   6    UPX1    ascii   y.'4\r
2111 0x0001f2f5 0x0041fef5 8   10   UPX1    utf8    K]ޚO!O6v blocks=Basic Latin,Thaana
2112 0x0001f302 0x0041ff02 5   6    UPX1    ascii   GBFJh
2113 0x0001f374 0x0041ff74 7   8    UPX1    ascii   \rL>GHS\b
2114 0x0001f3a9 0x0041ffa9 4   7    UPX1    utf8    4乜@r blocks=Basic Latin,CJK Unified Ideographs
2115 0x0001f3dd 0x0041ffdd 4   5    UPX1    ascii   Qx!/
2116 0x0001f3e2 0x0041ffe2 5   6    UPX1    ascii   \b?\f@h
2117 0x0001f3ea 0x0041ffea 6   7    UPX1    ascii   Q!>>^?
2118 0x0001f46b 0x0042006b 4   6    UPX1    utf8    ҅PH^ blocks=Cyrillic,Basic Latin
2119 0x0001f4c3 0x004200c3 4   5    UPX1    ascii   ;{\f@
2120 0x0001f573 0x00420173 4   6    UPX1    utf8    BڐF; blocks=Basic Latin,Arabic
2121 0x0001f62b 0x0042022b 4   6    UPX1    utf8    2ZCӻ blocks=Basic Latin,Cyrillic
2122 0x0001f644 0x00420244 5   6    UPX1    ascii   <?_=}
2123 0x0001f699 0x00420299 4   5    UPX1    ascii   K\eX*
2124 0x0001f6cf 0x004202cf 5   7    UPX1    utf8    ͪ&\b>< blocks=Combining Diacritical Marks,Basic Latin
2125 0x0001f6e7 0x004202e7 4   6    UPX1    utf8    f\nޖ_ blocks=Basic Latin,Thaana
2126 0x0001f6ed 0x004202ed 5   6    UPX1    ascii   YU\f(^
2127 0x0001f6f4 0x004202f4 7   9    UPX1    utf8    \nq-I½F1 blocks=Basic Latin,Latin-1 Supplement
2128 0x0001f717 0x00420317 6   7    UPX1    ascii   fDbPk\b
2129 0x0001f769 0x00420369 4   5    UPX1    ascii   ^\v?h
2130 0x0001f791 0x00420391 4   5    UPX1    ascii   '%&~
2131 0x0001f7a6 0x004203a6 4   5    UPX1    ascii   ~M@>
2132 0x0001f80c 0x0042040c 4   5    UPX1    ascii   JSkT
2133 0x0001f8a1 0x004204a1 4   5    UPX1    ascii   8g1s
2134 0x0001f918 0x00420518 4   5    UPX1    ascii   \e\bym
2135 0x0001f924 0x00420524 4   5    UPX1    ascii   ~g\np
2136 0x0001f941 0x00420541 4   5    UPX1    ascii   x~\r/
2137 0x0001f949 0x00420549 4   5    UPX1    ascii   WChl
2138 0x0001f961 0x00420561 4   5    UPX1    ascii   nIX(
2139 0x0001f9ff 0x004205ff 6   8    UPX1    utf8    ~Р-|?X blocks=Basic Latin,Cyrillic
2140 0x0001fa31 0x00420631 5   6    UPX1    ascii   ]H1[^
2141 0x0001fa8b 0x0042068b 4   5    UPX1    ascii   X-^!
2142 0x0001fac7 0x004206c7 4   5    UPX1    ascii   {U@F
2143 0x0001fad2 0x004206d2 8   9    UPX1    ascii   ?0^x\f0x?
2144 0x0001fadd 0x004206dd 4   5    UPX1    ascii   K >q
2145 0x0001fb1d 0x0042071d 4   5    UPX1    ascii   s]X>
2146 0x0001fb5e 0x0042075e 5   6    UPX1    ascii   ^c0Dz
2147 0x0001fb72 0x00420772 4   6    UPX1    utf8    >ެC[ blocks=Basic Latin,Thaana
2148 0x0001fbba 0x004207ba 5   7    UPX1    utf8    O̐v?_ blocks=Basic Latin,Combining Diacritical Marks
2149 0x0001fbe7 0x004207e7 7   10   UPX1    utf8    q>v⧖p^~ blocks=Basic Latin,Miscellaneous Mathematical Symbols-B
2150 0x0001fc01 0x00420801 4   5    UPX1    ascii   `~*q
2151 0x0001fc07 0x00420807 6   8    UPX1    utf8    \n)adޞT blocks=Basic Latin,Thaana
2152 0x0001fc48 0x00420848 4   5    UPX1    ascii   z{y9
2153 0x0001fc4f 0x0042084f 6   8    UPX1    utf8    sʊZ>]  blocks=Basic Latin,IPA Extensions
2154 0x0001fcaa 0x004208aa 6   7    UPX1    ascii   =#>P\aK
2155 0x0001fcbc 0x004208bc 5   6    UPX1    ascii   ~";\t<
2156 0x0001fd10 0x00420910 4   5    UPX1    ascii   636^
2157 0x0001fd48 0x00420948 4   5    UPX1    ascii   +~x/
2158 0x0001fd9f 0x0042099f 5   6    UPX1    ascii   V~f\nk
2159 0x0001fda7 0x004209a7 5   6    UPX1    ascii   ~^k\tN
2160 0x0001fdde 0x004209de 5   7    UPX1    utf8    Bݦ4>? blocks=Basic Latin,Arabic Supplement
2161 0x0001fe19 0x00420a19 5   7    UPX1    utf8    mDEÿ7 blocks=Basic Latin,Latin-1 Supplement
2162 0x0001fe6a 0x00420a6a 4   5    UPX1    ascii   EX~1
2163 0x0001fe84 0x00420a84 4   5    UPX1    ascii   $P@w
2164 0x0001feec 0x00420aec 4   5    UPX1    ascii   }\5^
2165 0x0001ff38 0x00420b38 5   6    UPX1    ascii   ux$m=
2166 0x0001ffc8 0x00420bc8 4   5    UPX1    ascii   ra,x
2167 0x0001ffe0 0x00420be0 4   5    UPX1    ascii   >C6,
2168 0x0001ffea 0x00420bea 4   5    UPX1    ascii   +C\fe
2169 0x00020013 0x00420c13 7   8    UPX1    ascii   q^H~5y!
2170 0x0002006e 0x00420c6e 4   5    UPX1    ascii   Q\b?Q
2171 0x00020144 0x00420d44 4   5    UPX1    ascii   t/\b0
2172 0x000201c6 0x00420dc6 4   5    UPX1    ascii   X.t=
2173 0x000201f8 0x00420df8 4   5    UPX1    ascii   &@+#
2174 0x0002020d 0x00420e0d 5   6    UPX1    ascii   !=4*>
2175 0x00020228 0x00420e28 5   6    UPX1    ascii   %P\vvJ
2176 0x00020237 0x00420e37 4   5    UPX1    ascii   +Q^b
2177 0x0002024e 0x00420e4e 5   6    UPX1    ascii   E,x!p
2178 0x000202b7 0x00420eb7 5   7    UPX1    utf8    ~>ǵP> blocks=Basic Latin,Latin Extended-B
2179 0x0002034a 0x00420f4a 4   5    UPX1    ascii   ZwxN
2180 0x0002038a 0x00420f8a 5   6    UPX1    ascii    ?^I!
2181 0x000203cd 0x00420fcd 4   5    UPX1    ascii   Y^Hl
2182 0x000203f7 0x00420ff7 5   6    UPX1    ascii   +\ah]A
2183 0x0002040a 0x0042100a 5   6    UPX1    ascii   ~Hq>J
2184 0x00020412 0x00421012 5   6    UPX1    ascii   {.{J9
2185 0x00020438 0x00421038 6   7    UPX1    ascii   Pf\b7[~
2186 0x00020462 0x00421062 5   6    UPX1    ascii   Sc7xZ
2187 0x00020479 0x00421079 5   6    UPX1    ascii   zeXN\v
2188 0x00020491 0x00421091 4   6    UPX1    utf8    \t/>ϋ blocks=Basic Latin,Greek and Coptic
2189 0x00020497 0x00421097 5   7    UPX1    utf8    )~HȤO blocks=Basic Latin,Latin Extended-B
2190 0x000204b8 0x004210b8 8   9    UPX1    ascii   zG)S{9ut
2191 0x0002057e 0x0042117e 4   6    UPX1    utf8    Ц3_& blocks=Cyrillic,Basic Latin
2192 0x00020584 0x00421184 6   7    UPX1    ascii   .os`x3
2193 0x000205a4 0x004211a4 7   9    UPX1    utf8    \fޛ(QLJx blocks=Basic Latin,Thaana
2194 0x000205cc 0x004211cc 5   6    UPX1    ascii   0?\fg+
2195 0x000205d4 0x004211d4 6   7    UPX1    ascii   ~]D\t_~
2196 0x000205fa 0x004211fa 5   6    UPX1    ascii   (>D6X
2197 0x00020618 0x00421218 4   6    UPX1    utf8    ^J£d blocks=Basic Latin,Latin-1 Supplement
2198 0x00020633 0x00421233 5   7    UPX1    utf8    R:*\tÉ blocks=Basic Latin,Latin-1 Supplement
2199 0x00020643 0x00421243 4   5    UPX1    ascii   Cd%J
2200 0x000206a7 0x004212a7 5   6    UPX1    ascii   UH>42
2201 0x0002077a 0x0042137a 4   5    UPX1    ascii   RkS`
2202 0x0002082b 0x0042142b 4   5    UPX1    ascii   ^0!\e
2203 0x00020868 0x00421468 4   5    UPX1    ascii   ^\fS?
2204 0x000208cf 0x004214cf 4   5    UPX1    ascii   %h"6
2205 0x000208e8 0x004214e8 5   7    UPX1    utf8    nн>(q blocks=Basic Latin,Cyrillic
2206 0x000208f9 0x004214f9 5   6    UPX1    ascii   RC\bD_
2207 0x000208ff 0x004214ff 5   6    UPX1    ascii   }>$\e 
2208 0x00020910 0x00421510 7   9    UPX1    utf8    \f#8ADp؈ blocks=Basic Latin,Arabic
2209 0x00020946 0x00421546 4   5    UPX1    ascii   G&~i
2210 0x0002096a 0x0042156a 4   5    UPX1    ascii   ^En~
2211 0x00020985 0x00421585 4   5    UPX1    ascii   ~\t-\b
2212 0x00020a14 0x00421614 5   7    UPX1    utf8    Є\rR*> blocks=Cyrillic,Basic Latin
2213 0x00020a56 0x00421656 4   6    UPX1    utf8    <OϠp blocks=Basic Latin,Greek and Coptic
2214 0x00020a63 0x00421663 4   6    UPX1    utf8    4ɫr' blocks=Basic Latin,IPA Extensions
2215 0x00020a78 0x00421678 4   6    UPX1    utf8    أ-_y blocks=Arabic,Basic Latin
2216 0x00020a92 0x00421692 5   6    UPX1    ascii   `^32D
2217 0x00020af1 0x004216f1 5   6    UPX1    ascii   F#04u
2218 0x00020b04 0x00421704 8   9    UPX1    ascii   #~9z4>;`
2219 0x00020b47 0x00421747 4   5    UPX1    ascii   h~q@
2220 0x00020b55 0x00421755 4   5    UPX1    ascii   A9e?
2221 0x00020b71 0x00421771 4   5    UPX1    ascii   /\r>P
2222 0x00020b7b 0x0042177b 4   5    UPX1    ascii   j\e0>
2223 0x00020b86 0x00421786 5   6    UPX1    ascii   O\b3^=
2224 0x00020ba8 0x004217a8 5   6    UPX1    ascii   3{\v|e
2225 0x00020bee 0x004217ee 4   5    UPX1    ascii   ? y\t
2226 0x00020cc2 0x004218c2 4   5    UPX1    ascii   \v>9}
2227 0x00020cd1 0x004218d1 5   6    UPX1    ascii   ~;u7\e
2228 0x00020d06 0x00421906 4   5    UPX1    ascii   E0_V
2229 0x00020d12 0x00421912 5   6    UPX1    ascii   4M+_Y
2230 0x00020d3e 0x0042193e 4   5    UPX1    ascii   >.\eM
2231 0x00020d51 0x00421951 4   5    UPX1    ascii   6f^l
2232 0x00020e39 0x00421a39 4   5    UPX1    ascii   ^d='
2233 0x00020e4c 0x00421a4c 6   8    UPX1    utf8    'A>PZf
2234 0x00020ee9 0x00421ae9 6   7    UPX1    ascii   -0^\eE:
2235 0x00020f0e 0x00421b0e 6   7    UPX1    ascii   dJ^H|\r
2236 0x00020f1e 0x00421b1e 4   6    UPX1    utf8    ݨ:0~ blocks=Arabic Supplement,Basic Latin
2237 0x00020fd0 0x00421bd0 6   7    UPX1    ascii   (^k]T/
2238 0x00020feb 0x00421beb 4   5    UPX1    ascii   $~k\a
2239 0x00020ffd 0x00421bfd 8   10   UPX1    utf8    E>Ÿc(~S> blocks=Basic Latin,Latin Extended-A
2240 0x0002106c 0x00421c6c 4   5    UPX1    ascii   fH\a_
2241 0x00021086 0x00421c86 11  12   UPX1    ascii   ;SIm(\a!8^L^
2242 0x000210e6 0x00421ce6 6   8    UPX1    utf8    ~5{h'ٍ blocks=Basic Latin,Arabic
2243 0x0002114f 0x00421d4f 7   8    UPX1    ascii   }pX^f\e4
2244 0x0002116a 0x00421d6a 5   6    UPX1    ascii   x_"9~
2245 0x00021190 0x00421d90 5   7    UPX1    utf8    hmh?ב blocks=Basic Latin,Hebrew
2246 0x000211c6 0x00421dc6 5   7    UPX1    utf8    İ>)?h blocks=Latin Extended-A,Basic Latin
2247 0x0002121c 0x00421e1c 4   5    UPX1    ascii   ~*sH
2248 0x000212aa 0x00421eaa 4   6    UPX1    utf8    ݃\rph blocks=Syriac,Basic Latin
2249 0x000212c0 0x00421ec0 6   7    UPX1    ascii   p~V\nZ@
2250 0x000212cb 0x00421ecb 5   6    UPX1    ascii   \b.kCm
2251 0x00021307 0x00421f07 4   5    UPX1    ascii   ]?l^
2252 0x0002130d 0x00421f0d 5   7    UPX1    utf8    Ƙj>\b\e blocks=Latin Extended-B,Basic Latin
2253 0x0002134e 0x00421f4e 5   6    UPX1    ascii   l\e^$c
2254 0x000213b1 0x00421fb1 5   6    UPX1    ascii   Mu$&S
2255 0x000213b7 0x00421fb7 4   5    UPX1    ascii   X~hM
2256 0x000213f5 0x00421ff5 5   6    UPX1    ascii   VTdx+
2257 0x00021423 0x00422023 6   7    UPX1    ascii   *6t2vO
2258 0x00021432 0x00422032 4   5    UPX1    ascii   I|s^
2259 0x00021442 0x00422042 5   7    UPX1    utf8    Rв_<q blocks=Basic Latin,Cyrillic
2260 0x00021480 0x00422080 4   5    UPX1    ascii   \a\vs!
2261 0x00021535 0x00422135 4   5    UPX1    ascii   \r|;\e
2262 0x0002157a 0x0042217a 4   5    UPX1    ascii   q`~?
2263 0x0002159c 0x0042219c 4   5    UPX1    ascii   ^"_K
2264 0x000215a5 0x004221a5 6   7    UPX1    ascii   P^s>\vx
2265 0x000215c2 0x004221c2 4   5    UPX1    ascii   -_mU
2266 0x000215d8 0x004221d8 4   6    UPX1    utf8    4!۴\b blocks=Basic Latin,Arabic
2267 0x0002160b 0x0042220b 4   5    UPX1    ascii   Zax-
2268 0x000216a6 0x004222a6 4   7    UPX1    utf8    \e4"舶 blocks=Basic Latin,CJK Unified Ideographs
2269 0x000216c3 0x004222c3 4   5    UPX1    ascii   EK>c
2270 0x000216d6 0x004222d6 5   6    UPX1    ascii   {`~Iw
2271 0x000217c0 0x004223c0 4   5    UPX1    ascii   c.}>
2272 0x000217d8 0x004223d8 4   5    UPX1    ascii   ^6x/
2273 0x000217f8 0x004223f8 4   5    UPX1    ascii   @d{#
2274 0x00021813 0x00422413 4   5    UPX1    ascii   O}BB
2275 0x00021818 0x00422418 4   5    UPX1    ascii   ^s>~
2276 0x00021866 0x00422466 4   5    UPX1    ascii   yhL$
2277 0x0002188f 0x0042248f 4   5    UPX1    ascii   P~G\b
2278 0x0002189b 0x0042249b 4   5    UPX1    ascii   nSx\b
2279 0x000218c9 0x004224c9 4   6    UPX1    utf8    ,]>Ĕ blocks=Basic Latin,Latin Extended-A
2280 0x000218cf 0x004224cf 5   8    UPX1    utf8    ޅR`1h blocks=Thaana,Basic Latin
2281 0x000218fc 0x004224fc 6   7    UPX1    ascii   &QlB<^
2282 0x0002192b 0x0042252b 5   6    UPX1    ascii   x\b[CX
2283 0x00021937 0x00422537 5   8    UPX1    utf8    ۀ8æ#^ blocks=Arabic,Basic Latin,Latin-1 Supplement
2284 0x0002197b 0x0042257b 4   6    UPX1    utf8    Dl&@
2285 0x000219b6 0x004225b6 4   6    UPX1    utf8    nR͞\n blocks=Basic Latin,Combining Diacritical Marks
2286 0x00021ac4 0x004226c4 4   6    UPX1    utf8    ڡNo  blocks=Arabic,Basic Latin
2287 0x00021b31 0x00422731 6   8    UPX1    utf8    Ŧ_n,>j blocks=Latin Extended-A,Basic Latin
2288 0x00021b4d 0x0042274d 4   5    UPX1    ascii   HN~\
2289 0x00021c27 0x00422827 5   7    UPX1    utf8    pZ#Ȧy blocks=Basic Latin,Latin Extended-B
2290 0x00021c6e 0x0042286e 4   5    UPX1    ascii   YF`b
2291 0x00021cd5 0x004228d5 7   10   UPX1    utf8    &(ߋ~>^، blocks=Basic Latin,NKo,Arabic
2292 0x00021ce5 0x004228e5 5   6    UPX1    ascii   P'~\vM
2293 0x00021cef 0x004228ef 5   7    UPX1    utf8    ^{>ȣ~ blocks=Basic Latin,Latin Extended-B
2294 0x00021d1e 0x0042291e 4   6    UPX1    utf8    mލ?2 blocks=Basic Latin,Thaana
2295 0x00021d26 0x00422926 4   6    UPX1    utf8    ~9˨_ blocks=Basic Latin,Spacing Modifier Letters
2296 0x00021d48 0x00422948 4   5    UPX1    ascii   f\erp
2297 0x00021d6f 0x0042296f 4   5    UPX1    ascii   .x\f<
2298 0x00021dc5 0x004229c5 8   10   UPX1    utf8    {f(^HyhՄ blocks=Basic Latin,Armenian
2299 0x00021e51 0x00422a51 4   5    UPX1    ascii   $?~\
2300 0x00021e87 0x00422a87 6   9    UPX1    utf8    (t-뗴\nQ blocks=Basic Latin,Hangul Syllables
