[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
155  0x00001250 0x00402050 10  11   .text   ascii   uleHandlPH
156  0x0000125d 0x0040205d 8   9    .text   ascii   GetModPH
157  0x00001266 0x00402066 6   7    .text   ascii   tError
158  0x00001273 0x00402073 8   9    .text   ascii   GetLasPH
159  0x0000127c 0x0040207c 6   7    .text   ascii   readId
160  0x00001287 0x00402087 10  11   .text   ascii   urrentThPH
161  0x00001296 0x00402096 6   7    .text   ascii   GetCPH
162  0x0000129d 0x0040209d 10  11   .text   ascii   ProcessIPH
163  0x000012a8 0x004020a8 10  11   .text   ascii   tCurrentPH
164  0x000012b9 0x004020b9 4   5    .text   ascii   GePH
165  0x000012be 0x004020be 10  11   .text   ascii   rentProcPH
166  0x000012cb 0x004020cb 8   9    .text   ascii   GetCurPH
167  0x000012d4 0x004020d4 7   8    .text   ascii   Library
168  0x000012e3 0x004020e3 6   7    .text   ascii   FreePH
169  0x000012ea 0x004020ea 10  11   .text   ascii   eeConsolPH
170  0x000012fb 0x004020fb 4   5    .text   ascii   FrPH
171  0x00001300 0x00402100 10  11   .text   ascii   calSectiPH
172  0x0000130b 0x0040210b 10  11   .text   ascii   terCritiPH
173  0x0000131c 0x0040211c 4   5    .text   ascii   EnPH
174  0x00001321 0x00402121 10  11   .text   ascii   icalSectPH
175  0x0000132c 0x0040212c 10  11   .text   ascii   leteCritPH
176  0x00001d86 0x00402b86 7   8    .text   ascii   b\f0\v`PH
177  0x00001e33 0x00402c33 10  11   .text   ascii   \f0\v`\np\tPPH
178  0x00001e49 0x00402c49 5   6    .text   ascii   \vp\nP\t
179  0x00001e58 0x00402c58 6   7    .text   ascii   \r0\f`PH
180  0x00001e79 0x00402c79 6   7    .text   ascii   \v0\n`PH
181  0x00001ea1 0x00402ca1 10  11   .text   ascii   \f0\v`\np\tPPH
182  0x00001ec2 0x00402cc2 10  11   .text   ascii   \f0\v`\np\tPPH
183  0x00001eee 0x00402cee 5   6    .text   ascii   \np\tP\b
184  0x00001efd 0x00402cfd 6   7    .text   ascii   \f0\v`PH
185  0x00001f27 0x00402d27 8   9    .text   ascii   \f0\v`\npPH
186  0x00001f51 0x00402d51 5   6    .text   ascii   \np\tP\b
187  0x00001f60 0x00402d60 6   7    .text   ascii   \f0\v`PH
188  0x00001f7d 0x00402d7d 10  11   .text   ascii   \f0\v`\np\tPPH
189  0x00001f9e 0x00402d9e 4   5    .text   ascii   \b0\a`
190  0x00001fd5 0x00402dd5 10  11   .text   ascii   \f0\v`\np\tPPH
191  0x0000200c 0x00402e0c 5   6    .text   ascii   \np\tP\b
192  0x0000201b 0x00402e1b 6   7    .text   ascii   \f0\v`PH
193  0x0000202d 0x00402e2d 5   6    .text   ascii   \np\tP\b
194  0x0000203c 0x00402e3c 6   7    .text   ascii   \f0\v`PH
195  0x0000204e 0x00402e4e 5   6    .text   ascii   \np\tP\b
196  0x0000205d 0x00402e5d 6   7    .text   ascii   \f0\v`PH
197  0x000020c7 0x00402ec7 5   6    .text   ascii   \np\tP\b
198  0x000020d6 0x00402ed6 6   7    .text   ascii   \f0\v`PH
199  0x000020e8 0x00402ee8 5   6    .text   ascii   \np\tP\b
200  0x000020f7 0x00402ef7 6   7    .text   ascii   \f0\v`PH
201  0x00002182 0x00402f82 10  11   .text   ascii   \f0\v`\np\tPPH
202  0x000021f0 0x00402ff0 6   7    .text   ascii   \t0\b`\ap
203  0x00002211 0x00403011 7   8    .text   ascii   \v0\n`\tp\b
204  0x00002232 0x00403032 10  11   .text   ascii   \f0\v`\np\tPPH
205  0x00002255 0x00403055 8   9    .text   ascii   \v0\n`\tpPH
206  0x00002269 0x00403069 5   6    .text   ascii   \np\tP\b
207  0x00002278 0x00403078 6   7    .text   ascii   \f0\v`PH
208  0x00002387 0x00403187 10  11   .text   ascii   \f0\v`\np\tPPH
209  0x000023a8 0x004031a8 5   6    .text   ascii   \np\tP\b
210  0x000023b7 0x004031b7 6   7    .text   ascii   \f0\v`PH
211  0x00002416 0x00403216 5   6    .text   ascii   \np\tP\b
212  0x00002425 0x00403225 6   7    .text   ascii   \f0\v`PH
