Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
206  0x00005bd1 0x004067d1 4   5    .text   ascii   D$*P
207  0x00005bd7 0x004067d7 5   6    .text   ascii   D$,Ph
208  0x00005be2 0x004067e2 4   5    .text   ascii   D$th
209  0x00005c0a 0x0040680a 8   9    .text   ascii   D$8movej
210  0x00005c2b 0x0040682b 4   5    .text   ascii   D$<P
211  0x00005c97 0x00406897 4   5    .text   ascii   _^[3
212  0x00005d10 0x00406910 5   6    .text   ascii   SVWh$
213  0x00005dc7 0x004069c7 4   5    .text   ascii   _^[3
214  0x00005eb7 0x00406ab7 5   6    .text   ascii   Ph$9B
215  0x00005f03 0x00406b03 4   6    .text   utf8    Y3\vM
216  0x00005f54 0x00406b54 4   5    .text   ascii   Wj&P
217  0x000060a2 0x00406ca2 4   5    .text   ascii   _^[3
218  0x0000612b 0x00406d2b 4   6    .text   utf8    \a3\vM
219  0x0000622e 0x00406e2e 4   5    .text   ascii   _^[]
220  0x00006246 0x00406e46 4   6    .text   utf8    SV3\v
221  0x000062ab 0x00406eab 5   6    .text   ascii   200 f
222  0x00006377 0x00406f77 4   7    .text   utf8    P W襮 blocks=Basic Latin,CJK Unified Ideographs
223  0x0000641b 0x0040701b 4   5    .text   ascii   j@WP
224  0x000064f4 0x004070f4 4   5    .text   ascii   hjhB
225  0x000064f9 0x004070f9 4   5    .text   ascii   hLhB
226  0x0000652e 0x0040712e 5   6    .text   ascii   WWWWP
227  0x0000659b 0x0040719b 6   7    .text   ascii   PPh(:B
228  0x000065ae 0x004071ae 4   5    .text   ascii   h4:B
229  0x000065d1 0x004071d1 4   5    .text   ascii   PPPP
230  0x0000665e 0x0040725e 5   6    .text   ascii   E\bSVW
231  0x000067b1 0x004073b1 6   7    .text   ascii   u\vhl8B
232  0x0000680d 0x0040740d 5   6    .text   ascii   teSVW
233  0x00006933 0x00407533 4   6    .text   utf8    t4+ޅ blocks=Basic Latin,Thaana
234  0x000069a6 0x004075a6 6   7    .text   ascii   f9\bt\a3
235  0x00006a73 0x00407673 7   8    .text   ascii   YY+S4t\a
236  0x00006ad3 0x004076d3 5   6    .text   ascii   9~|tM
237  0x00006ae2 0x004076e2 4   5    .text   ascii   tA9~
238  0x00006b01 0x00407701 5   6    .text   ascii   Ph8:B
239  0x00006b50 0x00407750 4   5    .text   ascii   tmS3
240  0x00006b6c 0x0040776c 6   7    .text   ascii   9^\bt*W
241  0x00006b74 0x00407774 4   5    .text   ascii   9^\f~
242  0x00006b8b 0x0040778b 5   6    .text   ascii   G;~\f|
243  0x00006b99 0x00407799 4   5    .text   ascii   Y_9^
244  0x00006bed 0x004077ed 5   6    .text   ascii   Pj h 
245  0x00006c0d 0x0040780d 4   5    .text   ascii   u*;u
246  0x00006c3c 0x0040783c 4   5    .text   ascii   t9;u
247  0x00006cc8 0x004078c8 4   6    .text   utf8    F\vȉu blocks=Basic Latin,Latin Extended-B
248  0x00006d46 0x00407946 4   5    .text   ascii   E\bV3
249  0x00006d68 0x00407968 5   6    .text   ascii   Pj h 
250  0x00006d88 0x00407988 4   5    .text   ascii   u*;u
251  0x00006db7 0x004079b7 4   5    .text   ascii   tL;u
252  0x00006f95 0x00407b95 4   5    .text   ascii   YYSS
253  0x00007015 0x00407c15 4   5    .text   ascii   \bFG;
254  0x000070ce 0x00407cce 5   6    .text   ascii   SVVVj
255  0x000070e5 0x00407ce5 6   7    .text   ascii   t7VVVj
256  0x000070ff 0x00407cff 6   7    .text   ascii   f;\bt"P
257  0x00007266 0x00407e66 4   5    .text   ascii   h\bKB
258  0x00007290 0x00407e90 4   5    .text   ascii   SVWP
259  0x000072f5 0x00407ef5 4   5    .text   ascii   \cmd
260  0x000072fc 0x00407efc 4   5    .text   ascii   .exe
261  0x00007301 0x00407f01 4   7    .text   utf8    ]܍Uԍ blocks=Basic Latin,Syriac,Cyrillic Supplement
262  0x00007321 0x00407f21 6   7    .text   ascii   \fjD^VS
263  0x00007385 0x00407f85 5   6    .text   ascii   PhL:B
264  0x000073d0 0x00407fd0 4   5    .text   ascii   PSSh
265  0x000073d7 0x00407fd7 4   5    .text   ascii   \bSSS
266  0x0000741b 0x0040801b 5   6    .text   ascii   Phh:B
267  0x00007468 0x00408068 4   5    .text   ascii   PSSh
268  0x0000746f 0x0040806f 4   5    .text   ascii   \bSSS
269  0x000074c0 0x004080c0 6   7    .text   ascii   PShx:B
270  0x000074e0 0x004080e0 5   6    .text   ascii   P$j.Z
271  0x0000751a 0x0040811a 6   7    .text   ascii   PShx:B
272  0x0000753a 0x0040813a 5   6    .text   ascii   P$j.Z
273  0x0000756f 0x0040816f 6   7    .text   ascii   PShx:B
274  0x0000758f 0x0040818f 4   5    .text   ascii   P$j.
275  0x00007770 0x00408370 6   8    .text   utf8    cmd fǅ blocks=Basic Latin,Latin Extended-B
276  0x000077bc 0x004083bc 4   5    .text   ascii   PSSh
277  0x000077c3 0x004083c3 4   5    .text   ascii   \bSSS
278  0x0000785e 0x0040845e 4   5    .text   ascii   h,8B
279  0x0000793d 0x0040853d 4   5    .text   ascii   Y_^[
280  0x00007a6f 0x0040866f 4   5    .text   ascii   SWWh
281  0x00007ab3 0x004086b3 5   6    .text   ascii   P4SSS
282  0x00007b1c 0x0040871c 4   5    .text   ascii   \fla
283  0x00007b28 0x00408728 4   5    .text   ascii   sh_e
284  0x00007b35 0x00408735 5   6    .text   ascii   n.muf
285  0x00007b7e 0x0040877e 5   6    .text   ascii   rundj
286  0x00007b8b 0x0040878b 5   7    .text   utf8    ll32ǅ blocks=Basic Latin,Latin Extended-B
287  0x00007b95 0x00408795 6   8    .text   utf8    .exefǅ blocks=Basic Latin,Latin Extended-B
288  0x00007bc1 0x004087c1 4   5    .text   ascii   " St
289  0x00007bc8 0x004087c8 4   5    .text   ascii   artW
290  0x00007c7a 0x0040887a 5   7    .text   utf8    SVW3۾ blocks=Basic Latin,Arabic
291  0x00007c84 0x00408884 5   6    .text   ascii   Sj.VS
292  0x00007c92 0x00408892 4   5    .text   ascii   \Fla
293  0x00007cdb 0x004088db 4   5    .text   ascii   \Inf
294  0x00007d22 0x00408922 4   5    .text   ascii   \Dat
295  0x00007d5d 0x0040895d 4   5    .text   ascii   \Dow
296  0x00007de7 0x004089e7 4   5    .text   ascii   D$$j
297  0x00007e62 0x00408a62 4   5    .text   ascii   5HhB
298  0x00007f52 0x00408b52 4   5    .text   ascii   har@
299  0x00007fa8 0x00408ba8 6   7    .text   ascii   PQhar@
300  0x00007fd1 0x00408bd1 4   5    .text   ascii   D$ P
301  0x00007ffe 0x00408bfe 4   5    .text   ascii   D$ P
302  0x00008030 0x00408c30 4   5    .text   ascii   h ;B
303  0x0000806e 0x00408c6e 4   5    .text   ascii   _^[3
304  0x000080b3 0x00408cb3 5   6    .text   ascii   VWj\aY
305  0x00008278 0x00408e78 4   5    .text   ascii   j\aX+
306  0x00008298 0x00408e98 5   6    .text   ascii   Cj\aX+
307  0x000082c8 0x00408ec8 5   7    .text   utf8    j\bZ3\r
308  0x000082fe 0x00408efe 5   6    .text   ascii   Yj\tZf
309  0x00008421 0x00409021 4   5    .text   ascii   \fSVW
310  0x00008459 0x00409059 4   5    .text   ascii   ]\bf;
311  0x00008496 0x00409096 4   6    .text   utf8    f;KM
312  0x0000849c 0x0040909c 5   6    .text   ascii   r2f;E
313  0x000084ed 0x004090ed 5   7    .text   utf8    E܋B\fS blocks=Basic Latin,Syriac
314  0x000085bf 0x004091bf 4   7    .text   utf8    É]؋] blocks=Latin-1 Supplement,Basic Latin,Arabic
315  0x00008620 0x00409220 5   6    .text   ascii   \fAf99
316  0x00008737 0x00409337 5   6    .text   ascii   9M\b|4
317  0x0000876a 0x0040936a 5   6    .text   ascii   A;M\b~
318  0x0000897c 0x0040957c 4   5    .text   ascii   Y_^[
319  0x00008996 0x00409596 4   5    .text   ascii   j\a_3
320  0x00008a3f 0x0040963f 4   5    .text   ascii   j\a_j
321  0x00008a67 0x00409667 4   5    .text   ascii   j\aY3
322  0x00008adb 0x004096db 4   5    .text   ascii   tM;]
323  0x00008b8c 0x0040978c 4   5    .text   ascii   j\aYj
324  0x00008bac 0x004097ac 4   5    .text   ascii   E\bSV
325  0x00008c66 0x00409866 5   6    .text   ascii   YY_^[
326  0x00008c72 0x00409872 4   5    .text   ascii   QSVW
327  0x00008c9b 0x0040989b 5   6    .text   ascii   f9\bu\a
328  0x00008fef 0x00409bef 4   5    .text   ascii   _^[]
329  0x00009001 0x00409c01 4   7    .text   utf8    3ۋˈ] blocks=Basic Latin,Arabic,Spacing Modifier Letters
330  0x00009265 0x00409e65 4   5    .text   ascii   H9\ar
331  0x00009315 0x00409f15 4   5    .text   ascii   QSVW
332  0x0000932f 0x00409f2f 4   5    .text   ascii   H9\ar
333  0x0000936b 0x00409f6b 4   5    .text   ascii   H9\ar
334  0x00009421 0x0040a021 4   6    .text   utf8    \av\nǆ blocks=Basic Latin,Latin Extended-B
