[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
186  0x00002e17 0x00403a17 6   9    CODE    utf8    ZXË\vD$ blocks=Basic Latin,Latin-1 Supplement
187  0x00002ebd 0x00403abd 6   7    CODE    ascii   D$\bRQP
188  0x00002ecb 0x00403acb 5   6    CODE    ascii   YZXtp
189  0x00002ed7 0x00403ad7 4   5    CODE    ascii   VWUd
190  0x00002edc 0x00403adc 5   6    CODE    ascii   \eSPRQ
191  0x00002ee2 0x00403ae2 4   5    CODE    ascii   T$(j
192  0x00002f45 0x00403b45 4   7    CODE    utf8    Ë\vD$ blocks=Latin-1 Supplement,Basic Latin
193  0x00002f86 0x00403b86 7   8    CODE    ascii   T$\bSVWU
194  0x00002fb8 0x00403bb8 9   11   CODE    utf8    1Ɋ\b:\nu\t@B blocks=Basic Latin,Latin Extended-B
195  0x00002fd8 0x00403bd8 4   5    CODE    ascii   ]_^[
196  0x00003048 0x00403c48 6   7    CODE    ascii   D$\bRQP
197  0x00003056 0x00403c56 6   7    CODE    ascii   YZXtm1
198  0x0000305f 0x00403c5f 5   6    CODE    ascii   \eSPRQ
199  0x0000306f 0x00403c6f 5   6    CODE    ascii   Ph|<@
200  0x000030cd 0x00403ccd 4   7    CODE    utf8    Ë\vD$ blocks=Latin-1 Supplement,Basic Latin
201  0x000030eb 0x00403ceb 4   5    CODE    ascii   SVWU
202  0x000030fc 0x00403cfc 4   5    CODE    ascii   ]_^[
203  0x00003116 0x00403d16 12  13   CODE    ascii   ZTUWVSPRTj\aj
204  0x0000312f 0x00403d2f 4   6    CODE    utf8    ËD$0 blocks=Latin-1 Supplement,Basic Latin
205  0x00003177 0x00403d77 4   5    CODE    ascii   ]_^[
206  0x000031a1 0x00403da1 4   5    CODE    ascii   d$,1
207  0x000031b4 0x00403db4 5   7    CODE    utf8    1ҋL$\b blocks=Basic Latin,Cyrillic
208  0x000031da 0x00403dda 4   5    CODE    ascii   ,t\=
209  0x000031f2 0x00403df2 5   6    CODE    ascii   t=HtN
210  0x00003201 0x00403e01 4   5    CODE    ascii   r6t0
211  0x00003215 0x00403e15 4   5    CODE    ascii   t.Ht
212  0x000032a0 0x00403ea0 4   5    CODE    ascii   T$\bj
213  0x000033a1 0x00403fa1 4   5    CODE    ascii   ZYYd
214  0x000033bd 0x00403fbd 6   7    CODE    ascii   _^[YY]
