[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
150   0x00001ded 0x004029ed 4   6    sect_0  utf8    ,u*ر blocks=Basic Latin,Arabic
151   0x00001dff 0x004029ff 5   7    sect_0  utf8    ʄ)T9# blocks=IPA Extensions,Basic Latin
152   0x00001e90 0x00402a90 4   7    sect_0  utf8    y慿\O blocks=Basic Latin,CJK Unified Ideographs
153   0x00001ef0 0x00402af0 5   6    sect_0  ascii   FfRi7
154   0x00001f26 0x00402b26 4   5    sect_0  ascii   qji[
155   0x00001fab 0x00402bab 4   6    sect_0  utf8    W{4l
156   0x00001fb6 0x00402bb6 4   6    sect_0  utf8    Ș^>p blocks=Latin Extended-B,Basic Latin
157   0x00001fd2 0x00402bd2 4   5    sect_0  ascii   gkow
158   0x0000201c 0x00402c1c 4   5    sect_0  ascii   8!6'
159   0x00002087 0x00402c87 6   7    sect_0  ascii   ZjF&d\r
160   0x000020b9 0x00402cb9 4   5    sect_0  ascii   <j4k
161   0x000020d9 0x00402cd9 6   10   sect_0  utf8    tp)س炘. blocks=Basic Latin,Arabic,CJK Unified Ideographs
162   0x0000211f 0x00402d1f 5   7    sect_0  utf8    +߹=x[ blocks=Basic Latin,NKo
163   0x00002173 0x00402d73 4   6    sect_0  utf8    :?ưH blocks=Basic Latin,Latin Extended-B
164   0x000021af 0x00402daf 4   6    sect_0  utf8    oРvH blocks=Basic Latin,Cyrillic
165   0x000021c7 0x00402dc7 4   6    sect_0  utf8    ٪t?6 blocks=Arabic,Basic Latin
166   0x000021f0 0x00402df0 6   7    sect_0  ascii   CW6!?p
167   0x0000220f 0x00402e0f 4   6    sect_0  utf8    ѓo/\n blocks=Cyrillic,Basic Latin
168   0x0000223e 0x00402e3e 5   6    sect_0  ascii   *`qV\v
169   0x0000225b 0x00402e5b 4   5    sect_0  ascii   NE>;
170   0x00002298 0x00402e98 4   5    sect_0  ascii   S`|4
171   0x000022ae 0x00402eae 4   6    sect_0  utf8    Y_֟' blocks=Basic Latin,Hebrew
172   0x000022da 0x00402eda 4   5    sect_0  ascii   Is\r<
173   0x000022f9 0x00402ef9 5   7    sect_0  utf8    n8Ǻn* blocks=Basic Latin,Latin Extended-B
174   0x00002310 0x00402f10 4   5    sect_0  ascii   o 1Z
175   0x0000231e 0x00402f1e 4   5    sect_0  ascii   8jd/
176   0x00002358 0x00402f58 4   5    sect_0  ascii   "WOA
177   0x00002383 0x00402f83 4   5    sect_0  ascii   } %d
178   0x0000239b 0x00402f9b 4   5    sect_0  ascii   ujkq
179   0x000023a8 0x00402fa8 4   5    sect_0  ascii   ^((W
180   0x000023b2 0x00402fb2 7   8    sect_0  ascii   )dDO}|z
181   0x00002409 0x00403009 5   6    sect_0  ascii   Y1f2B
182   0x00002426 0x00403026 7   8    sect_0  ascii   zfqxMxz
183   0x00002444 0x00403044 4   5    sect_0  ascii   +?x\e
184   0x00002451 0x00403051 4   5    sect_0  ascii   Q\v\nj
