[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000a7 0x000000a7 5   6            ascii   ~2#n~
2    0x000000af 0x000000af 5   6            ascii   ~2#i~
3    0x000000b7 0x000000b7 7   8            ascii   ~2#{~-q
4    0x000000bf 0x000000bf 7   8            ascii   ~Rich,q
5    0x000001d8 0x000001d8 5   6            ascii   .text
6    0x000001ff 0x000001ff 7   8            ascii   `.rdata
7    0x00000227 0x00000227 6   7            ascii   @.data
8    0x00000250 0x00000250 5   6            ascii   .rsrc
9    0x00000277 0x00000277 6   7            ascii   @.text
804  0x0000d991 0x0040e591 5   6    .text   ascii   WWWWW
805  0x0000db4a 0x0040e74a 4   5    .text   ascii   5\f6B
806  0x0000dc2d 0x0040e82d 4   5    .text   ascii   ;u\br
807  0x0000dc51 0x0040e851 4   5    .text   ascii   ;u\fr
808  0x0000dcbc 0x0040e8bc 4   5    .text   ascii   Yt\eh
809  0x0000ddf9 0x0040e9f9 4   5    .text   ascii   t\bj\b
810  0x0000deab 0x0040eaab 5   6    .text   ascii   ]\bVW3
811  0x0000deef 0x0040eaef 4   5    .text   ascii   =0"B
812  0x0000df22 0x0040eb22 7   8    .text   ascii   t\rVVVVV
813  0x0000df4d 0x0040eb4d 4   5    .text   ascii   u&hX
814  0x0000df68 0x0040eb68 5   6    .text   ascii   PPPPP
815  0x0000df7f 0x0040eb7f 4   5    .text   ascii   <v8V
816  0x0000dfab 0x0040ebab 5   6    .text   ascii   VVVVV
817  0x0000dfcd 0x0040ebcd 7   8    .text   ascii   t\rVVVVV
818  0x0000dfe0 0x0040ebe0 4   6    .text   utf8    4Ŕ#B blocks=Basic Latin,Latin Extended-A
819  0x0000dff2 0x0040ebf2 7   8    .text   ascii   t\rVVVVV
820  0x0000e067 0x0040ec67 4   5    .text   ascii   =0"B
821  0x0000e0b7 0x0040ecb7 4   5    .text   ascii   \r4.B
822  0x0000e0bd 0x0040ecbd 4   5    .text   ascii   Hpu\a
823  0x0000e0d7 0x0040ecd7 4   5    .text   ascii   \r4.B
824  0x0000e0dd 0x0040ecdd 4   5    .text   ascii   Hpu\b
825  0x0000e13d 0x0040ed3d 5   6    .text   ascii   9]\bu.
826  0x0000e147 0x0040ed47 5   6    .text   ascii   SSSSS
827  0x0000e170 0x0040ed70 4   5    .text   ascii   9]\ft
828  0x0000e184 0x0040ed84 5   6    .text   ascii   SSSSS
829  0x0000e19c 0x0040ed9c 4   5    .text   ascii   9X\bu
830  0x0000e2b0 0x0040eeb0 5   6    .text   ascii   QQSV3
831  0x0000e2b8 0x0040eeb8 4   5    .text   ascii   =(6B
832  0x0000e2cc 0x0040eecc 5   6    .text   ascii   VVVVj
833  0x0000e2ed 0x0040eeed 4   5    .text   ascii   tCVV
834  0x0000e348 0x0040ef48 4   5    .text   ascii   M\bS3
835  0x0000e363 0x0040ef63 6   7    .text   ascii   0SSSSS
836  0x0000e3a5 0x0040efa5 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
837  0x0000e3b1 0x0040efb1 4   5    .text   ascii   9E\fv
838  0x0000e3bc 0x0040efbc 8   9    .text   ascii   t\a@A;E\fr
839  0x0000e414 0x0040f014 4   6    .text   utf8    IuЋ} blocks=Basic Latin,Cyrillic
840  0x0000e480 0x0040f080 4   6    .text   utf8    3\v}\b
841  0x0000e62b 0x0040f22b 4   5    .text   ascii   E\fV3
842  0x0000e65e 0x0040f25e 5   6    .text   ascii   VVVVV
843  0x0000e6c9 0x0040f2c9 5   6    .text   ascii   VVVVV
844  0x0000e94e 0x0040f54e 6   7    .text   ascii   t)j\rXP
845  0x0000eaf1 0x0040f6f1 4   5    .text   ascii   j\r[f
846  0x0000ebb5 0x0040f7b5 4   5    .text   ascii   j\r[f
847  0x0000ebdc 0x0040f7dc 5   6    .text   ascii   VVhU\r
848  0x0000ed93 0x0040f993 5   6    .text   ascii   WWWWW
849  0x0000ee26 0x0040fa26 4   5    .text   ascii   E\bV3
850  0x0000ee34 0x0040fa34 5   6    .text   ascii   VVVVV
851  0x0000ee4f 0x0040fa4f 6   8    .text   utf8    ^]øP$B blocks=Basic Latin,Latin-1 Supplement
852  0x0000eea8 0x0040faa8 5   7    .text   utf8    3ҹP$B blocks=Basic Latin,Cyrillic
853  0x0000eec9 0x0040fac9 6   8    .text   utf8    ^3ҹ`$B blocks=Basic Latin,Cyrillic
854  0x0000ef0f 0x0040fb0f 4   5    .text   ascii   =86B
855  0x0000ef1d 0x0040fb1d 4   5    .text   ascii   5`@B
856  0x0000ef8a 0x0040fb8a 5   7    .text   utf8    Y]ËE\f blocks=Basic Latin,Latin-1 Supplement
857  0x0000f00e 0x0040fc0e 4   5    .text   ascii   u\bW3
858  0x0000f01c 0x0040fc1c 5   6    .text   ascii   WWWWW
859  0x0000f12e 0x0040fd2e 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
860  0x0000f16e 0x0040fd6e 7   8    .text   ascii   |\b;5P?B
861  0x0000f184 0x0040fd84 5   6    .text   ascii   SSSSS
862  0x0000f1ee 0x0040fdee 5   6    .text   ascii   9]\ft7
863  0x0000f23c 0x0040fe3c 5   6    .text   ascii   SSSSS
864  0x0000f2b2 0x0040feb2 5   6    .text   ascii   \ntl9]
865  0x0000f2db 0x0040fedb 5   6    .text   ascii   \ntC9]
866  0x0000f2f9 0x0040fef9 4   5    .text   ascii   %\nu$
867  0x0000f3a4 0x0040ffa4 4   5    .text   ascii   <\rt\f
868  0x0000f3c0 0x0040ffc0 6   7    .text   ascii   8\nu\nAA
869  0x0000f4db 0x004100db 4   5    .text   ascii   Ht$C
870  0x0000f54c 0x0041014c 6   7    .text   ascii   ;E\ft\aP
871  0x0000f5c6 0x004101c6 5   6    .text   ascii   \vCC@@
872  0x0000f5e2 0x004101e2 4   5    .text   ascii   9\nu\r
873  0x0000f630 0x00410230 4   5    .text   ascii   Ht(f
874  0x0000f63a 0x0041023a 4   5    .text   ascii   j\rXf
875  0x0000f67c 0x0041027c 7   8    .text   ascii   \nt\bj\rXf
876  0x0000f6ab 0x004102ab 4   5    .text   ascii   CC+]
877  0x0000f743 0x00410343 5   6    .text   ascii   VVVVV
878  0x0000f804 0x00410404 7   10   .text   utf8    e9}\bu\e費 blocks=Basic Latin,CJK Unified Ideographs
879  0x0000f813 0x00410413 6   7    .text   ascii   0WWWWW
880  0x0000f82a 0x0041042a 4   5    .text   ascii   9u\fr
881  0x0000f854 0x00410454 4   5    .text   ascii   9u\fs
882  0x0000f869 0x00410469 5   7    .text   utf8    X_^]Ë blocks=Basic Latin,Latin-1 Supplement
883  0x0000f8db 0x004104db 4   5    .text   ascii   E\b^]
884  0x0000f956 0x00410556 4   5    .text   ascii   E\b^]
885  0x0000f97a 0x0041057a 4   5    .text   ascii   5h9B
886  0x0000f9a4 0x004105a4 4   5    .text   ascii   5p9B
887  0x0000f9d5 0x004105d5 4   5    .text   ascii   j\fh 
888  0x0000faa8 0x004106a8 4   5    .text   ascii   u\bj\r
889  0x0000faf7 0x004106f7 4   5    .text   ascii   5l9B
890  0x0000fb4f 0x0041074f 4   5    .text   ascii   j\bhH
891  0x0000fbfd 0x004107fd 4   7    .text   utf8    t\aW谮 blocks=Basic Latin,CJK Unified Ideographs
892  0x0000fc67 0x00410867 4   5    .text   ascii   u\bj\r
893  0x0000fc70 0x00410870 6   8    .text   utf8    YËu\bj\f blocks=Basic Latin,Latin-1 Supplement
894  0x0000fcd7 0x004108d7 5   7    .text   utf8    փ=d9B blocks=Armenian,Basic Latin
895  0x0000fced 0x004108ed 4   5    .text   ascii   =h9B
896  0x0000fcf6 0x004108f6 4   5    .text   ascii   =l9B
897  0x0000fd1c 0x0041091c 4   5    .text   ascii   5l9B
898  0x0000fd3b 0x0041093b 4   5    .text   ascii   5h9B
899  0x0000fd51 0x00410951 4   5    .text   ascii   5d9B
900  0x0000fd5c 0x0041095c 4   5    .text   ascii   5h9B
901  0x0000fd6c 0x0041096c 4   5    .text   ascii   5l9B
902  0x0000fd7c 0x0041097c 4   5    .text   ascii   5p9B
903  0x0000fd9a 0x0041099a 6   7    .text   ascii   tehO\aA
904  0x0000fda2 0x004109a2 4   5    .text   ascii   5d9B
905  0x0000fdd5 0x004109d5 4   5    .text   ascii   5l9B
906  0x0000fe12 0x00410a12 4   5    .text   ascii   u\bWV
907  0x0000fef6 0x00410af6 5   6    .text   ascii   WWWWW
908  0x0000ffa6 0x00410ba6 4   5    .text   ascii   A\f@t
909  0x00010004 0x00410c04 5   6    .text   ascii   G\f@SV
910  0x00010047 0x00410c47 4   6    .text   utf8    ^[]Ë blocks=Basic Latin,Latin-1 Supplement
911  0x000100c3 0x00410cc3 5   6    .text   ascii   PPPPP
912  0x000100ec 0x00410cec 6   7    .text   ascii   F\f@u^V
913  0x00010191 0x00410d91 5   6    .text   ascii   , <Xw
914  0x0001020e 0x00410e0e 6   7    .text   ascii   \bt%HHt
915  0x00010299 0x00410e99 4   7    .text   utf8    ʍD\bЉ blocks=IPA Extensions,Basic Latin,Cyrillic
916  0x000102ea 0x00410eea 4   7    .text   utf8    ʍD\bЉ blocks=IPA Extensions,Basic Latin,Cyrillic
917  0x0001044e 0x0041104e 10  11   .text   ascii   HHtXHHt\bHH
918  0x0001053e 0x0041113e 5   6    .text   ascii   HHty+
919  0x0001068d 0x0041128d 4   5    .text   ascii    t\ff
920  0x000106e7 0x004112e7 4   6    .text   utf8    gueǅ blocks=Basic Latin,Latin Extended-B
921  0x000107be 0x004113be 4   5    .text   ascii   5\b)B
922  0x000108c0 0x004114c0 4   5    .text   ascii   @t\e;
923  0x0001094b 0x0041154b 4   5    .text   ascii   RPSW
924  0x00010996 0x00411596 4   5    .text   ascii   90tV
925  0x000109ab 0x004115ab 6   7    .text   ascii   >If90t
926  0x00010a8e 0x0041168e 4   5    .text   ascii   \bYt\e
927  0x00010a9b 0x0041169b 4   5    .text   ascii   WSj0
928  0x00010b47 0x00411747 4   5    .text   ascii   WSj 
929  0x00010c23 0x00411823 5   6    .text   ascii   SSSSS
930  0x00010d88 0x00411988 5   6    .text   ascii   WWWWW
931  0x00010e37 0x00411a37 6   7    .text   ascii   j@j ^V
932  0x00010e52 0x00411a52 4   5    .text   ascii   5P?B
933  0x00010e84 0x00411a84 4   5    .text   ascii   \r`?B
934  0x00010ec6 0x00411ac6 5   6    .text   ascii   [j@j 
935  0x00010f22 0x00411b22 5   6    .text   ascii   9=P?B
936  0x00010f2d 0x00411b2d 4   5    .text   ascii   =P?B
937  0x00010f50 0x00411b50 4   5    .text   ascii   \bu\vQ
938  0x00010faf 0x00411baf 4   5    .text   ascii   5`?B
939  0x00011043 0x00411c43 4   5    .text   ascii   5P?B
940  0x0001106e 0x00411c6e 4   6    .text   utf8    ø (B blocks=Latin-1 Supplement,Basic Latin
941  0x000110b6 0x00411cb6 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
942  0x00011102 0x00411d02 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
943  0x00011120 0x00411d20 8   9    .text   ascii   u,9E\ft'9
944  0x00011150 0x00411d50 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
945  0x00011172 0x00411d72 4   5    .text   ascii   u,9E
946  0x000111a2 0x00411da2 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
947  0x000111bc 0x00411dbc 4   5    .text   ascii   9]\fu
948  0x000111c3 0x00411dc3 4   5    .text   ascii   _^[]
949  0x000111dc 0x00411ddc 6   7    .text   ascii   0SSSSS
950  0x0001120d 0x00411e0d 4   5    .text   ascii   \b@B:
951  0x0001121c 0x00411e1c 4   5    .text   ascii   \b@B:
952  0x00011221 0x00411e21 4   5    .text   ascii   t\bOt
953  0x0001123d 0x00411e3d 4   5    .text   ascii   E\fjP
954  0x000112dc 0x00411edc 4   5    .text   ascii   t\fPV
955  0x000112e5 0x00411ee5 4   7    .text   utf8    YYF둋 blocks=Basic Latin,Hangul Syllables
956  0x000112fd 0x00411efd 4   5    .text   ascii   \r`@B
957  0x00011323 0x00411f23 4   6    .text   utf8    !`@B
958  0x000113bd 0x00411fbd 11  12   .text   ascii   <at9<rt,<wt
959  0x000113ce 0x00411fce 5   6    .text   ascii   SSSSS
960  0x00011441 0x00412041 6   7    .text   ascii   \vtVHtG
961  0x000114da 0x004120da 5   6    .text   ascii   tEHt1
962  0x000114f4 0x004120f4 5   6    .text   ascii   uF\t}\f
963  0x00011513 0x00412113 4   5    .text   ascii   u'\t}
964  0x00011587 0x00412187 5   6    .text   ascii   >=upF
965  0x000115b0 0x004121b0 4   5    .text   ascii   Aj\bh
966  0x000115d0 0x004121d0 4   5    .text   ascii   !j\ah
967  0x00011600 0x00412200 5   6    .text   ascii   SSSSS
968  0x0001166b 0x0041226b 6   7    .text   ascii   URPQQh
969  0x00011681 0x00412281 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
970  0x00011696 0x00412296 4   5    .text   ascii   L$,3
971  0x000116e8 0x004122e8 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
972  0x0001174e 0x0041234e 4   5    .text   ascii   UVWS
973  0x00011760 0x00412360 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
974  0x00011781 0x00412381 4   5    .text   ascii   SVWj
975  0x00011793 0x00412393 4   5    .text   ascii   _^[]
976  0x0001179a 0x0041239a 5   6    .text   ascii   l$\bRQ
977  0x000117ba 0x004123ba 4   5    .text   ascii   8csm
978  0x00011824 0x00412424 4   5    .text   ascii   S99t
979  0x0001183e 0x0041243e 5   6    .text   ascii   s\b99u
980  0x0001193d 0x0041253d 4   5    .text   ascii   vdj\b
981  0x000119a7 0x004125a7 4   5    .text   ascii   = 6B
982  0x000119c3 0x004125c3 6   7    .text   ascii   >=Yt1j
983  0x000119d6 0x004125d6 5   6    .text   ascii   tNVSP
984  0x000119e9 0x004125e9 5   6    .text   ascii   PPPPP
985  0x00011a21 0x00412621 4   5    .text   ascii   Y[_^
986  0x00011a27 0x00412627 4   5    .text   ascii   5 6B
987  0x00011a32 0x00412632 4   5    .text   ascii   % 6B
988  0x00011a57 0x00412657 5   6    .text   ascii   9E\bt\t
989  0x00011b17 0x00412717 4   5    .text   ascii   >"u&
990  0x00011b61 0x00412761 10  11   .text   ascii   u\b< tK<\ttG
991  0x00011bc8 0x004127c8 4   5    .text   ascii   E\b^[
992  0x00011c0f 0x0041280f 4   5    .text   ascii   506B
993  0x00011ccc 0x004128cc 4   5    .text   ascii   xu\nj
994  0x00011d01 0x00412901 4   5    .text   ascii   @@f9
995  0x00011d08 0x00412908 4   5    .text   ascii   @@f9
996  0x00011d15 0x00412915 4   5    .text   ascii   SSS+
997  0x00011d1d 0x0041291d 5   6    .text   ascii   @PWSS
998  0x00011d3a 0x0041293a 4   5    .text   ascii   t!SS
999  0x00011d83 0x00412983 4   5    .text   ascii   t\n@8
1000 0x00011e3f 0x00412a3f 4   6    .text   utf8    У8"B blocks=Cyrillic,Basic Latin
1001 0x00011e99 0x00412a99 4   5    .text   ascii   54"B
1002 0x00011e9f 0x00412a9f 5   7    .text   utf8    ։58"B blocks=Armenian,Basic Latin
1003 0x00011f63 0x00412b63 4   5    .text   ascii   Et\a@
1004 0x00012046 0x00412c46 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
1005 0x00012059 0x00412c59 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
1006 0x00012082 0x00412c82 6   7    .text   ascii   _VVVVV
1007 0x000120a6 0x00412ca6 4   5    .text   ascii   9u\bv
1008 0x000120ab 0x00412cab 4   5    .text   ascii   9u\f~
1009 0x000120b9 0x00412cb9 6   7    .text   ascii   \t9E\bw\t
1010 0x000120c4 0x00412cc4 4   7    .text   utf8    j"뺀} blocks=Basic Latin,Hangul Syllables
1011 0x000120d9 0x00412cd9 4   6    .text   utf8    3Ƀ:- blocks=Basic Latin,Latin Extended-B
1012 0x00012135 0x00412d35 4   5    .text   ascii   ]\bh@
1013 0x0001214a 0x00412d4a 7   8    .text   ascii   t\rSSSSS
1014 0x00012169 0x00412d69 4   5    .text   ascii   80t.
1015 0x000121df 0x00412ddf 5   6    .text   ascii   E\bSVW
1016 0x0001220b 0x00412e0b 5   6    .text   ascii   SSSSS
1017 0x000122f7 0x00412ef7 6   7    .text   ascii   ^WWWWW
1018 0x00012451 0x00413051 4   5    .text   ascii   E\f9U
1019 0x0001251c 0x0041311c 4   5    .text   ascii   ;E\ft
1020 0x000125b1 0x004131b1 4   5    .text   ascii   SQRP
1021 0x000125d7 0x004131d7 4   5    .text   ascii   jdRP
1022 0x000125fd 0x004131fd 4   5    .text   ascii   j\nRP
1023 0x0001265d 0x0041325d 5   6    .text   ascii   PPPPP
1024 0x0001268a 0x0041328a 4   5    .text   ascii   ;u\fu
1025 0x000126f4 0x004132f4 4   5    .text   ascii   9]\f|
1026 0x00012706 0x00413306 4   5    .text   ascii   Wj0V
1027 0x00012739 0x00413339 5   6    .text   ascii   E\bSVW
1028 0x00012765 0x00413365 5   6    .text   ascii   SSSSS
1029 0x00012787 0x00413387 4   6    .text   utf8    \v3Ƀ} blocks=Basic Latin,Latin Extended-B
1030 0x000127f4 0x004133f4 4   5    .text   ascii   E\bSV
1031 0x000127f9 0x004133f9 4   5    .text   ascii   u\fWj
1032 0x00012820 0x00413420 5   6    .text   ascii   SSSSS
1033 0x00012881 0x00413481 4   5    .text   ascii   |-;E
1034 0x000129c1 0x004135c1 7   8    .text   ascii   t\rVVVVV
1035 0x00012a85 0x00413685 4   5    .text   ascii   %x;B
1036 0x00012a8c 0x0041368c 4   5    .text   ascii   -t;B
1037 0x00012b54 0x00413754 4   6    .text   utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
1038 0x00012b5a 0x0041375a 4   6    .text   utf8    A8PE
1039 0x00012bbf 0x004137bf 4   5    .text   ascii   _^[]
1040 0x00012bea 0x004137ea 4   5    .text   ascii   \bSVW
1041 0x00012c53 0x00413853 4   5    .text   ascii   Y_^[
1042 0x00012c85 0x00413885 4   5    .text   ascii   Y_^[
1043 0x00012cde 0x004138de 4   5    .text   ascii   u\bj\b
1044 0x00012cfb 0x004138fb 5   7    .text   utf8    Ã%L?B blocks=Latin-1 Supplement,Basic Latin
1045 0x00012d04 0x00413904 4   5    .text   ascii   j\bhP
1046 0x00012d93 0x00413993 4   5    .text   ascii   M\b^;
1047 0x00012db0 0x004139b0 4   5    .text   ascii   j hp
1048 0x00012dc2 0x004139c2 4   6    .text   utf8    }؋]\b blocks=Basic Latin,Arabic
1049 0x00012e22 0x00413a22 4   5    .text   ascii   t+Ht
1050 0x00012e34 0x00413a34 5   6    .text   ascii   PPPPP
1051 0x00012e99 0x00413a99 4   6    .text   utf8    Y3\tE
1052 0x00012eb2 0x00413ab2 4   6    .text   utf8    MԉG` blocks=Basic Latin,Cyrillic Supplement
1053 0x00012f48 0x00413b48 4   6    .text   utf8    EԉG` blocks=Basic Latin,Cyrillic Supplement
1054 0x00012f53 0x00413b53 5   7    .text   utf8    EЉGd3 blocks=Basic Latin,Cyrillic
1055 0x00013047 0x00413c47 4   5    .text   ascii   5,>B
1056 0x000130ed 0x00413ced 4   5    .text   ascii   E\bS3
1057 0x00013108 0x00413d08 6   7    .text   ascii   0SSSSS
1058 0x00013136 0x00413d36 4   5    .text   ascii   \nBF:
1059 0x00013156 0x00413d56 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1060 0x00013161 0x00413d61 4   5    .text   ascii   M\bV3
1061 0x0001318d 0x00413d8d 5   6    .text   ascii   VVVVV
1062 0x000131b4 0x00413db4 5   6    .text   ascii   \rt\fHt
1063 0x000133f4 0x00413ff4 5   8    .text   utf8    u\bj 蝧 blocks=Basic Latin,CJK Unified Ideographs
1064 0x00013418 0x00414018 5   6    .text   ascii   ;58-B
1065 0x00013447 0x00414047 4   5    .text   ascii   58-B
1066 0x00013599 0x00414199 4   5    .text   ascii   s\f9U
1067 0x000135e0 0x004141e0 5   8    .text   utf8    uͱP-B blocks=Basic Latin,Greek and Coptic
1068 0x000135fd 0x004141fd 5   8    .text   utf8    Eʀ<-B blocks=Basic Latin,IPA Extensions
1069 0x00013613 0x00414213 4   5    .text   ascii   }\bFF
1070 0x00013654 0x00414254 6   7    .text   ascii   0A@@Ju
1071 0x00013686 0x00414286 5   6    .text   ascii   \b\b@Iu
1072 0x000136b3 0x004142b3 5   6    .text   ascii   950>B
1073 0x000136fc 0x004142fc 4   5    .text   ascii   E\b;C
1074 0x000137ba 0x004143ba 5   6    .text   ascii   \fE4>B
1075 0x000137f9 0x004143f9 4   5    .text   ascii   58-B
1076 0x00013964 0x00414564 5   6    .text   ascii   \a=P/B
1077 0x000139cc 0x004145cc 6   8    .text   utf8    Y_^[]Ë blocks=Basic Latin,Latin-1 Supplement
1078 0x00013a5c 0x0041465c 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1079 0x00013b51 0x00414751 4   5    .text   ascii   Fpt"
1080 0x00013b65 0x00414765 4   5    .text   ascii   u\bj 
1081 0x00013c01 0x00414801 4   5    .text   ascii   SVW3
1082 0x00013c10 0x00414810 5   6    .text   ascii   9=p>B
1083 0x00013c8e 0x0041488e 4   5    .text   ascii   \rp>B
1084 0x00013d10 0x00414910 6   8    .text   utf8    tЊ\v:\br blocks=Basic Latin,Cyrillic
1085 0x00013d4c 0x0041494c 6   7    .text   ascii   \t:\br\b:
1086 0x00013d98 0x00414998 4   5    .text   ascii   D\e\b;
1087 0x00013e07 0x00414a07 5   6    .text   ascii   t{~Bj
1088 0x00013e18 0x00414a18 4   5    .text   ascii   D\e\b;
1089 0x00013e51 0x00414a51 4   5    .text   ascii   t1SW
1090 0x00013e99 0x00414a99 5   6    .text   ascii   9}\bu\b
1091 0x00013ea4 0x00414aa4 4   5    .text   ascii   E\b9}
1092 0x00013fce 0x00414bce 5   6    .text   ascii   9]\bu.
1093 0x00013fd8 0x00414bd8 5   6    .text   ascii   SSSSS
1094 0x00014001 0x00414c01 4   5    .text   ascii   9]\ft
1095 0x00014015 0x00414c15 5   6    .text   ascii   SSSSS
1096 0x0001409f 0x00414c9f 4   5    .text   ascii   5 6B
1097 0x000140bb 0x00414cbb 4   5    .text   ascii   \a<=t
1098 0x000140f9 0x00414cf9 6   7    .text   ascii   tF9\at\t
1099 0x0001414d 0x00414d4d 6   8    .text   utf8    E\bS3ۉ] blocks=Basic Latin,Arabic
1100 0x0001415e 0x00414d5e 5   6    .text   ascii   SSSSS
1101 0x0001417f 0x00414d7f 5   6    .text   ascii   tSj=V
1102 0x000141bc 0x00414dbc 8   9    .text   ascii   u`9]\ft$9
1103 0x0001421f 0x00414e1f 4   5    .text   ascii   5 6B
1104 0x0001423a 0x00414e3a 4   5    .text   ascii   Y|R9
1105 0x00014275 0x00414e75 4   5    .text   ascii   ?sjj
1106 0x0001427c 0x00414e7c 4   5    .text   ascii   5 6B
1107 0x000142b8 0x00414eb8 4   5    .text   ascii   5 6B
1108 0x000142e2 0x00414ee2 5   6    .text   ascii   9]\ftx
1109 0x000142f2 0x00414ef2 4   5    .text   ascii   @Y@P
1110 0x00014301 0x00414f01 4   5    .text   ascii   t\VV
1111 0x0001430a 0x00414f0a 5   6    .text   ascii   @Y@PW
1112 0x00014319 0x00414f19 7   8    .text   ascii   t\rSSSSS
1113 0x0001446d 0x0041506d 5   6    .text   ascii   WWWWW
1114 0x000144ae 0x004150ae 6   9    .text   utf8    WWWWW茖 blocks=Basic Latin,CJK Unified Ideographs
1115 0x000145a6 0x004151a6 5   6    .text   ascii   VVVVV
1116 0x000145d6 0x004151d6 4   6    .text   utf8    @^]Ë blocks=Basic Latin,Latin-1 Supplement
1117 0x000145ef 0x004151ef 5   6    .text   ascii   95(/B
1118 0x000145f8 0x004151f8 4   5    .text   ascii   =T0B
1119 0x0001461e 0x0041521e 4   5    .text   ascii   M\bQP
1120 0x0001462d 0x0041522d 4   5    .text   ascii   =(/B
1121 0x0001463d 0x0041523d 7   9    .text   utf8    xuω5(/B blocks=Basic Latin,Greek and Coptic
1122 0x00014651 0x00415251 4   5    .text   ascii   E\bPV
1123 0x00014663 0x00415263 4   5    .text   ascii   \rT0B
1124 0x0001471e 0x0041531e 4   5    .text   ascii   ~%9M
1125 0x0001472f 0x0041532f 6   7    .text   ascii   u\bQVj\t
1126 0x0001474e 0x0041534e 4   5    .text   ascii   r 8^
1127 0x00014817 0x00415417 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
1128 0x00014821 0x00415421 4   5    .text   ascii   E\bVW
1129 0x0001484e 0x0041544e 4   5    .text   ascii   =0"B
1130 0x0001485f 0x0041545f 5   6    .text   ascii   Ht\bHu
1131 0x00014898 0x00415498 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
1132 0x000148a2 0x004154a2 4   5    .text   ascii   M\bS3
1133 0x000148a9 0x004154a9 9   10   .text   ascii   VW|[;\rP?B
1134 0x000148d9 0x004154d9 4   5    .text   ascii   =0"B
1135 0x000148e5 0x004154e5 5   6    .text   ascii   It\bIu
1136 0x0001491d 0x0041551d 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1137 0x0001497c 0x0041557c 5   6    .text   ascii   VVVVV
1138 0x000149c5 0x004155c5 7   8    .text   ascii   9^\bu6j\n
1139 0x000149d5 0x004155d5 4   5    .text   ascii   9^\bu
1140 0x00014a18 0x00415618 4   5    .text   ascii   D8\fP
1141 0x00014a2b 0x0041562b 6   8    .text   utf8    3ۋ}\bj\n blocks=Basic Latin,Arabic
1142 0x00014ad0 0x004156d0 4   5    .text   ascii   u9j\n
1143 0x00014b2a 0x0041572a 5   9    .text   utf8    @낋}؋u blocks=Basic Latin,Hangul Syllables,Arabic
1144 0x00014b69 0x00415769 4   5    .text   ascii   j@j 
1145 0x00014c97 0x00415897 5   7    .text   utf8    Yá4"B blocks=Basic Latin,Latin-1 Supplement
1146 0x00014cf3 0x004158f3 6   7    .text   ascii   ^SSSSS
1147 0x00014d32 0x00415932 5   6    .text   ascii   v\vWSV
1148 0x00014d6f 0x0041596f 8   9    .text   ascii   j"^SSSSS
1149 0x00014dbb 0x004159bb 7   8    .text   ascii   M\fQSWVj
1150 0x00014e4e 0x00415a4e 4   5    .text   ascii   D$\f3
1151 0x00014e56 0x00415a56 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
1152 0x00014e9f 0x00415a9f 7   8    .text   ascii   ;T$\fw\br
1153 0x00014ea7 0x00415aa7 10  11   .text   ascii   ;D$\bv\tN+D$
1154 0x00014eb8 0x00415ab8 8   9    .text   ascii   +D$\b\eT$\f
1155 0x00014ec8 0x00415ac8 4   9    .text   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
1156 0x00014f19 0x00415b19 7   8    .text   ascii   t\rSSSSS
1157 0x00014f56 0x00415b56 8   9    .text   ascii   tGHt.Ht&
1158 0x00014f6f 0x00415b6f 6   7    .text   ascii   ^SSSSS
1159 0x00014ffd 0x00415bfd 4   5    .text   ascii   ;t0;
1160 0x00015537 0x00416137 5   7    .text   utf8    \nʈ\b8] blocks=Basic Latin,IPA Extensions
1161 0x0001561c 0x0041621c 6   7    .text   ascii   8VVVVV
1162 0x00015695 0x00416295 4   5    .text   ascii   t(9u
1163 0x00015711 0x00416311 5   6    .text   ascii   9X\bu&
