[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
180   0x00002a99 0x00403699 5   6    .text   ascii   ;F\ft)
181   0x00002ac2 0x004036c2 4   5    .text   ascii   9V r
182   0x00002af3 0x004036f3 4   5    .text   ascii   V ;Q
183   0x00002b2a 0x0040372a 5   6    .text   ascii   ;F\fu6
184   0x00002b60 0x00403760 5   6    .text   ascii   ;F\ft 
185   0x00002b9e 0x0040379e 5   7    .text   utf8    ʋW0QR blocks=IPA Extensions,Basic Latin
186   0x00002bda 0x004037da 5   6    .text   ascii   ;F\fu6
187   0x00002c10 0x00403810 5   6    .text   ascii   ;F\ft 
188   0x00002c4e 0x0040384e 5   7    .text   utf8    ʋW0QR blocks=IPA Extensions,Basic Latin
189   0x00002c7f 0x0040387f 5   6    .text   ascii   ;N\fv\a
190   0x00002c91 0x00403891 5   6    .text   ascii   ;V\fw5
191   0x00002ce5 0x004038e5 4   5    .text   ascii   ][_3
192   0x00002cf4 0x004038f4 5   6    .text   ascii   u!;\$
193   0x00002d11 0x00403911 4   6    .text   utf8    ^Ë\$ blocks=Basic Latin,Latin-1 Supplement
194   0x00002dfe 0x004039fe 5   7    .text   utf8    ][_^Ã blocks=Basic Latin,Latin-1 Supplement
195   0x00002f38 0x00403b38 4   6    .text   utf8    ^Ë@\b blocks=Basic Latin,Latin-1 Supplement
196   0x00002f9a 0x00403b9a 4   5    .text   ascii   N$RP
197   0x000030d2 0x00403cd2 5   6    .text   ascii   N\bRPQ
198   0x00003187 0x00403d87 5   6    .text   ascii   V0WQR
199   0x0000319b 0x00403d9b 5   6    .text   ascii   N0WPQ
200   0x000031ae 0x00403dae 6   7    .text   ascii   D$\bWRP
201   0x000031da 0x00403dda 4   6    .text   utf8    \tF<3
202   0x00003267 0x00403e67 4   5    .text   ascii   WlSU
203   0x000032ca 0x00403eca 5   6    .text   ascii   Wt9T$
204   0x0000338c 0x00403f8c 6   8    .text   utf8    W4#ЋG@ blocks=Basic Latin,Cyrillic
205   0x00003396 0x00403f96 4   5    .text   ascii   P;D$
206   0x00003471 0x00404071 5   6    .text   ascii   ~<+~t
207   0x00003486 0x00404086 4   5    .text   ascii   |$\f;
208   0x00003492 0x00404092 4   5    .text   ascii   \f(QP
209   0x0000349f 0x0040409f 8   9    .text   ascii   FD)np)nl
210   0x000034a9 0x004040a9 4   5    .text   ascii   \f)n\
211   0x0000352f 0x0040412f 5   6    .text   ascii   O0SPQ
212   0x00003543 0x00404143 5   6    .text   ascii   G0SRP
213   0x0000360a 0x0040420a 4   6    .text   utf8    +ЉVt blocks=Basic Latin,Cyrillic
214   0x0000364d 0x0040424d 5   6    .text   ascii   G\fSRP
215   0x000036db 0x004042db 5   6    .text   ascii   G\fSRP
216   0x0000371c 0x0040431c 5   7    .text   utf8    [YË|$ blocks=Basic Latin,Latin-1 Supplement
217   0x0000376c 0x0040436c 4   5    .text   ascii   _^[H
218   0x00003801 0x00404401 5   6    .text   ascii   Nl#N4
219   0x00003823 0x00404423 4   6    .text   utf8    N,+Á blocks=Basic Latin,Latin-1 Supplement
220   0x00003866 0x00404466 6   7    .text   ascii   Vlf+Vp
221   0x00003954 0x00404554 6   8    .text   utf8    ^4#ڋV@ blocks=Basic Latin,Arabic
222   0x00003967 0x00404567 5   6    .text   ascii   Nl#N4
223   0x00003a2b 0x0040462b 5   7    .text   utf8    3\vVlj
224   0x00003a5e 0x0040465e 5   6    .text   ascii   W\fUQR
225   0x00003a9b 0x0040469b 4   5    .text   ascii   _^]3
226   0x00003aa0 0x004046a0 4   6    .text   utf8    [ËN\ blocks=Basic Latin,Latin-1 Supplement
227   0x00003ae7 0x004046e7 5   6    .text   ascii   _^][H
228   0x00003af6 0x004046f6 4   5    .text   ascii   _^][
229   0x00003b00 0x00404700 4   5    .text   ascii   QSUV
230   0x00003b77 0x00404777 5   6    .text   ascii   Nl#N4
231   0x00003c12 0x00404812 5   6    .text   ascii   Vl+Vp
232   0x00003c39 0x00404839 6   7    .text   ascii   Vlf+Vd
233   0x00003c50 0x00404850 4   5    .text   ascii   Fxf+
234   0x00003d03 0x00404903 4   5    .text   ascii   #V43
