[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
120  0x00003b66 0x00404766 4   6    .text   utf8    ;\rȉA blocks=Basic Latin,Latin Extended-B
121  0x00003b75 0x00404775 4   5    .text   ascii   Hpu\a
122  0x00003b95 0x00404795 4   5    .text   ascii   Hpu\b
123  0x00003be8 0x004047e8 5   6    .text   ascii   VVVVV
124  0x00003c1f 0x0040481f 5   6    .text   ascii   VVVVV
125  0x00003c57 0x00404857 4   5    .text   ascii   Ar\tf
126  0x00003c6c 0x0040486c 4   5    .text   ascii   Ar\tf
127  0x00003c77 0x00404877 5   6    .text   ascii    CCGG
128  0x00003c82 0x00404882 4   5    .text   ascii   t8f;
129  0x00003ca1 0x004048a1 4   5    .text   ascii   QCPC
130  0x00003cde 0x004048de 4   5    .text   ascii   W95,
131  0x00003cf3 0x004048f3 5   6    .text   ascii   VVVVV
132  0x00003d1a 0x0040491a 4   5    .text   ascii   Ar\tf
133  0x00003d2f 0x0040492f 4   5    .text   ascii   Ar\tf
134  0x00003d3a 0x0040493a 5   6    .text   ascii    GGBB
135  0x00003d64 0x00404964 5   7    .text   utf8    \f_^]Ë blocks=Basic Latin,Latin-1 Supplement
136  0x00003d84 0x00404984 6   7    .text   ascii   \aGGBBf
137  0x00003dbd 0x004049bd 4   5    .text   ascii   \b@@f
138  0x00003dd9 0x004049d9 4   5    .text   ascii   \b@@f
139  0x00003de3 0x004049e3 5   6    .text   ascii   M\fHH;
140  0x00003deb 0x004049eb 4   5    .text   ascii   f9\bu
141  0x00003df0 0x004049f0 4   5    .text   ascii   f9\bt
142  0x00003df9 0x004049f9 6   7    .text   ascii   j\fh\bdA
143  0x00003e0d 0x00404a0d 4   5    .text   ascii   =D5B
144  0x00003e2d 0x00404a2d 4   5    .text   ascii   t\tVP
145  0x00003e8f 0x00404a8f 4   6    .text   utf8    ̋T$\f blocks=Combining Diacritical Marks,Basic Latin
146  0x00003e9a 0x00404a9a 7   9    .text   utf8    ti3\nD$\b
147  0x00003eaf 0x00404aaf 4   5    .text   ascii   =`5B
148  0x00003ec9 0x00404ac9 5   7    .text   utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
149  0x00003f00 0x00404b00 7   9    .text   utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
150  0x00003f31 0x00404b31 6   7    .text   ascii   U\bSVW3
151  0x00003f4c 0x00404b4c 6   7    .text   ascii   0WWWWW
152  0x00003f5c 0x00404b5c 6   8    .text   utf8    _^[]Ëu blocks=Basic Latin,Latin-1 Supplement
153  0x00003f77 0x00404b77 6   7    .text   ascii   AAFFf;
154  0x00003f9a 0x00404b9a 6   7    .text   ascii   j\fh(dA
155  0x00003fbf 0x00404bbf 5   6    .text   ascii   VVVVV
156  0x00003ff9 0x00404bf9 4   5    .text   ascii   E\fPV
