[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
114  0x00005b36 0x00406736 4   5    .text   ascii   oV f
115  0x00005b3b 0x0040673b 4   5    .text   ascii   o^0f
116  0x00005b53 0x00406753 4   5    .text   ascii   of@f
117  0x00005b58 0x00406758 4   5    .text   ascii   onPf
118  0x00005b5d 0x0040675d 4   5    .text   ascii   ov`f
119  0x00005b62 0x00406762 4   5    .text   ascii   o~pf
120  0x00005bcf 0x004067cf 5   6    .text   ascii   \aFGIu
121  0x00005bd5 0x004067d5 5   7    .text   utf8    X^_]ú blocks=Basic Latin,Latin-1 Supplement
122  0x00005bf1 0x004067f1 4   5    .text   ascii   FGIu
123  0x00005c65 0x00406865 4   5    .text   ascii   uNSW
124  0x00005cef 0x004068ef 4   5    .text   ascii   A\f@t
125  0x00005d6c 0x0040696c 4   5    .text   ascii   8*u\r
126  0x00005e2c 0x00406a2c 6   7    .text   ascii   F\f@u^V
127  0x00005f4a 0x00406b4a 6   7    .text   ascii   \bt%HHt
128  0x00005fd5 0x00406bd5 4   7    .text   utf8    ʍD\bЉ blocks=IPA Extensions,Basic Latin,Cyrillic
129  0x00006026 0x00406c26 4   7    .text   utf8    ʍD\bЉ blocks=IPA Extensions,Basic Latin,Cyrillic
130  0x00006091 0x00406c91 4   5    .text   ascii   \a<6u
131  0x0000618d 0x00406d8d 10  11   .text   ascii   HHtXHHt\bHH
132  0x0000627d 0x00406e7d 5   6    .text   ascii   HHty+
133  0x000063cc 0x00406fcc 4   5    .text   ascii    t\ff
134  0x00006426 0x00407026 4   6    .text   utf8    gucǅ blocks=Basic Latin,Latin Extended-B
135  0x00006683 0x00407283 4   5    .text   ascii   RPSW
136  0x000066ce 0x004072ce 4   5    .text   ascii   90tW
137  0x000066e3 0x004072e3 7   8    .text   ascii   ?If90t\a
138  0x000067d9 0x004073d9 4   5    .text   ascii   \bYt(
139  0x00006acd 0x004076cd 5   6    .text   ascii   PPPPP
140  0x00006afc 0x004076fc 5   7    .text   utf8    j\rX]Ë blocks=Basic Latin,Latin-1 Supplement
141  0x00006bbf 0x004077bf 5   6    .text   ascii   Y__^[
142  0x00006bde 0x004077de 4   5    .text   ascii   s\b35
143  0x00006cb3 0x004078b3 4   5    .text   ascii   9csm
144  0x00006cc1 0x004078c1 4   5    .text   ascii   t ht
145  0x00006cef 0x004078ef 6   7    .text   ascii   E\f9X\ft
146  0x00006d5f 0x0040795f 6   7    .text   ascii   j\fhX\nA
147  0x00006d92 0x00407992 4   5    .text   ascii   9\bu,
148  0x00006de8 0x004079e8 4   5    .text   ascii   t&:a
149  0x00006e9a 0x00407a9a 4   5    .text   ascii   8csm
150  0x00006f83 0x00407b83 4   5    .text   ascii   ;u\fr
151  0x00006fca 0x00407bca 6   7    .text   ascii   uTVWh\v
152  0x00006fff 0x00407bff 6   7    .text   ascii   _^t\eht
153  0x00007022 0x00407c22 6   7    .text   ascii   j hx\nA
154  0x00007082 0x00407c82 5   9    .text   utf8    }ԉ]܉} blocks=Basic Latin,Cyrillic Supplement,Syriac
155  0x000070cd 0x00407ccd 6   10   .text   utf8    ]܉]ЉE؋ blocks=Basic Latin,Syriac,Cyrillic,Arabic
156  0x00007151 0x00407d51 4   5    .text   ascii   t\bj\b
157  0x000071cf 0x00407dcf 6   8    .text   utf8    3\vM\b;\f
158  0x00007208 0x00407e08 4   5    .text   ascii   u\bWV
159  0x00007242 0x00407e42 4   5    .text   ascii   =x A
160  0x000072b0 0x00407eb0 5   6    .text   ascii   PPPPP
161  0x000072c4 0x00407ec4 4   5    .text   ascii   <v*V
162  0x00007331 0x00407f31 6   7    .text   ascii   ^SSSSS
163  0x0000734d 0x00407f4d 6   8    .text   utf8    tA3\n\fG
